element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,6.968750,24.713542,9.820160,0.507937,0.507937,2.817799,2.223971,2.643029,2.817496,2.223950,2.610456,1.830057,13.572917,11.278197,13.157896,28.195492,11.278197,192.355912,246.240630,11.904763,31.954891,920.426171,13.157896,21.616544,118.421066,8.145364,10.025064,45.426070,6.265665,8.145364,105.263170,8.145364,11.278197,15.664162,8.458648,10.025064,129.699263,6.265665,8.145364,44.486221,8.458648,11.278197,14.724312,1.566416,6.578948,71.428580
110,7.248485,16.327273,10.737389,0.866142,0.866142,3.116533,2.951097,2.866141,3.132312,2.930040,2.865069,1.185964,12.533333,11.278197,24.436093,41.979955,11.278197,237.468699,371.553927,13.784463,38.220556,1411.654298,13.157896,21.303261,303.884747,8.458648,19.423561,79.573944,7.205515,20.676694,120.927332,8.771931,15.037596,90.852141,8.145364,19.423561,117.794500,6.892231,20.050128,91.478707,8.771931,15.037596,20.676694,1.566416,10.964914,72.055146
240,5.970833,20.026389,11.373377,0.469667,0.469667,2.908824,2.731454,2.668431,2.882343,2.368436,2.669268,1.786644,7.793056,11.278197,22.556394,35.714290,11.904763,331.453672,1301.378596,14.411029,43.233088,2734.962721,13.471179,21.929827,207.393508,8.458648,10.338347,451.754438,6.265665,13.784463,87.719308,8.458648,11.278197,127.819564,8.458648,10.651630,114.035101,6.265665,13.157896,3937.970378,8.458648,11.278197,257.518827,2.192983,6.578948,459.273236
500,5.562000,16.939667,11.367592,0.488759,0.488759,2.928140,2.659172,2.642022,2.857551,2.503015,2.641825,1.906382,6.536667,11.278197,21.303261,42.606521,11.904763,125.313298,2374.060424,18.796995,45.112787,6724.938117,13.784463,22.243110,411.654183,8.458648,10.338347,306.391013,6.265665,13.471179,389.097789,8.145364,11.278197,93.984973,8.458648,10.338347,261.278226,5.952382,13.784463,62.969932,8.145364,10.964914,302.631614,1.566416,6.578948,183.583981
800,6.404583,13.846250,10.430997,0.782014,0.782014,2.998885,3.003451,3.127764,3.020692,3.083152,3.127722,1.389307,7.241667,11.904763,24.436093,58.270683,11.904763,46.992487,2614.661955,19.423561,44.486221,9050.752921,13.471179,21.929827,454.260704,8.145364,16.290729,292.606550,6.578948,16.290729,439.223108,9.085214,11.278197,119.674199,8.145364,17.543862,366.541396,6.578948,15.664162,80.200510,8.771931,11.278197,451.754438,1.566416,8.771931,87.092742
1024,5.469076,16.681966,11.406852,0.500244,0.500244,2.910378,2.707527,2.705634,2.893820,2.755735,2.705334,1.883095,6.367513,11.278197,20.676694,25.062660,11.904763,49.498753,5000.627142,16.290729,46.365920,10253.760579,14.411029,23.182960,106.516303,8.458648,12.844613,87.092742,6.265665,13.784463,409.147917,8.771931,12.844613,346.491268,8.458648,13.784463,396.616587,6.265665,14.097746,83.333343,8.771931,12.218047,421.679247,1.566416,10.025064,89.599008
1500,6.110000,13.854222,16.668062,0.732780,0.732780,3.069530,2.704033,2.850147,3.035926,2.675525,2.849861,1.437196,6.281111,11.904763,23.809527,52.005019,11.278197,38.847122,4619.674717,20.050128,52.631585,10895.364662,15.977445,27.568925,449.248172,8.458648,15.664162,454.260704,6.265665,15.977445,501.879757,8.771931,13.784463,98.997505,8.458648,16.604012,449.248172,6.265665,15.350879,419.172981,8.771931,13.157896,253.759428,1.566416,10.025064,79.573944
2048,5.528971,16.807861,11.469266,0.500122,0.500122,2.894901,2.681675,2.702660,2.892962,2.679402,2.701101,1.886424,6.158854,11.278197,21.303261,26.942359,11.904763,42.606521,16669.801417,14.411029,46.365920,21802.634088,15.037596,23.809527,521.929885,9.398497,11.904763,449.248172,6.265665,15.350879,506.892289,9.085214,13.784463,391.604055,9.711781,11.904763,424.185512,6.265665,15.350879,22.556394,8.771931,12.844613,100.877205,2.506266,10.338347,223.684236
3000,5.988556,13.428778,16.889720,0.732601,0.732601,3.078040,2.654369,2.848308,2.996522,2.692268,2.844295,1.439008,6.137222,11.904763,23.809527,57.017550,11.904763,35.087723,16108.397844,20.050128,53.258151,21161.030004,16.604012,28.822058,461.779502,9.398497,17.543862,446.741906,6.265665,18.170428,459.273236,8.771931,11.904763,125.313298,9.711781,17.543862,374.060193,6.265665,16.604012,46.992487,9.085214,13.157896,328.947406,1.566416,10.025064,80.200510
6000,6.621083,14.141889,16.915571,0.732511,0.732511,3.025123,2.751441,2.823404,3.041971,2.770681,2.814525,1.471277,6.091833,11.904763,23.809527,44.486221,11.904763,33.834590,27256.268801,20.676694,53.258151,41371.558646,17.230578,31.328324,494.360959,9.711781,17.230578,481.829629,6.265665,19.736844,221.177970,10.025064,16.917295,87.719308,10.025064,17.543862,83.333343,6.265665,18.796995,44.486221,10.025064,16.917295,202.380976,1.566416,10.964914,80.200510
