element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,10.385417,28.244792,9.677077,0.507937,0.507937,3.038506,2.327489,2.488389,3.075270,2.347724,2.489324,1.093294,17.364583,10.338357,18.483729,32.894772,10.964924,265.351161,276.629368,10.964924,31.641638,945.803016,11.591491,20.363430,53.571486,8.458656,15.977461,45.426114,5.952387,14.097759,83.646706,7.832089,10.964924,99.310883,8.458656,15.977461,80.513871,5.952387,14.411043,41.040144,7.832089,10.651640,18.483729,1.566418,8.145372,27.255668
110,11.960606,21.281818,10.270528,0.866142,0.866142,5.203079,3.198325,4.347788,5.196894,3.312085,4.349057,1.182188,12.909091,16.604028,36.027607,93.671779,17.230595,264.098027,554.825154,11.591491,37.907309,1822.996936,11.904775,20.363430,334.273540,9.711790,11.904775,82.393572,6.578954,10.338357,207.706989,8.771939,13.784476,76.127901,9.711790,12.218058,103.070286,6.578954,10.025073,56.704321,8.771939,14.724327,84.273273,1.879701,7.518805,15.350894
240,22.838194,41.854167,10.573593,0.469667,0.469667,9.426521,2.402454,5.911365,9.462651,2.412053,6.102821,1.313700,21.076389,25.375967,65.476260,106.203121,24.749400,507.206056,2294.175384,11.591491,42.919845,2675.128172,12.218058,20.989997,234.022806,14.097759,26.629101,81.767005,5.325820,17.857162,507.206056,8.458656,23.496266,78.634169,14.097759,22.869699,126.253268,5.012537,20.989997,110.589091,8.145372,22.243132,75.501334,1.879701,15.350894,39.160443
500,44.201333,71.687667,10.623461,0.488759,0.488759,24.645019,2.160127,9.132504,25.762548,2.160426,9.174660,1.312121,48.091333,50.438650,97.431182,108.082822,54.824620,208.960123,6284.154585,12.218058,43.546412,5121.246074,12.531342,21.616564,484.649641,20.989997,43.546412,324.248467,5.012537,13.471192,112.468792,9.085223,41.040144,115.601627,20.989997,42.293278,119.987597,5.325820,11.278208,274.123100,9.085223,42.919845,104.949987,1.879701,14.097759,81.140438
800,63.790417,82.037292,10.081860,0.782014,0.782014,40.858837,3.615388,20.839159,42.608167,3.551243,20.872629,1.073646,65.530417,67.355962,132.518939,168.859830,72.368498,139.411177,6163.853705,12.844625,44.799547,13462.107118,12.218058,20.676714,404.449054,35.401040,86.152974,512.218593,6.265671,21.616564,137.531475,13.784476,88.659243,324.248467,34.774473,84.899840,557.331423,6.578954,21.616564,142.544012,13.784476,88.659243,311.717125,1.879701,10.025073,73.621633
1024,73.375000,111.962891,10.724703,0.500244,0.500244,51.092238,2.565630,26.213482,51.685093,2.578851,26.267009,1.344712,75.165365,76.754468,158.834756,178.884903,84.899840,165.100427,19156.348793,12.844625,44.799547,9331.776890,13.157909,22.556415,509.712324,42.919845,102.443719,534.775008,5.325820,16.604028,434.524274,13.471192,107.456255,532.268739,43.546412,104.323420,163.847293,5.325820,17.230595,271.616832,13.157909,106.829688,326.754735,1.879701,19.110296,76.127901
1500,87.895556,109.292889,15.852060,0.732780,0.732780,65.463882,3.735961,32.698566,61.922435,3.537939,32.718256,1.398165,88.498444,84.273273,190.163110,218.985196,94.924913,198.935050,15146.319445,12.844625,51.691785,32068.643294,14.724327,27.882235,379.386370,52.944919,136.904908,557.331423,6.265671,20.989997,241.541612,15.977461,136.278341,227.757136,53.258202,134.398640,3356.833161,6.265671,19.423580,492.168446,15.977461,136.278341,542.293813,1.879701,15.977461,267.857429
2048,109.649333,161.926839,10.910170,0.500122,0.500122,79.852738,2.798109,41.571452,81.610023,2.706088,41.545746,1.506204,109.367188,108.709389,226.504001,260.338624,119.361030,251.566685,53562.400599,12.844625,45.426114,18193.941749,13.784476,23.496266,527.256203,74.248200,165.100427,554.825154,5.639104,18.483729,416.980395,16.917311,167.606695,594.925448,73.621633,166.353561,665.100961,5.639104,20.989997,244.047880,17.230595,167.606695,539.787544,1.879701,20.363430,344.298614
3000,120.043889,151.017333,16.180916,0.732601,0.732601,90.882402,7.351576,50.876422,90.850378,7.240424,50.936461,1.284076,121.463556,115.601627,260.338624,294.173247,133.772073,262.844892,43296.725468,12.844625,52.318352,67998.506252,15.350894,31.641638,740.289012,81.140438,197.681916,1010.965993,10.651640,37.594025,544.800081,20.989997,195.175647,597.431716,82.393572,196.428781,597.431716,10.651640,39.160443,257.832356,20.989997,195.175647,635.025741,1.879701,15.350894,240.288477
6000,150.091056,188.751611,16.980506,0.732511,0.732511,115.276297,12.926662,65.235891,115.239124,13.042336,65.214962,1.109762,148.035889,140.037744,356.829955,421.992932,175.125500,359.336224,93021.089385,14.097759,54.198053,136008.603996,16.290744,49.812083,685.151108,104.323420,272.869966,720.238865,11.904775,43.859696,442.043079,26.002534,267.857429,467.105762,104.323420,275.376234,635.025741,11.904775,45.426114,331.767272,26.002534,267.857429,579.887838,1.879701,6.892238,155.075354
8192,179.496582,278.456177,12.727207,0.500031,0.500031,137.915387,9.354412,75.606793,141.324389,9.298662,75.514591,1.240845,177.859782,172.619232,399.436517,905.702722,215.225794,459.586957,304109.034268,14.097759,47.305815,71848.134427,16.917311,106.203121,650.063351,130.012670,307.957723,755.326622,10.651640,36.654175,379.386370,23.809549,304.198320,399.436517,129.386103,305.451454,635.025741,10.338357,37.280742,384.398907,24.436116,304.198320,529.762471,1.879701,7.518805,150.062817
12000,167.954222,218.583083,18.599805,0.732467,0.732467,132.926338,18.236747,74.435536,130.458167,18.139201,74.446905,0.899891,166.533944,145.676847,429.511737,552.318886,188.909976,434.524274,188620.189043,19.110296,57.957455,273312.008875,19.736863,112.468792,745.301548,111.215658,331.767272,680.138571,12.844625,57.330888,421.992932,32.894772,331.767272,577.381569,112.468792,331.767272,464.599494,13.157909,54.511336,419.486664,32.894772,331.767272,715.226328,1.879701,3.446119,126.879835
16384,191.750895,321.315603,15.707878,0.500015,0.500015,149.313235,12.678728,82.691625,148.963521,12.871369,82.688080,1.038680,189.294739,178.884903,421.992932,1652.570688,240.288477,584.900374,646725.941768,19.736863,52.944919,143707.860344,23.496266,196.428781,780.389305,135.651774,331.767272,452.068152,11.591491,47.932382,434.524274,30.388504,331.767272,522.243666,135.651774,334.273540,640.038278,11.591491,49.185516,2274.125237,30.388504,331.767272,602.444253,1.879701,6.578954,230.263404
25000,179.934420,222.279193,24.942050,0.762963,0.762963,141.933844,22.668434,82.749111,143.594555,22.666893,82.644814,0.738055,179.178613,157.581622,464.599494,572.369033,188.909976,472.118299,426013.926450,20.363430,72.995065,698054.317424,27.255668,186.403708,790.414379,122.493865,366.855029,3216.482134,15.350894,83.020139,492.168446,43.546412,361.842492,587.406643,122.493865,366.855029,2524.752072,15.664177,83.646706,477.130836,43.546412,364.348760,685.151108,1.879701,2.192985,175.125500
