element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,12.734375,34.088542,16.773095,0.507937,0.507937,9.406498,6.137004,7.959306,9.357356,6.203417,7.955426,1.808889,22.114583,18.170439,21.929840,161.027685,18.797006,243.734511,253.759581,18.797006,45.112814,925.439262,19.110289,28.195509,910.401657,17.230589,20.050140,251.253313,11.278204,22.556407,125.313373,16.290739,19.110289,275.062854,16.917305,18.797006,57.957435,11.278204,22.869691,92.731896,16.917305,19.423573,97.117864,1.566417,5.952385,73.934890
110,15.315152,23.959091,19.042018,0.866142,0.866142,9.982406,7.320146,8.250477,9.764699,6.727151,8.249923,1.141718,17.145455,18.170439,35.714311,124.060240,18.170439,243.734511,469.298583,20.050140,52.005050,3376.568843,20.050140,29.448643,171.052755,17.230589,25.062675,394.110559,11.904770,22.556407,99.624132,16.290739,20.050140,318.922535,17.230589,21.303273,144.110379,11.591487,20.989990,88.972495,15.977455,19.423573,28.195509,1.566417,6.265669,509.398862
240,12.982639,28.534722,19.535407,0.469667,0.469667,9.527662,7.026900,8.196977,9.515954,7.044972,8.072277,1.808671,14.918056,18.170439,31.328343,130.325908,18.170439,589.599421,1592.106407,20.050140,55.137884,3597.120380,20.050140,28.822076,602.130759,17.230589,20.676707,516.917665,11.591487,23.809541,162.280818,15.977455,20.050140,386.591757,17.230589,20.676707,268.797186,11.278204,23.809541,252.506447,16.604022,21.303273,30.701776,1.566417,5.952385,296.366128
500,13.702000,27.393667,20.064626,0.488759,0.488759,9.681533,6.766601,8.081768,9.581203,6.533578,8.046832,1.839331,14.398667,18.170439,31.954910,147.869780,18.170439,179.824691,3015.666328,19.423573,57.017585,7206.145530,21.929840,30.701776,589.599421,17.857156,23.809541,514.411397,11.278204,24.122824,99.624132,16.290739,23.182974,524.436467,17.543872,23.182974,441.729641,11.591487,23.809541,343.985210,16.290739,22.869691,2855.265210,1.566417,5.952385,336.466407
800,12.733750,22.002083,19.570611,0.782014,0.782014,10.114666,6.919753,8.469638,10.151400,6.740517,8.519073,1.394590,14.446250,17.543872,32.581477,404.135629,18.170439,73.934890,3897.872476,19.423573,57.644152,11216.173475,23.182974,30.701776,499.373793,18.483723,30.075210,456.767246,11.904770,23.809541,389.098024,16.604022,23.496257,429.198303,18.170439,31.954910,354.010280,11.591487,25.062675,100.877265,17.543872,25.689242,88.972495,1.253134,5.952385,168.546487
1024,13.311523,25.634440,21.181572,0.500244,0.500244,9.955477,6.902815,8.511301,10.002659,6.855730,8.706819,1.825136,13.344401,18.170439,31.328343,104.636667,18.170439,57.017585,7446.747207,19.423573,58.897285,15948.006450,23.809541,33.208044,531.955270,19.110289,25.062675,514.411397,11.591487,26.629092,224.937505,18.170439,25.375958,95.238164,18.797006,24.436108,521.930200,11.591487,26.942375,313.910000,17.543872,25.062675,40.100279,2.506267,10.338353,331.453872
1500,13.298778,21.822222,27.838461,0.732780,0.732780,10.242112,6.915831,9.176417,10.293734,7.047993,9.176771,1.441278,14.247556,18.170439,33.208044,66.416088,18.170439,48.872216,6724.942177,19.423573,67.042655,18514.424335,24.436108,44.486248,567.043014,18.797006,27.568942,552.005409,11.591487,26.315808,369.047884,18.170439,26.315808,295.112994,19.110289,31.328343,364.035349,11.278204,26.629092,384.085489,17.857156,26.315808,174.812156,1.566417,6.578952,78.947425
2048,13.418376,27.193115,21.080389,0.500122,0.500122,10.125746,6.882082,9.868285,10.056854,6.945089,9.606530,1.822545,13.659993,18.170439,31.328343,109.649202,18.797006,45.112814,13060.786330,20.676707,58.897285,30785.109846,25.062675,36.967445,479.323653,18.797006,25.062675,519.423932,11.278204,25.689242,464.286048,18.170439,26.942375,521.930200,18.797006,24.436108,371.554152,11.278204,26.002525,394.110559,17.857156,26.942375,286.341058,2.506267,11.904770,82.706826
3000,13.106056,22.985222,28.352020,0.732601,0.732601,10.263431,7.637779,10.741176,10.215320,7.649026,10.440741,1.442920,13.448778,18.170439,33.834611,110.902335,18.797006,48.245649,13301.388006,21.303273,67.042655,34474.335555,26.315808,47.305798,521.930200,19.110289,27.568942,283.834790,11.591487,29.448643,333.960140,18.170439,30.701776,296.366128,19.110289,27.568942,446.742176,11.591487,29.448643,51.691766,18.797006,28.195509,411.654431,1.566417,11.278204,80.200559
6000,13.308139,23.049056,29.958608,0.732511,0.732511,10.775385,8.188192,13.521753,10.834213,8.175339,13.271266,1.725360,13.863944,20.050140,34.461178,105.889800,19.423573,45.739381,25973.076312,22.556407,69.548922,59978.113285,30.701776,52.631617,552.005409,20.050140,34.461178,514.411397,11.591487,31.954910,105.263234,18.797006,35.087745,384.085489,20.363423,34.461178,88.972495,11.591487,30.701776,61.716836,18.797006,35.714311,73.308323,1.566417,11.904770,82.080259
8192,13.434428,27.767721,24.989947,0.500031,0.500031,11.988879,7.023472,13.849634,11.954688,7.041018,13.815954,2.597012,14.160645,20.676707,36.340878,107.142934,19.423573,46.365948,53882.870808,22.556407,63.909820,103286.415089,35.714311,50.751916,602.130759,26.315808,36.340878,519.423932,11.591487,27.568942,106.516367,20.050140,36.967445,173.559022,26.942375,36.967445,67.355938,11.278204,27.568942,45.739381,20.050140,37.594012,58.270719,2.819551,12.531337,79.573992
12000,13.626806,23.587958,32.453275,0.732467,0.732467,12.267515,9.154332,14.855142,12.191815,8.961517,14.909199,2.002372,14.243389,20.676707,39.473713,115.288303,20.050140,53.258184,53562.068573,24.436108,70.802056,118043.317926,38.220579,61.716836,546.992874,26.942375,39.473713,436.717106,11.904770,41.666697,386.591757,21.929840,42.606547,107.769501,26.315808,38.847146,83.959960,11.904770,40.726846,73.308323,21.929840,42.293263,80.827126,1.566417,12.218054,80.200559
16384,14.345510,28.451914,26.921995,0.500015,0.500015,12.694239,7.298970,14.834002,12.734494,7.293655,14.820176,3.664795,14.627747,21.303273,39.473713,117.168004,21.303273,55.137884,106494.437445,23.809541,63.909820,202735.108121,41.353413,56.391018,587.093154,29.448643,38.847146,526.942735,11.904770,36.967445,100.877265,21.616557,40.100279,181.077824,29.448643,39.473713,62.343403,11.904770,36.967445,87.719361,21.929840,40.100279,454.260978,2.819551,12.531337,89.599062
25000,14.813153,24.093867,37.117659,0.762963,0.762963,13.085895,10.436503,16.655716,13.123288,10.698472,16.666466,2.095339,15.382867,21.303273,41.979980,178.571557,21.303273,54.511317,109702.459801,25.062675,76.441158,237381.749565,42.606547,68.922355,604.637026,29.448643,45.739381,271.303453,12.844621,46.365948,139.097844,26.315808,52.631617,197.368563,29.448643,45.426098,115.914870,12.844621,47.619082,429.198303,25.689242,52.318333,110.902335,1.253134,12.218054,80.200559
32768,15.013321,29.670675,27.800845,0.500008,0.500008,13.315300,7.466755,15.640302,13.264260,7.484223,15.578433,4.038339,15.091787,21.929840,41.353413,129.072774,21.303273,52.631617,224549.660141,23.809541,63.909820,410614.956783,43.859681,62.969970,629.699701,30.701776,42.606547,464.286048,12.844621,38.220579,124.060240,25.062675,41.979980,404.135629,30.075210,42.606547,469.298583,12.531337,37.907295,454.260978,25.062675,41.979980,85.213094,3.446118,12.531337,81.453693
45000,15.143570,26.249326,32.730913,0.686656,0.686656,13.522759,9.038317,16.627523,13.517619,9.055065,16.698902,2.714004,15.724800,21.929840,42.606547,110.275768,21.929840,52.631617,228399.286968,28.195509,72.055190,454244.060823,44.486248,70.802056,592.105689,30.701776,44.486248,496.867525,13.157904,41.666697,343.985210,27.568942,48.245649,529.449002,30.701776,44.486248,371.554152,13.157904,41.353413,218.671836,27.568942,47.932365,338.972675,1.566417,12.531337,80.200559
60000,17.592600,32.358261,28.467738,0.457767,0.457767,14.208687,7.516292,16.690917,14.434576,7.646234,16.679254,4.444560,17.969339,23.182974,43.233114,125.313373,23.182974,56.391018,461943.314477,27.568942,60.776986,584.586886,48.245649,107.769501,689.850120,31.954910,45.739381,374.060419,13.157904,38.847146,401.629361,28.822076,47.932365,567.043014,32.581477,46.052665,567.043014,13.157904,39.473713,486.842455,28.195509,47.619082,516.917665,4.072685,12.531337,80.200559
100000,18.999873,26.846020,41.878308,0.762945,0.762945,14.599439,11.361026,18.901430,14.683729,11.367271,18.804055,2.299262,18.388440,23.182974,48.245649,173.559022,23.182974,55.137884,451677.642938,31.954910,87.092794,929031.369494,50.438633,120.300838,755.013074,32.268194,50.751916,546.992874,13.784471,52.005050,521.930200,29.448643,60.463703,634.712236,32.581477,50.751916,557.017944,14.097754,52.631617,446.742176,29.448643,60.463703,536.967804,1.253134,12.218054,91.478762
150000,20.200553,35.557829,44.926579,0.572207,0.572207,17.691816,8.693191,19.211295,17.512800,8.726400,19.291435,3.787415,23.531184,29.448643,52.631617,592.105689,24.436108,103.383533,964961.219879,35.087745,119.674271,557.017944,61.090269,399.123094,744.988004,38.847146,102.756966,594.611956,14.411038,49.498782,534.461537,30.701776,98.370998,627.193433,38.533862,100.877265,649.749840,14.411038,49.185499,546.992874,30.701776,97.744431,577.068084,2.192984,12.844621,499.373793
200000,20.580365,33.114445,62.134543,0.762942,0.762942,18.477236,12.145118,21.358737,18.227897,11.992838,21.321566,2.361210,23.526040,30.701776,55.764451,554.511677,25.689242,109.649202,959828.384110,37.594012,135.338443,1981262.702223,67.042655,459.273513,970.552076,38.847146,104.010100,607.143294,16.290739,59.210569,557.017944,32.581477,102.130399,639.724771,38.847146,102.130399,770.050679,15.664172,57.957435,607.143294,32.581477,100.877265,659.774910,1.253134,12.218054,516.917665
300000,28.631627,39.778898,77.933884,0.572206,0.572206,35.642559,10.594836,27.687560,35.651396,10.599499,27.764718,3.796145,30.958252,35.714311,108.396068,554.511677,30.075210,117.794571,2063388.074534,36.340878,132.205609,729.950399,129.699341,546.992874,950.501936,48.872216,419.173234,975.564611,20.050140,98.997565,587.093154,34.461178,237.468842,684.837585,48.872216,419.173234,785.088284,19.736856,101.503832,612.155828,34.461178,238.721976,684.837585,2.192984,13.157904,572.055549
400000,29.524867,37.120337,95.680501,0.762941,0.762941,36.472487,16.295176,33.759013,36.495196,16.335456,33.756341,2.317657,31.813962,35.087745,115.288303,562.030479,31.954910,120.300838,2063388.074534,43.233114,174.812156,3983068.652295,139.724411,559.524212,855.263773,50.751916,424.185769,830.201098,21.616557,122.180539,664.787445,39.473713,374.060419,704.887725,50.751916,424.185769,739.975469,21.616557,122.180539,654.762375,39.473713,374.060419,750.000539,1.253134,12.531337,519.423932
600000,36.557897,43.404972,100.285866,0.572205,0.572205,44.581431,14.113608,37.431416,44.604103,14.127567,37.422218,3.813981,37.750030,36.967445,123.433673,669.799980,34.461178,135.338443,4496352.229237,40.100279,134.085309,664.787445,191.102894,587.093154,1010.652355,105.263234,461.779781,795.113353,21.929840,122.807106,629.699701,43.546397,421.679501,765.038144,105.263234,461.779781,755.013074,21.929840,122.807106,629.699701,43.546397,421.679501,714.912795,2.192984,15.664172,572.055549
800000,37.060277,40.884886,110.923156,0.762940,0.762940,45.193636,18.598514,39.571921,45.129431,18.631394,39.471546,2.341988,38.130281,38.220579,129.072774,724.937864,35.714311,132.832176,4516883.572314,45.739381,172.305888,8048274.581671,193.609162,594.611956,910.401657,105.889800,464.286048,900.376587,23.182974,132.205609,634.712236,48.245649,426.692036,875.313912,105.889800,464.286048,810.150958,23.182974,132.205609,694.862655,48.245649,426.692036,750.000539,1.253134,12.531337,519.423932
1200000,40.005648,46.374907,112.848705,0.572205,0.572205,48.844337,14.971853,40.326730,48.860718,15.335555,40.333862,3.814418,41.258264,42.606547,130.952475,860.276308,38.847146,158.521417,8705277.560156,44.486248,140.977545,830.201098,202.381098,617.168363,995.614751,110.902335,474.311118,714.912795,22.556407,125.313373,669.799980,53.571467,439.223373,739.975469,110.902335,474.311118,775.063214,22.556407,125.313373,629.699701,53.571467,439.223373,719.925329,2.192984,35.087745,531.955270
2200000,42.522124,50.951446,126.858269,0.524521,0.524521,52.765709,15.091131,42.190559,52.806816,15.112650,42.103568,4.163893,43.676588,46.365948,142.230679,704.887725,42.606547,213.659301,16999940.163530,48.872216,396.616826,920.426727,211.153034,639.724771,960.527006,115.914870,481.829920,13060.786330,22.556407,127.193074,674.812515,101.503832,446.742176,709.900260,115.914870,481.829920,13060.786330,22.556407,127.193074,627.193433,101.503832,446.742176,709.900260,2.819551,74.561457,529.449002
3100000,43.043951,47.087682,129.909439,0.739098,0.739098,53.408279,20.051505,44.196335,53.466058,20.071632,44.283780,2.490596,44.236533,46.992515,152.255749,659.774910,44.486248,208.646767,17164190.908151,53.884751,401.629361,32028883.296375,209.899900,634.712236,1040.727565,116.541437,481.829920,12579.582976,23.496257,143.483812,679.825050,107.142934,451.754711,760.025609,116.541437,481.829920,13301.388006,23.496257,143.483812,654.762375,106.516367,451.754711,805.138423,1.253134,12.531337,531.955270
6000000,52.914789,52.657360,144.848709,0.715256,0.715256,65.672704,20.401774,50.119952,65.669455,20.413864,50.081139,2.674210,51.856949,52.005050,424.185769,785.088284,48.245649,369.047884,35313898.188800,107.142934,484.336188,870.301377,265.037784,674.812515,1040.727565,122.180539,539.474072,12900.385212,24.436108,192.356028,755.013074,112.782036,481.829920,835.213633,122.180539,539.474072,12820.184653,24.436108,192.356028,714.912795,112.782036,481.829920,875.313912,1.253134,12.531337,531.955270
10000000,66.184733,61.162213,166.539585,0.596047,0.596047,76.919648,32.351056,61.073332,76.948224,32.220953,61.132088,3.628239,66.440005,110.902335,476.817385,780.075749,52.631617,441.729641,64714781.476006,112.782036,504.386327,830.201098,278.822256,704.887725,1070.802775,181.077824,559.524212,12579.582976,30.075210,434.210838,885.338982,118.421138,536.967804,815.163493,181.077824,559.524212,12579.582976,29.448643,434.210838,855.263773,118.421138,536.967804,870.301377,1.879701,20.989990,589.599421
