element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,25.973958,37.744792,52.686327,0.507937,0.507937,8.101802,5.263304,6.951988,8.774895,5.221154,6.629665,1.645859,9134.062500,21.303274,91.478765,97.744434,21.303274,246.240785,381.579231,99.624134,461.779792,1065.790266,25.689242,43.859682,1281.329273,18.170440,23.182975,125.313376,10.964920,15.037605,12980.586091,15.664172,24.436108,12980.586091,18.797006,22.556408,43.859682,11.278204,15.977455,90.852198,14.411038,21.303274,434.210849,1.566417,5.952385,15.664172
110,31.953030,48.057576,55.082887,0.866142,0.866142,8.662620,6.089701,7.919717,8.933608,6.574558,7.975239,1.143043,79.972727,28.195510,87.092797,125.939943,31.954911,421.679511,795.113373,99.624134,451.754722,4399.126077,28.822077,48.245650,1070.802801,20.676707,25.689242,12419.182165,12.531338,18.797006,138.471281,16.290739,23.809542,161.027689,20.676707,24.436108,84.586529,13.471188,18.797006,57.957437,16.290739,25.375959,32.581478,1.566417,5.012535,81.453695
240,32.254861,59.536111,55.921013,0.469667,0.469667,9.602735,6.198857,7.990279,10.056196,6.073596,8.034259,1.924167,83.115278,30.075210,100.250701,237.468848,31.328344,905.389144,12178.580482,99.624134,449.248454,4599.627480,32.581478,55.137886,744.988023,25.062675,32.894761,105.263236,13.471188,18.170440,343.985218,15.977455,28.195510,401.629371,25.062675,33.208045,101.503835,13.157905,17.543873,54.824602,15.664172,27.568943,90.852198,1.566417,5.952385,86.466230
500,27.929333,47.558333,57.064582,0.488759,0.488759,10.519905,6.726832,8.809052,10.575322,6.727469,8.823616,1.887994,80.181333,28.822077,83.959962,419.173244,28.822077,389.098034,6003.137295,99.624134,449.248454,9050.758608,37.594013,76.441160,744.988023,27.568943,33.834612,6003.137295,14.724322,21.616557,282.581664,16.917306,31.954911,434.210849,27.568943,33.834612,336.466416,14.724322,22.556408,49.185500,16.917306,32.268194,102.756969,1.566417,6.265669,366.541626
800,28.552083,43.953542,57.972528,0.782014,0.782014,10.477402,6.886997,8.800908,10.849779,6.838368,8.821989,1.434232,80.859167,28.195510,85.839663,441.729652,28.822077,107.769504,4178.574535,100.250701,446.742187,26614.681440,46.365949,89.599064,1186.091107,27.568943,38.220580,511.905142,15.037605,23.182975,236.215714,17.543873,35.087745,118.421141,28.195510,39.473714,311.403740,14.724322,21.929841,73.308325,18.170440,33.208045,354.010288,1.566417,9.398503,82.706828
1024,28.466797,48.984538,58.786053,0.500244,0.500244,12.309753,6.701034,8.982344,12.333225,6.738894,8.986510,1.797394,80.204427,28.822077,81.453695,376.566696,28.822077,108.396071,8810.156926,99.624134,449.248454,18273.823109,48.872217,93.985032,850.251259,31.328344,51.065201,481.829932,14.724322,22.556408,454.260989,17.857156,35.714312,499.373805,31.328344,52.005051,464.286059,14.724322,21.929841,58.584003,17.857156,36.967446,351.504021,2.819551,9.085220,85.839663
1500,27.984556,40.608000,68.968496,0.732780,0.732780,14.408379,6.896661,10.196752,14.473076,6.911556,10.376210,1.440218,79.637778,28.195510,75.814593,12579.583287,28.822077,96.491300,8770.056645,100.250701,454.260989,40248.776789,55.451169,127.193077,1070.802801,40.726847,64.223105,431.704582,15.037605,28.195510,124.686809,21.929841,52.631618,536.967818,39.473714,66.416089,129.072778,15.037605,25.062675,391.604301,21.929841,52.005051,258.772122,1.566417,6.578952,84.586529
2048,27.701579,46.348226,60.554513,0.500122,0.500122,17.146426,7.202161,12.725959,17.406435,7.182565,12.727031,1.794816,80.524414,27.568943,67.042656,6043.237575,28.822077,90.852198,17712.419183,100.250701,449.248454,36880.353232,63.596539,132.205612,945.489425,51.378484,73.934892,724.937882,15.664172,33.208045,444.235919,26.942376,67.355940,451.754722,51.065201,73.934892,338.972683,15.664172,31.954911,121.553975,26.942376,66.102806,143.483816,2.819551,9.398503,231.203179
3000,27.999111,38.715667,71.430330,0.732601,0.732601,18.267802,9.058359,14.722591,18.399303,9.030928,14.677029,1.447768,81.708556,28.195510,61.403554,120.927408,28.195510,82.080262,17632.218622,100.877268,454.260989,85321.492000,67.355940,149.749485,780.075768,55.451169,78.320860,386.591766,21.303274,42.293265,343.985218,32.894761,75.188026,281.328530,55.764452,78.320860,409.148174,21.929841,42.606548,143.483816,33.208045,76.441160,654.762392,1.566417,10.025070,81.453695
6000,27.637889,39.784194,73.535252,0.732511,0.732511,19.222341,10.916494,18.363195,19.169877,10.812592,18.296913,1.442649,81.068056,28.195510,52.631618,476.817397,28.822077,77.694293,35917.946501,102.130402,454.260989,179637.351590,75.814593,183.584096,1105.890546,58.584003,80.827128,479.323665,27.568943,53.571468,336.466416,36.967446,80.200561,394.110569,58.584003,80.200561,251.253320,27.568943,53.884752,174.812160,36.967446,79.573994,149.749485,1.566417,10.964920,82.080262
