element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,22.447917,44.015625,28.184382,0.507937,0.507937,7.157475,4.268208,5.622106,7.098949,4.190059,5.622525,1.477900,1092.875000,19.423573,62.656688,67.669223,20.676707,263.784657,272.556594,27.568943,257.518988,1186.091107,25.062675,42.606548,504.386340,15.977455,20.676707,293.859868,10.025070,13.471188,96.491300,13.157905,18.170440,97.744434,15.664172,18.797006,95.238166,10.025070,11.904771,366.541626,14.411038,18.483723,92.105332,1.566417,6.265669,91.478765
110,25.031818,38.033333,30.597547,0.866142,0.866142,7.565596,4.826467,6.303787,7.531210,4.530450,6.148718,1.175652,403.727273,23.809542,70.175491,83.959962,24.436108,419.173244,544.486620,33.208045,158.521421,3436.719347,26.942376,48.872217,516.917678,16.917306,23.182975,424.185779,10.651637,15.350889,119.674274,14.411038,21.303274,48.558933,16.604022,23.182975,341.478951,10.338354,14.411038,399.123104,14.411038,22.556408,93.985032,1.566417,6.265669,90.225631
240,24.094444,40.211806,31.422475,0.469667,0.469667,7.677791,4.466594,6.095796,7.589298,4.495971,6.102184,1.947689,36.931944,22.556408,73.308325,143.483816,24.436108,785.088303,1622.181657,33.834612,149.749485,4619.677620,28.822077,49.498784,524.436480,16.604022,25.062675,516.917678,10.651637,15.664172,85.213096,14.724322,22.556408,256.265855,16.917306,25.062675,115.914873,10.964920,16.917306,313.910008,14.724322,22.556408,93.358465,1.879701,6.265669,83.333395
500,22.635667,41.084000,32.491402,0.488759,0.488759,8.662630,4.617669,6.755665,8.584264,4.572331,6.746889,1.889057,49.798667,23.809542,68.922357,147.243217,25.062675,302.631804,4579.577339,33.834612,151.002619,13221.187774,31.328344,55.764452,582.080633,19.423573,31.954911,514.411410,10.964920,19.110290,116.541440,15.664172,30.075210,364.035358,19.736857,33.208045,865.288864,10.964920,18.170440,464.286059,15.350889,30.075210,521.930213,1.566417,6.265669,394.110569
800,22.190625,35.597500,32.865448,0.782014,0.782014,8.474578,5.249959,6.864042,8.387203,5.217752,6.891057,1.382496,41.161667,23.182975,65.789523,134.711880,23.809542,106.516370,3236.217945,34.461179,151.002619,15547.004039,33.834612,62.969972,679.825067,19.423573,30.701777,526.942748,11.591487,21.616557,404.135639,15.664172,28.195510,115.288306,19.110290,30.075210,406.641906,11.591487,21.303274,436.717117,15.664172,28.195510,511.905142,1.566417,6.265669,446.742187
1024,22.199056,39.373535,34.179505,0.500244,0.500244,8.817334,4.817729,6.690284,8.558932,4.811068,6.677431,1.743122,44.542643,23.182975,65.162956,110.902338,25.689242,98.997567,6524.440941,33.834612,169.799625,21963.048909,36.027596,68.922357,674.812532,20.050140,31.954911,4559.527199,11.278204,20.050140,476.817397,15.664172,29.448643,486.842467,20.050140,32.581478,514.411410,11.278204,20.050140,187.343498,16.290739,30.075210,95.238166,2.819551,9.085220,396.616836
1500,23.706333,34.523111,43.930504,0.732780,0.732780,9.063090,5.011300,7.054327,9.075578,5.154465,7.057839,1.447560,46.427556,24.436108,58.270720,132.832179,25.062675,86.466230,8970.558047,36.340879,166.040224,25652.274709,40.100280,73.308325,865.288864,20.676707,34.461179,541.980353,11.904771,21.929841,323.935078,16.917306,31.328344,354.010288,20.989991,34.461179,569.549296,12.218054,23.809542,118.421141,16.917306,31.954911,316.416275,1.566417,6.578952,88.972497
2048,23.126628,39.908691,37.243401,0.500122,0.500122,10.123134,4.899534,6.940284,9.435340,4.820330,6.949939,1.833393,38.421875,23.809542,49.498784,135.338446,25.689242,88.345930,15065.800674,34.461179,157.268287,40409.177910,44.799532,83.959962,865.288864,23.182975,43.859682,529.449015,12.844621,23.809542,120.927408,17.857156,33.834612,479.323665,23.182975,44.799532,103.383536,11.904771,23.182975,84.586529,17.543873,33.834612,529.449015,3.132834,9.711787,361.529091
3000,23.300389,36.379667,46.436892,0.732601,0.732601,11.898841,5.203810,7.722976,11.863528,5.174310,7.621116,1.437946,40.787222,23.809542,52.005051,135.965013,25.062675,78.320860,19156.029278,35.714312,154.762020,50995.651946,48.872217,89.599064,729.950417,25.689242,58.584003,509.398875,13.784471,28.195510,142.857249,20.676707,46.679233,144.736950,26.002526,57.957437,179.824695,13.784471,27.568943,62.969972,20.676707,46.052666,101.503835,1.566417,10.338354,86.466230
6000,22.926972,34.320833,48.947990,0.732511,0.732511,14.825408,8.996101,12.908518,14.724811,9.028365,12.904998,1.436172,40.528556,25.062675,46.992516,119.047708,25.689242,62.030121,33993.133040,36.340879,157.268287,106494.440071,56.391019,120.300841,860.276329,31.328344,70.175491,297.619269,16.917306,43.859682,501.880072,26.942376,67.355940,536.967818,31.328344,70.175491,140.350982,17.230589,44.172965,130.325911,27.568943,67.669223,152.255752,1.566417,10.964920,90.225631
8192,23.284485,40.506653,41.682825,0.500031,0.500031,15.634005,8.237178,14.498842,15.687893,8.321005,14.477733,1.969495,38.069336,25.689242,48.245650,149.749485,26.315809,69.548924,68960.577582,35.714312,156.015154,133441.828526,59.523854,133.458746,1000.627310,33.834612,73.308325,219.924976,16.917306,44.486249,152.255752,28.822077,70.802058,135.965013,33.834612,73.308325,371.554161,16.917306,44.486249,159.774555,28.822077,71.428625,140.977548,4.385968,11.591487,85.213096
12000,23.224333,35.344986,51.200936,0.732467,0.732467,15.980703,11.223556,18.034813,16.036582,11.370847,17.915586,1.760628,39.928028,25.689242,49.498784,209.899905,26.942376,67.669223,68318.973095,37.594013,158.521421,207867.949018,61.403554,142.230682,780.075768,33.834612,73.308325,429.198314,20.676707,52.005051,282.581664,30.701777,72.055191,109.649204,33.834612,74.561459,169.799625,20.676707,51.691768,491.855002,30.701777,72.681758,351.504021,1.566417,11.278204,81.453695
16384,23.231466,41.167145,44.798609,0.500015,0.500015,16.332084,9.135622,18.195660,16.338670,9.154639,17.629117,3.547291,42.527669,26.942376,49.498784,241.228250,28.195510,65.162956,139857.873396,36.340879,164.787090,257913.099004,63.596539,159.774555,805.138443,35.714312,75.814593,544.486620,18.797006,47.932366,164.787090,31.328344,73.308325,454.260989,35.087745,75.188026,333.960148,18.797006,48.245650,261.278390,31.328344,74.561459,494.361270,4.699252,11.904771,87.092797
25000,23.705813,35.143147,59.365025,0.762963,0.762963,16.834268,13.094581,21.184944,16.795854,13.313497,21.087241,2.013980,48.793893,26.942376,50.125351,154.762020,28.195510,62.030121,137933.059935,39.473714,187.343498,451677.654078,66.729373,199.874835,910.401679,35.714312,77.694293,546.992888,23.182975,57.644153,504.386340,32.581478,75.814593,3396.619066,35.714312,77.067726,559.524225,23.182975,57.330870,471.804862,32.581478,75.814593,4840.229162,1.566417,11.278204,85.213096
