element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,29.109375,51.734375,70.988940,0.507937,0.507937,13.429390,9.274164,11.750202,14.169468,9.092123,11.454729,1.644602,150.343750,26.942386,95.238203,125.313424,31.328356,273.809832,321.428934,112.782082,476.817580,1181.079025,35.714326,53.258205,1015.665305,28.822088,31.954923,132.832230,18.170447,31.328356,86.466263,25.062685,30.701789,120.300887,27.568953,31.328356,101.503874,18.797014,30.701789,90.225666,25.375968,29.448655,37.594027,2.506268,6.578955,15.350894
110,41.606061,56.918182,74.220330,0.866142,0.866142,15.072330,10.152913,12.172698,15.297739,10.136824,12.619351,1.171531,190.939394,37.594027,119.674320,233.709537,39.473729,333.960276,1321.430060,114.661783,474.311311,11456.779826,40.100296,57.330892,930.452176,30.075222,41.353430,171.052824,19.110297,34.461192,126.566559,28.195520,35.087759,419.173405,30.701789,41.979997,228.697000,19.423581,33.208057,107.142978,28.195520,35.087759,95.238203,3.446119,6.892238,172.305959
240,39.653472,74.640972,76.764151,0.469667,0.469667,16.272373,9.970599,13.859787,16.638814,9.657309,13.861072,1.776547,200.654167,38.220594,107.142978,411.654599,40.726863,1140.978729,3115.918298,115.288350,476.817580,5401.635159,43.233131,88.345964,1181.079025,35.087759,41.353430,276.316101,20.050148,38.847162,138.471334,31.954923,41.040146,466.792506,35.087759,40.100296,484.336385,19.423581,40.726863,87.092830,31.328356,40.726863,140.351035,3.759403,6.578955,88.345964
500,38.699333,77.206667,80.897378,0.488759,0.488759,17.297756,10.242816,15.251033,17.422495,10.430920,14.720273,1.861204,204.645333,38.220594,88.345964,188.596704,38.847162,293.859980,5963.039300,116.541485,474.311311,12098.384559,54.198056,109.649246,1251.254543,36.967460,49.812086,449.248626,20.050148,43.233131,305.138188,33.834625,44.486266,187.343569,36.967460,49.498803,396.616988,20.050148,44.172982,336.466545,33.834625,43.859699,109.649246,4.699253,6.578955,123.433723
800,39.386042,65.527500,82.189724,0.782014,0.782014,25.786942,11.242880,16.270359,26.792722,11.531279,16.165799,1.372455,207.744583,38.220594,87.092830,206.140583,38.847162,133.458797,9692.366810,115.914918,476.817580,61902.951953,73.934920,123.433723,1301.379912,58.584026,90.225666,318.922665,20.676715,43.859699,321.428934,36.340893,62.030145,124.060290,58.584026,92.105367,223.684463,20.676715,44.486266,120.300887,35.714326,61.716862,276.316101,5.325821,10.025074,439.223553
1024,37.912109,72.086751,85.379926,0.500244,0.500244,30.736370,10.504894,21.310480,30.347057,10.581679,20.843000,1.809331,206.024089,38.220594,80.827159,396.616988,38.220594,119.047753,11937.983376,116.541485,479.323848,28699.907024,81.453726,153.508945,1241.229469,72.055219,95.238203,214.912523,20.676715,48.245668,203.634315,41.353430,78.947457,139.724468,72.055219,93.985068,217.418791,20.363431,48.245668,158.521482,41.666714,78.947457,147.243274,5.325821,10.651641,429.198479
1500,38.804222,65.332889,104.388902,0.732780,0.732780,32.908479,13.995489,27.376674,33.927470,13.262948,27.478993,1.438951,206.750222,37.594027,78.320890,295.113114,38.847162,109.022679,18273.830113,119.674320,486.842654,98795.224097,88.972531,176.065361,1120.928581,78.320890,105.263276,421.679673,26.315819,72.681786,316.416397,61.716862,97.744471,187.343569,78.320890,103.383575,173.559093,26.315819,70.802085,394.110720,61.090294,98.997605,404.135794,5.325821,11.591492,506.892802
2048,38.660970,70.679769,88.476891,0.500122,0.500122,34.477217,15.880589,30.421685,33.589710,16.029804,30.045457,1.781016,206.328451,38.220594,64.536414,209.899986,38.847162,99.624172,25010.679809,117.168052,479.323848,61902.951953,95.238203,173.559093,1471.806170,80.827159,104.010142,203.634315,31.328356,93.358501,359.022961,66.729398,102.757008,229.950134,80.827159,104.636709,333.960276,31.954923,89.599098,132.205663,66.729398,104.010142,326.441471,8.771940,13.157910,516.917876
3000,38.767889,67.433778,107.023510,0.732601,0.732601,34.228413,19.908143,30.689820,34.631608,19.720582,30.809675,1.435651,207.706222,38.220594,74.561488,313.910128,38.847162,93.985068,42013.205232,118.421186,481.830117,195035.934037,99.624172,207.393717,1010.652768,80.827159,109.649246,297.619383,35.087759,102.130441,489.348922,69.548951,105.889844,514.411607,80.827159,105.889844,539.474292,35.714326,102.757008,354.010424,70.802085,105.889844,431.704747,10.025074,25.689252,516.917876
6000,39.777778,54.399278,113.294416,0.732511,0.732511,36.080415,20.147172,33.190666,35.196385,20.224115,32.768005,1.442889,239.012000,38.847162,70.802085,152.255811,38.847162,78.947457,46183.635996,119.047753,484.336385,387517.353918,108.396112,369.048035,1481.831244,84.586561,114.035216,516.917876,37.594027,107.142978,326.441471,74.561488,109.649246,331.454008,84.586561,112.155515,559.524440,38.220594,107.142978,369.048035,75.188055,110.275813,209.899986,16.917312,27.882237,514.411607
