element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,30.526042,45.828125,33.864117,0.507937,0.507937,9.167660,5.330574,7.231665,9.301751,5.267949,6.925733,1.858876,79.177083,25.062685,85.839696,109.649246,30.075222,216.165657,331.454008,31.328356,233.709537,1151.003803,30.701789,57.017608,1156.016340,17.230596,25.062685,58.584026,10.964925,17.230596,346.491618,15.664178,23.809551,88.345964,18.170447,26.942386,34.461192,10.964925,16.917312,81.453726,15.350894,23.182984,84.586561,3.446119,6.578955,16.917312
110,43.778788,54.718182,36.773411,0.866142,0.866142,10.261955,5.924572,8.050520,10.148547,5.843581,8.190272,1.164061,96.315152,41.353430,116.541485,172.305959,41.353430,239.975208,1130.953655,35.714326,157.268348,6524.443441,33.208057,62.030145,649.750106,19.110297,28.822088,409.148331,11.278208,23.182984,129.072827,16.917312,27.568953,366.541766,20.050148,28.822088,111.528948,11.591492,21.303282,97.117904,16.917312,26.942386,32.581490,3.446119,5.952388,78.320890
240,38.202083,69.562500,38.197032,0.469667,0.469667,10.787129,5.547089,7.877126,10.754026,5.531717,7.831191,1.832949,89.969444,35.714326,110.275813,186.090435,43.233131,1010.652768,2815.166079,36.340893,154.762079,5722.437525,34.461192,66.729398,765.038456,20.050148,33.208057,552.005634,10.651641,20.676715,126.566559,16.917312,31.328356,216.165657,20.050148,33.834625,173.559093,10.651641,21.303282,211.153120,16.917312,30.701789,90.852233,4.072686,6.578955,82.706860
500,34.648667,69.182333,39.564465,0.488759,0.488759,11.337504,5.497584,8.932184,11.454953,5.510077,9.043549,1.804968,94.851333,33.208057,98.371038,187.343569,40.100296,223.684463,5441.735455,36.340893,158.521482,11296.378643,38.220594,75.814622,770.050993,21.303282,36.340893,516.917876,10.651641,22.556416,272.556698,18.170447,36.967460,123.433723,21.303282,35.714326,184.837301,10.651641,21.929849,83.333427,18.483730,35.714326,112.782082,4.699253,9.398507,87.092830
800,33.476250,60.054375,40.309393,0.782014,0.782014,11.477055,5.943794,8.739430,11.438373,5.874401,8.906714,1.390277,82.603750,31.328356,85.213129,172.305959,36.967460,134.711931,8288.856457,36.340893,156.015213,27256.296374,43.859699,88.972531,649.750106,21.303282,36.654177,529.449218,10.964925,26.942386,131.579096,18.797014,35.714326,366.541766,21.303282,36.967460,374.060572,10.964925,26.315819,179.824764,18.797014,36.340893,101.503874,5.325821,7.205522,80.200592
1024,33.450195,70.762044,42.293570,0.500244,0.500244,11.803365,5.877300,9.094401,11.808154,5.881675,8.714891,1.842528,85.508138,32.581490,86.466263,191.102972,40.100296,124.060290,11376.579234,36.967460,158.521482,23246.266794,46.992534,95.238203,689.850401,22.556416,42.606564,516.917876,10.964925,25.689252,316.416397,18.797014,35.714326,379.073109,21.929849,40.726863,343.985350,10.651641,26.315819,81.453726,18.483730,36.340893,449.248626,5.325821,10.338358,501.880265
1500,33.952889,63.855000,55.927175,0.732780,0.732780,14.533131,6.110293,9.148174,14.372802,6.160507,9.443228,1.427929,103.572000,33.208057,82.706860,197.368643,38.847162,114.035216,17792.626564,39.473729,168.546556,45542.031263,52.631638,99.624172,1070.803212,29.448655,58.584026,479.323848,12.218059,26.942386,501.880265,19.423581,41.353430,136.591633,30.075222,58.584026,346.491618,11.904775,26.942386,67.982533,19.423581,46.052683,116.541485,5.325821,10.025074,409.148331
2048,32.464111,68.736328,45.682538,0.500122,0.500122,16.940437,6.030712,11.428184,16.809361,6.107636,11.079105,1.774357,88.183431,31.954923,64.536414,208.646852,35.714326,105.889844,23887.871527,37.594027,154.762079,48750.054928,57.957459,108.396112,985.590083,34.461192,70.175518,534.461755,13.471193,26.942386,120.927455,20.676715,52.005071,260.025356,34.147908,72.681786,129.699394,13.471193,27.568953,83.959994,20.676715,54.511340,88.345964,5.325821,11.278208,359.022961
3000,33.098278,59.443278,59.593251,0.732601,0.732601,19.170882,6.653550,16.335397,19.020679,6.708350,16.433086,1.432724,79.484222,32.581490,64.536414,491.855191,36.340893,98.371038,33511.942521,40.100296,161.027750,94303.990966,62.343429,117.168052,800.126215,37.907311,77.694323,546.993098,14.724327,32.581490,296.366249,27.568953,68.922383,307.644457,38.220594,77.694323,138.471334,14.411044,33.208057,97.117904,27.568953,68.922383,110.902381,5.639104,17.543879,441.729821
6000,33.209750,49.256750,62.181190,0.732511,0.732511,20.547948,11.420768,20.605368,20.474824,11.247325,20.737227,1.441475,74.643056,33.208057,62.656712,174.812227,35.087759,80.200592,44579.624164,40.726863,159.774616,187336.677242,70.802085,142.857304,995.615157,40.726863,80.200592,446.742358,16.917312,55.451190,184.837301,33.834625,82.080293,409.148331,40.726863,81.453726,414.160868,16.604029,55.764474,166.040287,33.834625,82.080293,260.025356,12.844626,18.797014,499.373996
8192,32.854838,58.133891,52.123394,0.500031,0.500031,21.721572,11.152430,21.229177,21.821521,11.163064,21.343535,2.492760,75.681519,32.581490,60.777011,191.102972,36.967460,83.333427,96228.805165,38.220594,154.762079,197602.352969,73.934920,158.521482,940.477250,45.739400,85.839696,404.135794,16.917312,57.017608,181.077898,36.027610,85.839696,366.541766,46.052683,86.466263,331.454008,16.604029,57.017608,516.917876,36.340893,85.839696,290.100577,14.097760,19.423581,441.729821
12000,33.360111,50.337694,65.520433,0.732467,0.732467,21.830160,13.112801,23.235745,21.950442,13.065563,23.034743,1.805928,76.778444,33.208057,65.162981,184.837301,35.714326,76.441189,96870.409898,41.353430,159.774616,369552.421396,77.067756,167.293422,1411.655726,46.052683,87.092830,552.005634,19.423581,63.596563,177.318496,37.594027,88.345964,449.248626,45.739400,87.719397,534.461755,19.736864,65.162981,258.772221,37.594027,88.345964,559.524440,14.097760,19.110297,509.399070
16384,33.041799,59.757792,56.217772,0.500015,0.500015,22.730720,12.000720,23.236526,22.766553,12.048886,23.164659,3.668804,68.554199,33.208057,63.283279,238.722073,36.340893,82.080293,200168.771901,39.473729,159.774616,410615.124304,80.827159,222.431328,1075.815748,49.185519,90.852233,572.055782,18.170447,62.656712,171.052824,39.473729,90.225666,564.536977,49.185519,91.478800,582.080856,18.170447,62.343429,456.767432,39.473729,90.225666,544.486829,14.411044,19.423581,356.516692
25000,33.784027,50.567987,76.521360,0.762963,0.762963,22.748717,15.427423,25.175847,22.772985,16.278913,25.021548,2.042804,61.388013,33.834625,68.295816,251.253416,36.340893,77.694323,200168.771901,42.606564,167.293422,795577.964065,83.333427,244.987745,1025.690379,48.245668,90.852233,582.080856,22.556416,70.175518,544.486829,40.726863,92.105367,572.055782,47.932385,90.852233,627.193689,23.182984,70.175518,401.629525,40.726863,91.478800,579.574588,13.784477,19.110297,506.892802
32768,33.774297,60.154800,63.099550,0.500008,0.500008,24.405470,12.615956,24.330895,24.320582,12.836959,24.312316,4.239720,59.795349,34.461192,67.669249,202.381180,36.967460,80.827159,415747.962167,40.100296,182.331033,893101.883471,88.345964,356.516692,890.351880,52.318355,106.516411,639.725032,19.423581,66.729398,143.483871,41.979997,94.611635,4058.275249,52.005071,98.997605,669.800253,19.423581,66.102831,516.917876,41.353430,94.611635,624.687421,13.157910,20.050148,439.223553
45000,34.183181,53.301019,76.912119,0.686656,0.686656,26.393818,13.855004,25.666756,25.814870,14.107922,25.717064,2.803573,59.190807,34.461192,69.548951,186.090435,36.967460,78.320890,413181.543235,41.353430,219.925060,1226736.344598,92.731934,429.198479,1281.329765,52.631638,144.737005,709.900549,21.303282,70.802085,584.587125,42.293281,98.997605,644.737569,52.318355,142.857304,649.750106,21.616566,70.175518,534.461755,42.606564,98.997605,654.762642,13.157910,23.809551,506.892802
60000,35.293450,63.926867,76.278713,0.457767,0.457767,30.115411,12.713102,26.985764,30.060268,12.829868,26.832600,4.551060,61.858128,36.967460,70.802085,421.679673,38.220594,84.586561,846906.342700,36.967460,226.190731,960.527398,108.396112,514.411607,1411.655726,56.077757,201.128046,775.063530,21.929849,70.802085,552.005634,44.799549,143.483871,719.925623,56.077757,182.331033,750.000845,21.303282,70.802085,564.536977,44.799549,147.869841,704.888012,13.157910,25.689252,516.917876
100000,36.583867,53.073857,124.333684,0.762945,0.762945,39.595531,17.979291,35.028859,39.923828,17.956417,34.947480,2.319238,65.033503,36.967460,77.067756,589.599662,38.220594,83.333427,836640.666973,45.112833,276.316101,3305535.679309,147.869841,589.599662,1331.455134,57.957459,371.554303,895.364417,26.942386,104.636709,644.737569,48.245668,218.671926,734.963234,57.330892,354.010424,1020.677842,26.942386,103.383575,639.725032,48.245668,218.671926,910.402028,12.844626,25.689252,516.917876
150000,38.630733,61.573207,122.263127,0.572207,0.572207,60.666954,17.518335,47.664783,60.090696,17.661345,47.089542,3.880381,62.396758,38.847162,91.478800,549.499366,39.473729,97.744471,1786215.671718,40.726863,273.809832,880.326806,202.381180,679.825327,1226.191858,109.022679,549.499366,1015.665305,25.689252,146.616707,734.963234,57.017608,466.792506,910.402028,109.649246,549.499366,975.565009,25.689252,142.857304,724.938160,57.017608,469.298774,990.602620,13.157910,26.942386,519.424144
200000,40.165332,57.348082,170.471401,0.762942,0.762942,67.858707,24.646517,53.289010,63.986135,24.338033,53.154049,2.320640,51.186323,39.473729,122.807156,739.975771,40.726863,114.661783,1775949.995991,43.859699,288.847443,8212528.676801,223.684463,714.913086,1792.608536,118.421186,582.080856,1055.765601,30.075222,223.684463,790.101141,82.080293,509.399070,925.439639,117.168052,562.030708,905.389491,30.075222,223.684463,750.000845,82.080293,509.399070,1020.677842,13.471193,76.441189,612.156078
300000,40.843528,73.462137,158.276886,0.572206,0.572206,86.480468,27.545872,61.367518,76.112873,22.731484,61.339311,3.905154,41.616614,40.100296,139.097901,885.339343,41.979997,152.255811,5707703.799420,36.967460,212.406254,955.514861,273.809832,775.063530,1266.292154,173.559093,639.725032,13221.192841,27.568953,275.062967,810.151289,111.528948,564.536977,950.502324,145.363572,589.599662,1161.028877,27.568953,272.556698,895.364417,110.902381,564.536977,930.452176,16.290745,306.391323,654.762642
400000,42.981854,67.530980,213.002712,0.762941,0.762941,85.544621,34.693452,62.585452,77.938710,26.958727,62.631398,2.441927,43.189893,40.726863,153.508945,810.151289,41.979997,163.534019,5707703.799420,44.486266,359.022961,19874336.302640,285.088041,795.113678,1552.006761,177.318496,624.687421,12739.989292,32.581490,434.211016,1015.665305,113.408649,557.018171,995.615157,149.749542,589.599662,12659.788700,31.954923,273.809832,790.101141,113.408649,557.018171,1030.702916,74.561488,411.654599,659.775179
