element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,36.630208,54.005208,63.247806,0.507937,0.507937,11.627344,7.934505,9.870858,12.346453,8.153189,9.897124,1.461434,172.822917,29.448636,109.022612,140.350948,39.473704,270.050262,364.035272,102.756944,466.792216,1682.331679,36.340871,59.210556,1391.604715,25.062669,30.075203,13060.783556,13.784468,20.989986,54.511306,19.423569,28.195503,63.909807,24.436103,30.701770,12419.179221,15.037602,23.809536,328.947535,18.797002,28.195503,459.273416,2.192984,6.578951,88.345909
110,58.069697,72.787879,66.272146,0.866142,0.866142,12.180753,8.379830,10.872149,12.685050,9.076883,10.845607,1.158916,170.269697,52.631606,140.977515,234.962525,54.511306,306.391133,14103.390600,103.383511,456.767149,10734.967842,39.473704,64.849657,1241.228699,25.689236,36.967437,125.313347,15.664168,25.689236,112.155445,20.989986,35.087737,132.832147,25.062669,35.087737,120.300813,16.917302,26.315803,120.300813,21.303269,35.714304,1361.529511,3.446117,6.578951,87.092776
240,49.322917,93.275000,68.003091,0.469667,0.469667,14.132100,8.568266,11.587119,14.289448,8.642071,11.645565,1.818028,167.450000,45.739372,111.528879,196.115388,52.631606,1176.065758,3557.019345,104.010078,456.767149,7406.645354,43.859671,77.067708,895.363862,31.328337,39.473704,272.556529,16.290735,27.568936,179.824652,21.303269,38.220571,109.649178,30.701770,39.473704,56.704289,16.604018,27.568936,369.047806,21.929836,38.533854,107.769478,4.072684,6.578951,95.864710
500,45.726333,97.661667,69.991185,0.488759,0.488759,14.932566,9.219481,12.246001,14.946837,9.236210,12.217656,1.790608,166.387333,45.739372,105.889778,203.634188,50.751905,369.047806,7366.545083,103.383511,454.260882,16750.008481,51.378472,103.383511,755.012914,33.208037,44.172955,484.336085,17.543869,31.328337,431.704479,22.556402,41.353404,464.285949,33.208037,42.606538,260.025194,18.170435,30.701770,436.717013,22.556402,41.666688,539.473957,4.385967,6.892234,89.599043
800,45.309792,78.146458,70.819335,0.782014,0.782014,17.476515,9.567679,12.583275,17.839897,9.383887,12.717906,1.372609,162.847917,45.739372,103.383511,257.518927,47.619072,145.363482,12018.176511,102.756944,451.754615,63827.726555,61.716823,118.421113,945.489201,38.220571,62.969957,471.804750,18.170435,30.701770,144.110349,23.182969,45.112805,183.584053,37.594004,58.583990,124.060213,18.170435,29.448636,384.085408,23.809536,45.426088,471.804750,5.325817,8.771934,389.097941
1024,44.367839,81.844238,73.382411,0.500244,0.500244,21.967027,9.141603,13.823118,21.964394,9.225034,14.038274,1.733268,164.498047,44.486238,104.636644,193.609121,47.619072,141.604082,16268.805230,102.756944,454.260882,38003.152075,67.982491,123.433646,1261.278834,49.498772,76.441141,469.298483,17.857152,30.075203,411.654344,23.809536,49.498772,471.804750,49.185489,76.441141,569.549161,17.857152,31.328337,429.198212,25.689236,57.957423,145.363482,5.639101,9.711784,182.330919
1500,44.186556,84.562889,95.050096,0.732780,0.732780,26.151388,9.811981,18.654323,26.189169,9.725981,18.643490,1.428996,161.994667,45.112805,94.611577,233.709392,46.992505,120.300813,22765.049121,103.383511,459.273416,108419.227830,75.188008,162.280784,920.426531,62.656673,87.092776,379.072874,18.170435,34.461170,139.724382,31.328337,78.947408,145.990049,63.596523,87.719343,192.355987,18.483719,33.208037,139.097815,32.581470,78.320842,229.949991,5.325817,10.651634,313.909933
2048,43.128418,94.637288,76.792548,0.500122,0.500122,27.259567,10.865640,21.589713,27.633441,10.656788,21.513529,1.814273,160.874837,44.486238,87.092776,288.847264,46.992505,119.047679,33832.723898,103.383511,454.260882,79867.834927,83.333376,156.015117,820.175854,67.982491,92.105310,287.594131,20.676702,44.486238,296.366065,38.220571,92.105310,401.629276,67.982491,93.985010,356.516471,20.676702,44.486238,92.731877,38.220571,91.478743,429.198212,5.952384,17.230585,456.767149
3000,43.499333,79.497333,99.000090,0.732601,0.732601,28.442607,13.986832,25.012175,28.210485,13.901253,24.811678,1.443940,160.453000,44.486238,74.561441,333.960069,45.112805,105.889778,47466.816015,104.010078,456.767149,214283.943089,87.719343,174.812119,1080.827615,69.548907,93.985010,469.298483,28.195503,65.789507,316.416200,42.293254,93.358443,469.298483,69.548907,93.358443,582.080495,28.195503,65.476224,171.052718,42.293254,93.985010,419.173145,9.711784,19.110285,504.386220
6000,43.671639,67.274333,103.596314,0.732511,0.732511,30.156491,19.730529,29.444879,30.177442,19.851705,29.709562,1.512245,174.748111,45.112805,75.814575,224.937457,45.739372,93.358443,72810.187243,104.010078,456.767149,443978.294984,95.864710,252.506394,1176.065758,73.308308,99.624111,441.729547,31.954903,75.814575,541.980224,48.245638,101.503811,371.554073,72.681741,100.250677,552.005292,31.328337,75.814575,456.767149,48.245638,101.503811,491.854886,15.977452,25.689236,514.411288
