element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,23.442708,40.963542,19.494334,0.507937,0.507937,9.209624,6.746582,7.993422,9.391155,6.756909,7.997698,1.799459,31.916667,20.050135,55.137873,102.756944,26.942370,238.721925,271.303396,20.676702,47.619072,820.175854,21.929836,31.328337,369.047806,17.543869,19.423569,384.085408,11.278201,23.809536,97.744410,17.543869,20.676702,114.035145,17.543869,20.050135,159.774517,11.278201,25.062669,96.491277,17.543869,21.303269,27.568936,2.819550,6.578951,15.977452
110,29.831818,38.221212,21.456821,0.866142,0.866142,9.896077,7.072778,8.163718,9.877437,7.075587,8.162748,1.169085,29.106061,25.062669,93.358443,187.343453,25.062669,226.190591,714.912643,21.303269,53.884739,2554.512572,21.929836,29.448636,241.228192,17.543869,26.315803,431.704479,11.591485,23.182969,112.155445,17.543869,21.616552,454.260882,17.543869,26.315803,441.729547,11.591485,21.929836,471.804750,17.543869,21.616552,406.641810,2.192984,9.711784,86.466209
240,26.165278,48.629167,22.515501,0.469667,0.469667,9.312621,6.737987,7.853496,9.313634,6.728141,7.845815,1.678342,25.519444,25.062669,65.162940,241.228192,26.942370,805.138252,2123.434659,21.929836,57.644139,3657.270022,23.182969,33.208037,386.591674,17.230585,20.050135,519.423822,11.278201,25.062669,239.975059,17.543869,23.182969,429.198212,18.170435,21.303269,328.947535,11.278201,25.375953,416.666878,17.543869,23.809536,364.035272,2.506267,6.578951,464.285949
500,23.302333,46.065333,24.485855,0.488759,0.488759,9.504212,6.578777,7.905302,9.501480,6.566224,7.882828,1.789738,24.374000,24.436103,59.523840,122.180513,24.436103,226.190591,4519.425847,20.676702,59.523840,6845.241561,25.689236,46.992505,541.980224,18.170435,22.556402,496.867420,11.278201,24.436103,97.117844,17.857152,25.689236,97.744410,18.170435,22.243119,356.516471,11.278201,25.062669,434.210746,17.543869,25.689236,454.260882,2.506267,6.578951,16.290735
800,23.150833,42.913125,23.299085,0.782014,0.782014,10.060361,6.859285,8.476806,9.992133,6.924407,8.343809,1.389600,23.508333,24.436103,61.403540,247.493860,24.436103,102.130378,6604.639936,21.929836,62.656673,11536.973260,26.315803,34.461170,674.812372,19.110285,29.448636,406.641810,11.591485,29.448636,519.423822,18.797002,28.195503,246.240726,19.423569,34.461170,534.461424,11.904768,26.942370,426.691945,18.797002,26.942370,359.022738,2.192984,8.145368,149.749449
1024,22.511230,46.311523,25.195161,0.500244,0.500244,9.826856,6.948300,8.591783,9.848713,6.862687,8.735210,1.803595,22.777669,24.436103,56.391006,272.556529,24.436103,88.972476,8609.653482,20.676702,62.030107,13782.588432,26.315803,42.606538,529.448890,20.050135,24.436103,524.436356,11.278201,30.075203,414.160611,19.110285,28.195503,519.423822,20.050135,24.749386,187.343453,11.278201,29.448636,85.213076,19.110285,27.568936,97.744410,4.072684,6.578951,96.491277
1500,22.780222,41.218667,32.726187,0.732780,0.732780,10.172543,7.163133,9.249712,10.185423,7.176477,9.310365,1.446702,23.025556,24.436103,53.884739,336.466336,24.436103,80.827109,12018.176511,21.929836,69.548907,20359.032865,28.822070,55.451156,594.611830,20.050135,30.701770,293.859798,11.278201,31.954903,516.917555,19.736852,31.954903,436.717013,20.676702,31.954903,250.000127,11.278201,31.954903,93.985010,19.423569,31.328337,456.767149,4.072684,6.892234,441.729547
2048,22.425212,44.977539,26.112551,0.500122,0.500122,10.127404,6.901881,9.963490,10.167649,7.040040,10.149226,1.765951,22.080404,24.436103,48.245638,188.596587,24.436103,81.453675,13301.385181,21.303269,61.403540,27577.081633,30.075203,52.944889,476.817284,20.676702,25.062669,516.917555,11.278201,29.448636,280.075330,19.736852,31.328337,519.423822,20.989986,26.002519,481.829818,11.278201,29.448636,456.767149,19.423569,31.328337,389.097941,4.072684,6.578951,461.779682
3000,22.603167,37.867778,34.667388,0.732601,0.732601,10.527416,7.976834,11.387107,10.632652,8.062182,11.423711,1.428218,23.112222,24.436103,48.245638,140.977515,24.436103,70.802041,25171.065377,21.929836,70.175474,32549.515228,31.954903,62.969957,544.486491,21.303269,31.954903,494.361153,11.278201,32.581470,521.930089,20.676702,35.087737,306.391133,21.303269,35.714304,469.298483,11.278201,31.954903,90.852176,20.676702,36.967437,399.123009,4.072684,11.591485,97.117844
6000,21.968278,32.129000,35.493953,0.732511,0.732511,12.182604,8.631965,14.440947,12.252914,8.642147,14.385415,1.435234,22.287889,25.062669,47.619072,211.152989,24.436103,63.283240,28058.284884,23.809536,72.055174,71206.176406,38.220571,64.849657,559.524093,24.436103,41.353404,519.423822,11.278201,39.786988,153.508850,22.556402,44.172955,152.255716,24.122819,41.353404,207.393589,11.278201,41.353404,108.396045,22.556402,44.172955,519.423822,4.699250,13.471185,86.466209
