element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,29.125000,47.515625,68.178606,0.507937,0.507937,10.193543,6.444142,8.329313,10.078872,6.908392,8.274826,1.504824,134.802083,23.182973,113.408599,116.541433,28.195508,231.203166,276.315979,109.022631,476.817370,12980.585343,31.328342,44.486246,719.925306,24.749390,27.568941,6083.337505,13.157904,24.122824,110.902332,17.857155,26.315808,116.541433,23.809540,28.195508,92.105326,11.904770,26.315808,37.594011,19.736856,27.568941,28.822075,2.192984,6.578952,88.345925
110,38.340909,51.263636,71.763640,0.866142,0.866142,11.601548,8.339879,9.395570,11.129128,8.369239,9.530149,1.183297,185.718182,34.461177,115.288300,149.749476,36.967444,271.303444,1196.116109,112.782032,471.804835,11536.975331,36.340877,53.884749,1311.404408,27.568941,36.027594,124.060235,14.411037,31.328342,104.010096,24.436107,30.075209,85.213091,27.255658,37.594011,97.744428,14.411037,30.701775,45.112813,23.809540,30.075209,176.065284,3.446118,6.892235,80.200556
240,35.420833,67.171528,74.557589,0.469667,0.469667,12.160383,8.381423,10.240387,12.055426,8.191026,10.200378,1.829423,198.038889,34.461177,107.142931,313.909990,36.340877,1015.664857,3216.167619,112.782032,474.311102,4639.727493,40.100278,81.453690,1050.752600,31.328342,36.967444,384.085476,14.724321,35.714310,426.692022,26.942374,36.967444,97.744428,31.328342,35.714310,107.769497,15.037604,36.967444,83.959957,26.942374,36.654160,376.566674,3.759401,6.578952,87.092792
500,33.807000,70.563333,76.708542,0.488759,0.488759,12.930164,8.963523,10.628431,12.939125,8.942246,10.517926,1.709805,206.758667,33.834610,86.466225,169.799615,34.461177,316.416257,3717.421096,112.155465,471.804835,10734.969768,51.065198,105.263230,855.263744,32.581476,45.112813,544.486589,15.350888,39.473711,111.528899,29.448642,40.726845,104.636663,32.581476,47.619080,451.754696,15.350888,39.473711,82.080257,28.822075,40.100278,454.260963,4.072684,10.964920,196.115423
800,34.031042,57.733333,77.846161,0.782014,0.782014,18.658652,9.212491,11.588083,19.067318,9.252850,11.477615,1.401741,207.642917,34.461177,87.719358,157.268278,34.461177,120.927401,9451.760868,112.155465,471.804835,55807.682383,70.175487,117.168000,845.238675,52.318332,81.453690,172.305883,15.350888,41.666695,125.313369,30.075209,47.619080,118.421134,48.558931,74.561455,945.489370,15.350888,38.847144,291.353583,30.075209,46.679230,110.902332,5.012535,11.278203,379.072942
1024,34.572103,63.011393,80.865220,0.500244,0.500244,23.505402,9.123614,14.846423,23.629735,9.071366,14.792692,1.895003,203.056315,33.834610,72.055187,169.799615,34.461177,119.674268,12499.382006,112.782032,474.311102,26775.081019,78.947423,148.496342,1682.331981,67.982503,92.105326,449.248428,15.350888,42.293262,112.782032,37.594011,74.561455,130.325904,67.982503,94.611594,323.935059,15.350888,42.919829,102.756963,37.594011,73.934888,168.546482,5.325818,12.218053,506.892578
1500,33.960556,58.295333,98.148099,0.732780,0.732780,25.628225,10.687881,20.148182,25.409663,11.241545,20.100565,1.420602,208.246000,33.834610,68.922353,231.203166,34.461177,104.010096,18594.624281,112.782032,481.829904,93662.344936,85.839658,171.052749,1005.639787,74.561455,107.769497,303.884920,20.989989,64.223102,316.416257,56.704300,94.611594,196.115423,74.561455,101.503829,374.060407,21.616556,66.729369,148.496342,54.824599,94.611594,567.042995,5.325818,11.904770,501.880043
2048,33.878988,61.598796,82.751538,0.500122,0.500122,25.641903,12.546426,21.605901,25.590888,12.746917,21.658493,1.848535,205.793783,33.834610,60.776984,178.571551,33.834610,95.864727,25171.069894,112.155465,474.311102,56770.089058,92.105326,168.546482,1045.740066,76.441155,98.370995,619.674610,25.689241,80.827123,141.604107,61.090267,99.624128,318.922524,76.441155,97.744428,234.962567,25.689241,81.453690,451.754696,61.090267,101.503829,316.416257,8.145369,13.471187,516.917648
3000,34.257556,60.085167,101.290470,0.732601,0.732601,26.404674,17.347943,22.826199,26.592583,16.648854,22.857545,1.430611,206.892222,34.461177,66.416086,476.817370,34.461177,92.731893,42654.791158,113.408599,479.323637,169371.670041,95.864727,196.115423,1421.680173,77.694289,108.396064,3617.170400,30.701775,98.997562,2775.064560,66.729369,103.383530,409.148150,77.694289,107.142931,426.692022,30.701775,97.744428,441.729626,67.355936,103.383530,416.666952,10.025070,24.436107,509.398846
6000,34.766944,45.797056,105.483085,0.732511,0.732511,26.868796,17.423380,24.975090,26.961531,17.593906,24.849337,1.506179,241.053889,34.461177,67.669219,579.574332,34.461177,75.188021,40248.774470,114.035166,479.323637,390083.600854,103.383530,348.997733,1562.031146,79.573989,108.396064,3737.471235,32.581476,101.503829,194.862289,70.175487,108.396064,529.448985,79.573989,109.022631,592.105669,32.581476,100.877262,275.062845,70.802054,108.396064,404.135616,16.917305,27.568941,516.917648
8192,35.027852,54.522054,106.066499,0.500031,0.500031,27.915786,16.041840,25.214349,27.914868,16.172197,25.700547,2.512413,252.051188,34.461177,67.042652,451.754696,34.461177,77.694289,86604.695985,113.408599,486.842439,338755.244851,119.674268,564.536728,1301.379339,84.586524,107.769497,597.118204,32.581476,103.383530,376.566674,72.681754,110.275765,389.098011,84.586524,108.396064,587.093134,31.954909,102.756963,307.644321,72.681754,110.275765,609.649541,17.230588,28.195508,519.423915
12000,35.426083,48.160833,124.975682,0.732467,0.732467,28.706646,18.390883,26.965831,28.842177,18.374973,26.731562,1.790921,290.075056,35.087743,70.175487,186.090353,35.087743,74.561455,86604.695985,114.035166,491.854974,790444.777679,162.280813,572.055530,1301.379339,84.586524,145.363508,659.774889,34.147893,105.889797,597.118204,75.814588,115.914866,654.762354,85.213091,143.483808,714.912771,34.461177,107.769497,466.792300,75.814588,117.168000,594.611937,17.230588,27.882225,521.930183
16384,36.671071,57.196635,128.782365,0.500015,0.500015,31.872329,16.335785,27.158010,31.431348,16.387589,27.125083,3.681584,328.201009,35.714310,72.055187,396.616813,35.087743,80.200556,183486.967941,112.782032,496.867509,975226.859291,182.330952,654.762354,1411.655103,87.719358,202.381091,709.900236,33.208043,104.636663,572.055530,75.814588,118.421134,649.749819,87.719358,211.153027,4118.423877,33.208043,104.636663,587.093134,75.814588,135.338439,649.749819,17.543872,28.195508,519.423915
25000,36.906600,50.455613,192.679810,0.762963,0.762963,62.554192,20.704071,43.027649,62.279972,20.625975,43.644520,1.982076,384.089453,35.714310,75.188021,471.804835,35.714310,79.573989,184770.176842,114.661733,524.436450,2012059.650556,228.696899,669.799958,13461.788681,156.015145,582.080600,995.614718,36.340877,114.661733,654.762354,94.611594,484.336172,1090.852878,157.268278,584.586867,1191.103574,36.340877,115.914866,639.724750,94.611594,479.323637,925.439231,17.230588,28.195508,521.930183
32768,38.889297,60.393585,156.073566,0.500008,0.500008,70.192248,18.551251,48.156254,70.042370,18.307081,48.764808,4.142060,420.296641,36.340877,77.694289,539.474054,35.714310,84.586524,379817.929654,113.408599,516.917648,2607468.580193,251.253305,704.887701,12739.983674,199.874824,617.168343,12579.582562,36.967444,176.065284,12419.181449,101.503829,529.448985,1050.752600,202.381091,617.168343,12739.983674,37.907294,313.909990,12499.382006,101.503829,526.942717,1035.714996,17.543872,28.822075,604.637006
45000,39.941067,55.150641,196.505363,0.686656,0.686656,86.896932,30.733271,62.414355,86.691894,30.851687,61.970940,2.787498,445.156385,36.340877,88.972492,544.486589,35.714310,92.731893,408048.525455,114.035166,539.474054,3962537.178678,295.112984,734.962910,13622.189793,219.924963,644.737284,13301.387568,46.992513,436.717091,12499.382006,120.300834,592.105669,1201.128643,219.924963,644.737284,6404.139730,47.619080,436.717091,12419.181449,130.325904,592.105669,12820.184231,17.543872,28.195508,521.930183
60000,43.591247,68.318264,178.658360,0.457767,0.457767,102.960431,38.293204,74.885520,102.729256,38.425139,74.904664,4.496719,454.626422,39.473711,124.686802,649.749819,36.340877,120.300834,862304.476084,110.902332,489.348707,930.451766,311.403722,755.013049,1176.065969,270.050311,669.799958,12980.585343,95.238161,461.779765,13140.986456,158.521412,644.737284,12659.783118,270.050311,669.799958,13461.788681,95.238161,461.779765,12739.983674,158.521412,644.737284,13221.187012,17.543872,29.448642,589.599402
100000,46.467470,61.628287,286.919184,0.762945,0.762945,113.744526,54.815866,87.650558,113.817670,54.801104,87.602237,2.270878,467.399507,40.100278,153.508877,592.105669,37.594011,145.363508,975226.859291,63.909818,544.486589,10019283.187058,359.022803,805.138397,13862.791462,283.834781,704.887701,12980.585343,102.756963,534.461519,12499.382006,217.418695,669.799958,12900.384787,283.834781,704.887701,13381.588125,102.756963,534.461519,5642.234446,217.418695,664.787423,12739.983674,17.543872,80.827123,546.992856
150000,49.210704,83.089913,214.160703,0.572207,0.572207,114.919235,54.789243,89.686753,112.048821,54.500651,88.968138,3.780182,277.290120,43.233112,159.774546,950.501905,41.353412,186.090353,3634035.700258,36.340877,439.223359,865.288814,379.072942,815.163466,1226.191317,286.341049,714.912771,12499.382006,102.756963,526.942717,12980.585343,203.634225,679.825028,6283.838896,280.075380,704.887701,14023.192575,102.756963,524.436450,12579.582562,203.634225,684.837562,12900.384787,18.170439,233.709433,617.168343
200000,51.316750,76.524493,311.747086,0.762942,0.762942,115.930572,62.040850,90.788753,109.474954,60.579155,92.395265,2.295238,135.417330,43.233112,177.318417,6003.136949,42.606546,213.659294,3592973.015455,39.473711,491.854974,20367079.757306,389.098011,840.226140,14103.393131,283.834781,709.900236,1151.003296,105.889797,559.524193,12739.983674,206.140492,669.799958,12659.783118,223.684364,679.825028,13301.387568,105.889797,541.980322,12579.582562,207.393626,674.812493,12739.983674,27.568941,401.629348,664.787423
300000,52.648910,113.941877,232.918927,0.572206,0.572206,126.094673,60.214456,99.169107,125.978582,55.243134,93.814128,3.816173,53.350191,44.486246,218.671829,1030.702461,43.859679,246.240770,12893671.123238,34.461177,311.403722,1070.802739,401.629348,850.251210,1266.291595,278.822246,719.925306,13461.788681,107.769497,534.461519,13381.588125,226.190631,714.912771,1181.078504,275.062845,709.900236,13381.588125,105.889797,526.942717,985.589648,217.418695,694.862632,6043.237227,78.320856,429.198289,679.825028
400000,54.695806,100.181287,310.560270,0.762941,0.762941,125.214181,64.078244,93.432090,118.441352,58.124144,95.194230,2.304624,55.111628,44.486246,229.950032,960.526975,43.859679,270.050311,12811545.753633,40.100278,501.880043,37449156.635176,396.616813,860.276279,14424.195356,278.822246,714.912771,13622.189793,109.022631,562.030461,5882.836115,216.165562,679.825028,13060.785899,267.544043,689.850097,13381.588125,105.889797,544.486589,13301.387568,221.178097,704.887701,12338.980893,78.320856,431.704557,679.825028
600000,55.748796,143.082696,239.324701,0.572205,0.572205,128.831224,62.020739,94.797528,127.795369,55.841290,94.955773,3.808792,56.074153,46.365947,246.240770,6243.738618,44.486246,311.403722,33507138.894129,35.714310,316.416257,880.326418,404.135616,865.288814,1361.529756,282.581647,704.887701,13301.387568,110.275765,534.461519,12739.983674,227.443765,709.900236,12820.184231,306.391188,739.975445,13702.390350,104.636663,526.942717,1040.727531,224.937498,704.887701,1090.852878,78.947423,434.210824,669.799958
800000,58.034008,122.978914,297.256500,0.762940,0.762940,134.693160,67.134088,106.238933,135.255491,63.057965,104.660989,2.333292,58.301776,46.365947,280.075380,1226.191317,45.739380,323.935059,32521634.458868,43.859679,536.967787,77197835.524067,416.666952,885.338953,13301.387568,293.859851,734.962910,13140.986456,111.528899,577.068065,13301.387568,282.581647,734.962910,13140.986456,338.972664,760.025584,12820.184231,109.649198,567.042995,1181.078504,272.556578,719.925306,12820.184231,80.200556,436.717091,669.799958
1200000,58.816336,161.089362,254.372008,0.572205,0.572205,142.720871,66.292663,98.370440,132.678581,63.174629,101.519864,3.793630,59.195407,48.872214,297.619252,13381.588125,46.992513,359.022803,73584319.261440,37.594011,336.466396,13301.387568,459.273498,890.351488,6604.641121,343.985198,770.050653,13622.189793,111.528899,539.474054,12980.585343,271.303444,689.850097,12820.184231,341.478931,765.038119,13060.785899,110.275765,536.967787,12338.980893,277.569113,719.925306,1110.903018,82.080257,441.729626,664.787423
2200000,64.694418,191.045135,276.112575,0.524521,0.524521,149.153990,70.351371,113.604048,145.141947,69.254570,110.484099,4.192500,64.809005,53.258182,366.541605,1281.329200,49.498781,409.148150,149796662.255016,43.859679,459.273498,920.426696,474.311102,920.426696,13862.791462,359.022803,795.113327,14183.593687,114.035166,546.992856,1070.802739,291.353583,750.000514,13140.986456,307.644321,760.025584,12739.983674,114.035166,549.499124,12820.184231,295.112984,775.063188,12659.783118,87.092792,436.717091,674.812493
3100000,68.378399,155.536506,341.453457,0.739098,0.739098,155.778622,76.224907,114.916946,153.023394,75.169429,118.328347,2.456836,68.730880,53.884749,394.110546,12739.983674,50.751915,429.198289,162936721.391839,53.884749,599.624471,321931436.947401,481.829904,960.526975,13702.390350,369.047872,820.176001,14183.593687,115.914866,644.737284,12419.181449,298.872385,780.075723,13381.588125,351.504000,790.100792,13301.387568,115.914866,644.737284,12659.783118,291.353583,734.962910,12900.384787,87.719358,434.210824,674.812493
