element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,30.072917,51.375000,68.397892,0.500000,0.500000,9.699671,6.946887,8.354052,9.351115,6.985363,8.323773,0.381010,25571.000000,31.328343,80.200559,90.225629,36.967445,217.418703,283.834791,103.383533,456.767246,6564.541071,40.726846,76.441158,12338.981322,21.303273,28.195509,12980.585794,14.097755,19.423573,12499.382440,16.917305,23.182974,176.065290,20.050140,26.315808,439.223374,14.411038,20.050140,12659.783558,17.543872,23.182974,130.325908,0.939850,1.879701,5.012535
110,26.087879,58.943939,65.607486,0.429688,0.859375,12.049642,7.120571,8.156196,9.521515,7.782436,8.423918,0.278870,15250.548485,30.075210,54.511317,88.972495,37.594012,602.130760,965.539543,103.383533,459.273514,2233.710883,38.220579,74.561457,689.850121,22.556407,33.208044,379.072955,16.604022,19.423573,118.421138,18.483723,23.809541,288.847326,22.243124,25.689242,123.433673,16.917305,25.689242,12419.181881,18.170439,24.436108,333.960140,0.313283,1.253134,3.132834
240,27.773611,53.534028,67.909241,0.468750,0.468750,12.967277,7.633550,9.252014,13.273142,7.667630,9.176718,0.241364,7036.337500,32.581477,57.017585,95.864731,37.594012,426.692037,1612.156550,105.263234,459.273514,12419.181881,42.919830,80.827126,965.539543,26.942375,38.847146,119.047705,16.917305,33.521327,71.428623,21.303273,31.328343,12258.780763,26.315808,37.280729,132.205609,16.917305,31.954910,127.819641,20.676707,30.075210,218.671837,0.939850,1.566417,3.759401
500,29.644667,56.352000,69.588689,0.488281,0.488281,15.932593,7.995840,10.190082,15.751906,7.946355,10.286698,0.229615,3306.708667,33.208044,56.391018,126.566507,40.100280,307.644332,3516.919827,106.516367,461.779781,12579.582999,51.065200,90.852196,734.962936,30.701777,41.979980,313.910001,18.170439,26.315808,406.641897,24.436108,34.461178,451.754711,30.701777,41.353413,106.516367,18.170439,26.315808,137.844711,23.809541,34.461178,12499.382440,0.939850,1.879701,75.188024
800,30.726875,49.925000,92.721177,0.781250,0.781250,13.793317,9.150051,10.608628,14.230617,9.107666,10.779102,0.233454,2197.404583,35.087745,67.669222,110.902336,41.353413,241.228244,3356.518709,114.035170,469.298584,5321.432406,70.802056,132.832176,724.937866,31.954910,43.233114,489.348724,18.797006,33.834611,511.905131,25.062675,37.280729,130.325908,31.328343,41.979980,466.792316,18.797006,33.834611,16910.413187,25.689242,39.473713,524.436468,0.939850,1.879701,369.047885
1024,27.077474,53.482096,69.724026,0.500000,0.500000,18.137829,8.231418,11.092950,18.132427,8.260790,11.328328,0.233887,1756.315104,31.328343,54.511317,97.117864,38.847146,171.052755,6805.142748,105.263234,461.779781,12419.181881,61.403553,100.877266,765.038145,39.473713,61.090270,321.428803,18.483723,31.328343,123.433673,26.942375,42.606547,369.047885,39.473713,60.463703,501.880061,18.797006,31.954910,127.819641,27.255659,44.486248,429.198304,0.939850,3.759401,11.591487
1500,30.029000,51.469556,90.946343,0.732422,0.732422,23.708310,9.944043,15.074309,23.727660,10.037379,15.085022,0.233054,1222.213111,35.714311,62.030120,97.117864,41.353413,99.624132,7166.045264,112.782036,469.298584,7406.646941,77.067725,139.724411,790.100820,55.137884,77.067725,366.541617,19.736856,38.220579,369.047885,35.714311,65.476238,176.065290,54.511317,76.441158,444.235909,19.736856,38.220579,122.807106,35.087745,65.789521,446.742177,0.626567,1.253134,36.654162
2048,27.513021,54.044515,71.885262,0.500000,0.500000,25.298345,9.922225,18.271553,25.112077,10.002494,18.515285,0.230230,943.849772,33.834611,59.523852,98.370998,40.100280,83.959960,14905.399211,105.889801,461.779781,8689.855885,74.561457,124.060240,12499.382440,59.210569,82.080260,391.604292,23.182974,39.786996,444.235909,41.666697,75.814591,374.060420,58.897286,81.453693,151.002615,23.182974,39.473713,326.441338,41.979980,74.561457,139.097845,0.939850,1.879701,346.491478
3000,32.097278,53.204389,92.960424,0.732422,0.732422,28.239891,14.482438,20.422755,27.992164,14.424422,20.452694,0.229259,669.080667,36.967445,68.922355,108.396068,42.606547,87.092795,16750.012069,112.782036,469.298584,12338.981322,85.213094,157.268284,800.125890,63.909820,86.466228,469.298584,30.701777,51.065200,308.897466,48.558932,81.453693,381.579222,62.969970,85.213094,419.173234,30.701777,51.065200,459.273514,49.185499,82.706827,426.692037,0.626567,1.253134,12258.780763
6000,31.756167,52.100389,97.206928,0.732422,0.732422,30.391524,15.790234,23.303867,30.175927,15.680008,23.165553,0.228265,390.478722,36.967445,66.416088,333.960140,41.353413,77.694292,33351.527790,112.782036,469.298584,23406.658469,90.852196,206.140499,775.063215,67.982505,90.852196,546.992875,32.581477,54.511317,263.784651,53.571467,86.466228,444.235909,67.355938,90.852196,454.260979,32.581477,55.137884,619.674632,53.571467,88.345928,509.398863,0.939850,1.879701,12499.382440
