element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,5.546875,12.942708,14.742413,0.500000,0.500000,2.635298,2.604722,2.601285,2.607115,2.609574,2.620543,0.381010,10.250000,7.205518,15.350886,21.616554,7.832085,118.734405,203.947487,17.230586,42.293258,414.473924,17.857153,46.992508,143.797076,8.145368,9.085218,137.531408,7.518801,9.085218,71.115329,8.458652,9.711785,81.766965,8.458652,9.398502,245.300894,8.145368,9.711785,301.691904,8.145368,9.085218,15.350886,0.626567,0.939850,7.832085
110,4.263636,16.165152,12.425714,0.429688,0.859375,2.025202,2.939835,2.311567,2.646419,2.954082,2.752326,0.267204,13.978788,7.205518,19.110287,39.160424,8.458652,191.416151,429.511527,11.591485,41.666691,1076.128443,17.543870,44.486241,115.601571,8.458652,10.025068,284.148034,7.518801,9.085218,89.912333,8.458652,9.711785,82.393531,8.771935,11.278202,326.754575,8.145368,11.278202,519.737143,8.145368,10.964919,79.260698,0.626567,1.566417,74.248163
240,5.047222,15.736806,13.509757,0.468750,0.468750,2.149993,3.044891,2.359242,2.149834,3.032703,2.358795,0.241649,5.251389,7.205518,29.135355,63.596528,8.458652,213.972555,1111.216183,12.218052,41.666691,572.368753,17.543870,45.426091,150.062744,8.458652,10.338352,80.513831,7.518801,15.977453,467.105534,8.458652,10.338352,97.431134,8.771935,10.651635,319.235774,8.145368,15.977453,472.118068,8.145368,10.025068,81.140398,0.626567,1.566417,2.506267
500,4.933667,14.373000,14.362639,0.488281,0.488281,2.120037,2.928682,2.361209,2.120369,2.940602,2.360461,0.229260,4.854000,7.832085,24.749388,42.293258,8.458652,90.538900,1873.121386,16.604020,42.293258,1582.394401,17.857153,46.052658,146.303343,8.458652,10.651635,507.205808,7.832085,15.664169,354.323514,8.458652,10.651635,28.508788,8.458652,10.651635,444.549130,8.458652,16.604020,252.819695,8.458652,10.338352,386.904986,0.626567,1.566417,78.634131
800,6.035833,12.985208,28.000345,0.781250,0.781250,2.591272,2.893045,2.771174,2.591495,2.897444,2.768646,0.225752,6.257917,7.832085,34.774456,80.513831,8.458652,60.463694,1913.221660,25.375955,68.609062,1101.191114,30.388489,76.754430,432.017794,8.771935,10.964919,321.742041,8.145368,16.290736,80.513831,8.771935,11.591485,416.980192,8.771935,11.278202,270.363565,8.458652,16.917303,41.040124,8.458652,11.591485,82.393531,0.626567,1.566417,4.072684
1024,4.922689,14.820964,14.851979,0.500000,0.500000,2.170632,2.874569,2.370795,2.120247,2.856453,2.377721,0.224780,4.695638,7.832085,24.122821,91.792033,8.458652,68.609062,3637.533437,16.604020,42.293258,1853.071249,18.797003,47.932359,562.343684,8.458652,12.531336,527.255945,7.832085,15.350886,89.912333,8.458652,12.218052,381.892452,8.458652,13.784469,87.406066,8.145368,15.977453,29.761922,8.458652,12.844619,82.393531,0.626567,1.566417,334.273377
1500,6.589778,14.083778,25.655707,0.732422,0.732422,2.530691,2.849559,2.659719,2.522342,2.868143,2.661748,0.223363,8.478000,7.832085,31.641622,93.671733,9.085218,52.944893,3697.683847,23.496254,59.837127,2675.126864,28.508788,66.729362,447.055397,9.085218,12.531336,414.473924,8.145368,19.736854,82.393531,8.771935,12.531336,504.699541,9.085218,12.531336,447.055397,7.518801,16.917303,406.955123,8.145368,12.218052,336.779644,0.626567,1.566417,75.501297
2048,5.456136,16.830078,15.184104,0.500000,0.500000,2.267637,2.901401,2.481356,2.263777,2.926115,2.479863,0.222525,6.121582,7.832085,24.749388,249.060295,9.085218,46.679225,7727.761371,17.230586,42.919824,3316.731246,19.736854,49.498776,517.230876,10.651635,14.724319,354.323514,7.832085,15.350886,33.521323,9.398502,15.664169,504.699541,10.025068,14.724319,84.899799,8.145368,15.977453,191.416151,9.711785,15.350886,351.817247,0.626567,1.566417,4.072684
3000,6.562944,18.425611,25.830737,0.732422,0.732422,2.753418,3.868817,2.838764,2.740813,3.844995,2.832540,0.221786,10.379667,8.458652,36.654157,95.551434,14.097753,56.704294,7848.062193,24.122821,61.716828,4259.087681,29.135355,69.235629,487.155671,11.904769,22.869687,532.268479,8.145368,22.243121,131.265740,9.398502,14.097753,341.792178,11.904769,22.869687,92.418600,8.145368,22.869687,54.824593,9.398502,14.724319,90.538900,0.626567,3.132834,101.190535
6000,8.633139,19.983000,26.971521,0.732422,0.732422,2.998473,4.866588,3.139099,3.015012,4.883673,3.178833,0.221033,10.361611,9.711785,36.027590,91.792033,14.724319,50.438626,14825.509846,24.749388,61.716828,6645.053977,30.388489,71.115329,534.774746,15.664169,29.135355,514.724609,9.085218,26.002521,381.892452,11.278202,21.616554,96.178001,15.350886,29.135355,519.737143,9.711785,26.629088,47.932359,10.964919,21.616554,88.032632,0.626567,1.566417,3.446117
