element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,4.645833,13.369792,13.768605,0.500000,0.500000,1.850615,2.428091,2.251894,1.825959,2.366642,2.236136,0.442244,9.656250,5.952386,13.471189,17.230591,6.578953,152.569050,775.376590,14.724323,39.787001,584.900240,15.350890,43.546402,90.538923,5.952386,7.205520,84.899821,5.325819,6.578953,94.924892,5.639102,7.205520,20.989993,6.265669,7.205520,81.140419,5.639102,6.578953,13.784473,5.639102,7.205520,77.381017,1.253134,2.192984,2.192984
110,3.860606,14.842424,11.356918,0.429688,0.859375,1.547944,2.339873,1.969634,1.865111,2.259211,2.030950,0.286996,13.354545,5.952386,17.230591,29.761930,6.578953,223.997681,339.285999,10.338355,39.160434,720.238699,14.097756,41.040135,444.549245,6.265669,10.964921,98.684293,5.325819,12.531339,79.260718,5.639102,7.205520,87.406088,6.265669,8.145370,150.062782,5.639102,13.157906,89.912356,5.952386,7.832087,81.140419,0.626567,1.253134,2.192984
240,3.868750,13.245139,12.780461,0.468750,0.468750,2.036958,2.161323,1.835699,1.596617,2.164423,1.849466,0.249473,7.112500,5.952386,18.483725,37.907300,6.578953,151.315916,835.527016,10.338355,39.787001,925.752656,15.037607,41.666702,321.742124,6.265669,8.458654,166.353523,5.325819,11.278205,334.273463,5.639102,7.205520,79.260718,6.265669,7.205520,119.987569,5.325819,11.904772,202.694405,5.639102,7.205520,80.513852,0.939850,1.566417,2.192984
500,4.012667,12.778000,13.318714,0.488281,0.488281,1.606622,2.204540,1.932438,1.617888,2.217706,1.932435,0.233832,6.480000,5.952386,18.483725,42.293269,6.578953,91.165490,1432.018744,14.724323,39.787001,1256.580001,15.350890,43.546402,239.035288,5.952386,7.518803,434.524174,5.325819,10.964921,439.536709,5.639102,7.205520,272.869903,6.265669,7.518803,447.055513,5.639102,11.278205,364.348676,5.639102,7.205520,98.057726,0.626567,1.566417,72.995049
800,5.043750,11.592083,26.245658,0.781250,0.781250,1.934245,2.344191,2.104325,1.967633,2.577913,2.132680,0.229153,7.148333,5.952386,29.761930,64.849678,7.205520,61.090277,1582.394810,22.869693,69.235647,1652.570307,27.255662,78.007584,524.749813,6.265669,8.458654,452.068048,5.639102,16.604024,91.792057,5.952386,8.145370,145.050247,6.265669,8.771937,39.160434,5.639102,13.784473,364.348676,5.952386,8.145370,36.027599,0.626567,1.566417,276.629305
1024,4.254557,14.592285,13.735325,0.500000,0.500000,1.689359,2.279499,1.887302,1.663723,2.274436,1.882000,0.227289,4.235026,5.952386,19.110292,57.330875,6.578953,52.944907,2815.478550,14.724323,40.413568,1853.071729,16.604024,44.486253,467.105655,6.265669,10.338355,78.634151,5.325819,11.591488,262.844832,5.952386,9.398504,80.513852,6.265669,11.904772,507.205939,5.639102,11.904772,116.854735,5.639102,9.085221,250.313493,0.626567,1.566417,4.385969
1500,4.775444,12.827111,23.928931,0.732422,0.732422,1.925564,2.441314,2.072763,1.937110,2.425041,2.049830,0.225125,7.947778,5.952386,27.882229,49.185505,10.338355,44.799536,2915.729261,21.616559,59.210576,2354.325282,26.629095,65.789529,474.624458,6.265669,10.651638,424.499103,5.639102,17.230591,252.819761,5.952386,10.025071,449.561780,6.578953,12.531339,432.017906,5.639102,17.543874,110.589065,5.952386,10.025071,78.634151,0.626567,1.566417,4.699252
2048,3.981852,14.885824,14.019346,0.500000,0.500000,1.784524,2.304027,1.992903,1.782605,2.305550,2.036005,0.224207,5.149414,6.578953,21.616559,47.305804,11.591488,47.932371,6123.752000,15.350890,41.040135,3657.584519,18.170441,46.052670,394.423889,8.145370,14.097756,502.193403,5.639102,12.218055,225.250815,6.578953,11.591488,452.068048,8.145370,14.097756,160.087853,5.639102,12.218055,94.924892,6.578953,11.591488,162.594121,0.626567,1.566417,269.110501
3000,5.177500,17.365222,24.593133,0.732422,0.732422,2.112195,3.409711,2.190795,2.100488,3.294909,2.194425,0.223963,8.377556,6.578953,29.761930,58.584009,12.218055,47.932371,6364.353705,21.616559,61.716844,4198.938357,27.882229,69.862214,527.256081,8.458654,16.290740,497.180868,5.639102,19.110292,504.699671,7.205520,11.904772,329.260928,8.458654,16.290740,504.699671,5.639102,19.110292,112.468766,7.205520,12.218055,79.887285,0.626567,3.759402,140.664278
6000,6.238222,17.422389,25.461442,0.732422,0.732422,5.970795,3.581763,5.204089,5.288067,3.686322,2.302055,0.223019,9.395611,7.832087,32.268197,93.671758,13.471189,44.799536,12339.296057,22.243126,61.090277,8088.665928,28.508796,70.488781,517.231010,10.651638,21.616559,399.436425,6.265669,20.363426,414.474032,8.145370,19.423575,50.751922,10.651638,21.616559,221.491414,6.578953,20.363426,86.152954,8.458654,20.363426,49.812072,1.253134,2.192984,201.441272
8192,4.673564,19.770447,15.220456,0.500000,0.500000,3.927272,2.525040,4.180637,3.905697,2.540544,3.900089,0.222636,5.841471,7.832087,25.375961,56.704308,13.471189,45.426103,25010.985876,16.604024,42.293269,8249.067065,22.869693,50.125355,529.762349,11.278205,23.496260,98.057726,6.892236,14.097756,514.724742,10.651638,19.423575,83.020120,11.278205,21.616559,351.817337,6.578953,14.097756,88.032655,10.338355,18.483725,88.032655,1.253134,2.192984,12.844622
12000,7.806778,19.110181,27.216466,0.732422,0.732422,8.930374,4.346112,5.452812,8.620366,4.238266,5.291396,0.222093,9.476361,8.458654,34.147898,64.223111,13.471189,44.172969,26614.997245,22.869693,62.343411,11938.293214,32.268197,74.874749,517.231010,14.411040,31.015064,207.706941,6.892236,24.749394,138.784577,12.844622,29.135363,213.972610,15.037607,32.894764,81.140419,6.892236,24.749394,76.754450,12.844622,29.135363,54.198040,0.939850,1.566417,10.338355
16384,5.434753,20.481120,16.659814,0.500000,0.500000,5.333544,2.622028,6.399364,5.302482,2.618377,6.406493,0.221848,6.675761,8.458654,30.388497,76.127883,13.471189,46.052670,50354.365514,18.483725,46.052670,14183.909132,32.268197,58.270726,527.256081,18.170441,34.147898,447.055513,6.892236,15.350890,91.792057,14.724323,32.268197,61.403560,17.857158,33.834615,57.644159,6.892236,15.350890,44.486253,14.724323,32.268197,57.644159,0.939850,1.879701,37.280733
25000,9.231833,20.486373,32.060293,0.762939,0.762939,11.948809,5.849255,9.133021,11.956429,5.891551,9.578291,0.221583,10.308773,9.085221,42.293269,109.962498,14.724323,49.185505,56128.806444,26.002528,71.115348,25331.788150,40.413568,89.285789,547.306223,21.616559,41.040135,163.847255,7.205520,31.641631,80.513852,16.290740,35.401032,70.488781,21.616559,41.666702,86.152954,7.205520,31.641631,75.501316,16.290740,34.774465,68.295797,1.253134,2.192984,11.904772
32768,6.534587,22.662374,17.797350,0.500000,0.500000,6.628677,3.042908,7.904466,6.629571,3.023115,7.873400,0.221526,7.003794,13.471189,36.654166,78.634151,15.350890,49.812072,114194.018020,19.736859,48.558938,32870.641586,39.160434,63.283261,582.393972,24.122827,41.040135,394.423889,8.458654,21.616559,62.030127,18.797008,37.280733,61.403560,24.122827,40.726851,78.007584,8.458654,20.989993,59.210576,18.483725,37.594016,67.042663,0.626567,1.879701,14.724323
45000,9.053311,22.237507,28.528540,0.686646,0.686646,11.820408,5.089176,9.601017,11.797948,5.084963,9.619973,0.221277,10.105430,14.724323,44.172969,111.215632,16.604024,51.691773,121251.668046,26.002528,61.716844,42655.110940,42.293269,79.887285,532.268617,26.629095,48.558938,379.386283,8.458654,34.147898,93.671758,21.303276,41.353418,331.767195,26.629095,48.558938,93.045191,8.771937,34.147898,82.393553,21.303276,41.666702,91.792057,0.626567,1.566417,11.904772
60000,6.293794,25.437172,16.873013,0.457764,0.457764,6.613030,3.235339,8.476529,6.605948,3.232114,8.422032,0.221287,7.116572,15.977457,38.533867,93.045191,17.857158,56.077741,255347.018536,20.363426,49.812072,63186.456470,41.666702,67.042663,537.281152,27.255662,45.112820,414.474032,14.724323,23.496260,93.045191,22.869693,40.413568,195.175602,27.255662,45.426103,83.646687,14.724323,22.869693,69.235647,22.869693,40.413568,346.804802,0.626567,1.566417,12.844622
100000,11.631837,24.329400,37.082428,0.762939,0.762939,15.060204,8.710831,12.663039,15.110393,8.699712,12.540291,0.221226,12.479977,16.604024,58.584009,316.729589,20.363426,64.849678,268179.109492,29.761930,79.260718,118043.645307,48.245654,112.468766,640.038130,31.641631,52.631623,386.905086,15.664174,41.979985,110.589065,24.749394,47.619088,507.205939,31.641631,52.631623,389.411354,15.664174,41.979985,102.443695,24.749394,47.619088,374.373747,0.626567,1.566417,12.531339
