element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,7.020833,15.156250,13.608846,0.500000,0.500000,1.664811,2.404700,1.898410,1.665785,2.412357,1.909583,0.442244,8.875000,5.952386,20.989993,30.388497,7.832087,103.070262,196.428736,14.724323,39.787001,406.955228,15.350890,43.546402,202.694405,5.952386,7.518803,92.418624,5.325819,6.578953,42.919835,5.639102,7.205520,41.979985,6.265669,7.205520,80.513852,5.325819,6.578953,12.844622,5.639102,7.205520,12.844622,1.253134,2.192984,2.506268
110,4.148485,17.080303,11.387152,0.429688,0.859375,1.594975,2.162315,1.911740,2.084375,2.331082,2.322534,0.286997,12.581818,5.952386,17.857158,24.749394,7.205520,182.644263,399.436425,9.711788,39.160434,680.138415,12.531339,40.413568,87.406088,5.952386,7.518803,381.892551,5.325819,6.578953,51.691773,5.639102,7.205520,81.766986,6.578953,8.458654,414.474032,5.639102,7.205520,78.007584,6.265669,8.458654,36.027599,1.253134,2.192984,10.338355
240,4.279167,13.015972,12.757832,0.468750,0.468750,1.649957,2.115905,1.875344,1.619187,2.116732,1.844592,0.249474,8.043056,5.952386,22.869693,32.894764,6.578953,167.606657,975.878011,10.964921,39.787001,700.188557,15.037607,42.606552,255.326029,6.265669,7.205520,421.992835,5.325819,6.578953,507.205939,5.639102,7.205520,18.483725,6.265669,7.205520,145.050247,5.325819,6.578953,16.604024,5.952386,7.205520,502.193403,0.939850,1.566417,37.280733
500,4.383667,13.717333,13.192067,0.488281,0.488281,1.695544,2.629337,1.904959,1.720935,2.677385,1.917513,0.233833,7.892667,5.952386,23.496260,63.596545,7.205520,86.779521,1742.795947,14.724323,40.413568,1432.018744,15.350890,42.919835,427.005370,6.265669,11.904772,374.373747,5.639102,13.157906,80.513852,5.952386,8.145370,76.754450,6.265669,7.832087,262.844832,5.325819,12.844622,23.496260,5.639102,7.832087,81.140419,1.253134,2.192984,76.754450
800,7.003125,15.377917,26.540303,0.781250,0.781250,2.906510,3.002389,2.951592,2.915929,3.002533,2.989106,0.229150,11.647083,6.578953,35.401032,57.330875,11.591488,69.235647,2444.550921,22.869693,69.235647,1762.846089,27.882229,78.007584,517.231010,6.892236,10.651638,462.093119,5.639102,14.411040,78.634151,6.265669,10.651638,421.992835,6.892236,10.651638,47.305804,5.639102,13.471189,83.646687,6.265669,10.651638,147.556515,1.253134,2.192984,257.832296
1024,4.858887,18.187500,13.695799,0.500000,0.500000,1.896211,2.492810,2.019758,1.894031,2.437928,2.010263,0.227303,5.835612,5.952386,24.749394,57.957442,10.964921,64.849678,4259.088783,15.350890,41.040135,1682.645521,16.604024,44.799536,517.231010,6.265669,9.711788,78.007584,5.639102,16.917307,464.599387,5.952386,10.025071,79.887285,6.265669,11.904772,421.992835,5.639102,16.917307,77.381017,5.952386,9.398504,140.664278,1.253134,2.192984,4.072685
1500,5.526111,12.976222,23.914537,0.732422,0.732422,2.092209,2.441145,2.209105,2.080079,2.416470,2.225808,0.225139,8.526444,5.952386,31.015064,54.198040,11.591488,48.558938,3637.534377,21.616559,59.837143,2855.578835,26.629095,66.416096,517.231010,6.578953,11.591488,98.057726,5.639102,15.664174,267.857367,6.265669,10.025071,82.393553,6.578953,12.844622,429.511638,5.639102,15.664174,249.060359,6.265669,10.025071,374.373747,1.253134,2.192984,4.072685
2048,4.232666,16.332438,14.257630,0.500000,0.500000,2.719341,2.429848,2.689962,1.837916,2.343445,1.972000,0.224210,6.047363,6.578953,22.869693,51.065206,11.591488,49.812072,6324.253421,15.350890,41.040135,3276.631819,17.857158,45.426103,509.712207,9.711788,24.122827,427.005370,5.639102,12.844622,262.844832,6.892236,17.857158,509.712207,8.145370,14.097756,497.180868,5.639102,12.844622,406.955228,6.892236,11.591488,81.140419,0.626567,1.253134,364.348676
3000,5.095500,17.194667,24.414072,0.732422,0.732422,2.077498,3.204973,2.249952,2.112372,3.208989,2.245152,0.222234,8.518111,7.205520,29.761930,53.571473,11.591488,50.438639,6324.253421,21.616559,60.463710,4599.941199,27.255662,68.295797,519.737278,8.458654,16.290740,454.574316,5.325819,18.170441,356.829873,6.892236,11.904772,384.398818,8.771937,16.917307,78.634151,5.639102,18.797008,123.746971,7.205520,12.218055,95.551459,0.626567,3.759402,396.930157
6000,7.019056,19.075389,25.367635,0.732422,0.732422,6.417756,4.108801,2.403532,6.619482,4.158380,2.379922,0.221932,9.538556,7.832087,34.147898,76.127883,13.471189,46.679237,13462.104015,22.243126,61.716844,7046.058537,29.135363,70.488781,492.168332,10.964921,25.375961,246.554091,6.578953,24.122827,406.955228,9.398504,20.989993,469.611922,10.651638,22.556410,349.311070,6.578953,23.496260,190.163067,9.711788,20.989993,48.245654,1.253134,2.192984,252.819761
