element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,14.531250,33.197917,27.113682,0.500000,0.500000,7.969896,6.962764,7.169004,7.903702,6.937228,7.171029,0.442246,15.395833,16.917305,37.594011,233.709438,22.556407,159.774549,181.077822,23.809541,47.619081,1582.081314,33.834610,66.102803,449.248436,15.037605,20.676706,286.341054,11.904770,18.483722,166.040217,13.784471,17.857155,479.323646,15.037605,21.929840,384.085483,11.591487,18.483722,20.050139,13.784471,18.170439,80.827125,0.939850,1.879701,1.879701
110,10.983333,35.409091,24.210639,0.429688,0.859375,7.785858,6.765286,7.220168,9.148088,7.399588,8.402250,0.287000,26.678788,16.917305,36.340878,171.052752,19.423573,328.947600,604.637017,22.556407,47.619081,2354.011681,28.195509,63.596536,296.366123,15.037605,21.929840,501.880052,11.591487,18.170439,466.792308,13.784471,20.676706,379.072948,15.977455,18.483722,124.060238,12.218054,16.290738,46.365947,14.411038,18.797006,92.105328,0.313283,1.253134,92.731895
240,11.470833,33.478472,25.816463,0.468750,0.468750,7.854675,6.957887,7.297265,7.847274,6.953216,7.239909,0.249477,10.179167,16.917305,36.340878,182.330955,19.423573,328.947600,1241.228944,24.436107,48.245648,2855.265167,33.208043,64.849670,434.210832,15.037605,26.942375,499.373785,11.591487,18.170439,404.135623,13.784471,20.050139,401.629355,15.037605,26.942375,356.516542,11.591487,18.797006,85.839659,13.784471,19.423573,92.731895,0.313283,1.566417,54.824600
500,11.373333,34.222333,27.037649,0.488281,0.488281,8.162732,7.159539,7.414949,8.242318,7.168393,7.381113,0.233838,10.813333,17.543872,41.979979,212.406164,18.797006,223.684368,2714.914191,22.556407,46.992514,3256.267955,35.087744,66.102803,446.742169,15.350888,28.822075,474.311111,11.591487,21.303273,489.348715,14.411038,23.182974,439.223367,15.350888,28.195509,38.847145,11.904770,20.676706,424.185762,14.097754,20.989990,145.990078,0.313283,1.566417,75.188023
800,13.924375,30.702500,41.758252,0.781250,0.781250,9.004378,7.480233,8.167338,8.958316,7.119636,8.095942,0.229156,16.176250,18.170439,52.005049,104.010098,20.050139,167.293351,2714.914191,29.448642,75.188023,5401.632873,50.438632,96.491296,499.373785,17.230589,25.689241,516.917657,12.218054,25.375958,509.398855,14.724321,24.436107,459.273506,17.543872,25.375958,237.468839,11.591487,23.182974,117.168002,14.724321,25.062674,391.604286,0.313283,1.566417,57.330867
1024,11.645182,33.773275,28.211753,0.500000,0.500000,9.265134,6.832152,7.753921,9.198577,6.832096,7.687997,0.227294,11.496419,18.170439,37.594011,109.022633,23.809541,151.002613,5682.334825,23.809541,49.498782,4699.877994,37.594011,69.548921,604.637017,19.423573,31.954910,514.411390,11.591487,18.170439,371.554146,14.724321,26.942375,446.742169,19.736856,31.328343,90.225627,11.591487,18.483722,283.834786,14.724321,26.942375,145.363511,0.313283,3.446118,100.877264
1500,14.535889,33.875000,39.656601,0.732422,0.732422,9.371820,7.901030,8.473386,9.351094,7.458094,8.741303,0.225128,16.919333,18.797006,50.125349,476.817378,23.809541,72.681755,5963.036777,28.195509,68.922354,6283.839008,49.185498,88.972494,496.867518,19.736856,29.448642,198.621694,11.904770,25.062674,429.198297,15.664171,28.822075,386.591751,19.423573,29.448642,356.516542,11.904770,25.062674,59.523851,16.917305,28.822075,95.864729,0.939850,1.879701,3.759401
2048,12.017171,38.638835,28.591820,0.500000,0.500000,10.299947,7.031714,8.537564,10.294315,7.029121,8.076766,0.222683,12.795410,18.797006,41.353413,117.794569,25.062674,74.561456,12820.184459,24.436107,49.498782,7446.747094,38.847145,72.055189,536.967796,21.616557,35.087744,399.123088,11.904770,20.676706,444.235902,16.290738,28.822075,374.060414,21.303273,35.714311,414.160692,11.591487,20.050139,386.591751,16.604022,28.822075,271.303449,0.939850,1.879701,313.909995
3000,15.301778,34.385167,40.621913,0.732422,0.732422,10.546426,8.177673,9.146005,10.762787,8.236130,9.070709,0.223966,16.533222,20.050139,52.631616,181.077822,25.062674,64.536386,12499.382228,28.195509,68.295787,10975.571632,50.438632,90.225627,509.398855,22.556407,34.461177,486.842448,12.218054,29.448642,69.548921,18.170439,32.581477,466.792308,22.556407,35.087744,469.298576,12.218054,29.448642,396.616820,18.170439,33.834610,519.423924,0.939850,1.879701,406.641890
6000,16.008222,37.378556,42.169729,0.732422,0.732422,15.879596,9.539766,13.343184,16.055055,9.195169,12.139924,0.223021,16.748778,22.556407,51.378482,129.699339,26.315808,69.548921,27897.889303,30.701776,72.681755,18354.022939,54.198033,93.985029,765.038132,25.062674,42.606546,446.742169,13.157904,31.328343,115.288302,20.989990,40.100279,104.636665,25.689241,43.233113,77.694290,13.157904,31.954910,100.250697,21.303273,40.100279,68.922354,0.939850,1.879701,9.398503
