element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,47.281250,91.250000,74.115738,0.500000,0.500000,12.022848,9.525079,10.867987,12.191801,9.510448,10.741439,0.682052,27737.635417,45.112801,102.130368,105.889768,53.258167,526.942573,557.017773,117.794535,476.817239,6203.636639,31.328334,52.005034,13060.782318,20.050134,25.062667,421.679372,18.483717,27.568934,12900.381250,19.423567,28.195500,80.827101,20.676700,26.942367,300.125437,18.483717,27.568934,90.852168,21.616550,27.568934,266.290836,2.506267,3.759400,12579.579113
110,34.186364,85.459091,73.242489,0.429688,0.859375,13.163030,9.857070,11.342367,13.451747,11.609062,12.535496,0.718901,16404.981818,30.075200,91.478734,597.118040,48.872201,875.313644,1612.156052,115.288268,474.310972,12820.180716,34.774450,58.897267,775.062976,21.929834,39.786984,179.824635,19.423567,28.195500,115.288268,23.809534,28.195500,12338.977510,21.929834,35.087734,88.345901,25.062667,33.521317,396.616705,25.062667,32.581467,98.997534,2.506267,7.832083,12419.178044
240,32.900694,81.483333,75.632666,0.468750,0.468750,15.505339,10.746373,12.614092,15.514671,10.643230,12.459786,0.677591,3920.309722,29.448634,93.358434,211.152969,45.739367,1622.181119,2955.515001,117.794535,476.817239,870.301110,38.847134,77.067701,12579.579113,27.568934,49.498767,356.516437,20.676700,34.461167,119.047668,26.629084,35.714300,12419.178044,27.568934,44.799517,331.453771,20.676700,36.967434,459.273372,26.942367,36.340867,431.704438,2.506267,8.145367,15.037600
500,32.299333,70.970667,77.949888,0.488281,0.488281,17.169660,11.910167,13.363794,17.336701,11.791829,13.719683,0.667036,1912.597333,30.075200,80.200534,302.631704,45.739367,343.985104,6404.137974,119.674235,481.829772,760.025375,48.245634,92.105301,1090.852579,29.448634,56.704284,521.930039,22.869684,40.726834,359.022704,29.448634,40.100267,506.892439,30.075200,56.704284,113.408568,22.556400,40.726834,12499.378579,29.448634,41.353400,12258.776976,2.506267,8.458650,12499.378579
800,36.919167,68.890417,91.380029,0.781250,0.781250,19.785233,13.920131,15.854134,19.121815,13.662875,16.871046,0.608586,1237.830833,41.979967,82.706801,454.260839,45.112801,140.350935,6123.436104,133.458702,494.361106,12659.779647,58.270701,114.035135,6364.037707,33.208034,61.403534,489.348572,31.328334,46.992501,228.696836,31.954900,49.498767,364.035238,33.834600,62.969951,202.381036,31.328334,46.052651,101.503801,32.581467,52.318317,371.554038,2.506267,8.458650,24.436100
1024,32.240560,70.586914,81.624136,0.500000,0.500000,24.621245,13.783379,17.689596,24.982137,14.177402,17.816018,0.660082,999.659505,29.448634,87.719334,172.305835,45.739367,136.591535,13221.183387,121.553935,484.336039,965.539245,63.283234,129.072735,12900.381250,46.992501,82.706801,526.942573,28.195500,48.872201,132.832135,36.340867,64.849651,182.330902,46.992501,82.080234,333.960037,27.882217,48.245634,454.260839,36.654150,66.102784,414.160571,3.132833,8.458650,12739.980181
1500,35.435111,61.175556,94.986744,0.732422,0.732422,29.704238,22.253870,24.564253,29.813310,22.176456,25.131843,0.607179,728.052889,31.328334,78.947401,316.416170,45.739367,105.263201,13622.186058,137.218102,496.867372,890.351244,72.681734,146.616602,12499.378579,61.716817,104.636635,300.125437,45.112801,78.947401,233.709369,54.511301,92.731868,496.867372,61.090251,103.383501,364.035238,44.486234,79.573968,287.594103,54.824584,91.478734,277.569037,2.819550,8.458650,12338.977510
2048,31.545085,68.200602,86.721391,0.500000,0.500000,31.326170,23.704441,27.795724,31.130499,23.198900,27.703080,0.657657,566.894694,30.701767,80.827101,168.546435,45.739367,91.478734,27416.677952,125.313335,491.854839,13301.383921,77.694268,154.761968,1226.190981,66.416067,112.155435,321.428704,44.486234,87.719334,456.767105,60.776967,105.889768,361.528971,66.729351,114.035135,389.097905,44.486234,87.719334,278.822170,61.403534,108.396035,419.173105,3.132833,8.458650,12419.178044
3000,36.653278,62.967278,100.216876,0.732422,0.732422,34.036179,27.102720,33.825833,34.184987,27.030487,34.076101,0.602753,430.755333,35.714300,81.453668,496.867372,46.992501,85.213068,29662.292911,144.110335,499.373639,1040.727245,83.959934,174.812102,12900.381250,69.548901,124.686768,429.198172,59.210551,93.985001,132.205568,67.982484,119.674235,546.992706,69.548901,126.566468,286.340970,59.837117,93.358434,173.558969,67.355917,119.674235,285.087837,2.819550,8.458650,23.182967
6000,38.630694,65.918778,106.514099,0.732422,0.732422,37.577122,29.040999,40.666792,37.710912,29.124132,40.936345,0.601979,283.012444,34.461167,90.225601,446.742039,48.872201,92.105301,63186.116234,148.496302,509.398706,1441.729917,92.731868,273.809637,965.539245,72.055168,143.483768,499.373639,65.162934,99.624101,486.842306,72.055168,128.446168,509.398706,72.055168,144.110335,567.042840,65.476217,98.997534,499.373639,72.055168,128.446168,592.105507,2.819550,8.458650,12338.977510
8192,33.752380,77.826823,101.938856,0.500000,0.500000,34.985859,27.542829,39.338380,35.027177,27.614837,39.284491,0.653849,237.996948,30.075200,87.719334,217.418636,49.498767,93.358434,131516.971428,127.819601,504.386173,790.100576,95.238134,416.666838,13060.782318,72.055168,135.338402,577.067907,46.992501,95.864701,511.904973,70.802034,125.313335,569.549107,72.681734,135.338402,579.574173,46.992501,96.491268,436.716972,71.428601,128.446168,544.486440,3.132833,11.904767,39.160417
