element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,8.671875,26.005208,8.620331,0.500000,0.500000,2.881815,2.379306,2.657460,3.089516,2.398323,2.657452,0.730840,13.656250,14.097754,27.882225,34.147894,16.604022,235.275855,262.844797,12.218054,31.015059,401.942640,9.085219,19.423573,91.165478,9.085219,14.411038,73.621606,5.325818,13.471187,69.235638,8.145369,14.411038,85.526376,9.398503,14.411038,93.045178,5.639102,13.157904,20.989990,8.145369,14.097754,19.736856,2.506267,3.446118,8.771936
110,5.804545,23.857576,7.660983,0.429688,0.859375,2.110972,1.845604,1.957846,2.614837,3.018089,2.636641,0.671088,15.669697,9.711786,22.869690,158.834699,12.844621,344.298489,775.376487,10.338353,31.015059,371.867431,8.771936,19.110289,484.649465,6.265669,9.711786,25.375958,5.639102,10.025070,75.501306,5.952385,10.025070,33.208044,8.145369,14.097754,38.533862,7.832086,14.411038,344.298489,8.145369,13.784471,42.919830,2.506267,3.759401,90.538911
240,4.891667,17.998611,8.173040,0.468750,0.468750,1.760294,1.747331,1.699023,1.763228,1.721970,1.700476,0.708197,4.288889,7.832086,17.857155,86.779510,10.964920,260.338530,1121.241393,12.844621,31.015059,434.524116,8.771936,19.423573,389.411303,5.325818,7.205519,42.293263,5.325818,6.892235,437.030384,5.325818,7.205519,97.431146,5.012535,6.892235,295.426274,5.639102,7.205519,281.641803,5.325818,7.205519,381.892500,2.506267,7.205519,75.501306
500,2.054333,12.933667,8.359053,0.488281,0.488281,1.534990,1.625568,1.626122,1.534876,1.564023,1.625865,0.688846,2.321333,7.832086,10.964920,80.513841,10.964920,88.659210,1822.996275,12.844621,30.388493,454.574256,10.651637,19.736856,404.448907,4.385968,5.325818,447.055454,5.325818,6.578952,80.513841,5.325818,6.578952,212.719448,4.699251,5.639102,11.278203,5.012535,6.578952,406.955175,5.325818,6.578952,12.844621,2.506267,7.205519,74.248173
800,4.237500,11.293958,10.162973,0.781250,0.781250,1.718305,1.683512,1.694879,1.710850,1.810192,1.693022,0.610737,3.590000,7.832086,22.869690,272.869867,9.085219,36.027594,1762.845856,14.724321,29.761926,514.724674,13.471187,24.122824,524.749744,5.012535,10.651637,79.260708,5.639102,10.651637,3176.380689,5.325818,7.205519,1126.253928,5.012535,10.964920,472.118128,5.639102,9.711786,366.854896,5.639102,7.205519,437.030384,2.506267,7.518802,8.771936
1024,3.193197,13.288411,8.789039,0.500000,0.500000,1.741666,1.645522,1.642195,1.740714,1.595512,1.640960,0.673788,3.192057,8.458653,17.230589,88.659210,9.085219,31.641626,3056.079852,13.471187,29.761926,509.712139,12.218054,22.243123,514.724674,5.639102,12.531337,507.205872,5.639102,11.278203,427.005314,5.325818,8.458653,447.055454,5.325818,12.531337,78.007574,5.325818,11.904770,341.792221,5.325818,8.458653,76.754440,2.506267,7.832086,439.536651
1500,3.258444,10.865444,10.294404,0.732422,0.732422,1.738170,1.784726,1.714840,1.790464,1.685010,1.701774,0.614830,3.445778,7.832086,17.857155,97.431146,9.711786,27.882225,3116.230271,14.097754,30.388493,512.218407,14.097754,25.689241,534.774814,5.325818,12.531337,396.930105,5.639102,11.278203,100.563981,5.639102,10.964920,424.499047,5.639102,12.531337,389.411303,5.639102,11.278203,439.536651,5.639102,10.964920,287.907471,2.506267,7.832086,152.569030
2048,2.178955,11.711019,9.160669,0.500000,0.500000,1.541648,1.892786,1.709361,1.541196,2.110081,1.676502,0.662297,2.423340,9.085219,10.964920,91.165478,9.085219,25.375958,5281.645334,14.097754,32.894760,437.030384,13.471187,25.062674,507.205872,6.578952,7.518802,391.917570,5.639102,14.724321,504.699605,6.265669,12.531337,502.193337,6.265669,7.518802,509.712139,5.639102,14.097754,166.353501,6.265669,12.218054,369.361163,2.506267,7.518802,160.087832
3000,3.976611,12.905500,10.621855,0.732422,0.732422,1.800410,1.877476,1.896000,1.792543,1.877852,1.778989,0.610515,4.300222,9.085219,23.496257,95.551446,11.591487,27.882225,6564.854260,15.350888,32.894760,429.511581,15.350888,27.882225,587.406430,6.265669,14.411038,411.967709,6.578952,15.350888,79.887274,6.265669,13.471187,381.892500,6.578952,14.724321,504.699605,6.265669,15.037605,502.193337,6.265669,13.471187,442.042919,2.506267,7.832086,381.892500
6000,6.549833,17.051028,11.155602,0.732422,0.732422,3.817601,2.699854,3.469257,3.078623,2.556412,3.078120,0.609191,7.185000,12.844621,24.749391,221.491384,13.471187,28.508792,22765.366953,15.350888,34.774461,544.799883,16.917305,30.388493,524.749744,7.518802,20.676706,502.193337,9.398503,22.869690,449.561721,7.518802,18.483722,499.687070,7.832086,20.989990,3437.032502,9.085219,21.616557,444.549186,8.145369,20.050139,396.930105,2.506267,7.832086,344.298489
8192,7.293457,21.519491,10.242455,0.500000,0.500000,7.870785,4.638547,6.399233,7.828321,4.597912,6.379079,0.658771,7.956828,13.471187,25.375958,103.696815,14.097754,27.882225,47146.336551,14.724321,36.654161,442.042919,18.483722,34.774461,329.260884,10.964920,22.243123,507.205872,10.025070,25.375958,89.285777,10.025070,20.989990,87.406077,10.964920,22.243123,35.401028,10.025070,26.629091,37.280728,10.025070,20.989990,86.152943,2.506267,7.832086,11.904770
12000,10.153972,21.796583,12.400888,0.732422,0.732422,11.394728,9.307369,9.884401,11.631085,9.253156,9.593340,0.609858,10.555917,15.977455,31.015059,96.804580,16.604022,32.268193,60620.030276,16.604022,39.160429,534.774814,20.989990,40.726846,524.749744,13.157904,27.255658,78.007574,13.471187,28.508792,49.812065,13.157904,26.002525,86.779510,13.471187,27.882225,41.040129,13.471187,28.508792,55.451167,13.784471,26.629091,43.546397,2.506267,7.832086,311.717012
16384,8.290843,26.386312,11.512833,0.500000,0.500000,9.008426,8.175940,10.618581,8.986886,8.136536,9.728050,0.665353,8.498393,15.350888,32.268193,101.817115,17.857155,33.521327,107777.958314,14.724321,42.919830,522.243477,26.629091,44.172964,517.230942,15.977455,29.761926,160.087832,10.651637,33.521327,55.137884,13.784471,29.448642,50.751916,15.977455,29.761926,44.172964,10.338353,33.521327,259.085396,13.784471,29.135359,48.872215,2.506267,7.832086,16.604022
25000,7.613620,19.623740,14.230118,0.762939,0.762939,7.912755,8.664583,12.114270,7.902649,8.607915,11.340860,0.604903,7.850120,14.724321,32.894760,96.178013,15.977455,34.147894,94304.264589,19.736856,48.558932,389.411303,29.135359,52.005049,514.724674,15.037605,31.015059,44.799530,14.097754,31.015059,83.020109,15.664171,32.268193,57.017584,15.037605,31.015059,3036.029713,14.097754,31.015059,48.872215,15.037605,32.268193,105.576516,2.506267,7.832086,16.604022
32768,4.724075,22.151148,12.158743,0.500000,0.500000,4.204094,6.838020,9.733279,4.157225,6.832128,9.862619,0.667940,4.733643,9.711786,27.255658,94.298312,15.350888,33.521327,153331.875194,15.977455,46.052664,477.130663,29.761926,47.932365,514.724674,15.350888,24.749391,41.666696,10.651637,30.388493,91.792045,15.037605,30.388493,84.899809,15.350888,24.749391,37.280728,10.338353,30.388493,45.426097,15.037605,30.388493,76.754440,2.819551,7.832086,18.483722
45000,5.266141,17.343100,14.102056,0.686646,0.686646,3.581120,5.831274,9.227968,3.595647,6.006282,9.256417,0.619361,5.326059,9.711786,36.027594,99.937414,14.724321,37.907295,133442.136838,19.736856,49.812065,439.536651,31.641626,54.198033,519.737209,15.350888,31.641626,467.105593,14.724321,32.268193,371.867431,15.664171,35.087744,52.631616,15.037605,31.641626,88.032644,14.097754,31.015059,339.285954,15.664171,35.087744,93.045178,2.506267,7.832086,17.857155
