element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,3.942708,19.036458,7.540651,0.500000,0.500000,1.640259,1.905072,1.664219,1.639072,1.905058,1.626103,0.727367,8.135417,5.639103,20.050144,23.182979,6.892237,92.731914,135.965037,10.651639,27.568948,501.880159,5.952386,16.290742,69.548936,3.759402,5.639103,77.067740,3.759402,5.012536,145.990109,4.072685,5.325819,75.188039,3.446118,5.639103,38.847153,4.072685,5.012536,39.473720,4.072685,5.325819,3557.020800,1.566417,2.819551,8.458654
110,4.037879,18.828788,6.784919,0.429688,0.859375,1.484391,1.817041,1.546288,1.458813,1.959605,1.808339,0.768488,13.342424,5.639103,21.303278,164.787118,6.892237,209.899942,614.662217,10.651639,27.568948,451.754800,5.639103,16.290742,328.947670,3.446118,5.952386,501.880159,4.072685,5.325819,77.067740,3.759402,5.325819,135.965037,3.446118,6.892237,75.814606,4.385969,6.578953,88.345946,4.072685,6.578953,30.075216,2.192984,7.205520,8.458654
240,4.018750,14.059722,7.171760,0.468750,0.468750,1.395992,1.946880,1.689848,1.383684,1.946788,1.636542,0.692834,3.841667,5.639103,21.929845,95.864749,6.892237,169.799654,915.414372,10.651639,27.568948,449.248532,5.952386,16.290742,379.073029,3.446118,6.265670,81.453709,4.072685,6.578953,338.972741,3.759402,6.578953,149.749511,3.446118,5.952386,301.378722,3.759402,6.265670,80.200575,3.759402,6.578953,494.361355,2.192984,7.205520,419.173316
500,3.535667,12.292667,7.224297,0.488281,0.488281,1.481879,1.877851,1.668863,1.402448,1.877670,1.615114,0.679289,3.041333,5.639103,20.050144,241.228291,6.892237,93.985048,1832.708445,10.651639,27.568948,454.261068,6.578953,16.604025,280.075444,3.759402,6.265670,287.594248,4.072685,5.952386,501.880159,3.759402,6.265670,459.273603,3.759402,6.265670,318.922598,3.759402,5.952386,396.616904,3.759402,6.578953,22.556412,2.192984,7.518804,449.248532
800,4.255000,10.137500,8.833283,0.781250,0.781250,1.480147,2.017067,1.813200,1.501739,2.046462,1.811023,0.609737,4.039167,7.518804,21.929845,163.533984,6.892237,48.245658,1973.059451,11.904773,27.568948,496.867623,10.025072,21.303278,163.533984,3.759402,6.892237,501.880159,4.385969,8.771938,439.223460,4.072685,7.832087,78.947441,3.446118,6.892237,429.198388,4.385969,10.338355,292.606784,4.072685,7.518804,501.880159,2.192984,7.205520,8.145371
1024,3.592936,12.148763,7.671224,0.500000,0.500000,1.526249,1.952127,1.690697,1.465864,1.983843,1.697723,0.673767,3.846029,7.518804,20.050144,100.250718,6.892237,36.340885,3416.669795,11.904773,27.568948,456.767335,9.085221,20.050144,451.754800,3.446118,7.832087,484.336283,4.072685,8.771938,511.905231,3.759402,8.145371,714.912935,3.446118,7.832087,441.729728,3.759402,10.338355,531.955374,3.759402,8.145371,77.694307,2.192984,7.518804,504.386427
1500,4.151333,10.002111,9.033019,0.732422,0.732422,1.477878,2.028983,1.833722,1.473972,2.056766,1.826731,0.613033,4.566889,7.518804,22.556412,251.253363,8.145371,28.195515,8208.654132,12.531340,27.568948,514.411499,10.964922,23.809546,461.779871,4.385969,9.398505,323.935134,4.385969,11.278206,481.830015,4.385969,10.964922,439.223460,3.759402,9.085221,471.804943,4.072685,11.278206,359.022885,4.385969,10.964922,504.386427,2.192984,7.205520,221.178147
2048,3.404053,13.799072,8.239237,0.500000,0.500000,1.975792,1.999790,1.673890,1.838178,2.098734,1.653448,0.669106,4.609538,7.518804,22.556412,521.930302,8.771938,25.062680,12739.986601,12.531340,29.448649,627.193557,10.338355,23.182979,471.804943,5.012536,10.338355,521.930302,4.072685,13.157907,94.611615,4.385969,10.651639,501.880159,5.012536,10.651639,399.123172,4.072685,13.157907,414.160780,4.385969,10.651639,242.481425,2.192984,7.518804,3236.218502
3000,4.027278,12.288722,9.400207,0.732422,0.732422,4.189641,2.078474,1.928210,2.407849,2.287369,1.829749,0.612529,5.887889,8.145371,23.182979,526.942838,9.398505,25.062680,12820.187176,12.531340,30.075216,476.817479,12.531340,26.629097,536.967910,5.325819,16.917309,514.411499,6.265670,18.170443,446.742264,4.699252,12.531340,406.641976,5.012536,13.784474,81.453709,6.578953,18.170443,401.629440,4.699252,12.531340,100.250718,2.192984,7.518804,79.574008
6000,4.451167,13.917111,10.155387,0.732422,0.732422,3.419703,2.187887,4.801783,3.461145,2.187885,4.723372,0.610543,6.199889,8.771938,25.062680,108.396089,11.278206,26.315814,22444.256138,12.531340,32.581483,514.411499,14.097757,31.328349,441.729728,5.325819,19.736860,80.827142,8.145371,23.182979,519.424034,7.205520,20.050144,356.516617,5.325819,20.363427,401.629440,8.145371,23.809546,359.022885,6.892237,19.423577,72.681771,2.192984,7.518804,244.987693
8192,4.760234,17.812256,9.360736,0.500000,0.500000,3.019665,4.493605,4.173285,3.069011,5.017951,4.309367,0.665742,5.025391,8.145371,25.689247,840.226333,11.904773,29.448649,39125.975671,12.531340,35.087751,504.386427,16.917309,34.461184,516.917766,6.578953,21.929845,409.148244,8.458654,25.062680,436.717192,8.458654,22.556412,85.839678,6.578953,21.303278,376.566761,8.458654,24.436113,379.073029,8.458654,22.556412,57.957447,2.192984,7.518804,229.950085
12000,5.731903,15.145542,11.290875,0.732422,0.732422,4.375610,4.449515,7.672982,4.341447,4.458181,7.650093,0.610998,6.433222,10.025072,28.822082,444.235996,11.904773,30.701782,39927.981418,15.037608,36.967452,509.398963,19.423577,40.726854,384.085565,9.085221,26.942381,79.574008,8.771938,29.448649,140.977573,10.338355,27.568948,77.067740,8.458654,26.942381,63.596549,8.771938,29.448649,261.278435,10.651639,27.568948,156.015180,2.192984,7.518804,16.917309
16384,5.391642,18.901662,10.248678,0.500000,0.500000,3.911009,5.415423,7.585319,3.838746,5.378339,8.118022,0.664386,5.363912,8.145371,30.701782,1291.354566,11.904773,32.581483,75697.437725,13.157907,40.100287,506.892695,23.809546,42.293272,516.917766,12.531340,27.568948,326.441402,8.771938,29.448649,55.764462,11.904773,29.448649,70.175503,12.218056,27.568948,69.548936,8.771938,29.448649,62.343415,11.904773,29.448649,78.947441,2.192984,7.518804,21.303278
25000,6.851720,15.639280,13.011356,0.762939,0.762939,5.416222,6.469347,9.984566,5.451004,6.460623,9.999720,0.604751,7.135360,11.904773,33.834617,102.756986,12.531340,35.714318,77622.251518,16.917309,45.739390,519.424034,26.942381,50.438643,519.424034,12.844623,34.461184,77.694307,13.157907,35.714318,414.160780,13.784474,36.340885,97.117883,13.157907,34.461184,68.922369,13.157907,35.714318,72.055204,13.784474,36.340885,74.561472,2.192984,7.832087,17.230592
32768,5.412150,18.519847,11.181216,0.500000,0.500000,4.302118,6.896284,9.489799,4.291198,6.925956,9.019189,0.665206,5.704915,8.145371,33.834617,288.847382,12.531340,37.594019,152048.384821,13.784474,43.233122,451.754800,27.568948,45.739390,531.955374,14.097757,30.701782,333.960206,9.085221,31.954916,202.381138,14.097757,34.461184,83.959977,14.097757,31.328349,62.969982,9.085221,32.581483,153.508912,14.097757,34.461184,172.305922,2.192984,7.832087,15.664175
45000,6.865800,16.330981,13.112687,0.686646,0.686646,5.340964,7.192975,10.577523,5.365623,7.135152,10.641654,0.618121,7.082415,11.904773,37.594019,110.275790,13.157907,39.473720,153331.594016,17.543876,47.619091,519.424034,29.448649,53.258194,524.436570,14.411041,36.340885,369.047957,14.411041,37.594019,93.358481,17.230592,38.847153,95.864749,14.411041,36.340885,82.706843,14.411041,37.280736,280.075444,16.917309,38.847153,273.809774,2.192984,7.518804,16.290742
60000,5.517933,20.034742,10.899708,0.457764,0.457764,4.256351,7.211651,9.173548,4.280488,6.861975,9.166112,0.679259,5.617867,8.145371,35.087751,110.275790,13.784474,40.726854,311807.929584,13.784474,43.859689,519.424034,29.448649,48.872225,587.093269,14.724324,31.328349,446.742264,9.085221,33.208050,411.654512,15.350891,35.714318,281.328578,15.037608,31.954916,73.934905,9.398505,33.208050,421.679584,15.350891,36.027602,389.098101,2.192984,7.832087,17.857159
100000,7.848933,16.752390,14.215820,0.762939,0.762939,5.914022,7.615828,11.316769,5.971207,7.671461,11.269343,0.604602,7.833020,13.157907,41.353421,114.035192,15.664175,43.859689,307958.301999,20.676711,51.378493,534.461642,32.581483,66.102817,597.118341,15.977458,41.353421,526.942838,16.290742,41.353421,461.779871,19.423577,43.233122,449.248532,16.290742,41.353421,83.959977,16.290742,41.353421,509.398963,19.423577,43.233122,506.892695,2.192984,7.518804,19.423577
150000,6.809320,19.410362,13.624122,0.572205,0.572205,5.018733,8.067900,10.585991,5.016746,8.116641,10.488921,0.643766,7.093329,9.398505,38.220586,333.960206,15.664175,46.992524,626194.182330,18.170443,62.030132,689.850256,32.894767,100.877285,609.649681,15.977458,36.967452,519.424034,15.037608,38.220586,519.424034,18.797010,40.726854,524.436570,15.977458,36.967452,516.917766,15.037608,38.220586,534.461642,18.797010,40.726854,519.424034,2.192984,7.518804,376.566761
200000,8.053945,19.318977,16.032533,0.762939,0.762939,5.978872,7.830572,11.471132,6.030630,7.835507,11.441437,0.604666,8.351715,13.157907,41.979988,421.679584,16.917309,50.751926,631327.019109,21.303278,76.441173,599.624609,35.714318,108.396089,689.850256,16.917309,42.606555,3897.873243,17.230592,42.919839,526.942838,20.050144,45.112823,559.524322,16.917309,42.606555,815.163654,16.917309,42.919839,544.486714,20.050144,44.799540,524.436570,2.192984,7.205520,17.857159
