element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,26.244792,51.307292,33.651709,0.500000,0.500000,5.720791,3.598043,4.580387,5.755166,3.567421,4.715184,0.726947,1139.135417,22.556404,89.599050,123.433656,27.568938,278.822219,298.872356,37.594007,214.912407,604.636946,22.556404,41.353408,526.942665,11.591485,17.230587,47.305792,8.771935,13.157902,361.529034,10.651635,14.724319,56.704294,11.904769,15.664170,451.754651,8.458652,14.724319,414.160644,10.025069,15.664170,21.303271,2.506267,3.759401,77.067714
110,24.848485,59.578788,31.786278,0.429688,0.859375,6.180374,3.607586,4.878976,6.342569,4.055492,5.192846,0.734680,2508.339394,24.436105,74.561447,308.897424,30.701772,599.624412,875.313797,35.087740,142.857227,674.812426,23.809538,45.739375,524.436398,12.531336,18.170437,444.235850,8.458652,13.157902,105.263220,10.964919,17.543870,479.323589,12.844619,19.423570,484.336124,9.711785,15.037603,87.719350,11.591485,18.170437,89.599050,2.506267,7.518801,9.085218
240,25.267361,51.022917,33.282478,0.468750,0.468750,6.318712,4.045374,5.241494,6.379906,4.023377,5.202635,0.713277,41.972222,24.436105,87.719350,271.303417,30.075206,511.905062,1882.833185,36.340873,149.749461,589.599343,26.942372,47.305792,562.030405,12.844619,23.809538,464.285987,9.398502,17.230587,506.892528,11.278202,20.676704,98.370985,13.157902,21.929837,461.779719,9.711785,17.543870,328.947561,11.278202,20.050137,82.080249,2.506267,7.518801,414.160644
500,24.009667,52.707333,34.820285,0.488281,0.488281,6.840198,4.127186,5.580521,6.900427,4.138743,5.567261,0.678173,38.337333,25.689238,76.441148,137.218126,32.581473,333.960096,3978.072509,38.220574,147.869761,599.624412,30.075206,52.631610,669.799892,15.350886,26.942372,509.398795,10.025069,18.170437,394.110507,12.844619,24.436105,110.275754,15.350886,26.315805,250.000147,10.338352,20.676704,39.473707,13.157902,26.315805,71.428613,2.506267,7.832085,76.441148
800,26.011875,43.042500,40.728320,0.781250,0.781250,7.037788,4.803738,5.930386,7.062940,4.783932,5.930906,0.608934,46.597917,29.448639,80.827115,176.065266,32.581473,140.350960,4018.172783,45.739375,162.280797,1015.664756,33.834606,61.403545,617.168282,15.664170,31.328339,536.967734,12.218052,24.436105,519.423864,14.097753,28.195505,459.273452,15.350886,30.075206,341.478897,11.904769,23.809538,151.002595,14.097753,28.195505,173.558999,2.819551,7.518801,461.779719
1024,23.732747,58.688965,36.433501,0.500000,0.500000,7.076294,4.505064,5.813116,7.068525,4.570815,5.795551,0.671134,42.541016,26.942372,70.802047,441.729582,34.461173,127.193057,9331.459107,39.473707,149.749461,820.175920,35.087740,64.849662,659.774823,17.230587,30.701772,519.423864,12.531336,23.809538,436.717048,14.411036,28.822072,391.604240,17.230587,30.075206,96.491285,12.218052,23.182971,85.213083,14.411036,29.448639,88.345916,3.132834,7.832085,10.964919
1500,27.606667,51.440444,41.905514,0.732422,0.732422,7.680636,4.937161,6.249589,7.672441,4.895456,6.267811,0.612620,48.006889,31.954906,72.681747,167.293331,35.714307,105.889786,10013.163768,46.992509,157.268263,669.799892,40.100274,72.681747,709.900166,18.797004,35.087740,441.729582,12.531336,26.942372,152.255728,15.037603,30.075206,376.566637,18.483720,33.208040,374.060370,12.531336,25.062671,90.225617,15.664170,31.328339,110.902321,2.819551,7.205518,74.561447
2048,25.412354,57.850749,39.532737,0.500000,0.500000,8.355881,4.686219,6.097727,8.203446,4.660221,6.061625,0.664962,40.943522,30.701772,73.308314,140.350960,35.714307,97.744418,23246.254236,41.353408,156.015129,644.737220,44.486242,81.453682,835.213522,19.423570,43.546391,506.892528,12.844619,26.942372,186.090335,15.350886,32.581473,283.834753,19.736854,43.233108,140.977526,12.844619,26.315805,58.897278,15.664170,33.208040,96.491285,3.132834,7.832085,75.188014
3000,28.263444,52.359611,45.477068,0.732422,0.732422,10.333422,5.513172,12.027011,10.372067,5.417665,12.045188,0.610477,46.646556,32.581473,72.055180,166.040198,36.967440,85.213083,24689.864106,49.498776,163.533931,649.749755,49.812059,91.478750,775.063111,22.556404,57.644144,461.779719,14.097753,32.581473,134.085292,20.676704,55.451160,115.288288,23.182971,59.837128,112.155454,15.037603,33.834606,95.238151,20.676704,54.824594,127.193057,2.819551,7.518801,73.934880
6000,29.216444,51.781972,48.436726,0.732422,0.732422,13.860685,11.734411,19.860903,13.828389,12.081884,19.835167,0.609939,46.821667,32.581473,73.308314,343.985164,37.594007,75.814581,52599.654912,51.378476,171.052732,654.762289,57.330861,119.047689,699.875097,30.075206,74.561447,464.285987,23.809538,56.077727,266.290883,28.195505,72.055180,379.072904,30.075206,73.308314,424.185712,24.436105,57.330861,123.433656,28.195505,72.055180,251.253280,2.819551,7.832085,18.797004
