element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,131.020833,528.343750,126.045244,0.500000,0.500000,8.091207,6.381468,7.121508,8.111543,6.370614,7.122387,3.220189,269.239583,73.308330,346.491507,361.529113,70.175495,4198.624930,4338.975920,144.736958,592.105739,13221.188576,56.704306,99.624140,669.800037,17.857157,22.556409,110.275778,16.290740,20.050141,439.223411,17.230590,21.303275,197.368580,18.170441,21.303275,101.503841,16.290740,20.989992,1206.141321,16.917307,20.676708,143.483825,8.458653,17.543874,107.142943
110,67.913636,556.662121,131.324015,0.429688,0.859375,8.721751,6.509310,7.588991,8.594822,8.294631,8.039918,4.296929,589.045455,60.150424,146.616659,276.316012,93.358471,10494.369341,14424.197063,130.952486,639.724825,25010.671741,66.102810,111.528912,1100.878078,19.110291,24.436110,3677.321253,15.664173,21.303275,461.779820,18.797008,21.929842,308.897491,18.797008,23.182976,90.852203,20.050141,24.122826,2755.014747,19.423575,22.556409,288.847350,8.771937,20.676708,441.729679
240,62.855556,470.593750,138.529712,0.468750,0.468750,9.650954,6.966867,8.230963,9.686123,7.025552,8.282035,3.893514,197.272222,56.391023,154.762029,237.468863,73.934897,14985.601023,27737.490976,148.496360,724.937926,53562.073146,72.055196,120.300849,1236.216533,25.062677,30.075212,3897.872809,17.543874,26.942378,516.917709,21.929842,29.448645,459.273552,24.436110,31.954913,965.539624,17.857157,28.195511,436.717143,21.929842,28.822078,95.238172,8.458653,25.375960,504.386371
500,58.707333,377.796667,147.929195,0.488281,0.488281,9.815484,7.643349,9.288834,9.820547,7.661753,9.115153,3.670696,189.676667,55.137889,129.699352,364.035380,72.055196,5602.134831,54203.677672,157.268297,805.138492,112910.491797,80.200566,132.205620,920.426805,25.689244,31.328346,1401.630200,21.303275,29.448645,198.621714,26.002527,31.954913,168.546501,26.315811,31.954913,444.235946,21.303275,29.448645,2915.415878,26.002527,32.581480,476.817426,8.458653,24.436110,163.533966
800,89.651875,415.317917,129.004590,0.390625,0.781250,10.209775,7.841031,9.717900,10.345277,9.471816,10.114519,5.485108,635.032083,60.150424,321.428830,45862.818834,75.814597,1321.429634,108419.260115,130.325919,597.118275,183486.989652,93.985038,154.762029,1015.664977,31.328346,50.751921,449.248482,19.423575,32.581480,529.449047,25.689244,34.461181,3316.418707,26.942378,40.100283,466.792355,26.942378,35.087748,521.930244,26.315811,36.654165,174.812171,9.085220,31.328346,162.280832
1024,92.259766,359.602865,159.200643,0.500000,0.500000,11.693129,8.439002,10.278225,11.988751,8.285476,10.180878,3.530777,186.842122,63.283259,429.198340,107136.051063,78.947432,1226.191462,110344.073693,163.533966,885.339058,229682.515520,98.371006,159.774565,995.614836,34.461181,55.137889,549.499189,23.496259,35.087748,426.692072,26.942378,37.907299,3055.766868,32.581480,54.824605,469.298623,23.182976,35.087748,384.085522,26.942378,39.160432,102.756975,8.145370,25.062677,2855.265454
1500,78.081333,459.663778,132.823516,0.366211,0.732422,16.302653,9.644478,13.705854,15.703187,12.789639,14.068062,5.989244,650.680667,62.030125,296.366153,895.364129,81.453700,1191.103715,225832.888365,132.205620,584.586936,520970.970304,108.396077,178.571572,1236.216533,50.751921,72.055196,496.867567,27.568944,53.884755,461.779820,38.847149,65.476243,3617.170828,48.558936,68.295794,461.779820,34.147897,59.523857,384.085522,38.847149,64.223109,2755.014747,10.964921,38.220582,1912.908806
2048,97.451904,364.037516,170.180762,0.500000,0.500000,17.112277,14.073942,16.072340,17.115669,14.280958,15.888758,3.739750,186.029785,66.416094,401.629396,1531.956119,82.706833,935.464411,225832.888365,172.305903,925.439341,559467.241861,115.914880,192.356044,1441.730483,53.571472,72.681763,379.072987,36.967448,64.849676,3557.020404,46.992519,73.308330,644.737361,54.198039,73.934897,484.336229,38.847149,68.922361,133.458754,47.619086,75.188030,174.812171,8.771937,32.581480,87.092802
3000,162.443278,503.735944,147.911062,0.366211,0.732422,17.975150,14.887912,18.516984,17.522857,17.225829,20.529575,10.607298,687.313889,63.283259,321.428830,490173.953058,83.959967,940.476947,467076.190123,139.097856,612.155881,939297.121226,128.446219,214.912454,1135.965826,57.957440,77.067731,479.323694,41.666700,75.814597,348.997774,53.571472,79.573999,359.022845,55.764456,75.188030,151.002628,49.185503,73.934897,139.097856,54.198039,77.067731,343.985239,12.218055,44.799535,115.288313
6000,152.253722,465.459750,161.893021,0.366211,0.732422,18.824992,18.496111,23.509243,18.336053,19.221288,25.538577,13.498000,906.563389,67.042660,343.985239,825.188633,85.213101,780.075815,995758.319510,148.496360,649.749896,2012059.888622,142.230691,346.491507,1181.078644,61.090275,79.573999,379.072987,46.679236,81.453700,474.311158,58.584007,83.333400,389.098057,59.523857,78.320865,6604.641902,55.451172,78.947432,541.980386,59.837141,81.453700,627.193487,13.784472,52.944905,401.629396
