element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,121.776042,275.713542,68.329976,0.500000,0.500000,1.768277,1.559242,1.672804,1.768374,1.539941,1.672203,2.313288,191.947917,26.629094,2153.197197,2243.422832,41.666700,2183.272409,2313.598326,47.305802,3215.854681,4358.712731,22.869692,48.872219,242.168112,7.205520,7.832086,7.832086,7.205520,8.458653,72.368478,6.892236,7.832086,81.140415,7.518803,8.458653,9.711787,6.892236,7.832086,368.734628,6.892236,8.145370,12.531338,5.325819,8.771937,89.285785
110,39.287879,242.778788,75.565657,0.429688,0.859375,1.769082,1.548098,1.686036,1.782308,1.551727,1.687030,2.554405,150.439394,31.641629,198.308428,247.180647,39.786999,3135.654116,6163.225440,42.293267,453.947729,11456.462722,26.629094,51.691770,108.709359,7.518803,8.458653,436.403855,7.205520,8.458653,461.466531,6.892236,8.145370,116.228162,7.205520,7.832086,81.766982,7.205520,8.145370,142.543973,6.892236,8.145370,321.115543,5.325819,11.278204,74.874746
240,30.604167,174.955556,82.912214,0.468750,0.468750,1.774654,1.544936,1.680975,1.774431,1.544484,1.680016,2.395067,45.651389,27.882228,95.551454,184.523956,41.666700,3115.603975,10133.153401,46.052668,529.135758,22443.940109,27.255661,53.258188,448.935193,7.518803,8.458653,509.085617,7.205520,7.832086,42.919834,6.892236,7.832086,294.799733,7.205520,7.832086,403.822375,7.205520,8.458653,79.887281,6.892236,7.832086,103.070257,5.325819,10.964921,77.381014
500,29.183000,170.192667,92.493917,0.488281,0.488281,1.774302,1.545086,1.680102,1.776086,1.544836,1.679961,2.366466,41.258000,27.882228,78.634148,262.218253,41.666700,1601.818313,20839.928812,51.065203,596.804985,43937.691494,29.761928,55.764455,579.261111,7.205520,7.832086,436.403855,7.205520,8.145370,78.007581,6.892236,11.904771,331.140614,7.205520,7.832086,82.393549,7.205520,8.458653,326.128078,6.892236,7.832086,506.579349,5.325819,10.651638,47.619085
800,30.143958,196.896250,68.490787,0.390625,0.781250,1.791178,1.562882,1.681355,1.773991,1.544888,1.679337,2.727698,126.415417,29.135361,121.867265,252.193183,46.052668,468.985334,41371.273419,37.907298,304.824803,67677.058696,30.388495,56.391022,604.323788,7.518803,10.651638,839.912947,7.205520,10.338354,368.734628,6.892236,12.844622,506.579349,7.205520,7.832086,441.416390,6.892236,8.458653,504.073082,6.892236,12.531338,333.646881,5.639102,15.350889,147.556508
1024,38.189941,170.559245,98.651622,0.500000,0.500000,1.793424,1.557040,1.708425,1.793222,1.564972,1.693143,2.333874,50.565755,32.894763,174.498885,269.737056,41.040133,674.499282,43616.889235,54.824605,654.449141,85962.787487,31.641629,58.584006,629.386464,7.518803,10.651638,506.579349,7.205520,10.338354,250.940049,6.892236,13.157905,489.035476,7.518803,10.338354,453.947729,7.205520,10.651638,451.441461,6.892236,12.844622,79.887281,5.012535,12.844622,79.260715
1500,36.650222,204.291778,68.805128,0.366211,0.732422,1.810531,1.572803,1.720528,1.793315,1.559515,1.693113,2.911934,126.136889,28.508795,118.107863,289.787197,44.799534,431.391320,91737.228157,36.654164,281.015261,134724.730928,33.521330,59.523857,596.804985,8.458653,9.711787,504.073082,8.145370,10.338354,318.609275,7.832086,14.411039,448.935193,7.205520,9.711787,1411.341972,7.205520,10.025071,408.834911,6.892236,13.471189,373.747164,5.639102,16.604023,396.303573
2048,29.050944,175.185547,100.846516,0.500000,0.500000,1.810285,1.584774,1.731391,1.810181,1.573450,1.724090,2.402786,45.594238,29.761928,151.942476,368.734628,45.426101,383.772234,93662.041714,56.704306,654.449141,177070.629180,34.147897,62.030124,448.935193,8.458653,9.711787,446.428926,8.145370,10.338354,268.483922,8.145370,14.724322,511.591885,8.458653,9.711787,238.408710,7.832086,9.711787,506.579349,8.458653,14.724322,401.316108,5.325819,15.350889,254.699450
3000,32.989056,214.764278,68.675830,0.366211,0.732422,1.825837,1.593574,1.752689,1.807651,1.572519,1.717333,5.977671,122.333333,29.761928,62.969975,203.320963,46.052668,433.897587,187336.301484,37.907298,286.027796,263045.634722,37.594015,66.416093,534.148293,8.771937,10.651638,504.073082,8.771937,10.651638,431.391320,8.771937,15.037606,481.516673,8.458653,9.711787,225.877372,8.145370,10.025071,1015.351683,8.458653,14.724322,509.085617,9.398504,22.869692,82.393549
6000,35.254056,216.470889,70.701179,0.366211,0.732422,1.915719,1.680083,2.448729,1.830417,1.597345,4.846628,8.536782,130.109444,35.401031,67.355943,303.571669,47.932369,411.341178,384950.493325,44.172967,302.318536,559466.922484,47.932369,78.634148,536.654561,9.398504,15.350889,504.073082,9.085220,13.784472,171.992618,10.338354,17.230590,91.165486,9.085220,10.964921,55.137888,9.085220,10.964921,13.471189,9.085220,15.350889,431.391320,10.025071,26.002527,299.812268
