element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,65.093750,279.244792,45.575614,0.500000,0.500000,1.768328,1.538751,1.671714,1.768325,1.538833,1.672317,2.340488,103.072917,25.375960,250.940049,259.711985,47.305802,2233.397762,2413.849033,41.666700,264.724521,4819.865979,22.556409,48.245652,281.015261,7.205520,7.832086,63.909825,6.892236,8.145370,83.646683,6.892236,7.832086,119.987564,7.205520,7.832086,79.887281,7.518803,8.458653,9.398504,6.892236,8.458653,84.899817,5.012535,8.771937,41.666700
110,36.624242,246.196970,48.790338,0.429688,0.859375,1.770760,1.539562,1.673793,1.770055,1.539149,1.673569,2.616673,198.896970,23.496259,194.549027,237.155577,36.654164,3276.005105,5922.623746,25.375960,351.190755,11536.663287,26.315810,51.691770,232.143041,7.205520,7.832086,159.461279,7.518803,8.458653,158.208146,6.892236,8.145370,674.499282,7.518803,8.458653,108.082793,6.892236,8.145370,436.403855,6.892236,7.832086,443.922658,5.325819,10.338354,82.393549
240,33.759028,247.251389,52.773552,0.468750,0.468750,1.774650,1.544527,1.679155,1.775802,1.544630,1.678973,2.473064,53.854167,26.002527,89.912352,199.561562,42.919834,4859.966261,11697.064416,38.533865,443.922658,23727.149147,26.629094,52.318337,504.073082,7.518803,8.458653,421.366249,6.892236,8.145370,77.381014,6.892236,7.832086,291.040331,7.205520,7.832086,104.949958,7.205520,8.458653,506.579349,6.892236,8.145370,1115.602389,5.012535,13.157905,170.739484
500,34.052000,184.592333,57.916349,0.488281,0.488281,1.771881,1.543579,1.679535,1.775952,1.544450,1.679373,2.388244,46.982667,25.375960,109.962493,326.128078,44.799534,1782.269584,24208.352536,41.666700,539.160829,48749.725387,29.135361,55.451172,451.441461,7.205520,7.832086,466.479067,7.205520,8.458653,173.245751,6.892236,11.904771,333.646881,6.892236,7.832086,373.747164,6.892236,8.145370,228.383640,6.892236,8.145370,76.754447,5.012535,12.218055,516.604420
800,31.955417,204.532292,43.417650,0.390625,0.781250,1.778326,1.546541,1.776218,1.775383,1.544487,1.679946,2.948475,132.151667,27.882228,79.260715,153.195610,42.919834,1260.965913,46824.911830,25.375960,284.774662,73451.499367,31.015062,56.391022,501.566814,6.892236,10.025071,504.073082,7.205520,10.025071,311.090472,6.892236,12.844622,441.416390,6.892236,7.832086,249.686915,7.205520,8.458653,458.960264,6.892236,12.844622,3636.907647,5.639102,14.411039,506.579349
1024,39.900228,185.419271,60.647403,0.500000,0.500000,1.792671,1.567652,1.697498,1.782488,1.565735,1.689952,2.332778,49.302083,27.882228,205.827231,925.126047,44.172967,714.599564,45862.505051,42.919834,606.830055,98153.273347,32.268196,58.897290,504.073082,7.518803,10.651638,416.353714,7.518803,10.651638,506.579349,6.892236,14.097756,501.566814,7.205520,10.651638,292.293465,7.205520,10.651638,466.479067,6.892236,13.471189,139.411138,5.325819,12.844622,436.403855
1500,42.169889,232.273000,42.212786,0.366211,0.732422,1.808020,1.571427,1.711689,1.782780,1.559117,1.696373,3.072769,135.656222,32.268196,228.383640,849.938018,45.426101,1130.639995,94303.646233,24.122826,249.686915,143707.194194,32.894763,59.210573,524.123223,8.458653,9.711787,77.381014,8.145370,10.025071,456.453996,8.145370,14.411039,95.551454,7.518803,9.711787,227.130506,7.518803,10.338354,433.897587,7.205520,13.784472,86.779517,6.265669,16.604023,110.589060
2048,56.564372,194.945231,63.025554,0.500000,0.500000,1.808366,1.572949,1.711703,1.810748,1.572399,1.722692,2.320021,54.161133,34.147897,351.190755,2915.102563,49.812070,684.524353,92378.832676,44.172967,626.880197,166804.956877,34.147897,61.403557,536.654561,8.458653,9.711787,292.293465,8.145370,10.338354,448.935193,8.145370,14.411039,441.416390,8.458653,9.711787,386.278502,8.145370,10.025071,263.471387,8.145370,14.411039,79.887281,5.012535,15.350889,76.754447
3000,35.693556,220.404000,44.565876,0.366211,0.732422,1.832490,1.593731,1.743906,1.809589,1.573815,1.736491,6.770637,130.562889,31.641629,69.862211,366.228361,46.679235,624.373929,188619.510521,29.761928,255.952584,288709.815480,38.533865,67.669227,531.642026,9.085220,10.964921,398.809840,8.771937,10.651638,446.428926,8.771937,15.037606,418.859981,8.458653,9.711787,301.065402,8.145370,10.338354,381.265967,8.458653,14.724322,82.393549,9.711787,23.496259,90.538919
6000,47.286944,247.927083,52.261598,0.366211,0.732422,1.925915,1.714065,1.934246,1.828228,1.594942,4.753212,9.140621,133.174611,36.027598,153.195610,536.654561,51.065203,724.624635,397782.583705,37.907298,282.268394,587697.521319,49.498786,80.513848,499.060546,9.398504,14.724322,509.085617,9.085220,16.917307,461.466531,10.338354,19.736858,91.792053,8.771937,10.964921,79.887281,8.771937,10.651638,182.017688,9.085220,15.037606,84.899817,10.025071,26.629094,58.897290
