element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,101.218750,460.937500,123.808621,0.500000,0.500000,7.130457,5.370773,5.989577,7.244759,5.228494,6.187316,3.328169,233.239583,68.922367,381.579285,424.185838,73.934902,4399.126694,4459.277123,141.604135,582.080715,12659.785622,56.077744,98.997581,755.013198,16.604025,20.050143,297.619311,14.097757,20.050143,122.807126,15.037607,20.050143,90.852211,16.290741,20.050143,92.731912,13.784473,18.797009,489.348803,15.037607,20.050143,28.822081,8.145371,19.423576,112.782055
110,61.266667,415.296970,125.753933,0.429688,0.859375,7.663662,5.819983,6.791768,7.645746,7.560267,7.279487,4.270889,529.321212,50.751925,133.458765,151.002640,88.345943,7286.347290,13140.989055,129.072796,627.193537,23887.865718,64.223114,109.022653,795.113484,18.797009,22.243127,323.935123,14.411040,20.363427,441.729714,18.170442,20.676710,313.910052,18.483726,23.809545,104.010117,19.736860,22.556411,88.972510,18.797009,21.303277,171.052783,8.458654,23.809545,139.724434
240,57.753472,544.443750,135.915707,0.468750,0.468750,8.690660,6.443214,7.551446,8.727348,6.483488,7.538490,3.688006,177.423611,50.125358,125.313394,159.774577,70.802068,15707.407362,26614.685170,142.230702,714.912912,47146.031632,69.548934,115.288322,619.674733,23.182978,28.195514,128.446229,16.917308,27.568947,511.905214,21.303277,28.822081,41.979987,23.496261,28.822081,419.173303,16.917308,25.062679,31.954915,20.676710,28.195514,93.358478,8.145371,27.568947,115.914889
500,57.340667,378.303333,144.703829,0.488281,0.488281,8.997143,6.980352,8.535678,8.985166,7.135466,8.381552,3.620309,172.806000,51.378492,124.686827,323.935123,65.162965,4780.079411,53882.879689,149.749506,780.075877,110344.082459,76.441170,126.566528,1181.078738,25.375962,30.701782,464.286125,19.110293,29.448648,134.085332,24.436112,30.075215,531.955357,25.062679,33.208049,162.280845,20.050143,30.701782,35.714317,25.062679,31.328348,99.624148,8.145371,23.182978,152.255774
800,111.587500,427.933542,120.756526,0.390625,0.781250,9.655999,7.135168,8.398505,9.449142,9.043929,9.225941,5.130815,597.026667,57.644161,308.897516,85321.503959,70.175501,2203.636032,107777.664151,127.819662,584.586983,177070.958459,88.972510,144.736970,930.451950,28.195514,40.726853,531.955357,19.110293,33.208049,114.035188,25.062679,34.774467,444.235981,28.195514,40.726853,216.165605,26.315813,35.087750,94.611612,26.315813,36.340884,52.005058,8.771938,28.195514,114.035188
1024,111.307780,347.968424,151.315396,0.500000,0.500000,11.938545,7.953577,9.511533,11.329230,8.321727,9.176494,3.512005,175.473633,60.776996,411.654499,1451.755669,83.333407,1246.241703,107777.664151,157.268309,865.288985,229682.533767,91.478778,149.749506,955.514629,33.208049,52.631625,469.298660,24.436112,38.847152,391.604356,26.315813,39.473719,374.060481,32.581482,51.691775,464.286125,24.436112,36.340884,95.238179,26.315813,39.787003,238.722015,8.145371,22.556411,83.959974
1500,73.014444,468.285333,127.097906,0.366211,0.732422,15.480676,9.046794,12.284904,14.783547,11.528607,12.485023,6.851976,617.054444,57.017594,283.834837,865.288985,71.428635,1100.878166,214284.023920,130.325930,577.068179,426013.534306,107.769519,178.571586,995.614915,49.185507,70.802068,534.461625,26.315813,51.691775,141.604135,36.967451,62.656697,164.787113,45.739389,66.729382,333.960195,32.581482,54.824610,144.736970,36.967451,59.837146,399.123160,10.651638,39.473719,144.736970
2048,89.113688,370.632243,162.797838,0.500000,0.500000,16.509113,12.492793,15.322123,16.499428,12.794180,14.755065,4.007870,176.496257,62.030130,386.591820,1110.903237,77.067737,990.602379,220700.069690,168.546515,895.364200,572299.377844,111.528921,186.090390,1176.066202,53.884759,72.681768,275.062900,38.847152,67.982516,171.052783,47.932373,72.681768,153.508908,53.884759,73.308335,95.238179,38.533869,69.548934,399.123160,47.305806,73.934902,265.037828,8.771938,32.581482,124.686827
3000,78.495111,460.856889,136.323694,0.366211,0.732422,17.114404,14.259503,16.692923,16.508029,15.603091,18.470618,11.239602,679.069000,62.030130,302.631846,1045.740272,80.200572,840.226306,456810.553998,136.591599,602.130858,923898.685999,125.313394,213.659337,970.552236,56.704311,74.561469,226.190676,40.726853,76.441170,434.210910,52.318342,77.067737,351.504070,54.198043,72.681768,273.809766,46.992523,72.681768,278.822301,52.005058,74.561469,336.466463,12.531339,45.112822,98.371014
6000,81.856028,464.379972,147.795075,0.366211,0.732422,17.781788,16.853361,21.533655,17.155315,17.541310,23.224924,13.536966,712.893667,65.789532,331.453927,780.075877,83.959974,780.075877,1006024.071845,144.736970,624.687269,2073654.087848,137.218166,286.341105,1060.777880,58.897295,77.694304,351.504070,44.486255,78.947438,469.298660,57.017594,81.453706,336.466463,57.330878,75.188036,494.361339,54.511326,77.067737,421.679571,57.957445,78.320871,156.015175,13.471190,52.318342,323.935123
8192,98.889669,372.217021,189.570608,0.500000,0.500000,17.792785,19.645497,23.384473,17.961879,19.237852,23.645176,10.441042,222.489950,68.922367,436.717178,5963.037850,82.706840,739.975591,964961.378922,179.824720,990.602379,2135248.127233,142.857269,384.085552,1140.978452,59.210579,78.320871,426.692106,50.751925,80.200572,401.629428,59.210579,82.080273,409.148231,59.523862,77.694304,519.424018,50.438641,80.827139,459.273589,58.897295,82.706840,469.298660,11.904772,44.486255,228.696944
12000,97.751764,474.152542,181.682555,0.366211,0.732422,18.272119,17.919314,23.195223,17.970204,19.012579,25.576991,14.656464,754.872500,68.922367,461.779857,2173.560818,85.839675,815.163628,1940200.335848,151.002640,930.451950,3921475.269391,156.015175,496.867607,1266.291846,60.463713,79.574005,582.080715,45.739389,81.453706,531.955357,58.897295,82.706840,582.080715,59.523862,77.694304,3276.318684,57.644161,79.574005,564.536840,60.463713,81.453706,567.043108,13.784473,55.764460,444.235981
16384,139.015442,419.627818,379.082193,0.500000,0.500000,18.551156,20.093433,24.922426,19.048489,20.417571,24.812477,11.689410,291.818298,72.055202,870.301521,35436.748103,87.092809,1166.041131,1919668.989386,270.050364,5080.831557,4845385.860163,169.799649,539.474161,1341.479882,60.150429,84.586541,607.143394,52.631625,82.080273,574.561911,60.150429,84.586541,574.561911,59.837146,120.300858,684.837698,52.631625,81.453706,607.143394,59.837146,82.706840,709.900377,11.904772,46.992523,127.819662
25000,141.582353,921.348300,226.477321,0.381470,0.762939,23.180101,19.266277,26.146066,21.349305,19.856255,27.099348,14.971411,939.337533,73.934902,504.386411,5256012.789394,90.225644,2815.165395,4106257.387545,159.774577,1166.041131,8499965.530325,209.899935,604.637126,1331.454811,63.596547,144.736970,689.850234,49.185507,92.105345,617.168465,62.030130,132.832198,689.850234,60.463713,135.338465,699.875305,59.210579,116.541456,627.193537,62.343413,125.313394,664.787555,13.784473,53.571476,270.050364
32768,203.528941,834.873311,414.517723,0.500000,0.500000,35.584997,22.385733,29.671506,36.708555,22.987838,30.578110,11.895391,345.149994,75.814603,935.464486,4783791.820778,96.491313,2775.065109,4311570.852161,287.594239,5481.834417,13057924.444798,227.443810,649.749948,1261.279310,72.055202,466.792392,1035.715201,56.704311,137.844733,719.925448,66.729382,404.135695,770.050806,72.055202,466.792392,840.226306,57.330878,145.363537,694.862769,64.849681,262.531560,900.376735,11.904772,49.185507,253.759623
45000,122.204000,1572.923600,279.761748,0.343323,0.686646,49.800556,28.292292,42.906010,44.529346,31.375131,41.837599,16.271879,1156.812778,78.320871,562.030572,2855.265681,127.193095,4659.778553,9731846.318021,164.787113,1171.053666,22338093.045436,285.087971,729.950520,1361.530025,130.325930,552.005500,12579.585050,66.416099,434.210910,820.176163,107.142952,494.361339,960.527164,121.553992,514.411482,13140.989055,67.982516,431.704642,800.126020,77.694304,471.804928,1135.965916,14.411040,57.017594,481.830000
60000,237.766589,1249.826058,405.406687,0.457764,0.457764,64.363481,39.965720,54.594001,65.078119,40.004109,54.821040,13.215339,376.664267,82.706840,900.376735,48429.240785,133.458765,3637.221259,9731846.318021,223.684408,3075.817254,30386380.858379,305.138114,760.025734,1281.329453,183.584122,594.612054,12419.183905,107.769519,499.373875,975.564772,129.072796,549.499232,1080.828023,183.584122,594.612054,12980.587910,107.769519,496.867607,885.339128,129.072796,549.499232,1055.765344,12.218056,49.812074,552.005500
100000,186.502540,1617.216127,376.784922,0.381470,0.762939,82.763685,52.265170,69.447800,78.076960,57.180358,69.215185,15.679922,1809.404270,129.072796,940.477021,5682.335848,158.521443,5401.633845,29565126.999916,213.659337,1732.457671,22123.453131,406.641963,865.288985,1226.191560,246.240819,639.724876,13221.189627,142.857269,579.574447,6283.840139,189.849792,619.674733,1025.690129,199.874863,624.687269,12739.986194,139.724434,584.586983,945.489557,187.343524,612.155929,975.564772,13.784473,56.391027,536.967893
