element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,41.291667,201.755208,44.090559,0.500000,0.500000,2.657728,1.930588,2.341770,2.657854,1.930119,2.343231,1.592013,104.416667,24.749397,176.378613,197.681892,42.293273,2053.573376,2454.576263,42.293273,269.110531,4479.640841,24.749397,51.378495,309.210820,9.085222,10.338356,274.123067,8.771938,9.711789,45.739392,8.771938,10.025072,424.499150,8.771938,10.025072,10.338356,8.771938,9.711789,45.426108,8.771938,10.025072,15.350892,4.072686,5.952387,34.147902
110,37.618182,260.496970,47.995376,0.429688,0.859375,2.657166,1.931189,2.336377,2.657692,2.049666,2.341021,1.870713,187.890909,32.894768,98.684304,300.438881,46.052675,4319.239686,6203.953253,24.749397,346.804840,12178.896264,29.135366,54.824613,167.606675,9.085222,10.338356,111.842211,8.771938,9.711789,58.584015,8.771938,10.025072,429.511686,8.771938,9.711789,82.393562,8.771938,14.724325,3737.785500,8.771938,10.338356,479.637046,4.072686,8.458655,82.393562
240,106.226389,193.406250,50.713166,0.468750,0.468750,2.668939,1.990601,2.350220,2.670252,2.060693,2.349596,1.817046,124.763889,34.147902,291.666943,12419.497996,39.160438,3998.437377,10574.884717,36.027603,437.030490,24048.581708,27.255665,53.571479,276.629335,8.771938,9.711789,434.524222,8.771938,9.711789,469.611974,8.771938,10.025072,442.043026,8.771938,9.711789,69.862222,8.771938,9.711789,137.531459,8.771938,10.025072,83.020129,4.072686,7.832088,416.980345
500,35.717333,229.469333,58.732947,0.488281,0.488281,2.660207,1.961395,2.348102,2.664536,1.964892,2.344526,1.801458,42.847333,29.761933,99.937438,281.641871,41.666706,2614.977418,23406.977089,40.413572,529.762407,50033.568761,30.388500,57.330881,509.712263,8.771938,10.025072,421.992881,8.771938,9.711789,3617.484634,8.771938,10.025072,512.218531,8.771938,9.711789,547.306284,8.771938,9.711789,439.536758,8.771938,10.025072,512.218531,4.072686,6.892237,424.499150
800,32.308333,213.098125,41.121125,0.390625,0.781250,2.684619,2.072514,2.356553,2.665606,2.018826,2.345851,2.063614,136.185417,29.135366,93.671768,239.035314,44.172974,1672.620634,44579.929503,21.616562,271.616799,73452.137340,32.268201,57.644165,449.561830,9.085222,12.218057,452.068098,8.771938,15.037608,537.281211,8.771938,11.904773,447.055562,8.771938,10.338356,96.178036,8.771938,14.411041,208.960098,8.771938,10.025072,85.526397,4.385969,9.398505,193.922490
1024,45.771810,194.383138,59.115224,0.500000,0.500000,2.672329,2.045409,2.354314,2.673005,2.031113,2.352660,1.706436,53.537760,35.401036,275.376201,825.502036,45.426108,1116.229129,48429.557215,41.040139,599.937912,90454.659734,32.268201,59.837149,484.649583,9.085222,12.531340,459.586902,8.771938,14.411041,472.118242,8.771938,12.218057,517.231067,8.771938,12.218057,168.859809,8.771938,14.411041,449.561830,8.771938,14.097758,84.899830,4.072686,11.904773,429.511686
1500,32.338444,229.405778,40.310921,0.366211,0.732422,2.697085,2.041328,2.369733,2.685414,2.018249,2.365989,2.159246,133.958667,31.015067,165.100407,444.549294,46.679242,740.288923,93021.078208,22.243129,259.085459,145632.656933,35.401036,60.150433,675.125954,10.338356,12.844624,467.105706,8.771938,14.724325,416.980345,8.771938,15.977459,401.942737,9.085222,12.844624,81.140428,8.771938,14.724325,272.869933,8.771938,15.664175,81.140428,4.385969,11.904773,83.020129
2048,40.527262,182.487549,60.077315,0.500000,0.500000,2.698390,2.053253,2.377184,2.698747,2.056900,2.372556,1.730346,42.562826,33.521335,205.200696,895.677541,44.799541,650.063273,95587.496682,41.666706,627.506861,169372.027822,36.654170,64.536402,559.837624,10.651639,13.157907,507.205995,8.771938,14.097758,221.491438,9.085222,16.917309,434.524222,10.651639,13.157907,394.423933,8.771938,14.724325,329.260964,9.085222,16.917309,152.569067,4.385969,15.037608,82.393562
3000,32.817556,254.741889,44.073595,0.366211,0.732422,2.739336,2.057841,2.391507,2.696140,2.043600,4.339709,5.030106,130.546778,31.015067,69.235655,153.822201,48.558943,695.176098,191186.584854,28.508799,261.591727,284860.859171,40.413572,68.295804,469.611974,10.964923,14.097758,512.218531,8.771938,14.724325,82.393562,10.025072,17.543876,424.499150,10.651639,13.157907,379.386325,8.771938,13.471191,24.122830,11.278206,17.543876,87.406098,8.145371,24.122830,81.140428
6000,42.052167,251.258694,49.195133,0.366211,0.732422,2.932920,2.064585,4.190687,2.742144,2.026734,4.198206,7.698917,132.476000,37.280737,195.175624,564.850160,49.812077,665.100881,397783.272045,31.015067,269.110531,3076.130737,48.872227,78.634160,584.900304,12.218057,20.989995,83.646696,8.771938,14.411041,96.804603,11.904773,20.989995,36.654170,10.651639,14.097758,17.230593,8.771938,14.411041,25.375964,10.651639,17.857160,26.002531,9.398505,27.568948,82.393562
