element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,172.369792,261.536458,62.789930,0.500000,0.500000,6.687438,3.361479,5.003394,6.695279,3.361518,5.007468,2.320083,210.270833,31.015058,2815.478039,2975.879147,44.799528,2454.575546,2574.876377,49.812063,309.210729,29983.415674,37.280726,65.162950,217.731973,14.097754,16.604021,89.912340,10.651636,12.218053,182.644230,13.157903,20.050138,177.631696,14.097754,16.604021,87.406072,10.651636,12.218053,12.844620,13.157903,19.736855,98.684275,4.385968,8.145369,91.792040
110,43.834848,244.451515,64.711437,0.429688,0.859375,6.713542,3.513188,5.072843,6.699912,3.694298,5.131371,2.639877,210.933333,29.761924,81.766971,396.930085,47.932362,3737.784409,6244.051718,31.641625,381.892481,37843.069957,41.353411,67.669217,172.619161,14.097754,16.604021,136.278285,10.651636,15.977454,95.551441,13.784470,22.243122,389.411283,14.097754,16.917304,97.431142,10.651636,20.989989,88.032639,13.471187,20.989989,344.298472,4.385968,9.711786,82.393538
240,43.291667,281.934722,72.377101,0.468750,0.468750,6.715198,3.660093,5.360402,6.712035,3.632334,5.062634,2.417763,51.636111,31.015058,130.012617,222.744507,52.318330,5843.048949,12579.895477,46.679229,499.687045,45221.520916,45.426095,73.621602,539.787322,14.097754,16.917304,101.817109,10.651636,16.604021,432.017827,14.097754,22.243122,351.817274,14.411037,16.604021,114.348446,10.651636,16.604021,84.899805,14.097754,22.243122,394.423818,4.385968,8.145369,78.007570
500,46.197333,315.439667,78.857472,0.488281,0.488281,6.876547,3.480506,5.333626,6.884814,3.479485,5.377807,2.331341,49.798000,32.894758,84.273238,472.118104,49.812063,6003.450057,33191.437830,47.932362,597.431470,65752.862716,48.245646,78.007570,396.930085,14.724320,19.110288,409.461422,10.651636,13.471187,477.130639,15.350887,24.749390,96.804575,15.350887,19.736855,509.712114,10.651636,13.471187,321.742066,15.350887,24.749390,84.273238,4.385968,8.458652,449.561699
800,44.753542,321.196667,62.739057,0.390625,0.781250,7.076432,3.571446,6.030715,6.945050,3.538191,5.738755,2.795123,184.297083,36.027593,126.253216,730.263637,50.438630,3076.129839,66715.269363,31.641625,329.260868,107136.348531,52.005047,78.634137,414.473956,15.977454,20.989989,364.348610,10.651636,15.977454,85.526372,15.664171,26.002523,424.499026,15.664171,20.363422,326.754600,10.651636,15.977454,26.629090,15.664171,24.749390,29.135357,4.385968,10.651636,75.501303
1024,44.895020,246.960938,84.963947,0.500000,0.500000,7.098651,3.555458,5.793195,7.089432,3.549072,6.045501,2.354954,54.817057,36.027593,89.285773,434.524095,49.185496,930.765022,63828.049422,49.185496,690.163360,139858.174524,53.884747,84.899805,394.423818,15.977454,20.989989,517.230916,10.651636,16.290738,95.551441,15.664171,25.375957,522.243451,15.977454,20.989989,512.218381,10.651636,16.604021,324.248333,15.664171,25.375957,474.624372,4.385968,10.964919,47.932362
1500,47.215000,312.704667,60.864719,0.366211,0.732422,7.193652,3.581865,6.777073,7.100285,3.566227,5.982902,2.866726,183.415333,38.533860,77.381003,255.325982,51.691763,1411.968346,134725.339074,29.761924,294.173125,198885.782199,56.391014,84.273238,449.561699,16.290738,21.303272,26.629090,10.651636,16.604021,379.386214,15.664171,26.629090,399.436352,15.977454,20.989989,88.659206,10.651636,15.977454,29.761924,15.664171,26.002523,33.521325,4.699251,12.844620,115.601580
2048,45.983643,252.859701,86.282004,0.500000,0.500000,7.200221,3.629068,7.541598,7.208414,3.632949,7.656424,8.927613,54.270182,37.907293,79.887270,324.248333,52.944897,1176.379218,132800.525781,49.185496,705.200964,275878.313948,58.897282,91.165473,479.636906,16.290738,21.303272,24.122823,10.651636,17.543871,270.363586,15.664171,26.629090,267.857319,16.290738,22.243122,38.533860,10.964919,17.857155,176.378562,15.977454,26.629090,91.165473,9.398502,30.388491,80.513837
3000,84.765722,318.173556,68.479070,0.366211,0.732422,7.556015,3.632016,9.089847,7.188589,3.582370,8.163197,4.413123,188.522556,45.426095,240.288378,296409.655747,54.824597,945.802626,264329.434185,34.774459,314.223264,395216.738159,66.416084,97.431142,494.674510,17.230588,25.375957,226.503908,10.651636,16.604021,381.892481,16.604021,29.135357,116.854713,16.604021,21.616556,439.536629,10.651636,15.977454,32.894758,15.977454,26.629090,34.774459,8.771936,22.869689,80.513837
6000,73.983639,317.462333,79.591111,0.366211,0.732422,8.762830,3.683031,11.724144,7.940104,3.549199,10.987899,7.818195,196.911389,49.812063,271.616720,965.852764,61.090266,695.175895,556901.054832,42.919828,341.792204,780179.396904,77.381003,108.709345,559.837460,24.122823,32.268192,302.945061,10.964919,17.230588,45.426095,17.857155,37.280726,98.684275,17.857155,29.761924,126.253216,10.651636,16.604021,30.388491,16.604021,33.521325,47.932362,9.711786,27.255657,75.501303
