element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,71.437500,286.916667,113.429491,0.500000,0.500000,8.959288,5.590364,7.540500,9.283807,5.435000,7.476783,2.102367,26252.020833,41.040127,198.934969,286.654325,52.318330,3076.129852,3276.631237,131.265751,567.356265,11617.488877,49.185496,78.007570,5843.048973,19.423572,22.243122,23.496256,14.724321,16.604021,12900.697745,16.604021,22.556406,53.884747,19.110288,22.243122,115.601580,14.411037,16.604021,12419.494420,17.230588,21.929839,93.671741,4.385968,8.145369,12419.494420
110,58.289394,337.428788,116.596211,0.429688,0.859375,9.981885,5.986102,7.956203,9.891738,6.022129,8.047105,2.080197,24037.839394,42.293261,132.518885,235.275845,65.476234,5482.146479,10815.483335,125.626649,592.418938,25331.783651,60.776983,88.032640,5883.149250,20.989989,26.002523,13221.499962,15.664171,20.363422,374.373681,18.483721,26.942374,12499.694974,20.989989,25.375957,31.015058,15.664171,19.736855,142.543954,18.483721,22.243122,371.867414,4.385968,8.458652,85.526372
240,64.084722,389.659722,126.388733,0.468750,0.468750,10.935490,6.135262,8.583668,11.003660,6.127040,8.501383,2.051131,4705.361111,52.318330,125.000083,376.879948,77.381003,9652.575299,23406.970349,135.025152,685.150829,53883.180957,64.536383,96.178008,860.589541,25.375957,30.388491,316.729533,15.664171,21.303272,12740.296636,19.736855,29.761924,12178.892757,25.375957,30.388491,162.594092,15.664171,21.303272,230.263310,19.736855,29.761924,35.401026,4.385968,10.651636,82.393538
500,63.402333,347.993333,134.831481,0.488281,0.488281,11.311021,6.621118,9.501583,11.279141,6.644042,9.449264,2.208075,2931.439333,54.824598,135.651719,336.779671,73.621603,4218.987749,49391.949920,138.784553,765.351383,124459.668681,72.368469,109.962479,1036.028253,26.002523,33.521325,462.093037,17.230588,34.147892,12419.494420,23.496256,34.147892,128.759484,26.002523,35.401026,94.298308,17.230588,32.268192,112.468746,23.496256,34.147892,132.518885,4.385968,8.145369,84.273239
800,83.507292,404.649583,115.064100,0.390625,0.781250,11.903708,6.499286,9.994651,11.991040,6.436412,9.942492,2.548414,559.460833,66.102801,302.945062,119968.437644,81.140404,2133.773339,105211.535666,123.746949,564.849997,198885.783008,80.513838,126.253216,880.639679,29.135358,45.426095,494.674512,17.230588,22.869689,12579.895528,24.749390,39.786994,494.674512,28.508791,42.919828,429.511562,17.230588,22.556406,124.373516,24.749390,40.413561,125.626649,4.699251,9.711786,83.020105
1024,95.455729,342.987467,145.560076,0.500000,0.500000,14.164035,6.482027,10.424865,14.155933,6.453734,10.629368,1.971117,159.284831,68.609068,361.842344,141141.383961,80.513838,1401.943282,105853.140099,143.170521,830.514333,256630.182055,86.152939,132.518885,915.727422,36.027593,56.704298,419.486493,17.230588,23.496256,106.203078,25.375957,42.293261,522.243453,35.401026,57.017582,118.734414,17.230588,22.869689,116.228147,25.375957,41.979978,160.087825,4.385968,10.338353,83.020105
1500,66.430556,419.966222,116.511439,0.366211,0.732422,19.213973,6.865562,13.904180,17.942625,6.830044,13.523848,2.461898,568.334222,62.969966,157.581558,469.611839,80.513838,1000.940511,213001.080553,124.373516,557.331195,510705.537861,99.937409,163.847226,1031.015719,52.944897,75.501303,432.017829,17.543871,27.255657,119.987548,33.521325,66.729367,457.080502,48.872213,70.488768,411.967691,17.857155,31.015058,339.285938,31.641625,62.030116,142.543954,4.699251,13.157903,82.393538
2048,67.390706,344.339437,157.497115,0.500000,0.500000,20.542993,7.741217,17.258847,20.549338,7.863527,17.405777,2.250039,158.082520,62.343400,153.822157,472.118106,78.634137,1041.040788,213001.080553,150.062756,895.677283,567166.728040,110.589045,183.897365,1146.304015,58.583999,78.634137,163.847226,22.243122,39.786994,467.105572,41.666694,76.754437,459.586770,58.583999,80.513838,162.594092,21.616556,37.280726,427.005295,41.040127,78.007570,339.285938,4.385968,14.411037,86.779506
3000,80.258000,437.574778,124.575787,0.366211,0.732422,21.796653,9.924370,19.637090,21.034512,9.720938,19.278247,4.582232,637.571444,66.102801,282.894924,655.075621,79.887271,955.827699,451677.929946,130.012617,574.875066,1000891.325324,119.987548,198.934969,940.790095,61.716833,81.766971,304.198196,28.508791,42.919828,152.569023,46.679229,83.646672,188.909899,58.897282,79.260704,334.273404,27.882224,41.666694,467.105572,45.426095,79.887271,336.779671,8.771936,22.243122,84.899805
6000,67.412417,469.537889,135.125242,0.366211,0.732422,22.528547,11.141805,21.803076,21.886097,11.033275,21.420717,8.192761,716.579500,66.102801,143.797087,249.060315,83.646672,935.777561,990625.654382,137.531419,599.937740,2022325.584018,135.025152,289.160592,1071.115996,64.536383,84.273239,447.055433,32.268192,44.799528,484.649443,50.125346,86.779506,442.042899,62.030116,81.766971,389.411285,31.015058,45.739379,449.561700,48.558929,83.646672,371.867414,9.398502,27.255657,88.032640
8192,68.630839,369.831095,180.230674,0.500000,0.500000,22.530611,11.171315,22.089704,22.526829,11.186925,22.099361,7.520194,201.217326,65.476234,142.543954,336.779671,83.646672,715.226036,944430.135145,156.328424,990.915442,2186576.319084,140.037686,396.930087,1051.065857,63.909817,83.646672,477.130641,32.268192,45.426095,522.243453,50.125346,86.152939,351.817275,63.909817,83.020105,429.511562,32.268192,45.426095,364.348612,50.438630,86.152939,482.143176,9.398502,27.882224,83.646672
12000,71.359861,487.892514,177.735311,0.366211,0.732422,23.030341,11.359828,22.815131,22.612086,11.307686,22.288189,9.245446,765.488750,68.609068,144.423654,419.486493,84.899805,845.551937,1868340.519893,141.917387,905.702353,3572441.896206,152.569023,507.205849,1231.517104,65.789517,85.526372,577.381334,32.894759,46.992512,207.706904,52.318330,90.538907,469.611839,64.536383,84.273239,572.368799,32.268192,45.426095,394.423819,51.065197,88.032640,517.230918,9.711786,28.508791,454.574235
16384,149.603994,416.511973,378.216806,0.500000,0.500000,23.246811,11.335682,22.897948,23.295743,11.371781,22.954310,8.458764,269.156291,67.355934,136.904852,507.205849,85.526372,1226.504570,1950465.887426,251.566582,5121.243984,5173886.563103,173.872295,549.812393,1051.065857,65.789517,85.526372,675.125759,32.894759,46.679229,371.867414,52.631614,89.912340,512.218383,65.789517,86.779506,592.418938,32.894759,46.679229,349.311008,52.318330,89.912340,577.381334,9.398502,29.761924,220.238241
25000,74.617413,1126.496120,229.080853,0.381470,0.762939,27.600445,11.800090,25.338531,25.293670,11.443282,23.789426,9.989499,960.622893,71.741902,129.386050,602.444007,93.671741,2955.829020,4065194.101405,148.809622,1161.341619,8787402.734562,213.972572,622.494146,1146.304015,69.862202,148.809622,775.376452,34.147892,51.691763,439.536631,56.391015,99.310843,660.088155,66.416084,138.784553,4459.589412,32.894759,49.185496,522.243453,52.944897,91.165474,680.138294,9.711786,29.761924,552.318661
32768,81.713949,781.090541,451.537940,0.500000,0.500000,39.232496,11.806710,33.208180,39.461437,11.764414,33.348576,8.769793,300.683431,71.741902,133.145451,2093.673062,96.804575,2775.377773,4208913.494588,270.363587,5642.547587,13797050.154085,227.757043,650.063086,1176.379223,73.621603,404.448889,770.363917,34.147892,52.005047,549.812393,58.270715,141.917387,705.200967,76.754437,454.574235,5482.146479,34.774459,52.318330,612.469076,57.957432,140.037686,705.200967,9.398502,32.268192,381.892483
45000,82.059578,1491.304130,275.397097,0.343323,0.686646,55.447918,13.118293,48.430755,49.144812,12.415995,44.304500,10.178033,1224.711519,75.501303,166.353493,1246.554708,125.626649,5101.193846,9321217.623528,148.809622,1156.329085,21352583.967137,286.654325,745.301244,1246.554708,135.651719,552.318661,12820.497191,39.473710,59.523849,552.318661,69.235635,344.298473,855.577006,126.879783,517.230918,935.777561,34.461176,56.077731,597.431472,63.283250,256.579117,705.200967,9.711786,29.761924,504.699582
60000,89.928403,1051.807861,397.693592,0.457764,0.457764,67.667628,14.428765,57.564051,67.740390,14.508340,57.702911,9.621516,351.364639,76.127870,185.150498,1913.221815,128.759484,3817.984978,9198029.572228,181.391097,3076.129852,35313896.447775,305.451330,770.363917,1301.692589,171.366028,587.406403,12499.694974,39.786994,101.817110,655.075621,99.937409,502.193314,845.551937,178.884830,587.406403,12900.697745,39.786994,103.070244,6203.951467,100.563976,502.193314,905.702353,9.398502,31.641625,504.699582
100000,111.586430,1373.813653,408.660389,0.381470,0.762939,91.351196,28.042445,72.635430,84.866192,27.087216,68.765406,10.263054,1749.108170,80.513838,344.298473,1111.216273,148.809622,5682.647864,22009586.907402,158.834691,1622.494806,59130253.032392,411.967691,860.589541,1542.294252,227.757043,640.038017,13061.098853,46.679229,309.210731,12740.296636,126.253216,597.431472,1000.940511,203.947503,630.012947,12660.096082,42.293261,314.223265,800.439125,121.240682,572.368799,12820.497191,9.711786,31.015058,512.218383
150000,514.067364,1579.680776,3976.124951,0.572205,0.572205,96.897249,33.497385,77.459340,97.024485,33.685199,77.437652,7.919448,311.142624,79.887271,386.905017,1702.695360,163.847226,6765.355346,23159342.052866,579.887601,41371.894497,109719479.432822,462.093037,935.777561,14584.909384,260.338518,655.075621,12980.898299,98.684276,442.042899,12980.898299,145.676788,630.012947,12259.093311,260.338518,655.075621,13622.502733,98.684276,442.042899,12579.895528,146.303355,630.012947,12339.293865,9.398502,31.641625,509.712116
200000,148.965535,2209.776778,424.515492,0.381470,0.762939,101.684307,36.717005,81.156264,97.527471,36.247776,78.760186,10.341077,835.542163,94.298308,494.674512,2053.572785,176.378563,6685.154792,64714778.024648,150.062756,1833.021261,31106.223556,497.180780,940.790095,1341.792866,267.857320,670.113225,12740.296636,106.829645,454.574235,820.489264,173.872295,645.050551,12579.895528,260.338518,655.075621,12980.898299,102.443677,452.067968,12820.497191,152.569023,635.025482,13061.098853,9.711786,40.413561,542.293591
300000,550.245229,1885.531349,5337.575146,0.572205,0.572205,103.169934,39.016075,80.895559,100.090571,35.734131,80.815945,7.936882,136.357041,103.696810,509.712116,2935.778882,208.960038,7246.558672,163593720.534578,650.063086,42975.905582,298279323.288969,539.787324,1005.953045,13462.101625,269.110453,680.138294,13542.302179,109.962479,464.599304,12579.895528,201.441236,655.075621,12579.895528,266.604186,665.100690,12740.296636,106.829645,454.574235,6083.650635,201.441236,655.075621,12660.096082,9.398502,33.834609,532.268522
400000,228.307719,2216.814528,525.290279,0.381470,0.762939,106.818894,40.181081,80.453267,98.185928,34.457395,78.110419,10.325331,828.085097,162.594092,594.925205,1642.544945,227.757043,7326.759226,172134758.758027,212.719439,2414.475279,34314.245725,574.875066,1015.978115,1582.394529,275.376122,695.175898,12740.296636,113.721880,469.611839,910.714887,203.947503,655.075621,12579.895528,265.351052,660.088155,13061.098853,105.576511,454.574235,885.652214,193.922434,650.063086,13061.098853,9.711786,79.260704,599.937740
600000,320.392181,2294.218138,3752.493967,0.572205,0.572205,109.255485,41.677178,81.949706,103.643002,36.702088,81.869106,7.953843,784.119697,161.340959,592.418938,2815.478050,255.325983,7928.263383,181332799.921742,765.351383,45542.323317,9608656.409894,602.444007,1051.065857,13702.703287,279.135523,700.188432,13221.499962,114.348446,472.118106,12499.694974,207.706904,655.075621,12900.697745,274.122988,685.150829,12820.497191,109.962479,462.093037,970.865303,207.706904,655.075621,12980.898299,9.398502,47.619079,609.962809
800000,289.715819,3498.726137,1003.292756,0.381470,0.762939,113.570687,43.646061,88.313346,105.859626,38.879104,83.766341,10.381594,1085.188350,221.491374,650.063086,2183.898686,284.148057,7968.363660,423109881.939379,280.388656,3036.029574,641592.842366,640.038017,1081.141065,14344.307721,285.401191,705.200967,13381.901070,118.107847,474.624374,12579.895528,220.238241,665.100690,12740.296636,276.629255,690.163363,13381.901070,112.468746,469.611839,6203.951467,212.719439,660.088155,13221.499962,9.711786,79.887271,569.862532
1200000,984.893222,2401.482718,3253.674199,0.572205,0.572205,115.601274,45.070172,90.106536,111.790033,42.181707,90.362437,7.980152,712.667750,220.238241,650.063086,17311.728228,321.742067,8810.469479,867243869.558735,900.689818,48750.345486,21516834.702203,690.163363,1156.329085,2153.823478,287.907458,710.213502,13301.700516,119.987548,472.118106,12499.694974,229.010176,670.113225,13061.098853,285.401191,705.200967,12980.898299,116.228147,474.624374,12419.494420,229.010176,670.113225,12660.096082,9.398502,59.523849,579.887601
2200000,457.864560,2594.467602,2100.140638,0.524521,0.524521,121.714591,51.199286,104.868196,119.576112,50.118182,104.880732,8.799760,417.412766,246.554048,685.150829,354154.056000,381.892483,8529.767539,946084222.390574,775.376452,22284.162590,30879126.600984,830.514333,1301.692589,2384.400071,294.173127,720.238571,13221.499962,124.373516,489.661978,13141.299408,276.629255,715.226036,12820.497191,292.919993,715.226036,13462.101625,122.493815,489.661978,965.852768,276.629255,715.226036,12900.697745,9.398502,76.127870,592.418938
3100000,397.857865,3770.847144,1178.104349,0.369549,0.739098,129.384775,67.161872,121.178415,120.608380,51.179572,105.468913,10.376551,1324.942752,287.907458,720.238571,13381.901070,406.955156,11537.288323,2239066008.832723,359.336077,3617.483593,322073.834308,730.263640,1181.391758,14504.708830,326.754602,745.301244,13141.299408,183.897365,579.887601,12900.697745,289.160592,775.376452,13462.101625,294.173127,720.238571,13301.700516,123.746949,492.168245,12900.697745,279.135523,715.226036,12820.497191,9.711786,80.513838,12660.096082
6000000,419.619192,3959.611295,763.785763,0.357628,0.715256,136.853698,78.560185,133.252267,129.653837,67.047566,123.073955,10.456756,1380.342964,302.945062,735.276175,13622.502733,472.118106,15467.115480,2207529867.699987,374.373681,3757.834563,84038.589348,825.501798,1291.667520,14745.310492,361.842344,790.414056,14424.508275,197.681835,622.494146,12980.898299,304.198196,810.464195,13301.700516,314.223265,745.301244,13221.499962,182.644231,569.862532,12980.898299,292.919993,780.388987,13943.304950,9.711786,80.513838,6003.450081
10000000,1050.751002,3810.826528,0.000000,0.596046,0.596046,145.177879,80.459284,137.470097,137.894888,79.214470,137.591424,7.513932,2497.371866,302.945062,735.276175,96229.073592,584.900136,21642.558156,2365210573.363664,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,366.854879,800.439125,14344.307721,198.934969,627.506680,4599.940382,311.716998,820.489264,13542.302179,364.348612,790.414056,14264.107167,197.681835,625.000413,12820.497191,316.729533,825.501798,13301.700516,9.398502,48.558929,589.912670
