element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,74.239583,415.927083,100.759557,0.500000,0.500000,8.747312,5.575004,7.185531,8.788772,5.587998,7.006116,2.109177,1935.187500,39.160427,212.719439,302.945062,60.463699,2955.829020,3056.079713,73.621603,537.281057,11376.887215,51.378480,84.273239,680.138294,16.917304,21.616556,73.621603,13.784470,15.977454,111.215612,14.724321,18.170438,94.924875,16.917304,20.989989,123.746949,13.784470,17.857155,63.909817,14.724321,20.989989,21.616556,4.072684,9.711786,41.666694
110,59.159091,393.763636,108.646242,0.429688,0.859375,9.033940,5.553509,7.353787,9.073026,5.558066,7.297396,2.377164,464.309091,46.679229,148.183055,474.624374,62.969966,6003.450081,12660.096082,67.982501,640.038017,27577.399169,57.644148,90.538907,1081.141065,17.857155,22.556406,469.611839,13.784470,16.917304,31.641625,15.664171,22.243122,366.854879,17.857155,22.869689,369.361146,14.097754,17.230588,32.268192,15.664171,22.243122,93.671741,4.385968,9.398502,77.381003
240,60.662500,393.440972,120.388782,0.468750,0.468750,9.319764,5.650438,7.473132,9.378775,5.641063,7.464021,2.053941,96.272222,48.558929,103.696810,285.401191,66.729367,6885.656178,27737.800278,83.020105,760.338848,52920.774307,62.969966,96.804575,810.464195,17.857155,26.002523,504.699582,14.097754,17.230588,109.335912,15.977454,23.496256,114.975013,17.857155,27.255657,89.285773,14.097754,17.543871,84.273239,15.977454,24.122823,38.533860,4.385968,10.964920,72.995036
500,63.856333,399.225333,127.880371,0.488281,0.488281,9.990852,5.727838,8.077266,9.994881,5.708296,8.092682,2.207987,107.852000,51.065197,104.949944,306.704463,71.741902,4920.742599,59657.620862,91.792041,855.577006,112269.184438,67.355934,103.070244,1066.103461,19.423572,29.761924,467.105572,14.097754,18.170438,379.386216,17.543871,30.388491,319.235800,19.736855,29.761924,94.924875,14.097754,18.483721,264.097919,17.230588,30.388491,457.080502,4.385968,9.085219,73.621603
800,91.699792,495.275625,102.520958,0.390625,0.781250,9.815270,5.835419,7.980637,9.695270,5.910084,7.947707,2.357945,389.125417,64.849667,394.423819,1236.529639,72.995036,4760.341490,125742.877549,62.969966,579.887601,178354.441125,72.995036,111.842179,830.514333,19.423572,31.015058,532.268522,13.784470,18.797005,33.521325,17.543871,31.015058,354.323542,19.110288,29.761924,94.924875,14.097754,18.797005,517.230918,17.230588,30.388491,58.583999,4.699251,10.338353,84.273239
1024,105.544759,403.062988,135.678466,0.500000,0.500000,10.106458,5.923951,8.068139,10.121448,5.917575,8.037463,2.220025,126.160482,66.102801,444.549166,1236.529639,72.368469,1411.968351,123176.459813,93.671741,940.790095,218133.916024,76.754437,119.360981,915.727422,19.736855,31.015058,464.599304,14.097754,18.797005,314.223265,17.230588,30.388491,52.005047,20.363422,31.641625,98.684276,14.097754,18.797005,2474.625695,17.543871,30.388491,447.055433,4.385968,13.157903,56.704298
1500,67.296889,661.243778,103.092946,0.366211,0.732422,11.456401,5.936951,8.302615,10.356168,5.928545,8.219133,2.447080,414.181556,64.223100,114.975013,252.819716,71.115335,1873.121538,251497.346584,61.716833,552.318661,354154.056000,84.273239,132.518885,825.501798,24.122823,44.172962,411.967691,14.097754,18.797005,3637.533731,17.857155,31.015058,334.273404,20.989989,35.401026,479.636908,14.097754,18.483721,103.070244,17.857155,31.015058,474.624374,4.699251,14.097754,419.486493
2048,70.269613,533.131022,145.254493,0.500000,0.500000,11.765974,5.939654,8.905457,11.795260,5.956367,8.968433,2.207502,114.594076,64.223100,118.107847,296.679394,76.127870,1241.542174,248930.928849,95.551442,965.852768,451677.929946,89.285773,141.290820,1010.965580,23.496256,47.305796,522.243453,14.097754,19.110288,88.659206,17.857155,40.726844,489.661978,24.122823,49.812063,401.942621,14.097754,19.736855,291.666859,18.170438,40.413561,2695.177219,4.385968,13.784470,83.646672
3000,106.394111,508.725056,111.576812,0.366211,0.732422,14.913004,6.319199,11.956530,13.759065,12.871701,11.241433,4.327517,442.119222,68.609068,399.436354,283577.568277,78.007570,1236.529639,508139.120125,66.102801,567.356265,739116.716312,98.684276,158.834691,1196.429362,29.761924,68.295784,539.787324,14.724321,27.255657,111.215612,24.749390,60.463699,166.353493,26.942374,63.283250,3316.731514,14.411037,20.989989,432.017829,22.869689,57.017582,168.859761,8.771936,22.869689,447.055433
6000,63.935083,521.004028,123.163871,0.366211,0.732422,18.032283,10.478998,19.924738,17.533134,10.379439,21.936293,7.900166,459.760500,62.969966,117.481281,447.055433,82.393538,1051.065857,1016289.831737,73.621603,609.962809,1539839.049760,110.589045,188.909899,1176.379223,35.401026,76.754437,2675.127080,20.989989,42.293261,95.551442,30.388491,76.127870,285.401191,33.521325,73.621603,3176.380544,19.736855,40.726844,297.932528,29.135358,72.995036,2835.528189,9.398502,26.942374,270.363587
8192,99.448303,431.285929,161.360912,0.500000,0.500000,18.899924,12.963741,21.086893,18.785695,13.036093,24.597257,7.535461,111.851196,63.596533,116.228147,675.125759,81.140404,925.752491,1021422.667207,106.203078,1056.078392,1970997.229310,116.228147,200.188102,1010.965580,36.027593,78.007570,391.917552,22.243122,43.233111,3497.182761,31.641625,78.007570,364.348612,36.027593,78.007570,589.912670,22.243122,44.172962,316.729533,33.208042,79.887271,411.967691,9.398502,28.508791,1116.228808
