element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,67.645833,286.302083,91.110868,0.500000,0.500000,6.804686,4.019945,5.355056,6.851859,4.027612,5.431306,2.129585,160.822917,44.799530,213.346015,283.521503,66.729370,2654.450496,2714.600914,72.995039,491.541700,10654.456143,46.052664,79.260708,564.223456,14.097754,19.736856,433.897549,11.278203,14.411038,32.268193,12.844621,18.170439,39.160429,14.411038,20.050139,223.371085,11.278203,12.844621,227.130486,12.844621,15.664171,21.616557,3.759401,7.205519,76.754440
110,56.092424,381.692424,94.850180,0.429688,0.859375,7.256635,4.077612,5.699990,7.305998,4.113548,5.604638,2.381228,377.787879,43.546397,168.233201,265.977631,72.368472,5240.918487,10333.653912,73.621606,559.210921,23566.745961,54.511317,87.406077,614.348805,15.037605,24.749391,451.441421,11.278203,15.664171,27.255658,13.471187,22.243123,182.017672,14.724321,20.989990,137.531425,11.278203,15.350888,86.779510,13.784471,20.050139,31.641626,3.759401,8.145369,80.513841
240,57.950000,334.778472,105.928040,0.468750,0.468750,7.354816,4.304064,5.850325,7.504223,4.354424,5.828991,2.260029,125.506944,45.426097,123.746955,260.965097,65.476237,5441.419882,20679.525878,94.924879,664.474153,48428.918902,57.957434,92.418612,654.449084,15.977455,26.629091,509.085572,11.904770,15.977455,338.659387,14.097754,22.869690,281.015236,15.350888,24.749391,413.847410,11.591487,17.857155,84.273242,13.471187,22.869690,106.203082,3.759401,8.145369,346.178189
500,56.910667,355.995333,111.489240,0.488281,0.488281,7.990682,4.378467,6.312315,8.011797,4.385390,6.316343,2.254138,100.457333,49.812065,98.057713,276.002701,68.609071,4158.210956,50995.336754,104.323382,759.712316,98153.264784,62.969969,98.684280,1195.802849,17.857155,31.641626,386.278468,11.591487,18.170439,123.746955,15.350888,29.135359,169.486335,17.857155,31.015059,117.481286,11.904770,18.483722,86.779510,15.664171,29.135359,42.293263,3.759401,10.338353,79.260708
800,81.956458,396.700625,88.596311,0.390625,0.781250,7.981969,4.498142,6.318532,7.831529,4.518163,6.277871,2.593191,352.982500,61.090269,351.190724,669.486688,63.596536,1932.645475,103927.704951,60.463702,494.047968,149481.621823,68.609071,107.456216,799.812595,17.857155,32.581477,519.110642,11.904770,19.423573,381.265933,15.977455,29.135359,175.752004,17.543872,32.268193,36.654161,11.591487,19.110289,31.641626,15.977455,29.135359,96.804580,4.072685,9.711786,79.887274
1024,103.858236,348.911784,117.447127,0.500000,0.500000,8.044778,4.642594,6.361129,8.076165,4.608986,6.409036,1.849839,134.506836,62.969969,441.416352,69601.866181,69.862205,1461.467197,108418.936192,105.576516,834.900339,191185.911918,72.368472,114.975019,880.013153,18.797006,32.894760,453.947689,11.904770,19.423573,252.193161,15.977455,30.388493,479.010363,18.483722,32.268193,511.591840,11.591487,19.110289,33.521327,16.290738,30.388493,91.165478,3.759401,9.398503,78.634141
1500,83.137778,492.898111,89.845309,0.366211,0.732422,8.569467,4.661233,6.573949,8.558816,4.753734,6.666063,2.682941,358.814000,63.596536,341.165654,135366.323638,71.115338,1250.940733,215566.881511,59.210568,471.491561,306674.715256,81.140408,131.892324,849.937943,20.989990,39.786996,456.453956,11.904770,19.736856,54.198033,16.604022,31.015059,178.258271,20.363423,35.401027,391.291003,11.591487,19.110289,179.511405,16.604022,32.268193,114.975019,4.385968,13.157904,79.260708
2048,137.191406,366.037272,123.899261,0.500000,0.500000,9.788158,4.607024,6.658550,9.975272,4.617660,6.695001,1.994291,101.792643,68.609071,509.085572,225832.552919,71.741905,1175.752710,211717.254734,103.070248,854.950478,379817.624037,86.779510,141.917393,804.825130,22.243123,47.932365,456.453956,11.904770,19.736856,328.634317,16.604022,35.401027,110.589051,22.869690,48.245648,74.248173,12.218054,21.616557,122.493821,16.917305,35.401027,101.190548,3.759401,13.471187,79.260708
3000,63.661167,506.660611,100.255399,0.366211,0.732422,12.723277,4.777474,11.191190,11.523046,4.821178,11.039791,4.242513,396.257111,59.210568,114.975019,559.210921,76.127873,1160.715105,431145.981077,63.596536,486.529166,639025.827086,96.178013,159.461265,1115.602291,29.135359,66.416087,4158.210956,15.037605,23.496257,378.759666,22.556407,58.270718,195.802143,25.375958,62.343402,238.408690,15.350888,22.869690,453.947689,20.363423,52.318333,461.466491,8.145369,22.243123,54.511317
6000,83.000333,472.222250,108.169167,0.366211,0.732422,15.137981,7.361523,16.625134,14.407301,7.699995,16.248897,7.975730,431.980111,64.849670,341.165654,960.213710,79.260708,930.138501,872569.851615,68.609071,509.085572,1262665.365114,107.456216,192.042742,1371.241570,31.641626,78.007574,378.759666,17.230589,40.413562,433.897549,29.135359,76.127873,3296.054959,30.388493,73.621606,526.629444,15.977455,38.533862,336.153120,27.255658,73.621606,451.441421,8.771936,25.375958,321.115515
8192,103.780579,371.996175,144.828240,0.500000,0.500000,15.413879,8.084331,17.773184,15.252761,7.893508,17.864755,7.785608,123.115072,66.729370,466.479026,1231868.350890,80.513841,779.762455,898234.030135,109.962484,950.188641,1580901.178758,111.215617,200.814678,1080.514547,32.268193,78.007574,549.185851,17.543872,43.233113,267.230765,29.761926,78.634141,401.316073,32.268193,78.007574,875.000618,17.857155,42.919830,426.378747,29.761926,78.634141,177.005137,8.771936,27.255658,233.396155
