element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,8.364583,22.828125,13.164488,0.500000,0.500000,2.411162,3.213539,2.758700,2.415914,3.214917,2.760203,2.584983,17.229167,11.591488,29.135362,39.160433,14.097756,143.797109,276.002729,16.604023,49.812070,443.922665,12.218055,37.280732,84.899818,5.639102,6.892236,33.521330,6.265669,7.205520,14.724323,6.265669,7.205520,32.894763,5.952386,7.205520,250.940053,6.265669,7.205520,123.746967,6.265669,7.205520,343.671957,1.253134,3.759402,20.989992
110,13.622727,24.681818,11.445649,0.429688,0.429688,2.522771,2.844870,2.707179,2.547030,2.859011,2.699785,2.615840,14.275758,11.591488,49.812070,284.774666,16.604023,274.749596,754.699858,11.591488,49.812070,458.960271,7.205520,37.907299,453.947736,5.639102,6.892236,22.243126,6.265669,12.218055,373.747169,6.265669,7.205520,71.741913,5.952386,6.892236,323.621816,6.265669,12.218055,100.563991,5.952386,7.205520,222.117974,1.566417,8.145370,121.867266
240,8.395833,23.804167,12.734236,0.468750,0.468750,2.405105,3.100312,2.770856,2.403718,3.091342,2.767809,2.429152,12.111111,11.591488,33.521330,108.082794,15.977457,292.293469,4779.765770,15.977457,51.691771,403.822382,10.025071,40.413567,408.834917,5.952386,6.892236,284.774666,6.265669,12.531338,14.724323,5.952386,7.205520,90.538920,5.639102,6.892236,171.992620,6.265669,12.844622,79.887283,6.265669,7.518803,511.591892,1.879701,4.072685,72.995046
500,7.922667,26.101667,13.536496,0.488281,0.488281,2.709973,3.212269,2.850020,2.728070,3.200982,2.839713,2.451911,13.060667,11.591488,34.774464,124.373534,15.350890,136.904873,6804.830064,16.604023,54.198039,514.098160,13.157905,42.293267,526.629499,7.205520,8.458653,306.077942,6.265669,13.471189,84.899818,6.265669,9.085220,254.699454,7.518803,9.085220,105.576526,6.265669,13.157905,127.506369,6.265669,9.085220,286.027800,1.879701,7.205520,71.115346
800,9.998125,22.285417,30.321457,0.781250,0.781250,3.118239,3.240023,3.343701,3.117342,3.240659,3.341532,2.385949,18.832500,12.218055,53.571472,282.268399,15.977457,96.804590,7446.434593,32.268197,115.601597,544.173372,25.062677,116.854731,544.173372,7.518803,9.085220,441.416397,6.265669,8.771937,84.899818,7.205520,9.398504,423.872523,7.518803,9.085220,76.127881,6.265669,8.771937,336.153154,7.205520,9.085220,42.606551,1.879701,5.952386,52.944905
1024,7.296224,27.011719,14.337835,0.500000,0.500000,2.699412,3.336195,2.986861,2.758997,3.334521,2.959056,2.412731,12.701823,11.591488,34.774464,229.636777,16.604023,84.273251,9812.351294,16.604023,57.330873,521.616963,14.724323,45.112818,398.809846,7.518803,12.531338,433.897594,6.265669,13.471189,85.526385,6.892236,12.218055,373.747169,7.518803,9.398504,75.501314,6.265669,13.471189,287.280934,6.578953,9.085220,293.546603,1.879701,7.205520,471.491609
1500,10.165444,26.488222,26.621134,0.732422,0.732422,3.112546,3.297384,3.313377,3.121998,3.301148,3.415909,2.408444,19.710000,12.218055,53.571472,734.649717,17.230590,95.551456,8849.944500,29.761929,94.924889,644.424080,24.122827,91.165487,564.223514,7.518803,9.711787,386.278508,6.265669,9.085220,86.152952,7.205520,9.711787,433.897594,7.518803,10.338354,501.566822,6.265669,9.085220,378.759705,7.205520,9.711787,313.596745,1.879701,5.952386,338.659422
2048,9.189616,30.955729,14.754750,0.500000,0.500000,2.767228,3.332883,3.004716,2.820323,3.315403,3.014010,2.415675,13.162109,12.218055,39.787000,669.486757,18.483724,103.070259,12579.270824,16.604023,58.584007,514.098160,19.110291,49.185503,458.960271,7.518803,16.290740,89.912353,6.265669,13.471189,42.293267,7.205520,12.844622,269.737060,7.518803,15.350890,222.117974,6.265669,13.157905,257.205722,6.892236,10.338354,88.659220,1.879701,7.205520,164.473817
3000,11.644111,28.670167,28.320452,0.732422,0.732422,3.059793,3.226994,3.468070,3.137916,3.258116,3.262060,2.354546,15.131333,12.218055,51.065204,804.825212,17.857157,94.298322,16348.697432,31.641630,96.804590,674.499292,28.508795,98.057723,461.466539,7.832087,19.423575,146.303376,6.265669,10.964921,306.077942,7.205520,10.338354,376.253437,8.145370,19.423575,76.754448,6.265669,10.025071,86.779519,7.205520,10.338354,298.559139,1.566417,5.639102,272.243328
6000,12.949389,30.407139,30.891242,0.732422,0.732422,3.977252,4.120794,5.833173,3.926621,4.108066,5.887076,2.346117,14.938278,14.097756,67.982511,724.624646,20.989992,86.779519,28057.980084,34.774464,106.203093,669.486757,33.521330,103.696826,526.629499,16.290740,31.015063,292.293469,6.265669,18.797008,87.406086,8.771937,23.182976,108.709361,16.604023,31.015063,245.927517,6.265669,18.483724,84.899818,8.771937,23.496260,81.766983,1.879701,8.458653,47.305803
8192,10.991496,36.106934,16.574045,0.500000,0.500000,4.294891,3.393731,4.584436,4.324074,3.376476,4.605072,2.418264,11.250529,13.471189,54.198039,1125.627477,20.989992,85.526385,59336.200867,17.230590,85.526385,514.098160,28.508795,58.270724,519.110695,16.604023,27.255661,408.834917,6.265669,20.676708,87.406086,12.844622,25.375960,58.584007,16.604023,27.568945,51.378488,6.265669,20.363425,89.912353,12.531338,25.375960,50.438637,1.879701,10.964921,36.340882
12000,14.485264,31.385486,32.665884,0.732422,0.732422,8.620100,4.914475,7.678375,9.228906,4.834223,7.968836,2.357554,15.003750,16.604023,69.862212,1230.890720,22.243126,82.393550,58052.991809,37.907299,128.132936,1265.978467,36.654165,108.709361,554.198443,19.736858,33.834614,316.103013,6.578953,24.122827,87.406086,14.724323,31.015063,95.551456,19.736858,33.521330,265.977659,6.578953,24.122827,93.671755,14.724323,30.388496,76.127881,1.879701,6.578953,2022.871310
16384,12.602346,37.368174,17.114487,0.500000,0.500000,5.785864,3.496146,7.787214,5.823057,3.455837,6.354284,2.415716,11.781331,13.471189,54.198039,2163.222301,21.616559,92.418621,103927.715625,18.483724,78.634149,524.123231,30.388496,62.030125,541.667105,17.230590,29.135362,77.381015,6.892236,22.869693,453.947736,14.724323,27.255661,108.082794,17.230590,29.135362,88.032653,6.892236,22.869693,318.609280,14.724323,27.255661,91.165487,1.879701,10.964921,52.318338
25000,15.792267,32.359493,38.228169,0.762939,0.762939,12.473997,6.183484,11.527947,12.510177,6.149562,12.283746,2.353455,16.016787,17.857157,79.887283,2123.122018,22.869693,90.538920,107777.342798,43.546401,146.929943,2002.821169,39.787000,133.145471,554.198443,21.303275,36.027598,166.980085,9.398504,29.135362,363.722099,19.423575,37.907299,456.454003,20.989992,36.027598,446.428932,9.398504,29.135362,361.215831,18.797008,37.280732,411.341185,1.879701,3.759402,44.799535
32768,13.023702,37.692673,17.784015,0.500000,0.500000,7.033345,3.635951,8.529806,7.061127,3.638327,8.598383,2.415412,12.210948,14.097756,56.704307,3737.158411,22.243126,94.924889,216850.112709,19.736858,76.127881,609.336332,31.641630,70.488779,589.286191,17.543874,31.641630,506.579357,9.085220,24.122827,438.910129,15.977457,31.641630,514.098160,17.543874,31.641630,514.098160,9.085220,24.122827,99.937424,15.977457,31.641630,403.822382,1.879701,10.964921,86.779519
45000,14.931859,33.902981,31.536407,0.686646,0.686646,11.629745,5.041193,10.328693,11.640962,5.008732,10.354773,2.390914,15.099815,17.857157,70.488779,3797.308835,23.496260,92.418621,211717.276478,36.654165,145.050243,3817.358977,39.160433,106.203093,621.867671,20.989992,36.654165,494.048019,9.398504,26.315811,428.885059,19.423575,37.280732,531.642034,20.989992,36.654165,433.897594,9.398504,26.629094,102.443692,19.736858,37.907299,511.591892,1.879701,4.385968,341.165689
60000,14.172825,42.977919,20.244410,0.457764,0.457764,7.400120,3.757891,9.067425,7.474837,3.742188,9.091921,2.464494,13.634439,15.977457,56.704307,7366.234027,25.375960,114.975030,477341.551437,22.243126,130.639203,559.210979,37.280732,153.195613,729.637182,18.170441,34.774464,524.123231,9.085220,26.002527,143.170542,17.230590,38.533866,529.135766,18.483724,35.401031,521.616963,9.398504,26.002527,96.804590,17.230590,38.533866,524.123231,1.879701,11.904772,501.566822
100000,20.215483,41.178457,56.276355,0.762939,0.762939,14.869443,7.525431,13.845567,14.875015,7.601546,13.820771,2.381703,19.459977,21.616559,91.165487,7446.434593,27.882228,133.145471,472208.715206,53.571472,205.827234,699.561969,59.523858,358.709563,789.787606,23.496260,49.498787,619.361403,9.711787,37.907299,529.135766,22.243126,48.558937,639.411545,23.496260,47.305803,669.486757,10.025071,38.533866,521.616963,22.243126,48.558937,576.754852,1.879701,3.759402,499.060554
150000,19.701791,49.954856,41.319942,0.572205,0.572205,13.420253,4.656942,12.531531,13.460770,4.652423,12.512204,2.417737,19.095071,22.869693,113.095330,14905.087242,28.508795,259.711989,1077883.390476,32.268197,356.203296,14744.686109,108.082794,519.110695,834.900425,24.122827,166.980085,634.399009,9.711787,37.594015,531.642034,22.243126,102.443692,674.499292,24.122827,178.258290,669.486757,9.711787,37.907299,534.148302,22.243126,101.190558,619.361403,1.879701,15.037606,534.148302
200000,24.125423,47.633950,79.476918,0.762939,0.762939,19.322544,8.962488,17.391192,19.483480,9.136300,17.484763,2.380424,23.632590,24.122827,146.303376,14905.087242,31.641630,301.065406,1088149.062939,62.343409,416.353720,965.226344,127.506369,541.667105,950.188738,30.388496,346.178225,744.674788,12.844622,48.872220,669.486757,25.375960,135.651739,659.461686,30.388496,348.684493,694.549434,12.844622,84.273251,669.486757,25.375960,144.423676,659.461686,1.879701,4.072685,516.604428
300000,42.301498,70.965273,54.362522,0.572205,0.572205,17.934165,7.030380,16.937253,17.979591,7.031916,16.933491,2.413287,43.247102,24.122827,674.499292,29180.788009,31.015063,366.228366,8048274.992313,34.774464,426.378791,29180.788009,168.233219,559.210979,734.649717,83.646684,433.897594,739.662252,15.350890,101.190558,599.311262,26.002527,371.240902,734.649717,83.646684,433.897594,764.724929,15.350890,101.817125,621.867671,26.002527,371.240902,744.674788,1.879701,74.248180,586.779923
400000,43.950986,65.457736,98.731143,0.762939,0.762939,22.975432,12.303967,20.531912,22.999422,12.336091,20.520501,2.380474,44.706508,26.629094,649.436615,29341.189142,34.147897,403.822382,8089337.682161,104.949960,491.541751,1015.351698,183.270825,594.298726,1050.439446,89.285786,441.416397,724.624646,16.290740,114.348463,624.373939,29.761929,353.697028,679.511828,89.285786,441.416397,724.624646,16.290740,114.348463,639.411545,29.761929,356.203296,684.524363,1.879701,13.157905,566.729782
600000,45.882257,86.799448,60.245005,0.572205,0.572205,18.997563,8.188515,18.547814,19.013407,8.221663,18.545425,2.409476,46.881608,24.749393,709.587040,58052.991809,33.521330,423.872523,17164192.138749,40.413567,458.960271,58052.991809,182.017691,589.286191,789.787606,88.659220,446.428932,689.536898,16.917307,108.709361,12499.070258,31.641630,406.328649,689.536898,88.659220,446.428932,669.486757,16.604023,108.709361,621.867671,31.641630,408.834917,689.536898,1.879701,75.501314,581.767388
800000,48.609957,79.084346,113.179023,0.762939,0.762939,24.251442,13.465390,23.152508,24.264688,13.475244,23.092326,2.381089,49.577025,28.508795,689.536898,58373.794074,37.907299,448.935200,17164192.138749,128.759503,549.185908,1541.667913,195.802163,624.373939,1661.968763,93.045188,451.441468,689.536898,17.857157,123.746967,599.311262,37.594015,413.847452,694.549434,93.045188,451.441468,679.511828,17.857157,123.746967,611.842600,37.907299,413.847452,689.536898,1.879701,31.641630,584.273655
1200000,48.385269,95.534345,63.458759,0.572205,0.572205,19.785322,8.661189,19.617427,19.792695,8.632513,19.593209,2.414754,49.293812,26.629094,724.624646,121251.037905,36.654165,453.947736,33835644.217368,42.293267,468.985342,117401.410731,188.283360,601.817529,829.887889,92.418621,451.441468,734.649717,17.230590,111.215629,644.424080,40.413567,421.366256,684.524363,92.418621,451.441468,679.511828,17.230590,111.842196,12418.869692,40.726850,421.366256,694.549434,1.879701,76.127881,586.779923
2200000,52.278617,104.501031,59.598125,0.524521,0.524521,20.046151,8.475099,19.984842,20.084722,8.468409,19.975344,2.423081,52.925283,29.761929,749.687323,282293.774656,40.413567,473.997877,67342799.134000,37.280732,458.960271,284860.192771,189.536494,606.830065,6684.529215,93.671755,451.441468,679.511828,17.543874,112.468763,12659.471391,84.273251,428.885059,669.486757,93.671755,451.441468,684.524363,17.543874,112.468763,619.361403,84.273251,428.885059,6163.225536,1.879701,77.381015,596.804994
3100000,53.715646,90.694412,115.726927,0.739098,0.739098,25.906280,13.505847,24.903749,25.901182,13.554923,24.889693,2.382636,54.164078,32.894763,729.637182,286143.401829,43.546401,484.022948,67342799.134000,133.145471,564.223514,1255.953397,203.320966,639.411545,1411.341993,96.804590,453.947736,699.561969,18.170441,126.253235,669.486757,94.298322,438.910129,649.436615,96.804590,453.947736,689.536898,18.170441,126.253235,694.549434,94.298322,438.910129,719.612111,1.879701,46.052669,581.767388
6000000,59.605320,98.149742,131.854932,0.715256,0.715256,28.873995,14.655979,25.692326,29.188481,14.590897,25.100773,2.384766,60.041396,88.032653,739.662252,605662.457215,84.899818,504.073089,132714601.373312,135.025172,589.286191,5802.322988,238.408714,689.536898,5762.222705,98.057723,468.985342,799.812677,20.989992,259.711989,5682.022139,96.804590,448.935200,739.662252,98.057723,468.985342,784.775071,20.989992,281.015265,749.687323,96.804590,443.922665,754.699858,1.879701,48.245653,589.286191
10000000,62.720960,112.768844,106.610526,0.596046,0.596046,31.273824,21.214062,32.244498,31.234987,21.100083,32.304314,2.406416,63.159878,94.298322,759.712394,1272931.167258,98.684290,526.629499,266743221.039841,116.228164,579.261120,12900.073089,258.458856,704.574505,13301.075919,98.684290,521.616963,3456.456429,76.754448,433.897594,13140.674787,97.431156,519.110695,834.900425,98.684290,521.616963,834.900425,77.381015,433.897594,925.126061,97.431156,519.110695,814.850283,1.879701,75.501314,591.792459
