element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,16.343750,36.505208,23.793205,0.500000,0.500000,6.307279,4.985256,5.697814,6.387666,5.149628,5.671017,2.537522,21.072917,15.037603,70.802047,211.153007,18.797004,238.721945,411.654378,23.809538,70.175480,845.238593,17.857153,57.330861,202.381072,11.904769,18.797004,98.997552,9.711785,20.676704,46.365942,11.591486,14.411036,82.706816,11.904769,19.110287,123.433657,9.711785,22.243121,95.238151,11.278202,14.724319,80.827115,1.566417,3.446117,73.308314
110,17.324242,45.071212,21.517822,0.429688,0.429688,6.407905,5.094943,5.903914,6.895930,5.072134,5.730876,2.411095,16.669697,15.037603,68.922346,212.406140,19.423570,323.935028,654.762290,18.797004,66.416079,634.712153,13.471186,56.077727,201.127938,11.904769,15.037603,494.361193,9.711785,20.050137,83.333382,11.278202,15.037603,466.792255,11.904769,15.037603,286.341021,9.711785,20.676704,28.195505,11.278202,15.037603,1351.504556,1.566417,7.832085,32.581473
240,16.376389,42.463194,23.034255,0.468750,0.468750,6.455663,5.220794,5.791986,6.482904,5.213519,5.841704,2.483586,16.602778,15.037603,58.897278,256.265815,21.303271,366.541569,1491.855515,21.929837,73.308314,348.997699,16.917303,57.957428,159.774530,11.904769,19.423570,456.767186,9.711785,18.797004,111.528888,11.278202,15.664170,454.260919,11.904769,20.676704,414.160645,9.711785,19.423570,110.902321,11.278202,15.977453,24.436105,1.566417,7.832085,104.636653
500,16.977000,41.191333,24.188824,0.488281,0.488281,7.797710,5.353444,5.818388,6.923083,5.409354,5.892467,2.430711,16.638667,17.543870,45.739375,129.699325,21.929837,276.315952,2935.465388,22.556404,77.694281,546.992803,19.423570,61.090262,531.955201,12.531336,21.303271,584.586811,9.711785,19.423570,366.541569,11.591486,20.676704,459.273454,12.531336,20.676704,409.148111,9.711785,19.110287,22.556404,11.278202,20.050137,374.060371,1.566417,7.518801,40.100274
800,24.361250,39.108750,51.880479,0.781250,0.781250,7.458679,5.709642,6.562226,7.580239,5.758570,6.700099,2.425168,25.369167,17.543870,133.458725,273.809685,25.062671,198.621671,3296.367857,40.100274,238.721945,684.837496,36.967440,199.874804,501.879995,14.097753,22.556404,318.922494,10.025069,17.857153,491.854926,12.531336,21.929837,511.905063,14.097753,23.809538,117.167989,10.025069,21.929837,90.225617,12.531336,22.243121,297.619223,1.566417,3.759401,376.566638
1024,17.934082,46.767253,25.038873,0.500000,0.500000,7.409326,5.383730,6.489292,7.756649,5.412563,6.284885,2.385991,18.857422,16.917303,50.125343,333.960096,23.809538,184.837202,6965.542950,24.436105,81.453682,464.285988,21.929837,64.223095,594.611879,14.724319,23.809538,489.348659,9.711785,23.809538,441.729584,12.218052,23.182971,87.719350,15.037603,23.809538,401.629309,9.711785,24.122821,1060.777567,12.218052,22.243121,84.586516,1.879700,6.892235,364.035302
1500,23.192889,41.307444,43.779341,0.732422,0.732422,8.153053,5.905122,6.455729,8.569241,5.764764,6.476459,2.342939,24.844667,18.170437,127.193057,364.035302,25.689238,179.824667,6484.339659,37.594007,176.065267,694.862565,34.461173,145.363494,629.699619,15.037603,24.436105,509.398796,9.711785,23.182971,85.213083,13.784469,26.942372,399.123042,15.037603,24.436105,331.453829,9.711785,23.809538,90.852184,13.471186,26.315805,207.393606,1.566417,5.952384,406.641844
2048,18.732015,48.875977,25.544857,0.500000,0.500000,9.131280,5.426415,6.350362,8.995407,5.429855,7.018694,2.412753,19.857096,17.543870,55.137877,431.704515,25.689238,179.824667,14664.795606,24.436105,81.453682,521.930132,23.809538,65.476229,444.235851,15.350886,28.195505,100.250686,9.711785,24.436105,172.305866,14.097753,26.315805,439.223316,15.350886,26.942372,439.223316,9.711785,23.809538,142.230660,13.157902,25.062671,396.616775,1.879700,7.205518,72.055180
3000,24.961278,45.200944,44.519070,0.732422,0.732422,12.926552,6.414563,6.810084,13.253628,6.498886,6.804816,2.346095,26.166778,18.170437,104.636653,491.854926,26.942372,166.040198,15867.803834,37.594007,182.330934,572.055475,35.714307,144.736927,549.499071,17.543870,29.448639,101.503819,9.711785,25.062671,271.303418,14.724319,27.568939,474.311056,17.230587,29.448639,454.260919,10.025069,26.315805,57.957428,15.664170,30.075206,394.110508,1.566417,5.952384,113.408588
6000,25.192972,45.567028,46.266988,0.732422,0.732422,16.631879,7.416570,9.787087,16.563413,6.940861,9.854180,2.353597,26.752222,18.170437,98.370985,699.875099,26.942372,159.774530,32228.715728,39.473707,179.824667,750.000442,39.786991,151.002595,654.762290,21.929837,38.220574,434.210782,9.711785,29.448639,60.150411,16.917303,35.087740,1782.582504,21.616554,38.220574,164.787064,10.025069,29.448639,55.451160,16.917303,35.087740,129.699325,1.566417,5.952384,40.726841
