element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,15.546875,42.317708,30.719289,0.500000,0.500000,7.823676,5.019711,5.962756,7.842186,5.078172,5.983352,2.289628,19.656250,15.037603,117.794556,287.594154,19.423570,227.443743,348.997699,25.062671,114.661722,564.536673,20.050137,92.105317,263.784617,11.591486,13.784469,133.458725,9.711785,11.278202,84.586516,11.591486,15.037603,124.060223,11.591486,14.411036,318.922494,10.025069,12.531336,22.556404,11.591486,15.350886,2915.415251,1.566417,3.446117,82.706816
110,14.800000,46.683333,27.419185,0.429688,0.429688,6.868009,5.130113,6.050236,6.797846,5.131714,6.052863,2.665830,16.054545,15.664170,60.150411,206.140472,21.303271,399.123042,850.251127,23.182971,107.142920,526.942666,17.543870,87.092783,466.792255,11.591486,13.784469,371.554104,9.711785,14.724319,48.872209,11.591486,14.411036,282.581620,11.591486,13.784469,391.604241,10.025069,15.037603,31.954906,11.278202,15.037603,189.849736,1.566417,9.711785,30.701772
240,14.294444,46.484722,30.930461,0.468750,0.468750,6.416588,5.180394,6.028210,6.734379,5.170199,6.024286,2.455222,14.190278,15.037603,61.403545,146.616628,19.423570,384.085439,1461.780310,24.436105,119.047689,567.042941,19.423570,96.491285,416.666912,11.591486,15.350886,96.491285,10.025069,12.531336,287.594154,11.278202,14.097753,159.774530,11.591486,13.784469,262.531483,9.711785,12.531336,313.909959,11.278202,14.411036,82.706816,1.566417,3.759401,83.959949
500,15.362000,47.520667,31.669147,0.488281,0.488281,6.983558,5.312883,6.091416,6.758332,5.304654,6.091850,2.462119,16.166000,16.917303,49.498776,142.857227,21.929837,308.897425,4198.624027,25.689238,125.313357,509.398796,22.556404,103.383520,343.985165,11.904769,17.543870,446.742118,10.025069,14.724319,80.827115,11.591486,17.543870,434.210782,11.904769,17.543870,474.311056,10.025069,12.531336,36.967440,11.591486,18.170437,232.456277,1.566417,7.832085,94.611585
800,22.986667,45.621458,84.098654,0.781250,0.781250,7.333168,5.640822,6.569841,7.300488,5.622384,6.598418,2.358576,29.335833,20.050137,138.471260,285.087887,27.568939,219.924942,3436.718817,53.884744,434.210782,1321.429350,48.245642,386.591706,1191.103459,13.471186,19.423570,287.594154,10.025069,19.110287,434.210782,11.904769,18.797004,436.717049,13.157902,18.797004,519.423865,10.025069,19.423570,361.529035,11.904769,20.050137,308.897425,1.566417,3.759401,3256.267582
1024,17.221842,57.989258,32.873584,0.500000,0.500000,6.831342,5.272399,6.147294,6.852221,5.293329,6.174561,2.388519,19.216797,18.170437,60.776978,594.611879,26.315805,265.037750,9652.261325,26.315805,132.205592,514.411331,24.436105,109.022621,434.210782,14.411036,20.050137,411.654378,10.025069,14.411036,446.742118,12.218052,21.616554,115.914855,14.411036,19.423570,277.569086,10.025069,15.977453,308.897425,12.218052,21.303271,391.604241,1.879700,6.578951,341.478898
1500,25.190778,52.231444,67.520217,0.732422,0.732422,7.418144,5.572731,6.515506,7.319569,5.596464,6.490286,2.392727,28.792222,21.303271,139.097826,354.010234,27.568939,228.696877,9732.461874,41.979975,331.453829,965.539416,42.293258,293.859822,900.376470,15.037603,21.929837,509.398796,10.025069,19.423570,89.599050,12.218052,20.050137,376.566638,15.037603,22.556404,282.581620,10.338352,19.423570,386.591706,13.157902,23.182971,379.072905,1.566417,5.952384,441.729584
2048,18.567546,60.944173,33.169350,0.500000,0.500000,7.149725,5.459842,6.213974,7.058279,5.348533,6.265165,2.414370,20.152832,20.676704,73.934881,536.967735,28.822072,223.684342,19958.031807,26.315805,132.832158,760.025510,26.315805,110.275754,514.411331,15.037603,21.929837,471.804789,10.025069,17.543870,232.456277,13.471186,22.556404,436.717049,15.037603,23.496254,414.160645,10.025069,16.917303,243.734479,13.471186,22.556404,389.097974,1.879700,6.892235,39.473707
3000,26.997111,57.655389,69.225154,0.732422,0.732422,8.871192,5.531553,6.685936,8.628006,5.535034,6.667850,2.353887,29.316667,22.556404,132.832158,449.248385,30.075206,216.165541,21481.842229,43.233108,338.972631,905.389005,43.859675,307.644292,920.426607,18.170437,30.075206,474.311056,10.338352,23.809538,456.767186,15.037603,28.195505,456.767186,18.170437,30.075206,318.922494,10.338352,24.436105,302.631757,15.037603,28.195505,404.135576,1.566417,5.952384,469.298522
6000,28.543917,58.245250,71.865920,0.732422,0.732422,17.355222,6.694607,13.279060,17.382736,6.741969,13.268836,2.344759,29.908222,22.556404,163.533931,1055.765033,30.701772,236.215678,42013.182644,45.112809,356.516501,1231.203733,47.619076,321.428761,1125.940513,22.556404,38.220574,474.311056,13.471186,28.822072,86.466216,19.110287,36.967440,258.772082,22.556404,38.220574,92.731884,13.471186,29.448639,82.080249,19.423570,37.594007,92.731884,1.566417,3.446117,41.979975
8192,21.680379,66.000875,36.580181,0.500000,0.500000,13.171856,7.250736,13.008743,13.153598,7.306830,13.002217,2.412343,22.468669,21.303271,87.719350,1281.329076,30.075206,273.809685,85963.083222,26.942372,135.964992,634.712153,37.280724,117.794556,531.955201,23.809538,40.100274,509.398796,13.471186,24.436105,306.391158,20.050137,39.160424,70.802047,23.809538,39.160424,62.969962,13.157902,23.809538,93.985018,20.050137,38.847141,119.674256,1.879700,8.771935,73.934881
12000,30.901736,61.744639,74.712761,0.732422,0.732422,21.506632,10.139705,17.913153,21.403605,10.129836,17.813102,2.351910,32.053083,23.182971,168.546465,1115.915444,31.328339,285.087887,86604.687610,46.992509,366.541569,1236.216267,51.691760,333.960096,1010.652224,27.568939,45.112809,516.917598,14.097753,35.714307,115.914855,23.182971,45.112809,411.654378,27.568939,45.739375,78.947415,14.097753,36.027590,111.528888,23.182971,45.112809,123.433657,1.566417,5.952384,77.694281
16384,22.766398,70.508891,37.909749,0.500000,0.500000,15.678481,8.418863,15.531135,15.777657,8.457123,15.447148,2.404662,23.322245,21.929837,93.985018,2043.234286,31.328339,313.909959,171938.071212,28.822072,139.724393,669.799893,40.100274,121.553956,594.611879,26.942372,43.859675,87.092783,13.784469,28.822072,1822.682778,22.556404,43.233108,406.641844,26.942372,43.859675,86.466216,13.784469,28.195505,431.704515,22.869688,43.233108,193.609137,2.192984,9.085218,49.498776
