element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,8.432292,19.161458,12.306676,0.500000,0.500000,2.554881,2.980490,2.786819,2.569131,2.976842,2.788843,2.585407,16.322917,7.205520,52.318341,403.822407,9.085221,171.992631,304.824827,14.724324,47.305806,363.722121,12.531339,35.401033,89.912359,5.952386,6.578953,81.766988,5.952386,6.892237,78.007587,5.952386,6.578953,23.496261,5.639103,6.578953,79.260721,5.952386,6.892237,79.887288,5.639103,6.578953,139.411149,1.879701,3.759402,29.135364
110,6.728788,19.707576,10.351292,0.429688,0.429688,2.479233,2.985119,2.789748,2.470476,2.976789,2.799986,2.529688,12.142424,7.205520,26.629096,46.052672,9.085221,262.218273,448.935228,14.097757,46.052672,571.742352,11.591489,35.401033,72.995051,5.952386,6.892237,428.885085,5.952386,7.205520,244.674398,5.639103,6.578953,22.243127,5.952386,6.892237,262.218273,5.952386,6.578953,276.002746,5.639103,6.892237,79.260721,1.879701,4.072685,75.501319
240,5.884722,22.034028,11.602774,0.468750,0.468750,2.546025,3.386985,2.760079,2.553835,3.394078,2.769499,2.488777,9.902778,7.205520,31.641632,391.291067,10.338355,198.308443,900.063440,14.097757,48.558940,331.140639,12.218056,36.027600,338.659443,5.952386,10.651638,341.165710,5.952386,13.784473,79.887288,5.639103,7.205520,501.566853,5.952386,10.651638,426.378817,5.952386,13.784473,341.165710,5.639103,7.205520,526.629531,1.566417,8.771937,35.401033
500,5.749000,21.985000,12.198918,0.488281,0.488281,2.631629,3.426639,2.768212,2.595687,3.429622,2.766356,2.430515,10.130667,7.205520,32.268199,82.393555,13.471190,174.498899,1972.746078,14.724324,49.812073,719.612155,12.218056,37.280734,441.416424,5.952386,6.892237,506.579388,5.952386,12.844623,86.152957,5.639103,7.205520,463.972835,5.952386,7.205520,3496.556928,5.952386,13.157906,109.335935,5.639103,7.205520,24.122828,1.566417,3.446118,451.441496
800,9.511042,19.986250,26.777064,0.781250,0.781250,3.374414,3.525891,3.467447,3.366489,3.522353,3.473257,2.359771,16.783333,7.205520,77.381020,272.243345,10.964922,107.456234,1792.294793,26.629096,98.057729,431.391353,22.556411,83.646689,230.889925,6.265670,9.711788,94.924895,6.265670,10.338355,82.393555,5.952386,9.711788,366.228389,6.265670,9.711788,81.766988,6.265670,11.904772,227.130523,6.265670,9.711788,243.421264,1.879701,3.446118,73.621618
1024,5.706380,25.282389,12.810434,0.500000,0.500000,2.595982,3.287444,2.778338,2.584641,3.290171,2.784792,2.450657,8.398112,7.205520,28.508797,71.115350,11.591489,94.924895,4037.910782,15.350891,51.065207,411.341210,12.844623,38.533868,338.659443,5.952386,9.085221,91.165493,5.952386,13.157906,468.985371,5.639103,8.771937,81.140421,5.639103,9.085221,321.115568,5.952386,13.157906,254.699470,5.639103,9.085221,448.935228,1.879701,5.639103,311.090496
1500,8.091556,22.182222,23.605550,0.732422,0.732422,2.993162,3.234601,3.106265,2.991121,3.241686,3.132010,2.360265,16.798667,7.832087,47.932373,566.729816,13.471190,72.368484,5200.819062,24.749395,83.020122,426.378817,21.616560,68.609082,466.479103,6.265670,9.085221,403.822407,6.265670,13.471190,506.579388,6.265670,9.711788,79.887288,5.952386,9.085221,451.441496,6.265670,14.411040,506.579388,6.265670,9.398504,99.937430,1.879701,3.446118,75.501319
2048,6.000488,29.355550,12.681611,0.500000,0.500000,2.618159,3.377387,2.793372,2.621900,3.384494,2.787940,2.442237,11.495605,7.832087,29.761931,436.403889,14.724324,108.082801,14263.483591,15.350891,50.438640,381.265996,13.784473,39.787002,506.579388,6.578953,8.771937,448.935228,5.952386,13.471190,536.654602,5.952386,8.145370,209.586649,6.578953,8.458654,398.809871,5.952386,13.471190,86.779524,5.952386,8.145370,408.834942,1.879701,7.205520,74.248185
3000,8.983000,24.961556,23.991095,0.732422,0.732422,2.958167,3.312019,3.234543,2.943223,3.312291,3.052372,2.364153,14.022556,8.458654,45.426105,438.910156,15.350891,77.381020,15306.091014,24.749395,86.152957,496.554317,22.243127,70.488783,433.897621,6.892237,9.085221,504.073120,6.265670,14.411040,3296.055500,6.265670,8.771937,1321.116438,6.892237,9.085221,456.454031,6.265670,14.097757,212.092916,6.265670,8.771937,368.734657,1.566417,5.952386,240.914997
6000,9.606639,25.790139,24.483320,0.732422,0.732422,3.325287,4.035586,5.944567,3.376250,3.983208,5.923277,2.357317,12.522444,8.458654,52.944908,719.612155,16.604024,83.020122,28057.981811,25.375962,86.152957,684.524405,22.869694,73.621618,526.629531,7.832087,17.230591,504.073120,6.265670,19.110292,504.073120,7.518804,18.797009,79.887288,7.832087,17.857158,423.872549,6.265670,15.664174,418.860014,7.518804,19.110292,408.834942,1.879701,5.952386,107.456234
8192,6.682983,29.736104,13.523347,0.500000,0.500000,3.710567,3.222709,4.111861,3.709945,3.266394,4.132510,2.421932,8.255127,8.458654,35.401033,1160.715296,16.604024,72.995051,52920.158835,15.977458,52.944908,443.922692,18.483725,44.799538,514.098192,8.145370,18.797009,403.822407,5.952386,13.784473,438.910156,7.518804,19.110292,509.085656,8.145370,17.230591,504.073120,5.952386,13.784473,123.120408,7.518804,19.110292,85.526390,1.879701,6.892237,358.709585
