element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,44.515625,92.838542,74.960388,0.500000,0.500000,13.645099,11.918978,12.189864,12.681340,11.948759,12.052363,2.600138,28940.093750,44.172964,160.087835,211.466318,53.571467,449.561728,464.599333,116.228154,477.130670,12900.698531,32.894761,66.416088,705.201010,22.243124,29.135359,120.614122,17.857156,27.255659,915.727478,19.736856,26.002525,215.225719,22.869691,29.135359,391.917576,19.423573,29.761926,3437.032555,19.736856,27.255659,346.804762,2.506267,4.072685,46.679232
110,33.119697,81.140909,72.167917,0.429688,0.429688,14.889531,11.764004,12.995535,15.317790,11.689959,12.921469,2.582317,8311.848485,36.654162,101.817116,269.110470,49.812066,765.351429,1301.692669,114.348453,472.118135,12660.096854,35.401028,69.862206,865.602128,25.375958,33.521327,577.381369,20.363423,29.761926,3256.581297,21.616557,31.015060,524.749752,25.375958,35.401028,3236.531157,19.110289,27.882226,12579.896295,21.929840,29.761926,131.265759,2.506267,7.832086,75.501308
240,31.689583,71.597222,75.195050,0.468750,0.468750,17.397799,12.387724,14.380676,17.529846,12.427997,14.321307,2.495375,3897.995833,37.907296,90.538912,432.017856,47.305799,680.138335,2875.628641,116.854721,482.143205,655.075661,41.040130,83.020110,13141.300209,30.388493,41.040130,3176.380738,20.363423,35.714311,50.438633,26.002525,36.027595,341.792227,30.388493,40.100280,97.431148,22.243124,37.280729,71.115340,26.002525,35.401028,103.696817,2.192984,7.518802,12499.695736
500,29.638000,72.962000,76.922946,0.488281,0.488281,18.304007,12.877623,14.618360,18.334053,12.879447,14.680194,2.423690,1910.751333,38.533862,81.140409,274.123005,48.558932,394.423843,5682.648211,118.107855,479.636938,12579.896295,51.065200,98.057715,775.376499,32.268194,45.426098,235.275859,20.989990,34.774461,67.042655,27.255659,37.907296,161.340969,31.641627,46.052665,404.448913,20.989990,37.280729,85.526378,27.882226,37.907296,107.456218,2.506267,6.892236,12740.297413
800,37.779167,64.343125,112.445241,0.781250,0.781250,20.060439,13.780347,16.606093,20.684364,13.782343,16.130491,2.342812,1256.227083,40.413563,152.569032,351.817296,48.558932,234.022725,5883.149608,133.145459,507.205880,6244.052124,72.995040,212.719452,845.551989,37.907296,58.270719,442.042925,24.122824,39.473713,70.488773,29.135359,44.799531,472.118135,37.594012,58.584002,499.687077,23.809541,39.160429,467.105600,29.761926,45.426098,212.719452,2.506267,4.072685,73.621607
1024,30.515299,71.099121,78.331096,0.500000,0.500000,27.146287,13.361258,18.494675,27.425692,13.233338,18.821230,2.426423,987.391602,37.907296,83.646677,379.386239,45.426098,218.985120,11296.687349,118.734422,479.636938,13141.300209,67.669222,121.867256,745.301290,52.631617,77.381008,305.451348,24.122824,44.172964,514.724682,32.894761,61.716837,191.416178,51.378483,76.754441,464.599333,24.122824,42.919830,409.461448,32.894761,60.150419,421.992786,2.506267,6.892236,48.558932
1500,34.672000,63.442444,106.286684,0.732422,0.732422,30.681625,17.220586,25.451910,30.916401,17.397222,25.085568,2.338765,716.306667,41.666697,99.937415,354.323564,47.305799,153.822166,11537.289026,128.759491,497.180810,13381.901886,80.513843,188.909911,1156.329155,63.596537,85.526378,519.737217,26.629092,53.571467,389.411309,46.052665,81.766976,369.361169,62.969970,84.273244,176.378573,26.942375,53.571467,160.087835,46.052665,82.393543,234.022725,1.879701,6.265669,61.403553
2048,30.512044,72.906250,80.700286,0.500000,0.500000,32.520720,19.470049,27.795773,32.519961,19.300712,27.951791,2.429678,546.446126,39.786996,78.634142,218.985120,47.305799,180.137975,25973.389668,118.734422,484.649473,840.539454,80.513843,151.315899,13061.099650,67.669222,88.032645,346.804762,31.641627,59.523852,444.549193,50.751916,87.406078,386.905041,67.042655,87.406078,424.499053,32.268194,59.523852,145.050230,51.065200,87.406078,391.917576,2.506267,6.892236,13061.099650
3000,35.463944,63.959333,111.258727,0.732422,0.732422,34.431983,23.407273,29.288493,34.355424,23.260297,29.327073,2.354310,421.650556,41.040130,102.443683,394.423843,47.932365,147.556497,26614.994141,131.265759,499.687077,12740.297413,89.285779,216.478853,12740.297413,71.115340,96.178014,336.779692,38.533862,81.140409,292.920011,57.017585,93.671747,572.368834,71.115340,95.551447,406.955181,39.473713,83.646677,344.298494,57.017585,93.045180,449.561728,1.879701,6.265669,29.135359
6000,35.802472,63.825389,117.480634,0.732422,0.732422,36.651138,23.913392,32.170079,36.687698,23.740963,31.972943,2.348684,276.296333,41.040130,99.937415,705.201010,47.305799,125.626657,57091.206607,133.145459,502.193345,835.526919,98.057715,361.842366,13141.300209,74.248174,106.203084,507.205880,40.413563,88.032645,200.188114,60.150419,98.684282,396.930111,73.621607,107.456218,572.368834,40.413563,86.779511,399.436378,61.403553,101.190549,577.381369,2.192984,6.265669,12419.495177
