element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,29.114583,62.677083,44.690229,0.500000,0.500000,9.138262,7.215644,8.074348,9.085125,7.177641,8.005280,2.526730,1342.802083,25.375958,187.656777,222.744522,31.015060,306.704482,860.589593,41.666697,178.884841,815.476779,31.954910,98.057715,414.473983,14.724321,17.857156,414.473983,12.531337,15.350888,148.809631,13.471188,16.604022,116.854721,14.724321,18.797006,394.423843,12.844621,15.037605,211.466318,13.784471,17.543872,110.589052,2.506267,4.072685,344.298494
110,26.412121,66.618182,41.964132,0.429688,0.429688,9.111163,7.171445,8.217701,8.993042,7.169860,8.126755,2.368209,486.960606,27.882226,87.406078,336.779692,37.280729,569.862567,1036.028316,39.786996,187.656777,755.326360,29.761926,95.551447,554.824962,15.350888,21.616557,467.105600,13.157904,16.290739,105.576517,14.097755,20.050140,126.253224,15.350888,20.363423,305.451348,13.157904,16.604022,444.549193,14.097755,19.736856,172.619172,2.506267,4.072685,71.741906
240,26.272917,69.317361,45.364097,0.468750,0.468750,9.364222,7.337831,8.333826,9.302288,7.301987,8.380843,2.523674,39.562500,27.255659,99.310849,158.834701,35.401028,622.494183,2314.224727,41.666697,201.441248,640.038056,34.147894,104.949950,599.937776,16.604022,25.375958,437.030391,13.471188,16.604022,292.920011,14.411038,22.556407,477.130670,15.977455,24.749391,177.631707,13.471188,16.917305,140.037695,14.724321,24.122824,44.486248,2.506267,7.518802,30.388493
500,29.276000,70.124667,47.304212,0.488281,0.488281,10.016959,7.421660,8.963585,10.000426,7.437135,8.968671,2.426315,43.806000,29.135359,107.456218,775.376499,39.786996,394.423843,5642.547931,42.919830,200.188114,1096.178736,38.220579,113.095320,597.431509,18.483723,29.135359,444.549193,13.471188,18.797006,477.130670,16.290739,29.135359,213.972585,18.483723,29.761926,266.604202,13.471188,19.110289,50.751916,16.290739,29.135359,98.684282,2.506267,6.892236,74.248174
800,35.075208,70.800417,85.096780,0.781250,0.781250,10.372697,7.956162,9.222945,10.327707,7.960546,9.225220,2.357381,55.731667,32.894761,145.050230,305.451348,42.919830,275.376139,6123.751286,68.609072,364.348634,975.877897,59.523852,286.654342,920.740013,18.170439,30.388493,517.230950,13.471188,20.989990,103.070250,16.290739,29.761926,414.473983,18.483723,30.388493,497.180810,13.784471,20.363423,63.909821,16.290739,29.761926,416.980251,2.192984,4.385968,116.228154
1024,29.229655,89.114095,48.954513,0.500000,0.500000,10.214348,7.678399,8.945788,10.325722,7.675254,8.954619,2.456658,46.542969,30.388493,111.215619,297.932546,42.293264,444.549193,14985.913069,44.172964,196.428713,690.163405,44.486248,120.614122,675.125800,19.110289,36.027595,469.611868,13.471188,19.110289,334.273424,16.604022,30.388493,71.115340,18.797006,30.388493,171.366038,13.784471,20.989990,229.010190,16.604022,30.388493,302.945081,2.506267,7.205519,74.874741
1500,38.056333,75.858444,77.432290,0.732422,0.732422,10.761718,7.946838,9.528925,11.292243,8.258586,9.333690,2.349841,60.584000,36.027595,172.619172,279.135540,44.172964,276.629272,16188.921455,61.716837,316.729552,825.501849,62.030120,252.819731,715.226080,20.363423,39.786996,371.867436,14.097755,20.989990,176.378573,16.604022,34.147894,354.323564,20.676707,42.293264,203.947516,13.784471,20.989990,439.536658,16.917305,34.147894,3717.734512,2.192984,6.578952,96.804581
2048,30.128499,86.394531,51.034327,0.500000,0.500000,11.445498,7.733615,9.821840,12.047824,7.728424,9.960839,2.400496,51.501302,32.894761,103.696817,386.905041,44.799531,292.920011,31427.027688,43.546397,193.922446,810.464244,52.318333,130.012625,755.326360,24.122824,49.185499,507.205880,13.471188,24.436108,374.373704,17.543872,42.293264,71.741906,24.122824,46.679232,70.488773,14.724321,24.122824,469.611868,17.857156,42.293264,113.095320,2.506267,10.964920,244.047795
3000,37.221556,74.635611,80.848726,0.732422,0.732422,19.038271,9.122878,14.652866,18.885623,8.400030,14.646525,2.348517,59.016444,36.027595,152.569032,404.448913,43.546397,244.047795,31747.829925,62.343403,324.248354,1010.965642,68.295789,264.097935,810.464244,29.135359,62.030120,469.611868,15.350888,29.761926,406.955181,23.809541,54.824601,200.188114,29.135359,61.403553,444.549193,15.350888,29.135359,92.418613,23.496258,54.198034,78.634142,1.879701,6.265669,44.799531
6000,39.066472,76.753556,84.578154,0.732422,0.732422,26.196551,14.828823,23.114069,26.211532,14.705134,23.077361,2.334316,59.807000,36.027595,172.619172,720.238615,43.546397,271.616737,64148.855810,64.223104,334.273424,1126.253945,74.248174,276.629272,860.589593,36.654162,72.995040,389.411309,20.050140,43.859681,141.290829,31.641627,71.115340,266.604202,38.533862,72.368473,3437.032555,20.363423,44.172964,404.448913,31.015060,70.488773,394.423843,2.506267,6.892236,32.894761
8192,30.688904,87.664449,56.006271,0.500000,0.500000,22.359477,14.026062,24.492970,22.433759,15.774056,22.144649,2.421230,46.685140,33.521327,102.443683,1126.253945,43.546397,296.679412,127667.698634,45.426098,207.706917,655.075661,65.162954,155.075300,770.363964,34.774461,70.488773,300.438813,20.363423,41.666697,319.235819,31.641627,72.368473,406.955181,34.774461,69.862206,183.897376,20.363423,41.666697,83.020110,32.268194,71.741906,145.676797,2.506267,9.711786,76.127874
12000,40.395250,79.165264,88.252221,0.732422,0.732422,29.863948,18.047638,26.429156,29.748514,18.475994,27.950029,2.345194,56.815333,36.654162,187.656777,1061.090991,44.799531,272.869871,127667.698634,66.102805,349.311029,1411.968437,79.260709,297.932546,1091.166201,40.726846,75.501308,504.699612,23.182974,50.438633,369.361169,35.401028,76.127874,442.042925,41.040130,76.127874,574.875102,22.869691,51.065200,155.075300,35.401028,75.501308,361.842366,2.506267,6.578952,50.751916
16384,31.203562,90.330638,58.853227,0.500000,0.500000,24.412394,16.834186,24.564547,24.314348,16.129060,24.692336,2.409214,50.582642,33.521327,110.589052,1943.297142,44.172964,299.185680,254063.779808,47.305799,229.010190,1126.253945,69.235639,197.681847,870.614663,36.654162,72.368473,554.824962,22.243124,46.679232,386.905041,33.521327,74.248174,554.824962,36.027595,72.368473,559.837497,22.243124,46.365948,261.591667,33.521327,73.621607,514.724682,2.506267,9.398503,306.704482
25000,43.986367,82.806713,102.716256,0.762939,0.762939,32.538687,20.696557,29.425840,32.732862,20.765957,29.351043,2.343331,67.842147,37.280729,230.263324,2133.773469,46.052665,309.210749,256630.197700,76.127874,406.955181,1146.304085,88.659212,399.436378,1131.266480,42.919830,79.887276,609.962846,26.002525,55.137884,569.862567,37.280729,78.634142,584.900171,42.919830,82.393543,625.000451,26.002525,55.764451,537.281089,37.280729,78.634142,635.025521,2.506267,6.892236,123.120390
32768,32.013845,90.709788,66.018218,0.500000,0.500000,26.360462,16.844148,25.823047,26.643507,16.819489,25.837546,2.415405,55.350566,34.774461,113.095320,3777.884931,44.172964,316.729552,518404.822671,49.812066,265.351069,990.915502,76.127874,351.817296,885.652268,38.533862,119.987555,665.100731,23.496258,50.438633,574.875102,36.027595,94.298314,630.012986,39.473713,126.253224,675.125800,23.496258,51.065200,552.318694,36.027595,91.165479,645.050591,2.506267,8.771936,439.536658
45000,39.372041,83.109126,94.568461,0.686646,0.686646,33.426601,19.654952,28.607202,32.535645,19.184433,28.653633,2.383233,66.932030,37.280729,171.366038,3817.985211,46.052665,294.173145,518404.822671,67.982505,364.348634,1211.467040,91.792046,444.549193,1000.940572,43.859681,128.759491,660.088196,25.375958,57.017585,569.862567,38.533862,86.152944,645.050591,44.799531,124.373523,645.050591,24.749391,57.644152,579.887636,38.533862,90.538912,645.050591,2.506267,4.072685,346.804762
60000,31.635203,97.793931,76.783923,0.457764,0.457764,34.292391,17.213457,29.949886,33.709762,17.244433,30.256147,2.439229,64.751094,35.401028,105.576517,7406.960232,46.052665,334.273424,1052219.744181,49.812066,354.323564,1046.053386,98.684282,507.205880,875.627198,41.666697,305.451348,745.301290,24.749391,63.909821,630.012986,38.533862,163.847236,760.338894,41.666697,221.491388,750.313825,24.749391,69.235639,645.050591,38.533862,162.594102,700.188475,2.506267,10.651637,444.549193
100000,46.066283,87.483707,140.161484,0.762939,0.762939,49.451956,23.798322,40.047345,49.303706,23.730274,40.439594,2.370105,78.965600,41.040130,232.769592,7527.261070,48.558932,341.792227,1062485.415748,89.912346,492.168275,1502.194066,157.581567,602.444044,1622.494905,49.812066,427.005321,915.727478,28.508793,110.589052,735.276220,43.859681,319.235819,835.526919,49.812066,429.511588,825.501849,28.508793,108.082785,655.075661,43.546397,295.426278,770.363964,2.506267,4.072685,282.894941
150000,38.332311,95.431707,118.039273,0.572205,0.572205,54.998277,20.198539,45.038322,55.750047,20.164336,44.953393,2.404002,72.280820,41.040130,157.581567,14905.712509,48.558932,371.867436,2155779.437686,60.463703,437.030391,14905.712509,188.909911,645.050591,1126.253945,94.298314,519.737217,1106.203806,28.508793,113.721887,690.163405,50.438633,454.574263,860.589593,96.804581,522.243485,870.614663,28.508793,113.721887,670.113265,50.751916,454.574263,885.652268,2.506267,7.518802,509.712147
200000,48.701135,93.466035,175.083048,0.762939,0.762939,62.886400,27.370004,52.878862,62.957664,27.292313,54.771635,2.373168,63.402047,43.546397,250.313464,14825.511950,51.691767,386.905041,2258436.153361,94.298314,549.812427,1752.820814,227.757057,710.213545,1883.146722,101.190549,534.774822,1076.128596,31.015060,175.125440,740.288755,59.523852,479.636938,1081.141131,101.190549,532.268554,945.802687,31.015060,181.391108,770.363964,59.523852,479.636938,885.652268,2.506267,4.072685,502.193345
300000,42.942968,101.961336,143.010219,0.572205,0.572205,67.540213,24.386516,56.832928,66.326252,23.414841,56.482180,2.410315,44.873463,42.919830,207.706917,29341.813151,52.318333,411.967716,4619540.613885,58.584002,469.611868,29502.214269,231.516458,710.213545,1156.329155,106.829651,574.875102,990.915502,30.388493,193.922446,795.426639,94.924881,544.799892,985.902967,106.203084,564.850032,1000.940572,30.388493,157.581567,785.401569,94.924881,544.799892,990.915502,2.506267,7.832086,547.306159
400000,56.213776,101.253363,206.156092,0.762939,0.762939,74.949575,32.125360,58.334884,70.288105,28.437839,58.383849,2.373207,56.540548,46.052665,349.311029,29823.016506,56.077735,437.030391,4599009.270750,122.493823,627.506718,29502.214269,287.907476,785.401569,1993.422491,112.468753,592.418974,4098.687168,34.147894,321.742087,860.589593,63.909821,534.774822,1742.795744,111.842186,567.356299,6003.450447,32.894761,196.428713,790.414104,65.476238,534.774822,5121.244297,2.506267,4.072685,574.875102
600000,49.552066,111.575808,159.222639,0.572205,0.572205,76.113232,29.260910,56.290553,71.241965,21.589972,56.324103,2.404996,49.548209,44.799531,331.767157,58695.217790,56.077735,464.599333,9855033.113306,64.223104,489.662007,58374.415553,276.629272,740.288755,1191.416900,113.721887,612.469114,5923.249888,31.641627,341.792227,850.564523,101.817116,539.787357,1381.893228,113.095320,594.925241,3918.235910,31.015060,130.639192,780.389034,101.817116,539.787357,1010.965642,2.506267,11.591487,522.243485
800000,65.678811,111.603665,231.752115,0.762939,0.762939,84.420139,38.046178,64.176402,79.747580,30.859454,63.986338,2.372344,65.766782,49.185499,444.549193,58695.217790,59.837136,487.155740,10224597.289735,147.556497,740.288755,58374.415553,316.729552,835.526919,2284.149518,118.107855,625.000451,5161.344576,37.907296,411.967716,995.928037,110.589052,562.343764,1061.090991,117.481288,612.469114,1176.379295,35.401028,269.110470,5161.344576,110.589052,562.343764,915.727478,2.506267,4.072685,3677.634233
1200000,54.610681,122.574396,170.886982,0.572205,0.572205,83.642163,34.802934,64.393959,80.641281,30.338108,64.512775,2.409433,54.461472,47.932365,391.917576,121893.258377,59.837136,499.687077,22830841.974616,66.102805,499.687077,116760.422593,297.932546,760.338894,1261.592389,117.481288,635.025521,4920.742899,32.894761,409.461448,1000.940572,110.589052,594.925241,3938.286050,116.854721,627.506718,6043.550727,32.268194,354.323564,950.815222,110.589052,594.925241,1106.203806,2.506267,13.784471,660.088196
2200000,56.501963,140.922596,169.552856,0.524521,0.524521,88.452801,38.463046,71.366904,87.433683,37.368695,71.504362,2.414598,56.380201,49.812066,409.461448,270745.496106,64.223104,537.281089,57487749.186471,64.223104,494.674542,264329.451376,305.451348,770.363964,1161.341690,121.240689,650.063126,6845.556318,35.714311,437.030391,3517.233114,116.228154,627.506718,5361.845974,122.493823,650.063126,6765.355759,36.654162,434.524123,5602.447651,116.228154,627.506718,4660.091082,2.506267,49.812066,587.406439
3100000,73.676449,133.896483,239.455604,0.739098,0.739098,92.541960,44.068337,75.351102,91.949652,43.022303,75.534549,2.374432,73.690652,54.824601,482.143205,272028.705051,67.982505,549.812427,57487749.186471,156.328434,730.263685,2314.224727,366.854901,845.551989,1983.397421,123.120390,650.063126,5762.848770,43.233114,449.561728,935.777618,121.240689,627.506718,3437.032555,123.746956,650.063126,7166.358554,41.979980,444.549193,965.852827,121.240689,627.506718,5401.946254,2.506267,4.072685,529.762287
