element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,16.239583,46.286458,21.220267,0.500000,0.500000,6.790274,4.715950,5.892557,6.861711,4.742875,5.973980,1.993508,24.302083,14.724316,60.463681,110.589012,24.122816,359.335968,396.929966,25.375949,67.355914,529.762093,14.724316,46.679215,269.110371,12.218049,20.989982,67.669197,9.711783,18.483716,504.699428,12.844616,20.989982,319.235703,12.531333,21.616549,202.694308,9.398500,19.110282,87.406046,12.531333,21.616549,185.150442,3.446117,5.952383,28.508782
110,20.451515,40.093939,31.687171,0.859375,0.859375,7.099408,5.881510,6.473203,7.033598,5.830314,6.260036,1.175698,20.109091,18.483716,66.729347,87.406046,26.629082,376.879833,695.175686,39.160415,94.298279,542.293426,17.230583,60.463681,439.536497,12.531333,24.749382,3336.780637,13.471183,23.182966,349.310901,13.157899,22.243116,356.829701,12.844616,23.496249,37.280715,13.157899,23.182966,215.225641,13.157899,22.556399,85.526346,3.132833,9.085216,73.621580
240,20.012500,37.115278,20.425232,0.937500,0.937500,7.286038,6.378932,6.287887,7.034848,6.333526,6.394478,1.110035,17.902778,16.604016,67.355914,104.323345,25.375949,361.842234,1236.529262,22.243116,65.476214,6043.548518,15.350883,46.679215,409.461299,12.844616,26.002516,619.987689,13.157899,27.255649,401.942499,12.844616,27.255649,141.290777,12.218049,26.002516,311.716903,13.471183,27.255649,336.779569,12.844616,26.629082,2875.627590,3.132833,9.398500,507.205694
500,16.006667,55.870333,21.398476,0.488281,0.488281,7.797354,4.719530,6.254075,7.731424,4.838642,6.068742,1.999011,16.662000,14.724316,49.185481,321.741969,28.508782,324.248236,6043.548518,23.496249,65.476214,404.448766,18.483716,50.751898,472.117963,13.157899,27.882215,442.042764,9.711783,22.243116,351.817168,12.844616,23.496249,454.574097,12.844616,27.882215,331.767035,9.711783,22.243116,84.273213,12.844616,23.496249,514.724494,3.446117,6.892233,76.754413
800,17.471250,42.521458,30.520807,0.781250,0.781250,8.312620,6.065810,7.826463,8.285284,5.887789,7.738241,1.262780,20.467500,15.350883,59.210547,117.481245,27.255649,91.165446,6885.654081,36.654148,86.779480,472.117963,22.243116,61.090247,457.080363,14.724316,34.774448,110.589012,13.471183,29.761915,94.924846,14.097749,26.629082,517.230761,14.724316,33.521315,522.243294,13.471183,27.882215,89.285746,14.097749,27.255649,346.804635,3.132833,9.085216,78.007547
1024,16.202311,56.792318,22.518373,0.500000,0.500000,8.400507,5.603986,7.217172,8.522681,5.433186,6.610387,1.988891,18.311849,15.977449,49.185481,434.523964,32.894749,108.082745,12259.089578,24.749382,67.355914,547.305959,20.363416,55.137864,492.168095,15.037599,35.401015,419.486365,10.338350,26.315799,517.230761,13.784466,24.749382,514.724494,15.037599,34.774448,394.423699,10.964916,25.375949,92.418579,14.097749,27.568932,394.423699,3.759400,8.771933,54.198014
1500,19.490556,48.233111,29.819010,0.732422,0.732422,9.214839,7.822671,9.634018,9.566926,7.460048,9.568838,1.368521,22.587111,15.977449,66.729347,349.310901,31.015049,101.817079,12018.487988,36.027582,85.526346,770.363683,22.869682,62.030097,527.255827,15.350883,37.907282,299.185570,14.724316,32.268182,512.218227,15.350883,29.761915,522.243294,15.350883,37.907282,527.255827,14.724316,33.521315,94.298279,14.724316,28.508782,452.067830,3.446117,10.025066,354.323434
2048,17.051839,61.358154,23.258265,0.500000,0.500000,9.815196,7.059414,10.322878,9.564118,7.278948,9.684132,2.020929,19.323568,15.350883,55.451148,369.361034,34.774448,105.576479,26935.786532,25.375949,68.609047,457.080363,21.929832,57.644131,564.849825,15.350883,37.907282,406.955032,14.411033,32.268182,117.481245,15.350883,29.135349,514.724494,15.664166,37.593998,517.230761,14.411033,32.894749,406.955032,15.350883,31.641615,336.779569,3.759400,10.964916,181.391042
3000,20.411333,51.703389,31.236264,0.732422,0.732422,11.116309,11.382368,14.086465,11.256331,11.296062,14.173074,1.337404,23.113667,15.977449,67.355914,266.604105,35.401015,93.045146,26775.385473,37.280715,88.032613,519.737027,26.629082,67.042630,489.661828,16.290733,46.052648,429.511431,16.290733,39.473698,472.117963,16.290733,38.533848,411.967565,15.977449,45.426081,138.784511,16.290733,37.907282,265.350972,16.604016,36.654148,389.411166,3.446117,11.278200,75.501280
6000,22.426056,53.582111,33.662762,0.732422,0.732422,12.699823,13.195932,18.236027,12.837219,13.636680,18.221579,1.425900,24.203000,16.604016,69.862180,123.746911,36.654148,90.538879,55487.175143,38.533848,91.165446,442.042764,32.894749,74.248147,562.343559,19.423566,50.751898,96.804546,17.543866,45.426081,341.792102,19.110282,48.245631,108.082745,20.050132,49.812048,166.353443,17.543866,45.426081,94.924846,19.736849,49.185481,94.298279,3.446117,15.664166,429.511431
