element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,7.822917,28.447917,12.554543,0.500000,0.500000,2.229487,1.995663,2.113808,2.229630,1.995929,2.113439,1.534050,14.583333,8.458654,33.521333,46.679240,14.097757,229.636799,316.103042,17.857159,52.318343,348.684525,14.724324,35.401034,114.975041,6.265670,10.964922,83.646692,6.265670,10.964922,20.363427,6.265670,10.964922,24.749396,6.265670,10.964922,15.350891,6.265670,10.964922,44.172972,6.265670,10.964922,17.857159,2.819551,5.952386,37.280735
110,11.174242,26.087879,21.457992,0.859375,0.859375,2.583394,2.416520,2.472035,2.582610,2.410070,2.470029,0.961613,11.557576,9.085221,43.546405,66.102817,13.471190,243.421272,451.441510,29.135365,79.887290,624.373997,16.604025,46.365957,120.614144,6.265670,15.977458,433.897634,6.265670,15.977458,50.751925,6.265670,15.350891,198.308450,6.578953,15.977458,80.513857,6.265670,15.977458,318.609310,6.265670,15.350891,20.989994,2.506268,4.385969,29.761932
240,12.604167,23.327083,11.913647,0.937500,0.937500,2.620558,2.499453,2.548525,2.615632,2.493088,2.547912,0.786616,13.620833,9.085221,57.957446,83.646692,14.724324,222.117995,864.975717,17.230592,51.065209,3777.259045,13.471190,35.401034,180.764574,6.578953,18.483726,371.240936,6.265670,18.483726,79.887290,6.265670,15.350891,408.834955,6.578953,18.483726,23.496262,6.265670,18.797009,81.766991,6.265670,15.350891,25.375963,2.819551,8.458654,25.375963
500,6.957333,31.425667,12.386838,0.488281,0.488281,2.201193,2.005498,2.105315,2.205158,2.007982,2.104877,1.545727,9.202000,8.458654,31.015066,67.355950,15.977458,209.586655,3316.105747,17.857159,52.318343,481.516725,13.471190,35.401034,486.529261,6.265670,15.037608,86.779527,6.265670,10.964922,436.403902,6.265670,14.411041,338.659453,6.265670,15.037608,376.253472,6.265670,11.278206,418.860027,6.265670,14.411041,27.255664,2.819551,6.892237,169.486368
800,9.218958,24.238958,19.389494,0.781250,0.781250,2.448577,2.193213,2.286852,2.414196,2.155524,2.312886,0.942736,9.226667,9.085221,43.546405,77.381022,15.350891,76.127888,3075.504027,26.002530,73.621620,363.722133,16.290742,44.799539,189.536512,6.265670,15.350891,113.721907,6.265670,15.037608,368.734668,6.265670,15.350891,113.095340,6.265670,15.350891,421.366295,6.265670,15.037608,83.020125,6.265670,15.350891,426.378831,2.506268,8.771938,283.521559
1024,6.958984,39.537598,12.794237,0.500000,0.500000,2.865058,3.440977,2.368266,2.849658,3.543132,2.351005,1.686909,10.921875,8.458654,32.894767,67.355950,19.110293,78.634156,8128.140162,17.857159,52.944910,514.098208,13.784474,37.280735,519.110744,6.578953,22.243128,81.140424,10.964922,22.869695,504.073136,6.578953,19.423576,185.777110,6.578953,22.243128,501.566868,11.278206,22.243128,160.714431,6.578953,19.736860,438.910170,3.132835,20.363427,428.885099
1500,12.467222,38.640556,18.551752,0.732422,0.732422,2.501543,2.317749,2.410620,2.522252,2.321878,2.398810,1.015367,14.069778,9.085221,49.185508,82.393558,24.749396,93.671764,9972.753354,26.002530,70.488785,719.612178,17.230592,44.172972,473.997921,6.578953,18.483726,277.255889,6.265670,15.350891,494.048065,6.265670,16.290742,311.090506,6.578953,18.483726,436.403902,6.265670,15.350891,234.649334,6.265670,15.977458,396.303616,2.819551,9.711788,42.919838
2048,7.861084,44.105062,13.157726,0.500000,0.500000,2.422381,2.105327,2.257276,2.421398,2.089914,2.253940,1.502432,11.799642,9.711788,36.654168,82.393558,22.869695,89.285795,25170.762047,18.483726,54.198044,448.935242,14.724324,39.787003,524.123280,7.832087,17.857159,348.684525,6.265670,15.350891,418.860027,6.892237,15.977458,418.860027,7.518804,18.170442,506.579404,6.265670,15.350891,93.045197,6.892237,15.977458,346.178257,2.819551,13.471190,220.864861
3000,11.842333,35.687111,18.887308,0.732422,0.732422,2.561319,2.326932,2.505386,2.565192,2.331897,2.502506,1.067170,15.263444,10.338355,46.052673,91.165496,21.616561,75.501321,22604.343692,26.629097,70.488785,446.428974,18.483726,46.679240,551.692227,7.832087,20.363427,147.556524,6.892237,19.110293,504.073136,7.518804,18.483726,165.726966,7.832087,20.050143,456.454046,7.205520,19.110293,85.526393,7.518804,18.483726,161.967565,2.819551,10.651639,69.235651
6000,13.390833,37.309000,19.456359,0.732422,0.732422,2.632046,2.709446,5.112943,2.637841,2.681548,5.116246,1.890247,15.613444,10.964922,53.571477,99.310866,25.375963,75.501321,41371.277909,26.629097,72.995053,519.110744,19.736860,49.812075,514.098208,8.771938,26.002530,197.055316,8.145371,22.243128,443.922706,8.771938,27.882231,76.754455,8.771938,26.002530,159.461297,8.145371,22.243128,220.864861,8.771938,27.255664,61.403564,2.819551,16.290742,189.536512
8192,9.979919,45.882202,14.494446,0.500000,0.500000,3.150549,3.803323,7.239898,3.152020,4.038844,6.657612,5.243308,12.388102,10.964922,46.052673,93.671764,26.002530,80.513857,80188.355520,20.363427,57.330879,564.223566,19.110293,46.679240,468.985385,9.085221,25.375963,76.127888,8.771938,22.243128,448.935242,10.338355,26.629097,316.103042,9.085221,26.002530,81.766991,9.085221,22.869695,304.824836,10.651639,26.629097,111.215639,3.132835,20.989994,68.609084
12000,14.532389,39.096264,21.253244,0.732422,0.732422,4.867131,6.434978,9.333353,4.827737,6.168800,9.230074,2.746524,16.432361,12.218056,56.704312,158.208163,26.002530,78.634156,82754.773875,27.882231,75.501321,479.010457,24.749396,55.451178,519.110744,11.278206,31.641633,453.947778,11.904773,27.882231,509.085672,13.157907,34.147900,84.273259,11.904773,32.268200,85.526393,12.218056,29.135365,76.754455,13.157907,34.774467,101.817134,2.819551,19.736860,88.659228
16384,11.765472,47.433533,15.766772,0.500000,0.500000,4.731144,6.112008,9.783703,4.727437,6.122692,9.662975,6.523110,13.278910,12.844623,50.438642,105.576536,26.629097,81.140424,162313.742862,21.616561,61.090281,428.885099,26.629097,55.137894,566.729834,13.471190,31.015066,511.591940,13.784474,28.508798,56.704312,14.724324,34.147900,76.127888,13.471190,31.015066,81.140424,13.784474,29.135365,83.646692,14.724324,34.147900,84.899826,6.892237,24.122829,68.609084
25000,16.039027,39.459347,24.780741,0.762939,0.762939,6.520754,8.878728,12.382768,6.582954,9.011834,12.437795,3.109958,17.421693,18.483726,62.343415,134.398617,27.255664,81.140424,159105.719919,31.015066,83.646692,423.872563,31.015066,65.476250,458.960314,15.037608,36.967452,416.353759,14.724324,34.147900,189.536512,15.350891,39.787003,95.551465,15.350891,37.907302,77.381022,14.724324,35.401034,69.862218,15.350891,39.787003,93.045197,2.819551,20.989994,69.862218
32768,12.370555,47.652740,16.922630,0.500000,0.500000,5.662245,7.701355,11.245485,5.681125,7.567919,11.370512,6.967831,13.306020,19.110293,53.571477,114.975041,27.882231,85.526393,327206.122135,26.629097,64.849683,541.667155,29.761932,60.150430,591.792514,17.230592,35.401034,398.809883,16.290742,34.147900,130.012649,18.483726,39.160436,91.792063,17.230592,35.401034,71.741919,16.604025,34.147900,333.646917,18.483726,39.160436,90.538929,7.205520,26.629097,69.235651
45000,15.637859,41.503244,23.129753,0.686646,0.686646,6.933234,9.635276,13.256642,6.932421,9.674570,13.280207,4.452956,16.704074,19.736860,61.716848,141.290854,27.882231,83.646692,331055.749667,31.015066,81.140424,689.536963,34.147900,69.235651,524.123280,17.857159,39.787003,418.860027,17.230592,37.907302,73.621620,19.736860,43.233122,91.792063,17.857159,39.787003,79.260723,17.230592,37.907302,70.488785,19.736860,42.919838,91.792063,2.819551,25.689246,68.609084
60000,21.186986,40.795744,18.934097,0.915527,0.915527,8.478739,11.115995,14.654192,8.461220,11.075301,14.674333,1.558501,22.076194,21.616561,83.020125,232.143066,29.135365,91.792063,333622.168021,27.255664,83.020125,708319.247770,31.015066,63.909832,529.135816,18.797009,47.305807,351.190793,18.483726,43.859689,105.576536,20.989994,47.932374,366.228400,18.483726,47.305807,108.082804,18.483726,43.859689,109.962505,20.989994,47.932374,115.601608,2.506268,14.724324,57.017595
100000,18.037573,41.827950,27.788313,0.762939,0.762939,7.842101,10.652248,14.224064,7.841100,10.703017,14.221821,3.504520,18.558993,20.989994,70.488785,150.689359,29.135365,87.406094,646725.207263,36.654168,94.298331,541.667155,37.907302,79.260723,544.173423,19.110293,44.172972,491.541797,20.676710,41.666704,366.228400,22.243128,46.365957,453.947778,19.110293,44.172972,166.980100,20.676710,41.979988,85.526393,22.243128,46.365957,89.912362,2.819551,25.375963,78.007589
150000,14.354853,46.385169,20.535371,0.572205,0.572205,6.767017,9.142391,12.700290,6.755503,9.306306,12.729356,6.267936,15.413000,20.363427,60.463714,164.473833,29.761932,92.418630,1231868.592076,29.761932,78.007589,634.399068,35.401034,93.045197,970.238970,18.797009,39.160436,509.085672,20.363427,37.907302,506.579404,22.243128,43.546405,539.160887,18.797009,39.473720,156.955029,20.363427,37.907302,85.526393,22.243128,43.546405,504.073136,3.132835,27.255664,391.291080
200000,18.634880,43.756558,29.275539,0.762939,0.762939,7.978533,10.768867,14.311479,7.982967,10.764518,14.288094,3.527299,19.099907,21.616561,71.741919,164.473833,31.015066,95.551465,1293462.632583,38.533869,99.310866,551.692227,39.787003,102.443701,644.424140,19.736860,45.112823,506.579404,21.616561,42.919838,504.073136,22.556411,47.305807,521.617012,19.736860,44.799539,316.103042,21.616561,42.919838,511.591940,22.556411,47.305807,103.070268,2.819551,26.002530,308.584238
300000,16.001421,50.782733,25.918767,0.572205,0.572205,7.279934,9.699807,13.534705,7.357798,9.885719,13.566843,6.346438,16.542217,22.243128,62.969982,514.098208,32.894767,108.082804,2771719.604741,34.147900,107.456237,614.348925,44.172972,306.077970,679.511891,20.676710,44.172972,544.173423,21.616561,41.666704,589.286246,22.869695,49.812075,611.842657,20.676710,46.365957,546.679691,21.616561,42.606555,586.779978,22.869695,49.185508,629.386532,3.132835,27.882231,504.073136
400000,19.900409,46.950354,37.484697,0.762939,0.762939,8.680867,11.452501,15.316192,8.838732,11.557040,15.259531,3.555958,20.823563,26.002530,74.874754,531.642083,34.147900,107.456237,2792250.951577,41.040137,119.361010,649.436676,52.318343,381.266008,729.637249,22.243128,51.691776,594.298782,22.243128,48.558941,599.311317,23.496262,64.536399,609.336389,22.243128,71.115352,649.436676,22.243128,54.198044,654.449212,23.496262,63.596549,599.311317,2.819551,26.002530,436.403902
600000,23.545554,60.502614,41.782983,0.572205,0.572205,12.213114,13.820445,18.484161,12.258766,13.785003,18.451522,6.549122,24.110920,26.002530,188.283378,734.649785,36.027601,154.448761,8458902.678185,42.919838,391.291080,694.549499,108.082804,516.604476,754.699929,24.749396,267.230817,704.574570,24.122829,199.561583,709.587106,26.629097,243.421272,804.825287,24.749396,270.990219,754.699929,24.122829,208.333521,724.624714,26.629097,243.421272,719.612178,3.132835,28.195514,544.173423
800000,28.374878,58.375302,57.482438,0.762939,0.762939,13.858386,15.900868,20.632473,13.839394,15.880182,20.589590,3.766303,29.108787,30.388499,229.636799,799.812751,37.907302,177.005172,8746341.533882,50.438642,408.834955,714.599642,116.854742,529.135816,789.787680,26.002530,298.559166,669.486819,25.375963,247.180674,694.549499,27.255664,270.990219,759.712465,26.002530,293.546631,739.662321,25.375963,242.168138,669.486819,27.255664,272.243353,709.587106,2.819551,26.629097,549.185959
1200000,35.699137,72.455206,53.533803,0.572205,0.572205,17.899531,19.398632,24.401195,17.933467,19.436795,24.374384,6.927317,41.486971,82.393558,436.403902,679.511891,42.919838,358.709597,17985447.609873,89.912362,468.985385,869.988253,168.233234,564.223566,940.163755,84.273259,433.897634,779.762608,81.140424,426.378831,809.837823,84.899826,431.391366,764.725000,84.273259,433.897634,714.599642,81.140424,426.378831,764.725000,84.899826,431.391366,764.725000,3.132835,30.388499,639.411604
2200000,39.324079,88.972547,55.854420,0.524521,0.524521,19.720985,20.998165,26.026378,19.731501,20.971801,25.988992,7.715448,45.792877,91.165496,456.454046,724.624714,64.223116,456.454046,34656901.240328,97.431166,494.048065,794.800215,178.258306,589.286246,829.887966,89.285795,448.935242,819.862895,87.406094,448.935242,5000.317792,89.912362,448.935242,729.637249,89.285795,448.935242,5561.721807,86.779527,448.935242,3476.506894,89.912362,448.935242,744.674857,6.892237,31.015066,549.185959
3100000,49.225280,83.843825,80.638189,0.739098,0.739098,22.191230,23.745744,29.156632,22.214013,23.780724,29.120972,4.387920,53.974866,93.045197,468.985385,769.737536,89.912362,471.491653,34492650.465644,109.335938,531.642083,1075.502223,185.777110,611.842657,3656.958185,90.538929,456.454046,764.725000,88.659228,453.947778,4960.217506,91.165496,453.947778,4238.412343,91.165496,456.454046,869.988253,88.659228,453.947778,794.800215,90.538929,453.947778,3957.710336,2.819551,27.255664,549.185959
6000000,51.337704,93.853988,81.021987,0.715256,0.715256,23.303132,24.855955,30.318000,23.309732,24.853070,30.252969,4.737919,56.217640,97.431166,481.516725,5060.468223,100.564000,501.566868,68328310.050607,113.095340,539.160887,875.000789,190.789646,616.855193,955.201363,95.551465,461.466582,5561.721807,93.045197,463.972849,759.712465,96.178032,461.466582,3937.660193,95.551465,463.972849,4358.713204,93.045197,463.972849,804.825287,96.178032,461.466582,734.649785,2.819551,27.882231,3717.108615
10000000,46.496768,105.366855,67.350139,0.596046,0.596046,22.651295,24.111461,29.041807,22.663714,24.115334,29.050041,6.710287,52.191259,98.057733,476.504189,5100.568509,104.949969,521.617012,134685623.023059,109.962505,529.135816,910.088540,190.789646,611.842657,935.151219,96.804599,463.972849,739.662321,95.551465,466.479117,729.637249,98.057733,463.972849,3997.810623,96.804599,463.972849,4458.963921,95.551465,466.479117,4037.910909,98.057733,463.972849,5922.624389,3.132835,31.015066,561.717299
