element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,17.223958,47.026042,29.888832,0.500000,0.500000,6.182121,3.906507,5.151315,6.192164,3.905653,5.156831,1.976491,18.885417,15.350891,52.944909,201.441283,18.483726,361.842428,389.411375,31.015065,84.273258,865.602277,22.556411,55.451177,379.386304,12.844623,17.857159,106.829669,10.025072,15.350891,83.646691,11.278206,18.170442,252.819775,12.844623,17.857159,67.669233,9.711788,15.350891,78.634155,10.964922,17.857159,83.646691,3.446118,5.325819,84.273258
110,20.710606,44.806061,41.053112,0.859375,0.859375,6.803234,4.677184,5.752513,6.818655,4.674824,5.762181,1.098514,25.457576,18.483726,71.741919,160.087862,24.749396,454.574341,845.552134,48.558941,111.215638,614.975487,25.689246,65.162965,790.414240,13.471190,22.869695,432.017930,10.338355,19.110293,173.872336,12.218056,21.303277,146.303389,13.157906,22.869695,331.767214,10.338355,18.483726,29.135364,12.218056,21.303277,135.651750,3.132835,9.398505,83.020124
240,25.915972,53.418056,29.215126,0.937500,0.937500,7.278116,4.759326,6.190021,7.340951,4.760897,6.122525,1.066844,27.984722,20.989994,89.285794,135.025183,31.015065,552.318789,1973.372690,28.508797,81.140423,10975.886997,22.243128,54.511327,477.130752,15.350891,34.147900,116.854741,10.651639,22.243128,517.231038,12.218056,36.654168,507.205967,15.977458,34.147900,3577.384148,10.338355,26.002529,512.218503,12.844623,36.027601,512.218503,3.132835,8.458654,90.538928
500,21.017667,69.687000,30.062911,0.488281,0.488281,10.334783,5.674872,6.943730,10.326152,5.772273,6.662910,1.924872,22.506667,19.110293,59.210579,229.010230,31.015065,594.925343,9893.179263,30.388498,83.020124,765.351561,24.122829,56.704311,509.712235,16.604025,27.255663,3537.283861,13.157906,20.676710,497.180895,14.097757,25.375963,1126.254139,16.604025,25.375963,432.017930,13.157906,20.363427,2434.525984,14.097757,26.002529,366.854964,3.446118,6.892237,424.499126
800,25.814583,59.492500,39.581348,0.781250,0.781250,11.678091,8.227980,9.585843,11.895313,8.058032,9.647816,1.197935,30.255000,20.989994,69.235651,359.336161,27.882230,109.962504,8609.970097,43.546405,104.949968,630.013094,27.255663,66.416099,885.652420,17.857159,29.761931,512.218503,14.097757,25.375963,3537.283861,15.664174,29.135364,517.231038,17.857159,29.761931,286.654391,14.097757,24.749396,1883.147046,15.664174,27.882230,384.398840,3.132835,8.145371,1853.071831
1024,24.302734,78.565592,31.278680,0.500000,0.500000,12.409432,8.712657,10.341279,12.341359,8.350097,10.526798,1.890168,26.097005,20.989994,59.837146,127.506380,34.147900,117.481308,18995.944286,31.015065,85.526392,710.213667,26.002529,59.210579,519.737306,19.110293,29.135364,321.742142,14.097757,24.122829,3156.331140,15.664174,27.882230,519.737306,19.110293,29.761931,517.231038,14.097757,25.375963,374.373768,15.977458,27.882230,1963.347618,3.759402,9.711788,331.767214
1500,29.918333,71.390667,38.585376,0.732422,0.732422,12.716653,9.695619,11.354679,12.748043,9.805568,11.505480,1.286824,34.061111,22.243128,71.115352,326.754678,36.027601,111.215638,21161.359754,42.293271,102.443701,537.281182,27.882230,67.042666,1186.404569,19.736860,32.894766,512.218503,14.724324,28.508797,825.501991,17.230592,31.015065,175.125470,19.736860,31.641632,2203.949337,14.724324,27.882230,447.055537,17.230592,31.015065,1126.254139,3.446118,9.085221,74.874754
2048,25.636068,82.287191,32.169249,0.500000,0.500000,12.609983,10.098516,11.452889,12.577357,10.108141,11.417033,1.902264,28.697103,20.363427,58.584012,434.524198,39.787003,107.456236,40569.898394,31.641632,85.526392,880.639884,27.882230,62.030131,562.343861,19.736860,30.388498,527.256110,15.037607,24.749396,3517.233718,16.917308,29.135364,519.737306,19.736860,30.388498,519.737306,15.037607,24.749396,122.493844,16.917308,29.135364,459.586877,3.759402,11.591489,499.687163
3000,30.476444,70.361000,39.908985,0.732422,0.732422,12.959908,10.596687,13.977598,12.822773,10.612514,14.963765,1.295655,33.583556,24.122829,76.127888,122.493844,39.787003,106.829669,41692.706414,42.919838,104.323401,730.263810,30.388498,71.115352,660.088309,20.363427,32.894766,517.231038,15.977458,29.761931,2284.149910,18.797009,34.147900,386.905108,20.050143,32.268199,514.724771,15.977458,29.761931,454.574341,18.483726,32.894766,527.256110,3.446118,11.591489,499.687163
6000,32.059222,72.922056,42.937765,0.732422,0.732422,17.054230,14.743370,18.916585,16.880106,15.286508,18.974034,1.311626,33.521222,26.002529,80.513856,155.075326,42.919838,111.215638,85321.818067,44.799539,106.829669,715.226203,37.280735,79.260722,685.150988,22.243128,39.160436,421.992858,20.676710,39.160436,439.536733,22.243128,45.112822,940.790314,21.616561,38.220586,361.842428,20.363427,37.280735,109.335937,22.243128,45.112822,1452.068966,3.446118,15.350891,429.511662
8192,27.713257,88.454346,36.880492,0.500000,0.500000,16.818872,14.938497,18.258953,16.834384,14.887513,18.357146,5.475405,29.339396,26.002529,72.368486,167.606666,43.546405,109.962504,174504.855123,35.401034,90.538928,1291.667820,39.787003,76.127888,660.088309,26.315813,41.666704,3958.336869,22.243128,42.606554,484.649556,26.002529,49.185508,193.922479,26.629096,41.666704,2103.698621,21.616561,41.666704,411.967787,26.002529,49.812075,359.336161,7.205520,24.122829,1381.893465
12000,32.631736,73.975597,46.477721,0.732422,0.732422,19.214882,19.195872,23.344154,19.218917,19.068584,23.526157,2.841682,34.180028,28.508797,88.032660,153.822193,43.546405,109.962504,171938.436790,46.679240,112.468772,710.213667,42.919838,87.406093,805.451847,28.195514,52.631626,532.268646,24.122829,47.619090,119.987576,27.882230,58.270729,326.754678,28.508797,52.631626,99.310866,24.122829,48.245657,1351.818250,27.882230,58.270729,254.072909,3.759402,20.989994,98.057732
16384,28.281545,89.347514,38.418414,0.500000,0.500000,18.397013,18.076019,23.618410,18.471064,17.911132,23.495106,6.730200,30.410909,29.135364,76.127888,131.892348,45.426106,116.228174,346454.883402,37.280735,94.924897,685.150988,43.233121,82.393557,617.481755,29.761931,50.125358,534.774914,26.002529,47.932374,1091.166388,30.388498,56.391028,181.391139,29.761931,50.125358,90.538928,25.689246,47.619090,1236.529927,29.761931,56.391028,359.336161,7.518804,26.629096,69.862218
25000,35.003033,74.888673,50.229840,0.762939,0.762939,20.923821,22.971123,28.742637,20.990681,22.566339,28.220122,3.125712,35.969587,32.894766,94.298330,182.644273,45.426106,113.721906,351587.720067,51.691775,122.493844,602.444147,46.679240,96.178031,660.088309,31.954916,60.776997,427.005394,27.882230,56.391028,108.709370,31.641632,64.536398,2875.629135,32.268199,61.090280,109.335937,27.882230,56.077744,1231.517391,32.268199,64.536398,502.193431,3.759402,23.496262,72.995053
32768,29.389404,92.021393,39.066625,0.500000,0.500000,19.301804,20.354250,25.949411,19.331894,20.725875,26.943350,7.354752,30.224996,31.015065,80.513856,208.960086,47.932374,119.987576,703187.031622,38.533869,96.804598,1191.417104,44.799539,87.406093,589.912808,32.268199,54.198043,3356.832572,28.508797,52.318342,1632.520255,32.268199,61.090280,173.872336,31.954916,54.511327,99.310866,28.508797,52.318342,172.619202,32.268199,62.030131,250.313507,7.518804,28.508797,2635.027416
45000,34.704193,79.843430,47.702605,0.686646,0.686646,21.187168,23.296913,29.387079,21.026448,23.548997,29.361595,4.367563,34.703474,33.521333,92.418629,181.391139,46.052673,118.107875,698054.194957,49.812075,116.854741,640.038166,46.992523,101.190567,607.456683,32.894766,60.776997,3416.983002,29.761931,57.957445,1221.492319,33.521333,65.789532,472.118216,32.894766,60.776997,309.210803,29.761931,58.584012,432.017930,33.521333,65.162965,401.942715,4.072685,26.629096,810.464383
60000,41.618417,75.708422,41.611861,0.915527,0.915527,23.483383,25.610751,31.600135,23.430758,25.722618,31.904867,1.571611,41.744267,37.907302,118.107875,339.286017,49.812075,128.132947,718585.541618,39.160436,109.962504,1560370.754685,46.365956,108.082803,730.263810,34.147900,70.488785,429.511662,31.015065,65.789532,3777.885580,34.774467,74.248187,319.235874,34.147900,70.488785,462.093145,31.015065,65.789532,203.947551,34.147900,74.248187,344.298553,3.446118,15.977458,104.949968
100000,37.123477,80.499763,56.255573,0.762939,0.762939,22.599047,24.888534,30.888093,22.282170,24.811819,30.777828,3.502653,37.588957,34.774467,101.190567,411.967787,48.558941,125.626679,1416651.328064,55.451177,134.398616,935.777778,55.137894,141.290853,720.238739,34.147900,65.162965,557.331325,31.015065,61.403564,539.787450,34.147900,69.235651,534.774914,34.147900,65.162965,554.825057,31.015065,61.716847,537.281182,34.147900,69.862218,537.281182,3.759402,26.002529,89.912361
150000,33.319933,98.547967,59.609417,0.572205,0.572205,22.680820,24.169818,30.436570,22.508300,23.687111,30.241238,6.613701,36.897867,34.774467,90.538928,630.013094,51.691775,161.340996,3079690.407539,49.812075,156.328460,740.288882,67.042666,434.524198,710.213667,35.714318,102.443701,622.494290,31.641632,93.045196,635.025630,35.401034,98.684299,650.063237,35.714318,100.564000,612.469219,32.268199,88.659227,609.962951,35.714318,99.310866,614.975487,7.518804,30.388498,3777.885580
200000,39.404817,88.173822,76.250411,0.762939,0.762939,24.885788,26.581157,33.182403,24.773246,26.564878,32.737178,3.649048,41.720063,38.533869,113.095339,589.912808,51.691775,158.834728,3079690.407539,60.463713,175.125470,670.113381,98.684299,459.586877,1176.379497,37.280735,108.082803,690.163524,33.521333,101.190567,685.150988,36.654168,104.323401,655.075773,37.280735,105.576535,690.163524,33.521333,99.310866,4399.440020,36.027601,103.696834,705.201131,3.759402,27.255663,529.762378
300000,47.241638,106.083071,90.808101,0.572205,0.572205,34.020637,30.874522,41.757585,35.234847,30.838721,41.807757,7.369622,49.935861,40.413570,319.235874,670.113381,57.330878,266.604248,6364705.873170,69.235651,444.549269,1015.978351,142.543987,559.837593,1000.940744,47.305807,419.486590,815.476919,36.654168,369.361232,795.426776,43.859688,406.955251,890.664956,45.426106,409.461519,960.840457,36.340885,369.361232,835.527062,43.859688,406.955251,885.652420,7.518804,34.774467,599.937879
400000,54.533955,98.087052,110.977584,0.762939,0.762939,36.696358,34.533174,44.689838,36.857092,34.564596,44.619342,4.240087,56.514334,45.426106,344.298553,800.439311,59.210579,326.754678,6405768.566490,86.779526,464.599412,935.777778,160.087862,572.368932,1076.128781,50.751925,427.005394,980.890600,38.533869,394.423911,1963.347618,46.365956,416.980322,840.539598,48.245657,416.980322,980.890600,38.533869,394.423911,3296.682143,46.365956,416.980322,845.552134,3.759402,30.388498,542.293717
600000,64.306684,118.117002,107.490183,0.572205,0.572205,43.637275,37.006113,49.254271,43.602797,36.936199,49.247413,8.056596,65.694332,93.671763,454.574341,780.389168,69.235651,424.499126,12893674.111110,106.829669,489.662092,820.489455,190.163077,607.456683,860.589741,101.817134,467.105680,860.589741,91.792062,454.574341,4339.289590,99.310866,462.093145,880.639884,101.190567,467.105680,835.527062,91.165495,454.574341,830.514526,98.684299,464.599412,830.514526,7.518804,76.754455,625.000558
