element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,7.406250,27.276042,11.730267,0.500000,0.500000,1.699679,1.503272,1.666114,1.698274,1.558204,1.664999,1.530867,17.843750,8.145371,28.195516,43.859692,13.157908,229.950101,257.519050,16.290743,49.498796,516.917801,5.952387,32.581486,326.441424,4.699253,13.471191,26.002532,5.012536,10.025073,67.982523,5.012536,13.471191,71.428642,4.699253,12.844624,18.483727,5.012536,10.025073,14.411042,4.699253,13.157908,21.929846,3.132835,5.325820,142.230716
110,10.272727,22.046970,19.973226,0.859375,0.859375,1.881282,1.789659,1.886662,1.881598,1.741611,1.852437,0.952636,10.836364,8.145371,41.353424,58.270734,10.651640,248.747112,406.642004,27.568949,77.067745,572.055700,14.411042,43.233125,102.130426,4.699253,16.917310,283.834865,5.012536,13.784475,129.699376,5.012536,17.230593,238.722039,4.699253,17.543877,25.062681,5.012536,14.097758,84.586549,5.012536,17.230593,39.473723,2.819552,4.385969,75.188044
240,11.049306,22.866667,10.818230,0.937500,0.937500,1.899712,1.900553,1.838502,1.900199,1.883475,1.838365,0.789135,10.186111,8.771938,54.511332,74.561477,13.157908,247.493978,810.151172,16.290743,48.872228,3456.770315,5.952387,32.268202,436.717221,5.012536,16.917310,336.466496,5.012536,17.230593,501.880192,5.012536,17.543877,305.138145,4.699253,16.604026,90.225653,5.012536,16.917310,52.318347,4.699253,17.543877,26.315815,2.819552,9.085222,25.062681
500,6.754333,32.737000,11.226901,0.488281,0.488281,1.696752,1.541836,1.645413,1.696835,1.525233,1.645287,1.510020,9.216667,8.145371,31.954919,53.258198,16.290743,228.696967,3496.870605,16.290743,49.498796,511.905265,6.265670,32.581486,209.899956,4.699253,13.471191,80.200580,5.012536,9.711789,424.185881,4.699253,12.844624,78.947446,4.699253,13.784475,504.386461,5.012536,10.025073,92.105354,4.699253,13.157908,96.491323,3.132835,6.578954,77.067745
800,8.351875,23.872917,18.197340,0.781250,0.781250,1.836374,1.773616,1.776242,1.876922,1.800670,1.772876,0.951465,9.115000,8.145371,41.979991,80.200580,15.664176,76.441178,3156.018139,25.062681,72.055209,474.311243,14.411042,42.606558,168.546532,4.699253,14.411042,501.880192,5.325820,16.290743,90.225653,4.699253,16.290743,421.679612,4.699253,14.097758,28.822083,5.012536,16.604026,338.972764,4.699253,16.290743,102.130426,2.819552,9.085222,394.110663
1024,6.987467,33.340495,11.628298,0.500000,0.500000,1.724847,1.540114,1.677650,1.722866,1.589075,1.670221,1.481819,9.404622,8.145371,38.847156,75.188044,18.170444,85.839683,7125.946853,16.290743,48.872228,429.198417,8.771938,34.461187,285.087999,4.699253,13.784475,318.922619,4.699253,13.471191,471.804975,5.012536,13.784475,250.000246,4.699253,14.097758,92.731921,4.699253,13.471191,236.215771,4.699253,13.784475,419.173344,3.132835,9.711789,441.729757
1500,8.196667,29.986000,16.946652,0.732422,0.732422,1.918749,1.813893,1.849807,1.875513,1.818534,2.105627,1.010497,10.845778,8.771938,41.979991,86.466250,16.290743,73.934910,7887.852364,25.062681,66.416105,464.286171,14.724325,42.606558,336.466496,4.699253,17.230593,439.223489,5.325820,16.917310,461.779902,4.699253,16.917310,85.213116,5.012536,18.170444,434.210953,5.012536,16.917310,78.947446,5.012536,16.917310,140.351015,3.132835,8.458655,49.498796
2048,7.628255,39.423421,12.173588,0.500000,0.500000,1.845911,1.625644,1.804800,1.789579,1.586553,1.773727,1.500496,10.505859,8.771938,33.834620,74.561477,21.303279,84.586549,23085.862288,17.543877,50.751930,649.750012,13.157908,36.967455,456.767366,5.952387,16.917310,519.424069,5.325820,13.784475,184.837274,5.325820,14.411042,444.236026,5.952387,17.543877,110.902365,5.325820,14.411042,275.062927,5.639103,14.724325,399.123199,3.132835,8.458655,86.466250
3000,10.820444,32.874278,17.547969,0.732422,0.732422,1.936133,2.063424,2.075007,1.951646,1.829068,1.953300,1.038748,14.645000,9.398505,48.872228,101.503859,20.676712,76.441178,22604.658807,25.689248,68.295806,494.361388,15.664176,44.799543,514.411533,6.265670,20.050145,499.373924,5.639103,17.543877,80.200580,5.952387,16.604026,431.704685,6.578954,20.676712,504.386461,5.639103,17.230593,157.268325,5.952387,16.917310,51.378497,3.132835,10.025073,103.383560
6000,11.927083,35.239056,18.063831,0.732422,0.732422,2.079051,1.963089,7.391854,2.041559,2.012350,7.394239,1.108084,14.412389,10.651640,52.005064,96.491323,24.436114,75.814611,38484.373662,26.315815,69.548941,464.286171,16.917310,47.619094,546.993019,6.892237,25.062681,441.729757,6.892237,21.303279,454.261098,7.518804,26.942382,504.386461,7.205521,25.062681,83.333415,6.892237,21.303279,88.972519,7.518804,26.942382,77.067745,3.132835,14.097758,179.824738
