element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,30.854167,55.041667,53.328167,0.500000,0.500000,7.769221,6.231744,7.789313,8.176968,6.225608,7.584348,1.289316,8795.989583,23.182960,78.320809,97.744370,29.448624,296.365942,311.403537,97.744370,444.235630,3677.318635,28.822058,57.017549,539.473734,17.543861,22.556393,69.548879,15.037595,18.170428,57.330832,14.724312,20.676694,125.313295,18.796994,23.182960,336.466196,13.471179,19.423561,511.904809,15.037595,21.303260,262.531353,1.566416,3.446116,75.814543
110,36.577273,67.628788,54.476774,0.429688,0.859375,8.101417,6.132580,7.785722,8.660931,7.132295,8.266914,1.330131,106.127273,33.834590,102.130335,177.318312,36.340855,795.112855,960.526404,99.624069,446.741896,5882.832622,31.328324,57.957399,845.238173,19.423561,25.689225,163.533850,15.664162,21.616543,446.741896,17.230578,25.062659,169.799514,20.363410,25.689225,117.794497,16.604012,21.929827,153.508786,18.170428,26.942358,333.959931,1.566416,9.398497,88.972439
240,37.815972,68.998611,56.079905,0.468750,0.468750,9.663705,6.786084,8.100727,9.838194,6.784816,8.197237,1.300864,89.538889,36.340855,102.130335,141.604023,39.473688,519.423607,1922.932508,100.877202,449.248162,12018.171534,34.461156,66.729329,744.987537,23.809526,32.581457,521.929873,16.917295,21.929827,156.015052,18.796994,29.448624,379.072717,25.062659,32.581457,164.786983,16.917295,21.929827,308.897272,18.796994,29.448624,60.150381,1.566416,3.759399,451.754428
500,35.291000,60.928000,58.819837,0.488281,0.488281,10.446424,7.244874,9.320262,10.563195,7.262844,9.077381,1.299540,89.436667,35.087723,95.238104,136.591491,38.847121,364.035121,4298.872577,102.756902,449.248162,21642.232571,40.726821,82.706775,850.250705,26.942358,33.834590,134.711792,18.796994,23.809526,366.541387,20.989977,33.208023,384.085248,26.942358,33.834590,328.947399,18.796994,24.436092,419.172971,20.989977,32.581457,151.002520,1.566416,5.325815,311.403537
800,33.548333,73.006458,59.532706,0.390625,0.390625,10.626075,7.029210,9.090545,10.637656,7.010840,9.165836,1.328812,142.821250,35.087723,91.478705,134.085225,38.847121,167.293249,9572.056020,103.383468,451.754428,37842.735318,47.305769,95.864670,880.325896,27.568925,37.280705,421.679237,19.423561,24.436092,526.942404,20.989977,33.521306,484.335884,27.568925,37.593988,281.328347,19.423561,24.436092,459.273225,21.303260,33.834590,181.077711,1.566416,6.265665,51.065168
1024,36.421224,66.329753,58.324389,0.500000,0.500000,12.723342,7.387761,9.578448,12.636370,7.329264,9.812640,1.248321,92.595052,36.340855,96.491237,168.546381,41.353387,134.085225,10574.562378,104.010035,451.754428,67356.522499,51.691734,107.142867,622.180508,30.701757,50.751884,439.223098,19.423561,27.568925,112.781965,21.616543,38.220555,212.406035,30.075191,47.619052,384.085248,19.423561,30.075191,293.859676,21.616543,37.593988,202.380971,1.566416,7.832081,54.511283
1500,34.366889,75.499222,63.900319,0.366211,0.732422,16.065729,8.003935,11.850783,15.959662,8.101417,11.714737,1.336729,128.314667,35.714289,87.092740,187.343376,39.473688,115.288231,28218.674280,105.889734,454.260693,795.112855,59.523815,117.794497,930.451214,42.606520,67.042613,394.110312,20.050127,30.075191,441.729364,26.942358,54.824566,118.421064,38.847121,63.596497,144.736855,20.050127,31.328324,138.471191,25.689225,50.751884,105.263168,1.566416,6.578948,48.245618
2048,36.950114,67.580485,60.581366,0.500000,0.500000,18.441417,9.485308,20.325874,18.481251,9.457039,20.299995,1.224013,91.563639,36.340855,89.599006,157.268185,41.353387,114.035098,26935.466142,106.516301,454.260693,137932.970107,64.223064,125.939861,644.736902,51.065168,75.814543,303.884740,23.182960,42.606520,469.298289,36.654139,72.681711,197.368439,51.065168,75.814543,156.015052,23.182960,43.233087,97.117803,36.340855,72.055144,161.027584,1.566416,6.265665,72.681711
3000,35.067444,79.032000,66.458428,0.366211,0.732422,21.439378,15.659184,26.233106,29.630528,22.117678,28.626949,1.401353,139.964667,37.593988,81.453642,142.230590,40.726821,102.756902,57090.857392,108.396000,456.766959,760.025133,70.802012,145.363422,1055.764508,57.330832,80.827075,354.010058,35.087723,57.330832,404.135376,45.112786,80.200509,164.786983,57.330832,85.213040,174.812046,33.208023,59.837098,142.230590,43.233087,80.200509,263.784485,1.566416,11.904763,74.561410
6000,35.303083,78.729194,67.679149,0.366211,0.732422,23.562266,21.227381,30.209813,34.796041,29.682274,34.248580,4.978680,144.503611,40.100254,81.453642,141.604023,41.979954,99.624069,113552.015479,109.649133,459.273225,920.426150,77.067676,197.368439,965.538936,60.150381,84.586474,286.340879,40.726821,65.476197,404.135376,49.185468,85.213040,257.518821,61.716798,93.358405,384.085248,42.293237,73.308277,124.060162,48.558902,88.345873,499.373480,7.518798,21.929827,183.583977
8192,38.727885,71.297628,65.708704,0.500000,0.500000,28.279849,27.251949,34.559479,28.317672,27.329685,34.485810,4.173518,102.775309,41.979954,94.611538,163.533850,43.859653,104.010035,116118.431755,109.649133,459.273225,564599.676100,78.947376,216.165433,714.912347,62.343364,90.225572,381.578983,43.233087,72.681711,411.654173,51.691734,89.599006,486.842150,62.343364,90.225572,559.523861,43.233087,72.681711,303.884740,51.691734,90.225572,446.741896,1.879699,23.496243,66.102763
12000,36.459681,81.430472,72.644958,0.366211,0.732422,25.581666,24.365750,32.475138,38.234354,33.254267,37.993380,6.648335,166.117667,41.353387,83.333341,154.761919,43.233087,98.997503,233531.976412,111.528832,464.285757,910.401086,83.959907,386.591514,805.137919,62.343364,87.719306,572.055191,43.546370,68.922312,526.942404,52.631584,90.225572,554.511329,65.476197,102.130335,554.511329,46.992486,80.827075,534.461202,53.258150,95.864670,567.042659,6.578948,23.809526,59.837098
16384,40.031993,72.895396,76.517285,0.500000,0.500000,29.097177,28.548635,35.908001,28.926566,28.577690,36.131671,5.185461,151.826518,42.606520,95.864670,208.646636,43.859653,104.636601,239948.017104,110.902266,466.792023,1129211.256963,88.345873,481.829618,805.137919,63.596497,95.238104,639.724370,45.739353,73.934844,559.523861,53.884717,92.731838,582.080254,63.596497,93.984971,597.117850,45.739353,74.561410,559.523861,53.571434,92.731838,614.661711,6.265665,23.496243,308.897272
25000,38.453867,81.889393,85.697109,0.381470,0.381470,30.403486,25.633198,35.791429,30.371849,25.632243,35.607638,6.955382,296.402187,41.979954,85.213040,257.518821,43.859653,102.756902,474775.106417,113.408532,471.804555,930.451214,119.047630,534.461202,1216.165526,65.162913,151.002520,699.874751,45.739353,78.320809,584.586520,55.137850,133.458659,659.774497,65.476197,153.508786,694.862219,45.739353,76.441110,594.611584,55.451133,134.085225,659.774497,7.832081,26.942358,469.298289
32768,42.666285,74.288834,102.787424,0.500000,0.500000,38.174850,30.432588,40.317805,38.122871,30.623682,40.312208,5.563076,131.912852,43.233087,98.997503,471.804555,45.112786,109.022566,477341.522694,114.035098,499.373480,2320028.409329,156.015052,589.599052,1201.127930,68.922312,323.934867,750.000069,47.619052,112.781965,627.193040,56.704266,159.774451,699.874751,68.922312,323.934867,744.987537,47.619052,115.288231,654.761965,56.704266,167.293249,719.924878,7.205514,27.568925,379.072717
45000,42.187348,98.332322,109.461635,0.343323,0.686646,58.669095,34.485687,46.016865,51.446690,37.149409,46.971069,7.482342,248.555215,42.606520,108.396000,649.749433,45.112786,141.604023,1067617.266323,114.035098,499.373480,1125.939953,182.330844,612.155445,950.501341,127.819561,541.980000,1055.764508,48.245618,211.152902,679.824624,63.596497,424.185503,805.137919,78.320809,456.766959,910.401086,51.691734,135.964925,709.899815,60.776948,336.466196,770.050196,6.892231,26.942358,516.917341
60000,44.912392,89.384731,120.069455,0.457764,0.457764,67.277689,43.302164,59.611527,67.301580,43.218112,56.814871,6.424046,168.301300,43.233087,110.902266,562.030127,46.992486,166.040116,1088148.596537,114.661665,491.854682,1085.839699,206.140370,634.711838,1105.889826,138.471191,562.030127,1065.789572,56.390983,426.691769,880.325896,90.225572,489.348416,895.363491,138.471191,562.030127,1040.726913,58.897249,436.716832,875.313364,83.959907,486.842150,990.601595,6.892231,27.882208,511.904809
100000,62.460020,126.332027,145.815811,0.381470,0.381470,86.232243,54.049650,76.565621,85.974220,53.800253,76.390227,8.031279,331.059910,46.992486,300.125341,679.824624,58.270682,411.654173,3059156.297004,115.914798,544.486266,1135.965017,248.746890,709.899815,1171.052740,198.621572,627.193040,12338.973568,113.408532,524.436139,955.513873,144.736855,599.624115,1120.927422,198.621572,627.193040,12980.577638,113.408532,524.436139,960.526404,142.230590,599.624115,1095.864763,8.145364,33.834590,546.992532
150000,86.680704,161.913038,159.236174,0.286102,0.572205,94.852184,57.204069,83.495510,88.002592,62.307728,78.053039,11.536982,263.448278,97.744370,456.766959,995.614127,64.536347,434.210566,6734264.405166,113.408532,544.486266,1110.902358,287.594011,729.949942,1221.178057,238.721827,644.736902,1030.701849,132.205526,544.486266,880.325896,183.583977,622.180508,990.601595,203.634104,634.711838,1196.115398,119.047630,531.954936,960.526404,143.483722,599.624115,1166.040208,7.518798,96.491237,669.799560
200000,88.098428,143.358510,169.405003,0.381470,0.762939,97.298104,62.897443,86.641013,92.286547,67.892958,82.013624,9.850466,191.324503,101.503769,464.285757,1075.814635,78.947376,454.260693,6693201.744740,111.528832,531.954936,1090.852231,300.125341,744.987537,1341.478820,250.000023,649.749433,12820.176620,168.546381,552.005063,850.250705,186.090243,627.193040,1256.265780,208.646636,634.711838,1216.165526,122.807029,519.423607,930.451214,137.844624,587.092786,1060.777040,7.518798,88.972439,597.117850
300000,99.478752,225.509638,176.196434,0.286102,0.572205,100.609643,61.683386,87.664005,97.369069,70.638934,88.882162,12.200992,194.970063,109.649133,476.817087,1461.779583,100.877202,466.792023,21845323.442081,110.902266,489.348416,7567.043304,338.972462,765.037664,1035.714381,257.518821,659.774497,13301.379672,176.065179,557.017595,925.438682,188.596509,634.711838,950.501341,232.456162,654.761965,1080.827167,164.786983,559.523861,1040.726913,188.596509,634.711838,1156.015144,7.832081,105.263168,674.812092
400000,101.548478,200.213588,184.439152,0.381470,0.381470,101.988044,66.746635,89.338855,99.457237,63.974129,89.505201,10.319008,238.310223,110.275699,479.323352,1622.180601,105.263168,474.310821,21845323.442081,114.035098,499.373480,1105.889826,354.010058,780.075260,1075.814635,261.278220,669.799560,12659.775603,177.318312,564.536393,905.388555,188.596509,639.724370,1151.002612,256.265688,659.774497,12980.577638,171.052647,554.511329,925.438682,188.596509,639.724370,1115.914890,7.832081,95.238104,614.661711
600000,107.349659,275.109292,188.908264,0.286102,0.572205,105.444470,64.060374,90.143107,104.330365,75.165922,94.398147,12.442599,218.023452,114.661665,484.335884,1922.932508,110.902266,481.829618,46975671.623038,114.035098,496.867214,7045.739998,364.035121,790.100323,1015.664254,267.543884,679.824624,12579.575094,181.077711,567.042659,890.350959,192.355907,639.724370,960.526404,263.784485,684.837156,6444.236183,177.318312,577.067722,1020.676786,194.862173,644.736902,1145.990081,7.205514,108.396000,627.193040
800000,109.885932,272.498981,195.389561,0.381470,0.381470,106.751619,69.126191,94.042572,105.761735,67.788531,94.157573,10.524047,244.500661,115.288231,486.842150,6965.539489,113.408532,486.842150,49275180.606916,117.167931,516.917341,32228.699712,369.047653,795.112855,1221.178057,271.303283,684.837156,12820.176620,183.583977,574.561456,940.476277,196.115306,644.736902,1000.626659,267.543884,684.837156,12900.377129,179.824578,569.548925,975.564000,196.115306,644.736902,1055.764508,8.145364,97.117803,602.130381
1200000,112.298964,338.575702,197.538677,0.286102,0.572205,110.876945,66.697132,94.395768,110.677368,79.399374,99.035966,12.511188,224.733191,117.167931,486.842150,1632.205664,117.167931,494.360948,101178383.385885,115.288231,509.398543,50033.212632,374.060185,800.125387,1055.764508,276.315815,694.862219,13140.978655,187.343376,577.067722,920.426150,198.621572,649.749433,985.589063,276.315815,699.874751,12659.775603,187.343376,602.130381,975.564000,202.380971,659.774497,1030.701849,7.205514,110.275699,612.155445
2200000,114.502091,378.612487,201.808448,0.262260,0.524521,112.447397,65.859384,95.933152,112.911477,79.247579,100.945047,13.009391,231.450173,118.421064,486.842150,1612.155537,120.927329,501.879746,204984788.943822,115.288231,514.411075,137291.366038,379.072717,805.137919,6724.937963,280.075214,699.874751,13221.179163,188.596509,574.561456,890.350959,201.127838,654.761965,1055.764508,281.328347,704.887283,12820.176620,191.102775,607.142913,950.501341,204.887237,664.787029,1035.714381,8.458647,113.408532,649.749433
