element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,7.411458,23.333333,6.248137,0.500000,0.500000,1.835454,2.076480,1.986434,1.835508,2.102896,1.987488,1.061367,12.500000,9.398507,39.473730,53.258207,10.025074,152.255814,384.085654,7.518806,38.220595,1501.881424,5.952388,26.942387,71.428653,5.639104,7.205522,25.062685,5.952388,7.832089,42.293282,5.952388,7.832089,80.200593,5.639104,7.205522,13.157910,5.952388,7.832089,82.706862,5.952388,8.145373,13.471193,1.879701,3.759403,92.731936
110,5.227273,19.736364,5.795453,0.429688,0.429688,1.643387,1.754659,1.720486,1.671124,1.756935,1.720539,1.203329,23.660606,8.771940,25.689253,45.112834,9.398507,232.456407,624.687434,7.518806,35.087760,2634.714806,6.265671,24.122835,98.371040,5.325821,10.338358,77.067758,5.952388,7.205522,409.148340,5.952388,7.518806,95.864772,5.639104,6.892238,511.905350,5.952388,7.205522,18.170447,5.639104,7.205522,96.491339,1.566418,4.699254,55.764475
240,6.170139,17.003472,10.312573,0.468750,0.468750,1.717091,1.876459,1.863365,1.716802,1.888322,1.841296,1.056985,6.744444,8.771940,35.714327,102.757010,8.771940,222.431333,1181.079051,10.025074,51.378505,5100.883052,10.964925,32.268207,162.280888,5.639104,10.651641,318.922672,5.952388,7.518806,78.320892,5.952388,7.832089,504.386544,5.952388,10.651641,171.052828,5.952388,7.518806,356.516700,5.639104,7.518806,519.424155,1.879701,4.072686,272.556704
500,6.283333,17.147667,6.324139,0.488281,0.488281,1.710613,1.855185,1.803897,1.709511,1.899341,1.782357,1.056739,5.890000,9.398507,32.581491,87.719399,9.398507,125.313427,2404.138100,8.771940,36.967461,9331.464352,7.518806,27.568954,504.386544,5.639104,11.904776,421.679682,5.952388,7.205522,406.642071,5.639104,7.518806,506.892813,5.952388,11.591492,283.834912,5.952388,7.205522,391.604460,5.952388,7.832089,24.436118,1.566418,4.072686,77.694325
800,5.305000,18.443125,10.052613,0.390625,0.781250,1.630382,1.766404,1.705472,2.052434,2.556291,2.217825,1.085344,19.925833,9.398507,28.195521,59.523878,9.398507,82.706862,3617.172074,9.398507,49.498804,454.261173,10.651641,33.834625,494.361470,5.639104,13.784477,221.178199,5.952388,9.398507,441.729831,5.639104,9.398507,77.067758,5.952388,12.531343,501.880276,6.578955,8.771940,82.080295,6.265671,8.771940,296.366255,1.566418,5.952388,76.441191
1024,5.907389,17.119141,6.766737,0.500000,0.500000,1.711550,1.844644,1.781317,1.712131,1.846447,1.781549,1.068711,6.271484,9.398507,31.328357,73.308355,10.025074,57.644176,3757.523113,9.398507,38.847162,18915.435259,9.398507,30.075223,506.892813,6.265671,14.411044,419.173414,5.952388,9.085223,231.203273,5.952388,8.771940,504.386544,5.952388,15.664178,369.048043,5.952388,9.085223,36.654177,5.952388,10.964925,181.077902,1.879701,5.639104,80.200593
1500,5.573667,23.015556,9.796880,0.366211,0.732422,1.729838,1.840624,1.789664,2.066697,2.402769,2.186605,1.209611,22.304889,10.651641,29.448655,61.403579,10.651641,47.619102,9451.765242,9.398507,49.498804,504.386544,10.964925,35.714327,506.892813,8.458656,17.857163,506.892813,7.205522,9.398507,78.320892,7.205522,9.398507,401.629534,8.458656,18.797014,77.694325,6.578955,10.025074,82.706862,6.578955,9.711791,82.080295,1.879701,10.338358,302.631927
2048,6.591146,18.955241,7.022179,0.500000,0.500000,1.820721,1.950225,1.904600,1.820053,1.948318,1.988018,1.055770,8.156901,10.651641,36.967461,88.972533,11.278208,50.125371,8048.254858,9.398507,41.979998,31747.530197,10.651641,32.268207,504.386544,8.458656,20.676715,431.704756,7.205522,9.398507,106.516413,7.518806,9.711791,406.642071,8.458656,20.676715,82.706862,7.205522,9.711791,449.248636,7.518806,11.904776,101.503876,1.879701,5.325821,267.544167
3000,6.383833,25.515111,9.925370,0.366211,0.732422,1.770050,1.939919,1.924149,2.195240,2.377670,2.274898,1.291387,22.943667,10.651641,31.954924,82.706862,11.278208,43.859699,20840.249500,10.025074,50.125371,426.692219,12.531343,36.967461,506.892813,8.458656,20.676715,419.173414,7.518806,14.411044,501.880276,7.832089,14.411044,140.351038,11.278208,23.182984,501.880276,7.832089,16.290746,386.591923,8.771940,18.797014,78.947459,1.879701,15.350895,265.037898
6000,6.711833,27.642833,10.596884,0.366211,0.732422,2.896449,4.196761,4.051432,9.359099,11.473736,7.587858,4.745957,22.916556,11.278208,36.967461,77.694325,16.290746,48.872237,50995.672605,11.278208,52.005072,426.692219,16.290746,41.040147,582.080869,9.398507,23.182984,381.579386,8.458656,17.230596,449.248636,13.157910,26.315820,396.616997,12.531343,25.062685,49.185520,12.531343,25.689253,52.318356,12.844626,22.556417,77.067758,6.578955,20.676715,57.330893
8192,8.402059,23.637472,8.587310,0.500000,0.500000,4.759094,7.006387,6.929838,4.871757,7.176867,7.025275,3.991227,9.677205,11.904776,45.739401,93.358503,16.917313,50.751938,50995.672605,17.543880,46.365968,120609.787647,19.423581,41.979998,451.754905,10.964925,27.568954,451.754905,9.711791,23.182984,265.037898,13.471193,28.195521,59.210594,10.651641,26.942387,49.498804,9.711791,23.182984,78.320892,13.471193,28.195521,57.330893,1.879701,22.243133,52.631639
