element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,6.505208,21.218750,6.274175,0.500000,0.500000,1.666122,1.770626,1.702377,1.665768,1.769975,1.702400,0.986583,13.572917,9.398507,32.581491,73.308355,9.398507,144.737008,226.190736,7.518806,36.340894,1531.956647,6.265671,26.942387,83.333429,5.639104,6.578955,21.616566,5.952388,7.205522,114.035219,5.639104,6.892238,28.195521,5.639104,6.578955,469.298785,5.952388,6.892238,77.694325,5.639104,6.892238,68.922385,1.879701,3.759403,30.701790
110,5.603030,19.965152,5.883898,0.429688,0.859375,1.639095,1.802831,1.738812,2.265128,2.932492,2.350190,1.151342,22.169697,8.771940,26.942387,50.125371,8.771940,258.772227,644.737583,7.518806,35.714327,3256.269404,6.265671,26.942387,94.611637,5.952388,11.904776,441.729831,5.952388,7.518806,273.809838,5.639104,12.531343,32.581491,6.265671,13.471193,78.320892,6.578955,8.458656,35.714327,6.265671,8.458656,80.827161,1.879701,4.699254,32.581491
240,6.515278,22.125000,7.327194,0.468750,0.468750,1.661156,1.803764,1.753858,1.663257,1.807907,1.755375,1.044346,6.527778,8.771940,36.967461,68.295818,9.398507,343.985357,1481.831276,8.145373,43.233132,4760.030530,6.578955,28.822088,504.386544,5.639104,11.278208,416.667145,5.952388,7.518806,394.110728,5.952388,7.518806,401.629534,5.325821,10.964925,401.629534,5.952388,7.205522,434.211025,5.639104,7.205522,80.827161,1.566418,4.072686,73.934922
500,5.178667,15.694667,6.453929,0.488281,0.488281,1.615843,1.784133,1.707652,1.615557,1.784515,1.707201,1.090565,5.448000,8.771940,28.195521,72.055221,8.771940,137.844770,2183.586468,8.771940,36.967461,9010.661978,7.832089,28.195521,501.880276,5.952388,11.278208,81.453728,5.952388,7.205522,504.386544,5.639104,6.892238,78.320892,5.639104,11.278208,504.386544,5.952388,7.205522,451.754905,5.952388,7.205522,78.320892,1.879701,3.446119,36.967461
800,5.610833,18.071667,9.994960,0.390625,0.781250,1.625700,1.818302,1.702207,2.038664,2.488483,2.139884,1.137796,19.536667,9.398507,26.942387,72.681788,10.025074,89.599100,4098.375634,9.398507,49.498804,411.654608,10.338358,34.461192,456.767442,5.639104,14.411044,328.947746,5.952388,9.398507,504.386544,5.952388,9.398507,404.135803,5.952388,12.218059,431.704756,6.265671,8.771940,83.333429,6.265671,10.338358,278.822375,1.566418,5.952388,44.486267
1024,6.277018,17.683431,6.735142,0.500000,0.500000,1.739533,1.884221,1.797745,1.741449,1.946350,1.795899,1.025948,6.660482,9.398507,32.581491,67.669251,10.651641,59.523878,3316.419849,9.398507,38.847162,17712.426358,10.338358,30.075223,441.729831,6.265671,16.290746,479.323859,5.952388,8.771940,199.874916,5.952388,9.085223,343.985357,5.952388,14.411044,374.060580,5.952388,9.085223,404.135803,5.952388,9.085223,376.566849,1.879701,5.952388,50.438654
1500,5.716333,21.943556,9.608472,0.366211,0.366211,1.719228,1.853998,1.783761,1.720857,1.874538,1.786429,1.240102,24.578444,10.651641,28.195521,72.681788,11.278208,48.245669,8328.956935,9.398507,48.872237,474.311322,10.964925,35.714327,484.336396,8.145373,16.917313,509.399081,7.205522,9.398507,379.073117,7.205522,9.398507,419.173414,8.145373,17.230596,33.834625,7.205522,9.085223,198.621782,7.518806,9.398507,43.546416,1.566418,10.025074,302.631927
2048,6.567383,18.823486,6.920466,0.500000,0.500000,1.865491,1.983745,1.896189,1.835542,1.987017,1.908270,1.055496,7.974284,10.651641,38.220595,83.959996,11.278208,49.498804,8248.756341,9.398507,41.353431,34153.547998,10.964925,31.954924,446.742368,8.458656,21.303283,181.077902,7.205522,14.097761,529.449230,7.832089,10.025074,384.085654,8.458656,20.676715,80.827161,7.205522,11.904776,389.098191,7.518806,13.471193,124.686860,1.566418,5.325821,297.619389
3000,6.195889,24.603722,9.860203,0.366211,0.732422,1.763608,1.949205,1.944032,2.236675,2.435885,2.289943,1.265912,22.630556,10.651641,32.581491,63.909848,11.278208,42.606565,22604.662554,10.025074,50.125371,409.148340,13.157910,36.967461,456.767442,8.458656,20.676715,120.300890,7.518806,14.411044,504.386544,8.145373,15.350895,511.905350,11.591492,23.809551,484.336396,7.832089,16.290746,541.980572,8.458656,18.170447,128.446263,1.879701,15.037611,416.667145
6000,6.674000,26.856056,10.596023,0.366211,0.732422,2.663349,4.558347,3.154962,7.990821,11.214324,8.034951,4.817598,23.064056,11.278208,35.714327,73.308355,15.664178,45.739401,50033.265485,11.278208,52.005072,459.273710,16.290746,40.726864,396.616997,9.711791,23.182984,75.188056,8.771940,17.230596,471.805053,12.844626,26.315820,371.554311,12.531343,25.375969,78.947459,11.904776,25.689253,75.814623,12.844626,21.929850,45.739401,6.578955,20.989999,56.704326
