element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,5.671875,20.781250,6.242705,0.500000,0.500000,1.938828,1.810847,1.725907,1.950127,1.811055,1.725806,1.353949,11.947917,8.771934,25.062669,31.954903,9.398501,120.927377,154.761980,8.145367,36.340870,1481.830290,5.325817,26.315802,82.080240,5.952384,11.591484,12.218051,5.952384,7.205517,85.839641,5.639100,12.844618,21.303268,5.639100,11.278201,109.649176,5.952384,11.278201,13.784468,5.639100,12.844618,76.441140,1.566417,3.446117,73.308306
110,5.209091,18.468182,5.987977,0.429688,0.429688,1.629841,1.881886,1.807739,1.629722,1.882509,1.807733,1.397405,24.169697,8.771934,28.195502,38.847137,9.398501,206.140451,569.549148,8.145367,34.461170,2694.863458,5.325817,26.315802,436.717003,5.639100,6.892234,86.466207,5.952384,7.205517,83.959940,5.639100,7.205517,504.386209,5.639100,6.892234,77.067706,5.952384,7.205517,80.827107,5.639100,7.205517,82.706807,1.566417,4.072684,76.441140
240,5.061111,15.740972,7.092523,0.468750,0.468750,1.679842,1.875543,1.786608,1.681071,1.876132,1.787953,1.265568,5.898611,8.771934,30.075203,51.378471,9.398501,234.962520,955.514246,8.145367,41.353403,4459.275339,5.639100,28.195502,496.867408,5.952384,7.205517,80.827107,5.639100,7.205517,504.386209,5.639100,6.892234,77.067706,5.639100,7.205517,469.298473,5.952384,7.205517,19.110285,5.639100,7.205517,196.115383,1.566417,3.759400,31.954903
500,5.150000,15.083333,7.806914,0.488281,0.488281,1.825233,1.887040,1.794089,1.803800,1.886851,1.793815,1.274262,5.411333,9.398501,28.195502,63.909805,9.398501,107.769476,2193.610083,9.398501,43.859670,8569.553016,7.832084,30.075203,389.097933,5.952384,6.892234,501.879942,5.952384,7.518801,343.985129,5.639100,7.205517,104.010075,5.639100,6.892234,389.097933,5.952384,7.518801,436.717003,5.639100,7.205517,348.997662,1.566417,3.759400,41.979970
800,4.856875,17.532292,9.996835,0.390625,0.781250,2.074164,1.825702,1.741527,2.112052,2.312152,2.179282,1.326582,19.328333,9.398501,27.568936,47.619071,10.651634,82.706807,3917.921694,10.025068,48.872204,386.591666,9.711784,33.834603,351.503929,5.952384,9.085217,436.717003,5.952384,12.218051,306.391126,5.952384,9.398501,436.717003,5.952384,8.771934,237.468787,6.265667,10.651634,246.240721,5.952384,8.458651,80.200540,1.566417,5.952384,151.002579
1024,5.476562,15.755371,6.656515,0.500000,0.500000,2.290523,1.931294,1.824194,2.320758,1.928162,1.849371,1.264896,6.964844,9.398501,31.328336,76.441140,11.278201,58.270705,3336.467779,9.398501,38.847137,17471.812959,9.085217,29.448636,441.729537,5.952384,9.398501,504.386209,5.952384,13.157901,446.742071,5.952384,9.085217,89.599041,5.952384,9.085217,441.729537,6.265667,13.471184,501.879942,5.952384,9.085217,77.694273,1.566417,7.518801,227.443719
1500,5.175000,22.022111,9.562551,0.366211,0.732422,2.601913,1.920715,1.898394,2.809431,2.285860,2.207806,1.347345,22.186667,10.651634,28.195502,49.498771,11.904768,46.365937,8850.254906,10.025068,48.245637,514.411276,10.338351,35.401020,471.804739,8.145367,9.398501,265.037722,7.205517,17.543868,504.386209,7.518801,9.398501,92.731874,6.265667,9.398501,346.491396,6.578951,15.037601,386.591666,6.578951,9.398501,461.779672,1.566417,5.952384,209.899851
2048,5.909831,19.007406,7.027716,0.500000,0.500000,3.211989,2.057881,1.935035,3.273276,2.065595,1.939748,1.338990,8.796387,10.651634,33.834603,58.270705,14.411035,45.739370,9050.756256,10.025068,40.100270,33993.124206,10.338351,31.954903,516.917543,7.832084,13.784468,411.654334,7.518801,18.170435,313.909926,7.518801,9.398501,501.879942,8.145367,13.784468,391.604199,7.518801,16.917301,78.320840,7.518801,9.398501,288.847257,1.566417,5.325817,76.441140
3000,5.374722,24.970667,9.921086,0.366211,0.732422,3.307561,1.959206,1.926786,7.330719,2.450122,2.412442,1.376172,22.903000,10.651634,29.448636,58.897272,13.157901,44.486237,23406.652922,10.025068,50.125338,426.691936,11.904768,36.967436,506.892476,8.458651,16.917301,454.260871,7.205517,16.290735,516.917543,7.832084,13.157901,421.679402,8.771934,19.423568,248.746987,8.458651,21.929835,81.453673,7.832084,10.025068,449.248338,1.879700,13.784468,471.804739
6000,6.107750,27.679806,10.611731,0.366211,0.732422,3.977732,2.072445,2.498853,10.500448,8.198928,7.632249,4.685914,23.952000,11.904768,34.461170,68.295772,17.543868,45.739370,50995.638693,11.904768,52.631604,454.260871,15.664168,40.726837,511.905009,9.398501,20.989985,481.829807,8.771934,22.556402,234.962520,8.458651,16.917301,416.666868,12.531334,25.375952,54.198021,12.531334,28.195502,59.837122,11.904768,21.303268,44.172954,6.578951,19.423568,52.631604
