element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,10.807292,25.786458,6.510987,0.500000,0.500000,1.541966,1.551302,1.546445,1.541851,1.555361,1.565018,0.838760,16.520833,8.771947,35.714354,45.739436,16.290758,137.218309,198.621936,8.145379,43.859733,2614.666683,5.952392,26.942408,97.744549,4.385973,5.952392,26.942408,4.699257,6.265676,504.386935,4.699257,6.265676,31.328381,4.385973,5.952392,80.200656,4.699257,6.265676,80.827223,4.699257,6.265676,87.719467,1.566419,5.325825,341.479354
110,5.951515,20.990909,6.254933,0.429688,0.429688,1.320014,1.341832,1.303122,1.341592,1.341946,1.302995,1.042586,28.481818,8.145379,36.340922,50.125410,8.145379,251.253616,1381.581605,8.771947,44.486301,4760.034218,6.578960,25.689272,501.880665,4.072690,5.012541,479.324230,4.699257,5.952392,491.855583,4.699257,5.952392,248.747346,4.072690,5.325825,16.917326,4.699257,5.952392,79.574088,4.699257,5.952392,441.730173,1.566419,4.385973,89.599170
240,5.782639,18.871528,7.020800,0.468750,0.468750,1.259720,1.360588,1.302845,1.259528,1.368814,1.302820,0.977323,7.184722,8.145379,28.195543,38.847193,8.145379,277.569456,2303.889143,9.398514,48.245707,6724.950278,8.458663,28.822111,431.705091,4.072690,5.325825,186.090583,4.385973,6.892244,436.717632,4.385973,5.639109,426.692550,4.072690,5.012541,484.336771,4.699257,7.205528,80.827223,4.699257,5.952392,356.516976,1.879703,3.446122,434.211361
500,5.654333,19.518000,8.337566,0.488281,0.488281,1.582288,1.658502,1.620193,1.575245,1.649897,1.635820,0.992214,7.236667,9.398514,23.809570,38.220625,9.398514,157.268473,6243.746345,10.025082,48.872274,11376.588297,10.025082,33.208084,429.198820,6.892244,8.145379,469.299148,5.639109,8.145379,336.466813,6.265676,8.145379,501.880665,6.892244,8.145379,414.161198,5.639109,8.458663,21.929867,6.265676,8.458663,117.794713,3.132838,5.012541,92.732008
800,5.973542,24.886042,11.189492,0.390625,0.781250,1.601600,1.693590,1.676487,1.847598,2.049892,1.942891,1.177148,21.130417,9.398514,35.087787,129.072930,9.398514,85.213196,9612.173876,10.025082,54.511383,506.893206,11.904785,38.847193,516.918287,6.892244,8.145379,406.642386,6.265676,8.458663,78.947520,6.578960,8.458663,411.654927,6.578960,8.145379,41.980031,6.578960,8.771947,196.115665,6.892244,9.711798,75.814682,3.446122,5.952392,341.479354
1024,6.354492,21.400228,8.111866,0.500000,0.500000,1.632358,1.780786,1.715789,1.629061,1.772860,1.756019,1.008578,8.772786,9.398514,36.340922,45.112869,10.025082,48.872274,9652.274204,11.278217,50.125410,19877.857781,11.904785,35.714354,459.274066,6.578960,7.832095,361.529517,6.578960,8.771947,451.755255,6.578960,8.145379,439.223902,6.578960,7.832095,469.299148,6.578960,8.458663,466.792878,6.892244,8.771947,173.559231,2.506270,5.325825,181.078043
1500,6.618333,33.183222,11.211639,0.366211,0.732422,1.685975,1.755007,1.779605,1.865319,2.036580,2.062361,1.337675,25.582667,10.025082,36.967490,55.764518,10.651650,46.366004,15867.825005,15.037623,55.137951,514.412017,15.664191,42.606598,471.805419,7.205528,9.398514,78.320953,6.892244,12.218069,539.474722,7.205528,15.664191,77.694385,6.892244,8.145379,214.912694,7.205528,9.085231,44.486301,7.205528,8.771947,343.985624,3.446122,11.591501,51.378545
2048,7.190186,26.924235,9.106614,0.500000,0.500000,1.725137,1.847104,1.871905,1.737160,1.853086,1.917015,0.959102,10.207194,10.651650,38.847193,60.777059,10.651650,46.992572,17792.640738,17.543893,51.378545,39928.021657,18.483745,42.919882,197.368801,7.205528,13.784488,471.805419,7.205528,13.471204,75.814682,7.205528,15.977474,499.374394,6.892244,15.664191,338.973083,7.205528,16.290758,45.112869,7.205528,15.977474,277.569456,2.192987,5.325825,48.558991
3000,7.203056,36.163389,12.405668,0.366211,0.732422,1.796315,1.954039,1.896407,2.207499,2.378827,2.322822,3.393749,27.373889,11.278217,40.100328,67.042735,16.917326,52.631680,33511.969217,18.797029,60.150492,509.399476,23.809570,50.751977,414.161198,8.458663,19.423596,479.324230,8.145379,20.990015,275.063186,8.458663,17.543893,88.346035,7.832095,21.616583,47.932423,7.832095,20.050164,51.378545,8.145379,21.303299,275.063186,2.819554,16.290758,68.922438
6000,8.306444,38.768500,13.771257,0.366211,0.732422,2.148779,2.466167,2.376781,10.369171,7.233065,9.407750,5.993106,28.885222,18.170461,43.859733,69.549006,18.170461,54.511383,68319.053706,19.423596,77.067817,506.893206,27.568975,56.704370,526.943369,14.724339,26.315840,189.849989,15.350907,31.328381,61.716911,15.037623,27.568975,76.441250,14.411055,34.461219,182.331178,13.784488,32.581516,77.694385,13.471204,31.328381,68.922438,6.578960,24.436137,62.970046
8192,9.614380,32.217977,11.212320,0.500000,0.500000,3.438386,5.070476,6.679893,3.455500,5.049967,6.714612,3.278581,12.129028,18.797029,49.498842,84.586629,18.797029,55.764518,68960.658950,19.423596,92.732008,213001.036239,27.568975,52.944964,529.449640,15.350907,30.701813,416.667468,15.664191,32.581516,57.330937,15.664191,32.581516,491.855583,15.350907,31.328381,57.017654,15.664191,33.208084,57.017654,15.664191,32.581516,76.441250,2.192987,16.290758,64.223181
12000,9.236750,39.967000,14.261586,0.366211,0.732422,3.317645,4.666413,5.829273,10.721808,9.508991,11.460945,7.118988,29.234722,18.797029,46.366004,79.574088,18.797029,56.391086,134725.196465,21.303299,105.889928,514.412017,28.822111,61.716911,536.968451,15.664191,31.328381,281.328862,16.290758,33.208084,58.897356,17.230610,33.208084,59.837208,18.170461,39.787044,494.361853,17.543893,39.473760,206.140747,18.170461,37.594057,331.454272,6.892244,26.315840,70.802141
16384,10.414500,33.066793,11.736164,0.500000,0.500000,4.674198,6.954218,9.078936,4.673263,6.994370,8.872305,4.865103,12.253621,18.797029,52.631680,87.092899,19.423596,58.897356,137933.222685,20.050164,161.027879,500440.185572,28.195543,55.764518,546.993533,15.977474,34.461219,361.529517,17.543893,37.594057,90.225737,19.110312,37.907341,381.579681,15.977474,34.461219,67.356019,17.857177,38.220625,63.283330,19.110312,37.907341,73.308412,4.072690,26.315840,93.985143
25000,10.519167,41.854560,15.279982,0.381470,0.762939,4.502484,5.936046,9.427684,13.446642,13.091531,14.368403,7.278814,35.041400,19.423596,50.751977,183.584313,20.050164,61.403627,284860.823572,24.436137,127.193227,870.302426,29.448678,77.067817,594.612672,15.977474,35.087787,93.358576,17.543893,36.967490,451.755255,19.423596,38.847193,459.274066,20.676731,45.112869,238.722264,20.676731,46.366004,211.153288,20.676731,42.606598,262.531833,7.205528,27.568975,87.719467
32768,12.165090,36.011246,15.164383,0.500000,0.500000,6.234134,8.680556,11.097417,6.271844,8.686788,11.064670,5.612699,14.102122,19.423596,57.017654,109.022766,20.676731,62.656762,281011.192108,23.183002,171.052961,1129213.324738,32.581516,152.255932,602.131484,16.917326,39.787044,506.893206,19.423596,41.040179,504.386935,20.050164,41.040179,516.918287,16.917326,40.100328,511.905746,19.423596,40.726895,524.437099,20.050164,41.353463,519.424558,6.578960,27.882259,409.148657
45000,11.745822,61.093289,16.736701,0.343323,0.686646,4.965181,6.643253,10.289956,13.823887,13.644635,15.520990,8.133310,48.356956,20.676731,57.644221,539.474722,24.436137,115.915010,908501.120786,25.689272,164.787284,614.662836,35.087787,132.832336,619.675377,17.543893,40.100328,526.943369,19.423596,41.666747,612.156566,20.676731,43.859733,577.068779,20.990015,48.245707,338.973083,21.303299,50.438694,354.010706,20.990015,44.173017,267.544374,7.205528,33.834652,526.943369
