element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,25.401042,47.005208,27.332413,0.500000,0.500000,5.565379,4.291236,4.791112,5.557386,3.936775,4.689926,0.961508,1379.927083,17.857155,69.235637,76.127873,24.749391,258.458827,274.749565,26.629091,158.208130,3336.155210,20.989990,51.065199,516.604371,11.591487,16.917305,521.616905,9.398503,13.471187,81.766974,10.651637,13.471187,431.391278,11.591487,14.097754,356.203256,9.398503,13.471187,96.804579,10.651637,13.157904,511.591836,1.253134,3.446118,36.027594
110,27.278788,52.440909,28.460234,0.429688,0.859375,6.002578,3.943459,5.006562,6.718564,4.702599,5.897062,1.086782,530.742424,24.122824,67.355937,100.563980,26.002524,554.198382,779.762449,26.629091,143.797093,5521.620395,22.869690,56.704300,554.198382,12.531337,18.483722,529.135708,9.398503,14.097754,413.847407,11.278203,17.857155,516.604371,13.157904,20.050139,90.538910,10.338353,15.350888,321.115512,11.904770,19.736856,84.899809,1.253134,3.759401,42.919829
240,26.023611,45.302778,27.950191,0.468750,0.468750,5.898589,4.263328,5.206275,5.969813,4.265382,5.217176,1.002570,41.618056,22.869690,83.020108,135.025157,23.496257,694.549357,1501.567464,27.255658,140.037692,10012.851599,26.002524,57.017584,699.561892,12.531337,22.869690,514.098103,10.025070,16.917305,416.353674,11.591487,19.110289,105.576515,12.531337,24.122824,438.910081,9.711786,16.917305,81.766974,11.591487,20.676706,446.428883,1.253134,3.132834,227.130484
500,25.078333,44.708333,30.943073,0.488281,0.488281,6.572493,4.655476,5.734586,6.678219,4.656160,5.759518,0.946733,42.820667,22.869690,74.248172,151.942462,24.122824,265.977629,2895.052146,29.761926,154.448729,17952.706764,29.761926,69.235637,551.692114,15.037604,26.002524,453.947685,11.278203,19.736856,484.022894,13.157904,25.689241,509.085568,15.037604,27.255658,361.215791,11.278203,20.989990,83.646675,13.471187,26.629091,371.240861,1.253134,5.639102,423.872476
800,23.336458,54.064167,35.542609,0.390625,0.781250,6.429165,4.604734,5.678982,7.109197,5.417238,6.271697,1.186412,70.195000,22.243123,72.368472,155.701863,24.122824,136.904857,9170.745748,32.894760,156.954997,844.925402,34.147894,80.513841,616.855067,15.037604,27.882225,519.110638,11.591487,20.676706,174.498869,14.097754,26.629091,393.797267,14.097754,27.255658,453.947685,12.218054,23.809540,83.020108,13.471187,26.002524,90.538910,1.253134,10.338353,368.734593
1024,26.215169,50.230469,31.646538,0.500000,0.500000,6.888064,4.907601,5.868371,6.842708,4.966304,5.876700,0.951926,44.899414,23.496257,78.634140,122.493820,27.255658,120.614119,9170.745748,30.388492,147.556494,53882.556400,36.027594,76.127873,621.867602,15.664171,27.882225,393.797267,12.531337,22.869690,84.273242,14.097754,26.002524,323.621780,15.664171,28.508792,219.611682,12.531337,21.616556,96.804579,14.097754,27.255658,313.596710,1.253134,5.012535,41.353412
1500,26.207667,61.246556,37.152860,0.366211,0.732422,7.094014,5.417189,6.400767,7.567882,5.530106,6.588242,1.342237,77.465778,24.122824,70.488771,130.639189,27.882225,106.203082,21481.531282,33.521327,156.954997,604.323730,42.606546,92.418611,679.511752,20.363423,40.100279,496.554231,13.784471,27.882225,84.899809,15.664171,35.401027,458.960220,15.977455,32.894760,95.551445,12.844620,24.122824,66.416086,14.411038,29.135359,194.549008,1.253134,8.145369,240.914955
2048,28.254639,53.105632,34.103874,0.500000,0.500000,7.773130,5.316717,6.556466,7.953589,5.900456,6.561954,0.960323,47.069987,25.375958,75.501306,136.278291,29.135359,105.576515,21641.932396,33.521327,150.689328,94945.241697,45.739380,89.912343,579.261056,19.736856,44.799530,516.604371,14.097754,29.135359,408.834872,19.736856,43.233113,348.684454,19.110289,43.546396,576.754788,13.471187,28.508792,131.265756,19.423572,43.546396,79.887274,1.253134,6.578952,51.065199
3000,26.003778,61.321556,40.043530,0.366211,0.732422,11.762448,6.134519,7.853270,21.731212,13.937048,13.555975,2.777176,77.788889,27.255658,66.729370,131.892323,29.135359,93.671745,46504.105135,36.027594,166.980066,609.336265,52.005049,109.962483,714.599496,24.749391,61.716835,544.173312,17.543872,36.027594,301.065373,26.629091,59.837134,98.684279,23.496257,60.150418,101.190547,17.230588,37.280728,145.676793,24.122824,58.270717,147.556494,1.253134,12.218054,54.511316
6000,25.706861,61.766222,42.194186,0.366211,0.732422,15.119082,10.600119,18.882179,28.513118,19.512540,25.100804,5.572566,78.341111,29.761926,71.741905,143.797093,29.761926,93.045178,91737.219409,38.533861,170.739468,649.436543,58.897284,130.639189,799.812588,29.135359,70.488771,106.829648,26.629091,54.824600,113.721884,32.268193,72.995038,151.942462,32.894760,79.260707,187.030206,27.255658,60.776985,536.654510,30.388492,79.260707,154.448729,6.265669,22.243123,70.488771
