element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,19.526042,30.583333,21.365561,0.864865,0.864865,3.129794,4.150298,3.129744,3.129745,4.150264,3.129715,1.326722,29.270833,20.050143,93.358480,94.611614,23.809545,151.002642,193.609196,26.315813,48.872224,396.616897,26.315813,42.606555,244.987689,10.338355,18.170442,63.596548,14.411041,20.050143,114.035190,10.025072,18.170442,39.160436,10.338355,18.170442,70.802069,14.411041,20.050143,157.268312,10.025072,17.857159,275.062903,0.939850,1.879701,70.802069
110,18.703030,24.056061,22.265781,0.973451,0.973451,3.206520,4.275624,3.780540,3.206465,4.275555,3.780410,1.157869,22.315152,21.303277,68.922368,82.706841,21.929844,144.736972,236.215751,26.942380,52.631626,499.373882,28.195514,43.859688,177.318455,10.338355,18.170442,87.092810,14.724324,20.050143,318.922592,14.097757,20.050143,519.424025,10.338355,18.797009,293.859913,14.724324,20.050143,124.060262,14.411041,19.736860,446.742256,0.313283,0.939850,158.521446
240,24.015278,30.086806,22.598704,0.995851,0.995851,3.429622,4.282715,3.871501,3.421003,4.264000,3.883318,1.126696,23.745833,29.448648,55.764461,80.827140,28.195514,183.584125,1562.031477,26.942380,53.258193,965.539714,28.822081,45.112822,564.536847,10.651639,20.050143,421.679576,14.411041,21.929844,91.478779,10.651639,21.303277,509.398953,10.651639,20.050143,424.185844,14.411041,21.929844,316.416324,10.651639,21.929844,464.286131,0.626567,1.566417,4.699252
500,23.119667,38.137667,23.764436,0.994036,0.994036,3.633266,4.728451,4.053019,3.698042,4.716814,4.118741,1.106942,23.362667,30.701782,57.017595,114.661757,34.461184,120.300860,3978.073745,27.568947,59.523863,855.263925,31.328349,49.185508,669.800100,13.471190,23.182978,406.641969,15.664174,27.568947,516.917757,14.097757,23.809545,399.123165,13.471190,22.556411,87.719377,15.664174,27.568947,516.917757,14.411041,24.436112,88.972511,0.313283,4.072685,73.934903
800,23.171667,41.434167,24.451078,0.972053,0.972053,3.677878,4.600388,4.236051,3.691580,4.507210,4.094003,1.777416,24.445000,25.689246,57.017595,114.661757,35.087751,94.611614,6765.043665,27.568947,64.536399,614.662206,33.208050,52.318343,592.105794,14.097757,24.436112,461.779863,16.604025,28.195514,451.754791,14.724324,27.568947,511.905221,14.097757,24.436112,414.160773,16.604025,28.822081,85.213109,14.724324,27.568947,426.692112,2.819551,4.385969,436.717184
1024,23.554525,41.103353,25.159300,0.993210,0.993210,3.909366,4.617888,4.186303,3.871126,4.615740,4.188489,2.544049,24.788086,29.448648,57.644162,105.889819,35.714318,88.972511,9010.659715,28.195514,67.042667,614.662206,35.087751,54.511327,501.880150,14.724324,26.315813,201.128000,17.543875,31.328349,524.436561,15.350891,29.448648,469.298667,15.037607,26.942380,326.441396,17.543875,31.328349,459.273595,15.350891,30.075215,429.198380,3.132835,4.385969,376.566754
1500,23.891111,42.835444,25.727634,0.929944,0.929944,4.010107,4.717341,4.249648,3.875975,4.620712,4.758778,2.713052,24.215333,31.954916,61.403564,95.238181,36.340885,88.972511,13622.192675,28.822081,69.548935,612.155938,36.967452,57.957445,439.223452,15.350891,30.075215,461.779863,18.170442,34.461184,401.629433,15.664174,29.448648,446.742256,15.350891,26.942380,321.428860,18.797009,31.328349,446.742256,15.977458,30.075215,464.286131,3.446118,4.385969,72.681769
2048,23.208171,42.522217,26.602184,0.939881,0.939881,4.126780,4.771958,4.387850,4.218294,4.799787,4.494915,2.681560,23.852702,25.062679,58.270729,148.496374,36.967452,83.333408,18915.430508,30.075215,73.934903,612.155938,40.100287,62.969981,469.298667,15.664174,29.448648,511.905221,20.050143,31.328349,524.436561,17.857159,35.714318,396.616897,16.290741,33.834617,374.060486,20.050143,40.100287,414.160773,17.857159,36.340885,519.424025,3.446118,4.385969,499.373882
3000,24.077389,44.220778,28.863832,0.934871,0.934871,4.928715,5.970695,4.730910,5.035619,5.912535,4.786970,2.740518,24.673778,31.954916,65.162966,103.383551,36.340885,80.200573,28218.697001,31.954916,84.586542,589.599527,46.365956,76.441171,617.168474,20.676710,41.666704,521.930293,20.676710,50.438642,476.817470,20.050143,42.606555,97.744449,20.676710,41.353421,93.358480,20.676710,46.992523,125.939963,20.050143,45.112822,439.223452,3.446118,5.325819,12.218056
6000,25.707833,38.622750,34.601903,0.933562,0.933562,9.279473,7.730236,14.294879,9.245480,7.378909,14.298269,4.001521,26.237944,32.581483,82.706841,151.002642,36.967452,85.839676,33191.132541,41.353421,119.047726,629.699813,60.463713,97.744449,614.662206,31.328349,63.596548,109.649221,25.689246,79.574006,286.341109,30.075215,72.681769,161.027713,30.701782,62.969981,113.408623,25.689246,78.947439,167.293383,30.075215,72.681769,152.255776,3.132835,13.157907,70.802069
8192,26.686076,37.819051,36.857575,0.932711,0.932711,10.521602,12.338419,18.103554,10.572232,10.875392,18.043187,4.496236,26.732992,35.714318,88.345944,154.762044,38.220586,95.864748,32870.330248,45.739389,127.819664,599.624598,66.729383,105.889819,519.424025,33.834617,70.802069,429.198380,30.075215,90.852212,171.052785,33.521333,81.453707,168.546517,33.834617,69.548935,116.541458,30.075215,90.225645,486.842542,33.521333,80.827140,271.303502,3.446118,13.471190,19.736860
12000,28.778889,45.357972,39.835432,0.999084,0.999084,12.604126,15.489274,21.439048,12.613324,15.534193,21.378027,5.157282,28.873333,38.220586,102.130417,168.546517,40.100287,106.516386,87887.923477,52.631626,138.471302,629.699813,72.055203,113.408623,592.105794,38.220586,77.694305,441.729720,38.847153,106.516386,247.493956,38.847153,92.105346,381.579290,38.220586,77.694305,144.110405,39.473720,105.889819,196.115464,38.847153,92.105346,169.799651,3.446118,13.784474,32.581483
16384,30.294108,43.405101,41.180992,0.998355,0.998355,13.583694,17.300431,23.157129,13.726608,17.335855,23.129265,5.540486,30.510864,38.220586,108.396087,188.596660,41.979988,112.155489,88529.528063,57.017595,145.363539,592.105794,75.814604,119.674293,684.837707,40.726854,82.706841,446.742256,42.293271,114.035190,204.887402,41.979988,97.117882,168.546517,40.726854,82.080274,135.338467,42.606555,114.035190,202.381134,41.979988,97.117882,178.571589,3.132835,13.784474,36.340885
25000,31.433140,50.761980,41.958528,0.951765,0.951765,13.986882,19.417673,24.357306,14.028449,19.371647,24.321440,5.711877,31.685573,38.220586,114.035190,221.178143,45.112822,122.180561,202735.144329,59.523863,154.762044,790.100960,78.947439,126.566530,865.288997,42.606555,86.466243,494.361346,46.365956,119.674293,257.519028,44.799539,103.383551,501.880150,42.606555,86.466243,280.075439,46.679240,120.300860,421.679576,44.799539,103.383551,486.842542,3.446118,13.157907,19.423576
32768,32.890376,48.506592,43.550606,0.986305,0.986305,14.698931,19.564275,24.972811,14.561631,19.531608,24.996184,5.968105,32.878947,39.473720,117.794592,214.912474,46.365956,122.807128,201451.935158,61.403564,153.508910,920.426891,80.827140,140.977570,714.912922,43.859688,88.345944,446.742256,48.558941,120.927427,544.486704,46.365956,104.636685,461.779863,43.859688,88.345944,559.524312,48.872224,122.180561,379.073022,46.365956,105.263252,222.431277,3.446118,13.157907,74.561470
45000,33.090756,56.393293,45.225667,0.989424,0.989424,15.014542,20.354371,25.793897,15.050510,20.279628,25.651944,6.133576,33.824148,40.100287,120.300860,246.240822,46.992523,130.325931,431146.376862,63.283265,158.521446,875.314069,83.959975,163.533981,729.950530,44.799539,90.852212,577.068187,50.438642,125.313396,544.486704,47.305807,107.142953,599.624598,44.799539,91.478779,562.030580,50.438642,125.313396,569.549383,47.305807,107.142953,594.612062,3.132835,13.784474,354.010343
60000,34.313656,53.045964,48.102819,0.964119,0.964119,15.014767,20.547486,25.810609,15.084786,20.487366,25.816956,6.130152,34.450050,44.486255,122.180561,486.842542,48.245657,132.205632,433712.795205,66.416100,177.318455,995.614928,88.972511,208.646804,1000.627464,45.112822,96.491315,624.687277,52.005059,128.446231,755.013209,47.932374,109.022654,602.130866,45.112822,92.105346,607.143402,51.691776,125.939963,724.937994,47.619090,109.022654,614.662206,3.446118,13.157907,501.880150
100000,36.694243,61.458630,61.010022,0.926810,0.926810,17.112561,22.125815,28.180743,17.493668,21.954979,28.183545,6.409500,36.953523,44.486255,140.977570,709.900386,48.872224,151.002642,1062485.289256,71.428636,262.531564,1080.828038,117.794592,506.892685,975.564785,49.498791,178.571589,734.963066,54.198044,183.584125,970.552249,51.691776,169.799651,800.126031,49.498791,179.824723,704.887851,54.511327,179.824723,840.226318,51.691776,171.052785,765.038280,2.819551,21.616561,514.411489
150000,43.058787,60.725718,98.852536,0.938256,0.938256,25.348132,29.405692,36.164534,25.411989,29.633167,36.174494,7.812329,42.936793,45.739389,248.747090,835.213782,50.751925,247.493956,1093282.309373,85.213109,612.155938,1321.429757,209.899938,679.825171,1075.815502,66.729383,464.286131,895.364212,58.584012,434.210916,1371.555115,61.090280,444.235988,1060.777894,66.102816,464.286131,1040.727751,58.584012,439.223452,1085.840573,61.090280,444.235988,1050.752823,2.819551,26.315813,559.524312
200000,52.593145,90.689322,117.949106,0.988098,0.988098,33.862075,40.532923,46.310511,33.946075,40.585990,46.297630,10.587194,52.693970,46.992523,371.554218,915.414355,53.258193,341.479003,5194418.821588,133.458766,694.862779,1562.031477,262.531564,739.975601,1085.840573,122.180561,559.524312,1135.965932,73.308336,612.155938,1511.906119,109.649221,572.055651,1301.379614,122.180561,559.524312,1145.991003,72.681769,612.155938,1481.830904,109.649221,572.055651,1361.530044,3.446118,74.561470,577.068187
300000,66.911578,98.780393,142.004811,0.924491,0.924491,40.472488,47.957026,54.486741,40.324353,47.976453,54.366996,15.860167,66.986532,48.245657,549.499240,1186.091290,65.162966,549.499240,5379200.942289,162.280847,775.063352,1481.830904,313.910056,805.138567,1201.128897,172.305919,622.181009,1186.091290,118.421159,704.887851,1572.056549,162.280847,659.775028,1461.780760,172.305919,622.181009,1181.078754,118.421159,704.887851,1552.006405,162.280847,659.775028,1491.855975,3.446118,143.483838,694.862779
400000,79.807158,150.441126,150.235033,0.973575,0.973575,44.806984,54.670808,61.047614,44.885129,54.794055,61.038964,24.482629,81.053700,52.631626,617.168474,1341.479901,73.308336,627.193545,18313949.391331,189.849794,805.138567,1541.981334,346.491539,830.201246,1361.530044,184.837259,669.800100,6123.439079,166.040249,765.038280,1672.307265,182.330991,704.887851,1712.407552,184.837259,669.800100,1181.078754,166.040249,765.038280,1682.332337,182.330991,704.887851,1562.031477,3.446118,303.884984,684.837707
600000,96.200869,147.564581,175.538528,0.985379,0.985379,49.128125,60.413120,67.172442,49.188911,60.499199,67.247986,30.705117,96.286826,94.611614,679.825171,1552.006405,87.092810,699.875315,18313949.391331,239.975153,885.339140,7005.645384,376.566754,885.339140,7005.645384,227.443813,699.875315,7005.645384,196.115464,820.176175,1702.382480,223.684411,760.025745,6925.444811,228.696947,699.875315,6965.545098,197.368598,820.176175,1762.532910,224.937545,760.025745,6724.943378,3.446118,346.491539,664.787564
800000,105.662831,207.291851,187.063544,0.959024,0.959024,51.064986,62.341949,69.354493,51.029214,62.281148,69.311484,33.014984,106.099251,98.371016,704.887851,1742.482767,100.250717,739.975601,45661703.255018,250.000224,895.364212,13140.989236,396.616897,900.376748,13301.390382,241.228287,714.912922,13140.989236,228.696947,845.238854,6965.545098,239.975153,775.063352,13221.189809,241.228287,714.912922,13541.992102,228.696947,845.238854,6564.542232,239.975153,775.063352,7206.146817,3.132835,366.541682,709.900386
1200000,118.750564,194.480439,200.291336,0.970562,0.970562,54.108510,66.612918,73.136620,54.100990,66.575081,73.138167,36.639901,118.641763,105.889819,744.988137,1592.106692,112.782056,785.088424,45661703.255018,283.834841,950.502106,12980.588089,436.717184,945.489570,13702.393248,252.506492,750.000673,14103.396114,248.747090,870.301533,13221.189809,253.759626,800.126031,13862.794395,252.506492,750.000673,13862.794395,248.747090,875.314069,13221.189809,253.759626,805.138567,14103.396114,3.132835,379.073022,12338.983503
2200000,130.359031,234.367902,213.216674,0.948020,0.948020,56.923154,69.700730,75.766027,57.042853,69.787561,75.763911,38.940435,130.775098,111.528922,775.063352,1592.106692,120.300860,835.213782,103149474.139647,311.403788,980.577321,13702.393248,456.767327,970.552249,13862.794395,263.784698,775.063352,14103.396114,262.531564,900.376748,13702.393248,266.290966,835.213782,14183.596687,263.784698,775.063352,14343.997834,262.531564,900.376748,14103.396114,266.290966,835.213782,14343.997834,2.819551,386.591826,12579.585223
