element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,20.083333,21.958333,20.880240,0.864865,0.864865,3.130049,4.150302,3.129742,3.129754,4.150274,3.129715,1.279097,19.937500,20.676710,77.694305,111.528922,21.303277,151.002642,197.368598,25.062679,50.125358,479.323738,26.942380,43.546405,76.441171,10.338355,18.170442,48.872224,14.411041,20.050143,111.528922,10.338355,18.170442,81.453707,10.338355,18.170442,26.315813,14.411041,20.050143,97.744449,10.338355,18.170442,486.842542,1.253134,1.879701,2.506268
110,17.834848,19.680303,21.801933,0.973451,0.973451,3.206703,4.276673,3.780540,3.206705,4.276532,3.780409,1.144011,19.863636,21.303277,52.005059,88.972511,21.929844,147.243240,257.519028,25.062679,52.631626,965.539714,29.448648,44.486255,178.571589,10.651639,18.170442,396.616897,14.724324,20.050143,133.458766,14.097757,19.736860,85.213109,10.651639,18.170442,112.155489,14.724324,20.050143,53.571477,14.411041,20.050143,100.250717,0.313283,0.939850,2.506268
240,24.406944,28.486111,22.157961,0.995851,0.995851,4.512105,4.944830,5.190505,3.424400,4.264685,3.873892,1.126695,24.327778,29.448648,68.922368,106.516386,28.195514,179.824723,1431.705545,25.689246,52.631626,739.975601,29.448648,44.172972,399.123165,15.037607,28.822081,506.892685,14.411041,35.401034,109.649221,14.097757,25.689246,409.148237,10.651639,20.050143,88.345944,14.411041,21.303277,88.345944,10.651639,21.929844,100.250717,0.313283,1.253134,36.967452
500,23.016333,36.950667,22.083430,0.994036,0.994036,3.308422,4.510727,3.849181,3.338776,4.500748,3.848202,1.109932,22.088667,27.568947,52.005059,85.213109,33.834617,110.902355,4379.076611,25.062679,52.631626,409.148237,30.075215,45.739389,371.554218,10.651639,20.050143,386.591826,14.724324,21.929844,496.867614,13.784474,21.303277,366.541682,10.651639,20.050143,197.368598,14.724324,22.243128,531.955365,13.784474,21.303277,434.210916,0.313283,1.253134,75.188037
800,22.988958,39.951875,22.356770,0.972053,0.972053,3.338850,4.321731,3.842077,3.380366,4.310288,3.811193,1.125892,23.033333,26.942380,53.258193,94.611614,33.834617,102.130417,6003.138219,25.689246,56.391028,850.251390,30.075215,48.245657,659.775028,11.591489,20.989994,456.767327,14.724324,25.062679,348.997807,13.157907,22.869695,516.917757,11.904773,21.929844,454.261059,14.724324,24.122829,526.942829,13.471190,22.556411,399.123165,0.313283,1.253134,404.135701
1024,22.907389,39.547038,23.957033,0.993210,0.993210,3.947945,4.538696,3.942525,3.771619,4.482093,4.031349,1.301032,24.493815,26.942380,55.764461,124.060262,35.087751,87.719377,7687.350257,26.942380,58.897296,1211.153969,32.581483,52.005059,709.900386,15.664174,30.075215,187.343527,15.350891,31.954916,509.398953,14.411041,27.568947,514.411489,15.037607,28.822081,151.002642,15.037607,32.581483,424.185844,14.411041,26.942380,521.930293,0.939850,4.385969,72.055203
1500,23.433556,41.276111,23.697166,0.929944,0.929944,4.099173,4.587616,4.312255,3.996248,4.554382,4.368663,2.140238,23.780222,28.195514,58.270729,104.636685,34.461184,86.466243,12098.381784,26.942380,60.776997,1231.204112,33.834617,52.631626,524.436561,14.724324,26.942380,516.917757,16.604025,31.328349,486.842542,15.350891,29.448648,456.767327,15.037607,27.568947,461.779863,16.604025,32.268199,421.679576,15.350891,29.448648,577.068187,1.879701,4.385969,140.977570
2048,23.134766,41.217692,23.834077,0.939881,0.939881,4.531294,4.633483,4.116859,4.338449,4.739432,4.140277,2.258191,23.007975,24.436112,57.017595,110.902355,35.087751,80.827140,17311.419043,28.195514,63.283265,765.038280,35.714318,55.451178,634.712349,15.350891,28.195514,539.474168,18.170442,32.581483,516.917757,16.290741,29.448648,429.198380,15.664174,28.822081,341.479003,17.857159,30.701782,98.371016,16.290741,29.448648,354.010343,2.192984,3.759402,501.880150
3000,23.559444,40.853222,25.188125,0.934871,0.934871,8.910450,13.368049,12.204496,8.991914,13.396949,12.575114,2.361368,24.082556,24.436112,60.776997,92.105346,35.087751,70.175502,25010.674072,29.448648,67.042667,1060.777894,37.907302,57.957445,704.887851,19.423576,39.473720,516.917757,20.050143,47.619090,516.917757,20.676710,44.799539,119.047726,19.110293,40.100287,459.273595,20.050143,47.619090,444.235988,20.363427,44.172972,202.381134,2.192984,3.132835,54.824611
6000,24.290417,37.702694,28.733966,0.933562,0.933562,7.127900,6.315189,11.765875,7.078770,6.239874,11.840004,2.614448,24.712389,25.689246,66.416100,106.516386,35.714318,69.548935,25171.075219,33.208050,80.200573,634.712349,45.112822,74.561470,689.850243,21.616561,44.486255,434.210916,21.303277,52.631626,476.817470,22.556411,50.438642,469.298667,21.929844,45.112822,524.436561,21.929844,52.318343,116.541458,22.556411,50.125358,396.616897,3.132835,10.338355,137.844735
