element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,50.708333,67.692708,98.173360,0.864865,0.864865,20.159884,18.563563,17.072903,19.278125,18.646838,17.091699,1.231475,191.312500,54.824615,129.386091,143.797133,56.704316,351.190819,416.353789,140.037731,501.566905,12499.072339,58.584017,95.551472,719.612231,31.015068,55.137898,134.398627,22.869696,61.090285,124.373555,28.508800,59.837151,112.468781,31.015068,53.258197,149.436236,22.869696,61.090285,126.253256,28.508800,59.210584,104.323410,0.000000,0.939851,3.759402
110,50.340909,61.115152,102.224005,0.973451,0.973451,24.828597,25.990487,26.750011,25.039164,26.284373,26.727565,2.377092,219.375758,56.704316,128.759524,151.942504,58.584017,431.391398,604.323898,141.290865,504.073173,12418.871760,64.536404,106.203111,940.163824,35.714321,67.669239,194.549062,41.666707,76.127894,143.170566,44.172975,76.754461,209.586671,34.774470,66.729388,126.253256,40.726857,78.007595,333.646942,43.546408,72.995059,118.107885,2.819552,3.759402,136.904895
240,60.325000,76.303472,106.666569,0.995851,0.995851,31.492224,30.504791,27.634732,32.080126,30.565314,27.808455,2.599943,217.861111,71.741925,135.025194,178.258319,70.488791,318.609333,3115.604542,142.543999,499.060637,1250.941070,70.488791,125.626689,930.138752,39.787006,78.007595,544.173463,47.932378,86.152966,178.258319,41.666707,79.887296,403.822449,40.413573,77.381028,491.541833,47.619094,93.045204,378.759768,42.919841,81.766997,461.466615,3.132835,4.385969,75.501327
500,58.427000,87.557333,112.980029,0.994036,0.994036,32.482662,34.075264,29.950996,32.718122,33.856178,29.767754,2.701108,223.768667,71.115358,122.493854,160.714442,75.501327,205.827268,7045.432936,145.676834,509.085709,1250.941070,81.140430,141.290865,1075.502302,44.799542,86.779533,386.278572,51.065213,99.310874,180.764587,46.052676,87.406100,453.947811,44.486259,89.285801,180.764587,51.065213,98.057740,601.817629,45.739393,91.792069,511.591978,4.072686,5.639103,79.260729
800,58.563542,88.530208,117.179598,0.972053,0.972053,44.789531,44.925670,42.476972,44.563446,45.271814,42.353355,3.818150,226.911667,70.488791,135.025194,205.827268,74.248193,166.980113,10253.456114,146.929968,511.591978,1471.492663,90.538935,156.955040,1050.439621,65.162971,125.000122,581.767485,59.523868,145.676834,554.198535,60.777002,130.639225,338.659478,65.162971,121.867287,453.947811,58.897301,145.676834,481.516760,60.777002,131.892359,559.211072,4.699253,8.458655,381.266036
1024,57.134440,88.300944,123.256172,0.993210,0.993210,53.552096,53.854200,50.667159,53.437602,54.279130,50.028830,4.359567,225.196615,69.862224,131.892359,210.839805,75.501327,160.714442,13541.679872,149.436236,519.110782,1311.091504,98.057740,169.486381,1255.953606,79.887296,146.303401,358.709623,69.235656,173.245783,268.483971,71.115358,148.183102,346.178282,78.634162,145.676834,212.092939,69.235656,178.258319,398.809913,71.115358,149.436236,313.596797,5.012536,9.711789,398.809913
1500,59.065111,93.180444,130.331712,0.929944,0.929944,61.646221,66.315113,69.137812,61.880660,65.906559,69.542439,5.176129,231.366444,71.115358,136.278328,180.764587,76.127894,158.208174,19797.325071,154.448772,524.123318,1331.141649,109.962513,189.536526,1160.715418,94.298338,180.764587,293.546652,80.513863,214.599207,541.667195,90.538935,192.042794,408.834985,94.298338,182.017721,521.617050,81.140430,220.864877,481.516760,91.165502,192.042794,441.416471,5.012536,11.904774,398.809913
2048,58.681722,89.820312,138.010897,0.939881,0.939881,65.204588,72.214568,76.202903,65.119510,72.892574,76.080679,6.479137,232.594564,69.235656,133.145493,187.030258,76.127894,151.942504,26293.572007,158.208174,529.135854,1301.066432,117.481318,207.080402,1260.966142,99.310874,195.802196,336.153210,87.406100,225.877413,446.429007,97.431173,214.599207,378.759768,99.310874,195.802196,331.140674,88.032667,225.877413,481.516760,98.057740,213.346073,386.278572,5.325820,16.604026,446.429007
3000,60.872944,97.106167,141.994690,0.934871,0.934871,68.453474,77.882213,82.793851,68.205682,77.927525,82.965317,9.578638,236.525889,69.235656,141.290865,209.586671,77.381028,151.942504,43937.699489,165.726979,536.654659,1441.417446,127.506390,237.155620,1321.116577,102.443709,208.333536,326.128138,96.804606,245.927558,393.797377,103.070276,228.383681,589.286289,102.443709,207.080402,554.198535,97.431173,245.927558,413.847521,103.070276,229.636815,453.947811,11.278206,26.002532,466.479152
6000,65.142472,91.989722,158.198988,0.933562,0.933562,72.102195,86.596023,92.853239,71.516532,86.459735,92.657553,15.261184,270.243778,71.741925,156.955040,234.649352,79.260729,165.726979,70243.489553,178.258319,556.704804,1451.442518,143.170566,373.747232,1341.166721,109.335946,228.383681,584.273753,118.107885,265.977703,669.486868,114.348482,245.927558,669.486868,109.335946,225.877413,606.830166,118.107885,262.218301,749.687448,114.348482,245.927558,654.449260,17.230593,28.508800,514.098246
