element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,40.734375,52.322917,82.410372,0.864865,0.864865,13.022538,14.154822,13.872182,12.809014,14.183805,13.900135,1.469601,152.354167,46.052676,121.240720,138.158029,46.052676,237.155620,243.421290,123.746988,479.010492,6484.028880,48.558945,79.887296,809.837882,24.749398,41.040140,403.822449,31.015068,40.413573,104.949977,27.882233,38.220589,107.456245,25.375965,39.160439,111.215647,31.641635,42.919841,104.949977,26.002532,37.280738,62.030136,0.313284,3.759402,4.072686
110,38.753030,48.212121,88.499436,0.973451,0.973451,13.308754,14.465663,13.762400,13.226005,14.290996,13.877623,2.529492,183.466667,46.052676,108.082812,126.253256,47.305811,213.346073,428.885130,127.506390,484.023028,6323.627721,55.764465,91.792069,1020.364404,25.375965,47.619094,373.747232,33.521336,47.619094,361.215891,25.375965,47.932378,109.962513,24.749398,47.932378,443.922739,34.147903,50.125362,114.348482,24.749398,46.992527,108.082812,2.819552,3.446119,79.887296
240,49.716667,63.820833,92.907731,0.995851,0.995851,15.426283,17.714405,15.727350,15.543976,17.642538,15.725423,2.618982,150.144444,56.077749,111.842214,146.929968,57.957450,278.509044,2413.849472,130.639225,489.035565,1135.652737,62.030136,106.829678,1235.903461,31.641635,60.463718,466.479152,36.654171,56.077749,313.596797,32.894769,52.944914,96.804606,30.388501,55.451182,99.310874,36.654171,58.897301,135.025194,32.894769,54.511331,111.215647,3.132835,4.072686,12.844624
500,49.613333,68.162000,95.797683,0.994036,0.994036,17.630841,19.103213,19.284514,17.584911,18.893508,19.518183,2.742861,141.702667,61.090285,105.576544,133.772060,64.223120,170.739515,5842.424244,131.265792,489.035565,1175.753026,71.115358,124.373555,1040.414548,35.714321,65.789538,549.185999,37.907305,62.030136,3296.055846,36.027604,61.403569,544.173463,34.147903,66.416105,126.879823,37.907305,63.909837,127.506390,36.340888,60.150435,448.935275,4.072686,5.639103,19.736861
800,48.474792,75.210625,102.377184,0.972053,0.972053,21.793356,21.666349,20.982101,22.123254,21.651529,21.044498,3.730958,133.335833,57.330883,108.709379,161.967576,65.476254,149.436236,9130.648002,133.145493,494.048101,1090.539911,83.020131,146.303401,1230.890925,46.052676,86.152966,473.997956,43.546408,79.260729,165.726979,41.979991,74.248193,170.739515,46.679244,86.779533,137.531462,44.486259,76.127894,154.448772,41.353424,72.995059,534.148391,4.699253,5.639103,83.646698
1024,48.902832,72.630697,96.080073,0.993210,0.993210,25.690934,26.092517,24.332732,25.989090,26.251718,24.223496,4.054390,136.628581,56.704316,109.335946,164.473845,65.476254,141.290865,10975.261330,128.759524,489.035565,985.276650,76.127894,131.265792,1255.953606,54.198048,103.696843,313.596797,47.305811,101.817142,272.243373,47.305811,98.057740,1245.928533,54.511331,100.564008,183.270855,46.679244,99.937441,204.574134,48.245661,99.310874,203.321000,4.699253,5.952387,29.135367
1500,48.098000,75.146000,102.586050,0.929944,0.929944,31.523010,32.467346,32.451419,30.979402,32.816002,31.932406,3.818504,134.015333,49.812079,109.335946,182.017721,64.849687,134.398627,16589.301892,134.398627,494.048101,1331.141649,88.659234,153.195638,1205.828244,66.416105,129.386091,421.366326,53.258197,138.784596,2694.551500,60.777002,131.892359,255.952631,66.416105,126.879823,303.571725,53.258197,141.290865,304.824859,60.150435,130.639225,245.927558,4.385969,5.952387,32.894769
2048,49.456543,75.062174,108.574468,0.939881,0.939881,35.292984,37.537552,41.385860,35.119477,38.202517,41.007395,3.540903,136.059245,60.463718,109.962513,436.403934,66.102821,133.145493,23566.752305,138.158029,504.073173,1291.041359,98.057740,170.739515,1160.715418,71.115358,138.158029,433.897666,59.523868,149.436236,277.255909,68.609089,146.929968,253.446362,72.368492,138.158029,336.153210,60.150435,151.942504,356.203355,68.609089,147.556535,244.674424,4.072686,5.639103,30.388501
3000,48.704500,77.368167,115.952326,0.934871,0.934871,37.427635,43.839784,49.333374,37.810193,44.023927,48.942649,3.456176,137.031667,54.824615,111.842214,177.005185,65.476254,127.506390,35917.641543,143.797133,511.591978,965.226505,108.709379,192.042794,1185.778099,78.007595,150.689370,509.085709,69.862224,174.498917,292.293518,76.127894,165.726979,292.293518,77.381028,150.689370,326.128138,69.235656,170.739515,281.015312,76.127894,163.220711,297.306054,3.759402,9.085222,74.248193
6000,53.638278,73.410500,124.743619,0.933562,0.933562,41.403462,46.343954,55.847195,41.254897,46.690758,58.555744,4.076773,151.028222,61.090285,130.639225,199.561598,67.355955,138.158029,45862.513396,153.195638,519.110782,1471.492663,122.493854,232.143084,1150.690345,82.393564,166.980113,338.659478,78.634162,195.802196,471.491688,83.020131,182.017721,639.411651,82.393564,166.980113,536.654659,78.007595,200.814732,3436.406860,83.020131,184.523989,509.085709,3.132835,13.471191,34.774470
