element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,13.869792,23.848958,20.198559,0.864865,0.864865,2.177195,4.341547,3.061693,2.177195,4.340979,3.061671,1.231470,26.958333,15.977457,54.198041,71.741915,20.989993,137.531445,155.075319,24.122827,50.438639,457.080588,26.629095,41.666702,99.310861,8.771937,9.711788,46.052671,13.784473,14.724323,86.152955,9.085221,14.724323,103.070263,8.771937,9.711788,78.634152,13.784473,14.724323,129.386075,9.085221,14.724323,19.736859,1.253134,2.192984,74.874750
110,14.277273,18.643939,21.035292,0.973451,0.973451,2.809805,4.176541,3.325269,2.560035,4.176324,3.325171,1.157867,19.193939,17.230591,56.704309,113.095334,17.857158,148.809650,216.478880,25.375961,51.691773,379.386286,27.255662,42.293269,143.170547,8.771937,14.411040,512.218479,13.784473,16.290741,437.030445,13.471189,16.290741,282.894976,8.771937,14.411040,20.363426,13.784473,16.290741,359.336144,13.471189,15.977457,29.761930,1.253134,2.192984,78.007585
240,18.281944,23.117361,22.451188,0.995851,0.995851,2.304438,4.301369,3.293182,2.304242,4.300153,3.293004,1.113993,17.916667,23.496261,61.090277,86.779522,22.869694,171.366060,1066.103660,24.122827,51.065206,1141.291693,27.255662,42.293269,371.867483,8.771937,18.483725,89.285790,13.784473,17.857158,177.631729,9.711788,16.290741,449.561784,8.771937,18.483725,81.766987,13.784473,18.170441,100.563995,9.711788,16.290741,88.032656,0.626567,1.566417,74.248183
500,16.286000,26.491333,21.669856,0.994036,0.994036,2.393547,4.767469,3.306180,2.393804,4.767248,3.306042,1.106882,16.629333,23.496261,47.932371,86.152955,23.496261,105.576531,2695.177721,24.122827,52.318340,434.524178,27.882229,44.799537,386.905090,8.771937,18.483725,542.293692,14.097756,24.749394,275.376173,13.471189,19.110292,464.599391,8.771937,18.483725,97.431160,14.097756,24.749394,113.095334,13.471189,19.110292,386.905090,0.626567,1.566417,51.691773
800,18.020417,29.593958,21.817932,0.972053,0.972053,2.483894,4.393623,3.522756,2.487812,4.378424,3.439892,1.098121,17.978333,23.496261,46.052671,84.899821,23.496261,82.393553,4940.793659,24.122827,52.944907,1101.191409,28.508796,44.799537,529.762353,8.771937,16.290741,494.674604,14.097756,18.483725,386.905090,12.218055,17.857158,87.406089,8.771937,15.977457,374.373751,14.097756,18.483725,489.662069,12.218055,17.230591,98.684294,1.253134,2.192984,120.614137
1024,15.690430,27.285645,21.620562,0.993210,0.993210,2.177197,4.444972,3.318572,2.177195,4.450857,3.324218,1.103480,15.621094,24.749394,40.413568,112.468767,22.869694,73.621616,5843.050062,24.749394,54.198041,549.812496,29.761930,46.365954,557.331299,8.771937,11.904772,369.361215,14.097756,18.170441,314.223324,13.471189,20.676709,411.967767,8.771937,12.218055,437.030445,14.097756,18.483725,454.574320,13.784473,20.676709,85.526388,1.253134,2.192984,89.285790
1500,17.674222,29.779444,22.701188,0.929944,0.929944,2.563037,4.421780,3.535192,2.545712,4.413099,3.874718,1.171785,17.654667,24.122827,41.040135,93.045192,24.122827,63.596545,9411.975391,26.002528,57.330876,770.364061,32.268198,49.812072,542.293692,10.651638,21.616560,79.887286,15.664174,22.869694,462.093123,12.844622,22.243127,469.611927,10.651638,20.989993,183.897399,15.664174,23.496261,444.549249,12.531339,22.243127,95.551459,1.253134,5.325819,361.842412
2048,16.062093,27.279378,22.837709,0.939881,0.939881,2.177198,4.668234,3.384037,2.177197,4.638361,3.371944,1.122824,15.465169,23.496261,34.147899,98.684294,22.869694,53.571474,11136.287628,26.002528,58.584010,527.256086,33.521332,51.065206,564.850102,10.964922,14.724323,509.712211,17.230591,22.243127,151.315918,14.097756,23.496261,472.118194,10.651638,14.097756,391.917625,17.230591,22.869694,492.168337,14.097756,23.496261,232.769621,1.253134,3.132835,197.681872
3000,18.004611,31.232889,23.490957,0.934871,0.934871,2.637267,4.509142,3.586759,2.623336,4.495808,3.738301,1.529959,17.896333,24.122827,41.666702,85.526388,24.749394,57.330876,19797.949100,27.255662,62.343411,675.125885,35.401032,54.198041,484.649533,12.218055,24.122827,103.070263,17.857158,31.641631,522.243550,15.350890,30.388497,504.699676,12.531339,24.122827,409.461500,18.170441,33.208048,396.930161,15.350890,30.388497,341.792269,1.253134,4.385969,74.874750
6000,17.675917,26.554750,25.147689,0.933562,0.933562,2.787349,6.112746,9.668753,2.948889,6.085331,9.677454,1.629662,17.942667,23.496261,41.666702,116.228169,25.375961,51.691773,14985.914949,29.761930,67.982514,850.564630,40.413568,62.343411,537.281157,13.471189,26.002528,507.205943,20.050142,36.654166,549.812496,18.483725,36.027599,227.757085,13.784473,26.002528,371.867483,20.363426,36.654166,351.817341,18.483725,36.027599,464.599391,1.253134,4.699252,74.248183
8192,15.090800,23.678935,26.406799,0.932711,0.932711,2.179365,4.695993,7.394647,2.199234,4.747320,7.345651,1.127176,15.212443,24.122827,27.255662,103.070263,24.122827,51.065206,15627.519502,31.015064,72.368482,1066.103660,44.172970,69.862215,539.787425,13.157906,19.110292,509.712211,20.363426,26.629095,419.486571,19.110292,34.147899,93.671759,13.471189,27.255662,79.260719,20.363426,34.461182,51.691773,19.110292,33.834615,54.198041,1.253134,2.192984,110.589066
12000,18.629444,28.823083,30.578539,0.999084,0.999084,5.266863,9.641175,14.512409,5.120881,9.568463,14.555734,1.949401,18.968583,24.749394,55.451175,102.443696,31.015064,55.451175,41692.704487,37.907300,86.779522,614.975458,53.884757,88.032656,554.825031,20.989993,43.233119,524.749818,26.002528,54.511324,534.774889,24.122827,50.751923,449.561784,20.363426,42.293269,91.792058,25.375961,53.884757,85.526388,24.122827,50.751923,106.203097,1.253134,9.398504,72.995049
16384,14.951213,25.448466,32.703686,0.998355,0.998355,2.628543,4.888267,10.556558,2.557104,4.864555,10.523166,1.162269,15.293254,24.122827,32.268198,78.634152,24.749394,54.824608,43296.715870,41.666702,95.551459,815.476881,60.150427,98.057727,539.787425,20.363426,38.533867,452.068052,27.255662,45.112820,201.441273,24.749394,44.799537,63.283262,20.050142,36.654166,44.799537,26.629095,44.486253,57.330876,24.749394,44.799537,302.945119,1.566417,2.192984,289.160646
25000,19.351353,31.826827,34.611276,0.951765,0.951765,6.108572,10.364358,15.076037,6.129864,10.368374,15.050676,2.030188,19.150120,26.002528,64.849679,104.949964,32.268198,67.355947,114835.623582,47.305804,103.696830,599.937852,67.669230,107.456231,572.368906,28.508796,53.884757,457.080588,35.401032,66.416096,101.190562,32.894765,64.536396,173.872328,29.135363,54.511324,71.115348,35.087749,67.042663,86.152955,32.894765,64.536396,115.601602,0.939850,12.218055,47.305804
