element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,39.312500,51.067708,80.885557,0.864865,0.864865,9.381274,10.637674,9.527151,10.487901,11.226451,9.451183,1.517225,170.010417,40.413559,114.975010,136.904848,44.172960,203.320930,223.371068,124.373512,471.491525,734.649586,49.185495,83.020102,448.935120,22.243122,33.521324,549.185810,26.002523,39.160426,69.862199,22.243122,36.967442,149.436184,23.182972,36.654158,45.112810,24.122822,38.533859,12819.870238,22.243122,36.654158,90.538904,0.626567,3.759401,4.072684
110,44.407576,50.019697,85.801440,0.973451,0.973451,11.377909,12.624445,11.497047,11.687071,12.571814,11.541478,2.460218,165.218182,47.932361,123.120378,156.954986,52.318329,288.534017,431.391249,128.132913,476.504060,1301.065983,54.198029,91.165471,769.737327,27.255656,42.919827,346.178163,30.388490,48.245644,351.190698,26.002523,43.233110,433.897517,27.255656,41.666693,466.478991,29.761924,44.486244,416.353646,26.629089,44.172960,217.105400,3.132834,4.072684,13.157903
240,50.002083,72.924306,89.834307,0.995851,0.995851,13.146208,15.367613,13.973708,13.219383,15.266348,14.022273,2.631678,183.388889,56.077730,109.962475,159.461253,62.969965,323.621758,2634.400157,131.265747,481.516594,1195.802759,61.403547,104.949941,980.263776,31.954907,49.185495,506.579267,36.027592,54.511313,169.486322,32.268191,52.944896,381.265905,32.268191,49.185495,116.228143,35.401025,54.198029,471.491525,32.894758,52.944896,151.942452,3.132834,5.325818,12.218053
500,53.492000,85.171333,93.082567,0.994036,0.994036,15.612659,18.154880,16.616368,15.665589,17.944444,16.560222,2.777685,183.566000,58.583997,113.095309,169.486322,67.982499,168.233189,6484.026645,131.265747,484.022862,1020.364052,71.115333,127.506346,1060.464328,36.027592,56.391013,316.102956,40.413559,62.030114,546.679543,36.027592,57.017580,554.198344,36.027592,57.957430,283.521482,39.786993,62.656681,138.784549,35.401025,57.644147,154.448719,4.385968,5.639101,76.754434
800,53.395833,86.185208,96.562999,0.972053,0.972053,17.830229,18.611046,17.865914,16.835068,18.560084,18.090973,3.896424,183.202083,59.210564,105.576508,175.751991,66.102799,149.436184,11215.859202,131.265747,486.529129,970.238707,80.513835,144.423650,990.288845,42.606543,72.368467,215.852266,41.666693,69.862199,441.416318,40.726843,66.416082,308.584154,40.413559,68.609066,471.491525,41.353410,67.669216,166.980055,40.100276,66.416082,426.378715,4.699251,5.639101,95.551439
1024,57.235514,87.840820,101.621289,0.993210,0.993210,21.423168,21.233393,20.915891,21.533469,21.358156,20.979007,4.326214,184.385742,58.583997,109.962475,146.303350,69.862199,145.676784,15306.087345,135.025148,491.541663,1260.965707,89.285771,159.461253,1000.313914,51.378479,89.285771,476.504060,45.426094,91.165471,346.178163,46.679227,91.165471,398.809775,52.005045,86.779503,343.671896,44.799527,88.659204,556.704612,46.365944,87.406070,431.391249,4.699251,8.145369,155.701853
1500,56.164111,91.193889,107.334781,0.929944,0.929944,25.009524,25.150545,29.187625,25.396628,25.785570,29.341562,4.937448,182.971111,59.210564,108.709342,166.980055,67.355932,141.290816,22604.337560,135.025148,499.060465,1050.439259,103.070240,183.270792,985.276310,63.283248,108.082775,509.085534,54.511313,147.556484,343.671896,59.837130,125.000079,264.724478,63.909815,109.335909,458.960189,54.511313,143.797083,288.534017,59.837130,126.253212,288.534017,4.385968,10.338352,504.073000
2048,56.182536,88.332194,112.174531,0.939881,0.939881,29.333816,29.203915,39.882767,29.412345,30.098559,39.940888,5.928965,185.152507,59.837130,118.107844,155.701853,69.862199,133.772014,31426.398260,137.531415,501.566732,1281.015845,113.721876,200.814663,1200.815293,72.995033,127.506346,536.654474,63.909815,169.486322,408.834844,69.862199,153.195585,291.040284,72.995033,126.253212,499.060465,65.162948,169.486322,438.910051,69.235633,150.689318,554.198344,5.012534,18.483721,398.809775
3000,55.093944,94.645500,118.322851,0.934871,0.934871,33.033264,38.334526,48.579551,33.028274,38.145817,48.440418,8.123939,195.977778,60.463697,116.228143,180.764525,70.488766,137.531415,50674.530697,140.664249,511.591801,1591.792984,126.253212,222.117935,1115.602207,80.513835,138.784549,504.073000,76.754434,193.295861,519.110603,79.260702,174.498857,3797.308159,80.513835,136.904848,461.466456,75.501301,192.042728,481.516594,79.260702,173.245723,441.416318,10.025069,24.122822,433.897517
6000,58.854028,83.563056,125.798760,0.933562,0.933562,37.618101,50.604474,57.549160,37.325767,50.476548,57.667866,12.874671,212.668778,60.463697,133.145447,213.345999,71.115333,140.664249,58694.585879,145.050217,521.616870,1245.928104,140.037682,276.002680,1170.740087,87.406070,154.448719,589.286086,90.538904,212.092866,674.499172,89.912337,189.536460,534.148206,87.406070,154.448719,2143.171777,90.538904,212.092866,484.022862,89.285771,189.536460,4298.561607,15.977454,26.002523,511.591801
8192,61.137146,81.056112,129.012891,0.932711,0.932711,38.405591,53.797632,59.316908,38.330486,53.691559,59.311779,14.542601,219.822550,62.343398,142.543950,228.383603,71.741900,147.556484,60940.201330,146.303350,529.135672,1160.715018,144.423650,368.734568,1185.777690,89.285771,159.461253,599.311155,94.298305,217.105400,3917.608986,91.165471,194.548995,4158.210642,89.285771,160.714387,614.348758,94.924872,218.358534,559.210879,91.165471,194.548995,3937.659124,15.977454,26.629089,504.073000
12000,64.125097,92.901583,137.108531,0.999084,0.999084,40.494728,59.346708,62.254588,40.234894,59.392955,62.088995,15.143193,261.891917,65.476232,150.689318,411.341111,74.874734,156.954986,143707.170808,153.195585,541.667008,4418.862435,153.195585,509.085534,1135.652345,92.418605,163.220654,669.486638,102.443674,222.117935,754.699724,96.178006,200.814663,4178.260780,91.792038,164.473788,679.511707,102.443674,222.117935,724.624517,95.551439,200.814663,4178.260780,15.977454,26.315806,509.085534
16384,66.725962,88.998128,145.240198,0.998355,0.998355,42.604445,61.923270,64.627915,42.447880,61.828030,64.648316,15.258812,265.957357,66.729365,160.714387,611.842491,76.127868,161.967521,143707.170808,154.448719,559.210879,1321.116121,168.233189,569.235948,1311.091052,94.298305,185.777059,719.611983,105.576508,233.396137,839.912810,98.684273,214.599133,4358.712021,94.298305,190.789594,749.687189,105.576508,232.143004,854.950414,98.057706,212.092866,784.774931,15.977454,26.002523,463.972724
25000,68.213407,99.117447,171.051074,0.951765,0.951765,47.979133,63.072620,66.554226,49.206341,62.851384,67.034266,15.404437,289.136587,67.355932,160.714387,268.483879,78.634135,168.233189,314373.945080,158.208120,629.386362,1441.416949,218.358534,679.511707,1411.341742,98.057706,351.190698,829.887741,106.829641,283.521482,940.163500,102.443674,276.002680,965.226172,98.684273,368.734568,875.000552,106.829641,283.521482,1080.514466,102.443674,276.002680,890.038155,16.290737,26.629089,509.085534
32768,70.281016,95.609594,191.302964,0.986305,0.986305,64.709069,81.842963,86.328409,64.726402,81.857543,86.313119,15.558922,320.130300,69.862199,165.726922,433.897517,80.513835,171.992590,314373.945080,178.258258,699.561845,1431.391880,253.446275,744.674655,1291.040914,149.436184,556.704612,1015.351517,117.481277,549.185810,1341.166259,127.506346,544.173275,1080.514466,149.436184,554.198344,955.201104,117.481277,549.185810,1471.492156,127.506346,544.173275,1080.514466,16.290737,26.629089,521.616870
45000,71.929089,107.783663,215.901674,0.989424,0.989424,77.846234,94.557176,99.722879,78.606904,95.040482,99.936131,15.456370,325.058519,71.741900,169.486322,581.767284,82.393536,177.005124,662123.537769,188.283327,769.737327,1481.517225,294.799685,819.862672,1321.116121,178.258258,621.867560,1085.527000,133.145447,644.423965,1441.416949,160.714387,624.373827,1421.366811,179.511391,621.867560,1160.715018,131.892314,644.423965,1431.391880,160.714387,626.880094,5722.121402,15.977454,26.629089,516.604336
60000,73.739250,102.614575,238.661267,0.964119,0.964119,91.428266,109.066586,114.757930,91.490747,109.211906,114.532186,15.539802,326.021728,72.368467,175.751991,674.499172,83.020102,184.523926,672389.208402,194.548995,824.875207,1561.717777,341.165629,869.988017,1461.467087,219.611667,674.499172,6484.026645,169.486322,734.649586,1611.843122,188.283327,694.549310,1301.065983,219.611667,679.511707,6524.126920,169.486322,734.649586,1611.843122,188.283327,694.549310,1692.043673,15.977454,27.882223,601.817422
100000,79.006067,116.060360,274.764466,0.926810,0.926810,115.897360,131.966884,135.201973,112.107990,128.717642,135.709362,16.670080,308.011483,72.995033,225.877335,719.611983,87.406070,217.105400,1601432.400679,219.611667,895.050690,1712.093811,418.859913,950.188569,1431.391880,282.268348,764.724793,12900.070790,197.055262,854.950414,1712.093811,233.396137,789.787465,1762.219156,277.255814,754.699724,12739.669686,187.030193,844.925345,1812.344501,233.396137,789.787465,1762.219156,16.604020,86.152937,609.336224
150000,91.064647,119.147438,305.938194,0.938256,0.938256,125.796115,142.674158,144.203940,120.120010,137.122175,144.036866,20.962772,222.594516,76.127868,386.278439,930.138431,94.924872,371.240836,1693823.436375,252.193141,945.176035,156539.259099,471.491525,990.288845,1511.592432,291.040284,794.800000,13461.474653,227.130469,900.063224,1802.319432,248.433741,814.850138,6203.324713,279.762081,779.762396,12579.268583,210.839732,875.000552,1852.444777,248.433741,814.850138,1692.043673,16.290737,270.990146,619.361293
200000,107.013283,160.520603,326.937386,0.988098,0.988098,130.800500,153.226055,152.052094,121.781594,143.059501,151.961560,25.531071,166.342022,79.260702,524.123137,1165.727552,99.937406,491.541663,6898518.447254,279.762081,975.251241,149481.610539,496.554198,1025.376586,1491.542294,294.799685,804.825069,12659.469135,242.168072,925.125897,7005.330231,255.952542,819.862672,1872.494915,272.243279,784.774931,13060.471894,223.371068,875.000552,1762.219156,255.952542,819.862672,1581.767915,15.977454,336.153094,624.373827
300000,133.056436,173.260719,335.985543,0.924491,0.924491,138.314077,160.312141,160.824412,124.237833,146.793468,160.647456,33.493448,131.493430,89.285771,649.436500,1260.965707,109.335909,639.411431,6898518.447254,298.559085,995.301379,175787.391536,536.654474,1060.464328,1461.467087,318.609223,839.912810,12980.271342,278.508948,945.176035,13621.875757,277.255814,814.850138,13060.471894,279.762081,784.774931,12579.268583,254.699409,854.950414,12819.870238,277.255814,814.850138,12900.070790,12.531336,376.253370,669.486638
400000,152.156483,236.164277,357.844936,0.973575,0.973575,143.353116,172.756083,179.702470,134.603158,163.965328,179.048778,34.745818,153.032527,114.975010,699.561845,6524.126920,118.734411,699.561845,20613454.412804,326.128025,1030.389121,198885.150460,556.704612,1085.527000,1661.968466,328.634292,844.925345,13461.474653,307.331021,945.176035,13140.672446,304.824754,854.950414,13301.073549,307.331021,809.837603,13301.073549,294.799685,895.050690,12739.669686,304.824754,854.950414,13140.672446,3.446117,376.253370,3737.157745
600000,176.923401,239.060879,382.490429,0.985379,0.985379,146.818861,181.924567,196.064863,145.842089,179.777547,195.783176,34.827628,194.241322,123.746945,749.687189,13301.073549,132.518881,759.712258,21024081.238120,361.215767,1070.489397,216850.074067,586.779819,1125.627276,7125.631059,338.659361,844.925345,13381.274101,341.165629,935.150966,12980.271342,338.659361,890.038155,12659.469135,336.153094,844.925345,13220.872997,338.659361,935.150966,13702.076308,338.659361,890.038155,12819.870238,3.132834,373.747103,704.574379
800000,189.982051,310.331913,398.893197,0.959024,0.959024,152.759181,185.872551,201.590338,151.632008,184.641397,201.322971,37.154719,209.350968,128.759480,769.737327,13060.471894,141.917383,799.812534,51574717.041622,381.265905,1100.564604,220699.700554,616.855026,1150.689949,6564.227196,351.190698,864.975483,13862.477412,356.203232,955.201104,12258.466376,351.190698,905.075759,13621.875757,348.684430,864.975483,13862.477412,353.696965,955.201104,13301.073549,351.190698,905.075759,14103.079067,3.132834,381.265905,659.461569
1200000,211.141713,298.900455,417.828434,0.970562,0.970562,161.415502,197.773235,212.770936,158.649033,195.197997,212.915256,40.673361,227.511192,136.904848,799.812534,12819.870238,150.689318,829.887741,51574717.041622,403.822310,1150.689949,270744.844890,644.423965,1175.752621,13541.675205,363.722034,885.025621,14343.680723,383.772172,980.263776,14263.480171,366.228301,930.138431,14343.680723,358.709499,880.013086,14263.480171,378.759637,975.251241,14183.279619,366.228301,930.138431,14343.680723,3.132834,388.784706,664.474103
