element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,30.625000,55.229167,37.519061,0.864865,0.864865,7.493777,9.111891,8.210434,7.299741,9.091120,8.141545,1.279096,40.854167,36.027592,76.754434,93.045171,42.919827,274.749547,291.040284,44.172960,81.140402,561.717146,38.220575,68.609066,294.799685,16.604020,32.894758,240.914939,22.869689,29.761924,133.772014,16.917304,30.388490,52.318329,16.604020,31.641624,145.676784,23.496255,31.641624,102.443674,16.917304,30.388490,99.310840,0.626567,1.566417,1.566417
110,34.236364,43.715152,39.207808,0.973451,0.973451,10.939925,9.418140,10.192425,11.678957,9.453700,10.116666,1.144012,37.642424,38.533859,85.526370,109.335909,42.919827,178.258258,336.153094,44.799527,84.273236,579.261017,39.160426,68.609066,544.173275,17.230587,34.147891,358.709499,22.869689,30.388490,363.722034,23.496255,30.388490,448.935120,16.604020,31.015057,426.378715,22.869689,30.388490,103.070240,22.869689,30.388490,436.403784,0.313283,0.939850,1.566417
240,41.427778,50.772222,38.509503,0.995851,0.995851,13.981314,9.848230,9.195956,14.238327,9.463697,9.241217,1.113993,38.704167,47.932361,85.526370,103.696807,46.679227,260.965077,1331.141190,45.426094,86.779503,511.591801,39.786993,71.741900,554.198344,16.917304,30.388490,466.478991,22.869689,31.641624,456.453922,17.230587,31.015057,431.391249,17.230587,32.894758,99.310840,22.869689,31.641624,98.057706,17.230587,31.641624,428.884982,0.000000,0.939850,4.072684
500,40.732000,56.387667,40.204632,0.994036,0.994036,16.371762,10.307058,10.561858,16.270038,9.898723,10.108941,1.103839,41.651333,48.558928,86.779503,121.240678,50.438628,133.772014,3837.408435,46.679227,95.551439,975.251241,43.233110,74.874734,614.348758,18.797004,36.027592,526.629405,23.496255,42.919827,481.516594,22.869689,34.147891,516.604336,18.483721,37.280725,529.135672,23.496255,47.619078,531.641939,22.869689,34.774458,166.980055,0.000000,0.939850,5.325818
800,39.344375,59.108542,41.188253,0.972053,0.972053,16.067292,12.241933,12.421311,16.232343,12.163767,12.276873,1.907554,38.788750,49.185495,89.285771,117.481277,51.065195,120.614111,6684.528024,46.052661,99.937406,854.950414,45.426094,77.381001,579.261017,21.616555,44.172960,453.947655,26.002523,54.511313,299.812219,22.869689,36.654158,281.015215,22.243122,43.546393,386.278439,26.002523,53.884746,232.143004,22.869689,37.907292,308.584154,0.313283,3.446117,446.428853
1024,39.487142,58.291178,44.218525,0.993210,0.993210,16.184042,12.909771,12.502142,16.183204,12.466786,12.502171,2.601862,39.526042,49.812061,91.792038,143.170516,51.065195,111.215609,8849.942923,47.305794,106.203074,664.474103,48.245644,82.393536,769.737327,24.122822,46.052661,516.604336,27.255656,60.150414,559.210879,23.496255,40.413559,516.604336,23.496255,45.112810,438.910051,26.629089,60.150414,551.692077,24.122822,39.473709,166.980055,1.566417,3.759401,511.591801
1500,39.413222,62.015333,43.170062,0.929944,0.929944,16.690703,14.575940,11.665805,16.485328,14.505780,12.034933,2.669209,39.560000,49.812061,89.912337,131.265747,52.318329,112.468743,13220.872997,47.305794,106.829641,669.486638,48.558928,80.513835,754.699724,23.496255,50.125345,571.742215,28.508790,67.669216,433.897517,23.496255,45.739377,403.822310,24.749389,51.065195,516.604336,28.508790,68.609066,438.910051,24.122822,45.112810,456.453922,1.566417,3.446117,5.639101
2048,39.862630,61.322184,46.946139,0.939881,0.939881,17.044224,17.470326,14.259663,16.910141,17.426007,14.238085,2.684744,39.683919,49.812061,91.792038,149.436184,53.571462,109.335909,18674.510521,49.185495,110.589042,634.398896,51.378479,86.152937,684.524241,26.629089,53.884746,536.654474,31.015057,77.381001,551.692077,27.882223,56.391013,481.516594,25.375956,52.944896,456.453922,29.135357,75.501301,393.797241,26.629089,56.077730,453.947655,1.879700,3.759401,277.255814
3000,39.841722,61.197333,46.057713,0.934871,0.934871,17.376880,20.058470,16.723467,17.539670,19.949881,16.376130,2.723468,39.652222,49.812061,95.551439,141.290816,51.691762,103.070240,27095.568462,49.185495,113.095309,1145.677414,52.631612,88.032637,794.800000,26.629089,57.017580,591.792353,30.388490,79.260702,566.729681,29.135357,64.536382,140.037682,27.882223,59.523847,131.892314,30.388490,81.766969,195.802128,29.135357,64.536382,208.333465,3.132834,4.699251,326.128025
6000,41.439333,58.173250,50.496040,0.933562,0.933562,19.370202,24.502648,25.636614,19.599973,24.473522,25.131833,3.156880,41.942000,50.438628,99.310840,153.195585,53.571462,104.949941,35596.826955,53.571462,126.253212,1035.401655,63.909815,104.323374,659.461569,34.461175,71.115333,551.692077,35.087741,96.178006,438.910051,36.340875,86.779503,418.859913,32.894758,72.368467,416.353646,33.521324,95.551439,189.536460,34.774458,82.393536,165.726922,2.192984,10.651636,73.621600
