element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,10.489583,22.062500,6.437745,0.500000,0.500000,2.965774,2.410332,2.792225,2.964979,2.408152,2.791834,1.728161,18.635417,9.085221,31.015064,95.551461,9.711788,208.333514,336.153173,9.711788,34.774466,1712.094213,6.892237,30.388497,81.766988,6.892237,9.711788,491.541779,6.265670,9.711788,82.393555,6.892237,9.711788,80.513854,6.892237,9.711788,21.616560,6.265670,9.398504,81.766988,6.578953,9.711788,10.338355,1.566417,4.072685,34.147899
110,5.306061,16.962121,11.426664,0.429688,0.859375,1.937255,2.195094,1.946479,2.783420,3.108056,2.920732,1.955536,20.372727,7.832087,21.616560,28.508797,8.458654,313.596763,779.762579,12.844623,51.691774,416.353744,12.844623,36.027600,117.481305,5.952386,12.218056,91.792059,6.265670,14.097757,443.922690,5.952386,7.832087,79.260720,6.892237,9.398504,94.298327,7.205520,9.711788,54.511325,6.892237,9.711788,86.779524,1.879701,3.759402,27.882230
240,5.410417,14.515972,12.788600,0.468750,0.468750,1.612391,2.053984,1.768425,1.613649,1.792364,1.698015,1.919595,8.594444,7.832087,17.230591,66.102814,7.832087,303.571691,1591.793357,13.471190,56.077743,358.709584,13.157906,37.907301,521.616993,5.639103,6.578953,74.874751,5.952386,7.205520,396.303601,5.639103,6.892237,331.140637,5.639103,6.578953,175.752032,5.952386,7.205520,79.887287,5.952386,6.892237,79.260720,1.879701,9.085221,118.734439
500,2.763667,12.653000,13.614889,0.488281,0.488281,1.519757,3.098186,1.565548,1.522063,3.402733,1.565332,2.036026,8.243333,7.832087,10.964922,81.766988,7.832087,150.689353,3035.403629,13.471190,59.210578,509.085653,13.471190,39.473718,165.726960,5.639103,6.265670,421.366279,5.952386,6.578953,316.103030,5.639103,6.578953,489.035511,5.639103,6.265670,79.260720,5.952386,6.578953,171.992630,5.639103,6.578953,383.772262,1.879701,9.085221,489.035511
800,3.565417,15.503333,10.482792,0.390625,0.781250,1.526757,1.759304,1.587138,1.640885,2.136250,1.830698,2.202524,15.063333,8.458654,17.230591,19.110292,9.085221,56.077743,5601.821889,12.844623,49.185506,516.604457,10.964922,37.280734,504.073118,5.952386,14.724324,84.273256,5.952386,10.338355,393.797333,5.639103,10.338355,81.140421,5.639103,11.591489,426.378815,6.265670,12.531339,433.897619,5.952386,7.518803,259.712004,1.879701,9.711788,81.140421
1024,3.856934,12.569824,6.854552,0.500000,0.500000,1.573520,1.854350,1.643505,1.568960,1.875531,1.642140,1.915597,5.467773,8.458654,17.857158,19.110292,9.085221,31.015064,5321.119892,9.085221,37.280734,10413.856128,10.025071,34.147899,446.428958,6.265670,14.724324,471.491636,6.265670,9.711788,79.887287,5.952386,12.531339,403.822405,6.265670,14.724324,78.007586,6.265670,9.711788,326.128102,5.952386,9.398504,207.080380,1.879701,5.952386,14.097757
1500,3.162778,16.335667,10.118145,0.366211,0.732422,1.680622,3.925764,1.690987,1.584048,1.953647,1.747304,2.094468,17.224889,9.711788,10.964922,17.230591,9.711788,32.268198,10333.655557,9.711788,49.185506,541.667135,10.964922,38.847151,421.366279,8.458654,9.711788,504.073118,7.518803,15.977457,81.766988,7.832087,14.724324,501.566850,5.952386,12.531339,204.574112,6.265670,13.471190,428.885083,5.952386,10.651638,113.721903,1.879701,8.771937,371.240923
2048,2.905111,13.207438,7.109665,0.500000,0.500000,1.683228,6.189398,1.747064,1.680583,6.199359,1.706758,2.099618,5.092122,9.085221,10.964922,17.230591,9.711788,24.122828,9932.652704,9.085221,38.533868,17792.308627,10.651638,35.714317,509.085653,8.458654,9.398504,229.636790,8.458654,15.977457,511.591921,8.145370,15.350890,240.914995,8.458654,9.398504,458.960297,8.458654,15.977457,443.922690,8.145370,15.037607,92.418626,1.566417,2.819551,366.228387
3000,4.880500,20.780889,10.369550,0.366211,0.732422,1.737998,2.429429,1.839250,1.808176,2.120221,2.169301,2.749470,17.369222,9.711788,18.483725,26.002529,9.711788,31.015064,25812.365691,9.711788,49.812073,521.616993,11.904772,40.413569,724.624687,8.458654,15.977457,451.441493,7.832087,16.290741,514.098189,8.458654,16.604024,79.260720,8.458654,16.290741,436.403886,8.145370,15.350890,88.032658,8.145370,13.157906,413.847476,1.879701,10.964922,378.759726
6000,7.622639,25.475167,10.992579,0.366211,0.732422,6.442972,7.012706,9.895971,7.594365,9.747506,10.982216,4.590537,20.192167,10.964922,24.749395,104.949965,15.350890,32.894765,48749.728895,10.964922,51.691774,406.328672,17.230591,44.486254,441.416422,12.844623,24.122828,34.774466,12.218056,28.508797,396.303601,14.411040,27.255663,509.085653,13.471190,27.255663,57.957444,13.471190,27.882230,55.137892,12.531339,22.869694,57.017593,2.192984,21.616560,65.789531
