element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,5.723958,18.281250,6.376417,0.500000,0.500000,1.507756,1.643574,1.596073,1.508531,1.643852,1.598553,1.996904,12.500000,7.832087,27.255663,39.787002,7.832087,155.701889,504.073118,7.832087,34.147899,1621.868571,6.892237,29.135364,114.348470,5.639103,6.578953,65.789531,5.952386,6.892237,83.646689,5.639103,6.892237,23.496261,5.639103,6.578953,76.754452,5.952386,6.892237,41.666703,5.639103,6.892237,12.844623,1.879701,3.132835,71.115350
110,5.856061,17.080303,11.405964,0.429688,0.859375,1.535662,1.717011,1.655229,2.071526,2.370097,2.289302,2.008998,24.342424,7.832087,22.243127,105.576532,7.832087,333.646905,900.063435,12.844623,50.438640,471.491636,12.844623,36.654167,184.523969,5.639103,6.578953,443.922690,5.952386,7.205520,57.644160,5.639103,7.205520,307.331093,5.952386,12.844623,87.406091,6.265670,8.458654,79.260720,6.265670,8.458654,44.486254,1.879701,7.205520,408.834940
240,5.330556,14.431944,12.887524,0.468750,0.468750,1.650049,2.184052,1.748982,1.651737,1.824555,1.748866,1.936038,8.427778,7.832087,32.268198,89.912358,7.832087,328.634370,1561.718143,13.471190,55.451176,524.123260,13.157906,37.907301,386.278530,5.639103,11.904772,406.328672,5.952386,7.518803,504.073118,5.952386,7.205520,97.431162,5.639103,6.892237,504.073118,5.952386,7.518803,406.328672,5.952386,7.205520,90.538925,1.566417,5.952386,44.486254
500,5.779667,14.853333,13.682983,0.488281,0.488281,1.716325,1.865160,1.773410,1.712339,1.858299,1.772994,1.903660,6.056000,7.832087,26.629096,103.070265,8.458654,180.764567,3556.707338,13.471190,59.837145,506.579386,13.471190,39.160435,481.516707,5.639103,8.145370,463.972833,5.952386,8.145370,85.526390,5.952386,8.458654,446.428958,5.639103,8.145370,19.110292,5.952386,8.145370,491.541779,5.952386,8.145370,94.924894,1.566417,5.639103,76.127885
800,5.110625,16.712500,10.578080,0.390625,0.781250,1.616226,1.749082,1.659374,2.489553,2.818275,2.600023,2.144787,25.374167,8.458654,23.496261,72.995051,9.711788,79.260720,6363.727310,12.844623,49.185506,514.098189,10.651638,37.280734,416.353744,5.639103,11.278205,386.278530,5.952386,12.218056,27.882230,5.952386,10.964922,436.403886,6.265670,13.471190,54.198042,6.578953,12.218056,254.699468,6.265670,11.278205,94.924894,1.879701,11.904772,398.809869
1024,5.580078,17.242188,6.900429,0.500000,0.500000,1.733547,1.896071,1.818412,1.731066,1.918710,1.819704,1.827952,7.014323,8.458654,29.135364,99.937430,9.711788,52.318341,5762.223031,9.085221,37.280734,16268.497785,10.025071,33.834616,504.073118,5.952386,12.218056,274.749611,6.265670,13.157906,436.403886,5.952386,9.711788,81.140421,5.952386,12.218056,248.433799,6.265670,13.157906,373.747191,5.952386,9.711788,328.634370,1.566417,7.832087,81.766988
1500,5.106778,21.966444,10.092940,0.366211,0.732422,1.714138,1.864249,1.740036,2.021214,2.323498,2.191395,2.253694,23.460000,9.711788,20.989993,51.691774,9.711788,39.160435,17070.503491,9.711788,48.558939,358.709584,10.964922,39.160435,451.441493,8.145370,12.844623,448.935226,7.518803,13.784473,31.015064,7.832087,13.157906,423.872547,6.265670,15.664174,73.621618,6.578953,14.097757,159.461291,6.265670,10.338355,112.468769,1.879701,12.218056,299.812289
2048,5.482422,17.050456,7.109383,0.500000,0.500000,1.782753,1.961211,1.851541,1.798403,2.045863,1.857750,1.908837,7.675293,9.711788,24.749395,267.230808,10.338355,39.160435,17952.709768,9.085221,38.533868,30945.202212,10.651638,35.401033,433.897619,8.145370,15.350890,539.160867,7.518803,15.350890,78.007586,7.832087,14.724324,453.947761,8.458654,14.724324,85.526390,7.518803,15.350890,368.734655,7.832087,12.844623,173.245764,1.879701,12.844623,418.860012
3000,5.022444,24.061833,10.407118,0.366211,0.732422,1.765783,2.416977,2.862068,2.157657,2.884613,3.102654,4.923726,23.149444,9.711788,22.869694,190.789639,10.964922,36.654167,29020.388517,10.338355,49.812073,499.060582,12.218056,41.040136,479.010440,8.458654,15.977457,79.260720,7.832087,15.977457,504.073118,8.458654,16.604024,506.579386,8.771937,22.243127,150.689353,8.771937,19.736859,177.005166,8.145370,10.651638,44.172971,2.819551,17.857158,343.671977
6000,5.689083,24.973333,11.071032,0.366211,0.732422,1.931722,4.364811,5.776797,5.610194,7.911089,8.493853,6.660817,24.190333,10.338355,25.375962,105.576532,14.724324,39.787002,53561.763134,15.350890,52.318341,413.847476,17.857158,45.739388,416.353744,9.085221,19.736859,313.596763,9.398504,23.496261,84.899823,11.904772,24.122828,423.872547,12.218056,27.568946,47.305805,11.278205,24.436111,51.691774,11.591489,22.243127,83.020122,6.892237,20.989993,57.644160
8192,6.913066,21.954163,8.659611,0.500000,0.500000,3.479183,7.002849,9.752103,3.478699,7.028973,9.748960,5.938435,8.839518,10.964922,35.401033,92.418626,15.977457,44.799538,52920.158568,17.230591,44.172971,113551.789974,19.736859,44.799538,481.516707,10.651638,26.629096,421.366279,13.471190,29.135364,421.366279,15.037607,29.135364,514.098189,10.338355,26.002529,84.899823,13.471190,28.822080,316.103030,14.411040,28.508797,56.704310,5.952386,24.749395,69.235649
12000,6.725181,28.210917,12.185527,0.366211,0.732422,3.279014,6.039063,9.610954,11.453691,11.988265,12.558463,7.586059,26.533750,15.977457,32.268198,104.323399,16.604024,45.426104,100719.698671,17.857158,56.077743,448.935226,25.375962,53.571475,526.629528,15.350890,26.002529,279.762147,15.664174,31.015064,79.887287,16.290741,31.641631,61.090278,15.350890,33.521332,126.879809,14.724324,34.774466,74.248185,14.724324,29.135364,63.283263,6.892237,23.809544,69.862216
16384,8.879537,24.133372,9.495597,0.500000,0.500000,5.892869,8.771678,12.040847,6.002264,8.766163,12.127124,6.186481,10.242025,17.230591,44.172971,103.070265,17.230591,50.438640,93020.443890,17.857158,47.305805,237381.471046,26.629096,50.438640,606.830099,15.977457,32.268198,338.659441,15.977457,32.894765,66.416098,16.604024,34.147899,67.042665,15.977457,32.268198,56.391026,15.977457,32.581482,63.909830,16.604024,34.774466,74.874751,2.192984,24.749395,71.741917
25000,7.726507,28.752047,13.277598,0.381470,0.762939,5.136033,7.139120,11.133882,13.887495,14.535510,15.438568,7.685194,27.345587,18.483725,42.919837,104.949965,18.483725,53.571475,187336.314965,18.483725,59.837145,511.591921,28.508797,58.584011,564.223546,16.917308,32.268198,81.766988,17.230591,33.521332,348.684512,20.989993,36.654167,391.291065,17.857158,37.594017,83.646689,17.857158,42.919837,91.165492,17.230591,34.774466,85.526390,6.892237,25.375962,83.646689
32768,9.654882,24.678533,10.636211,0.500000,0.500000,7.340144,9.796005,12.954323,7.236479,9.886146,12.997252,6.283193,10.987284,18.483725,52.318341,114.348470,18.483725,55.451176,197601.988008,18.483725,49.812073,510705.015796,27.882230,53.884758,524.123260,17.543875,37.907301,171.992630,18.170442,38.533868,163.220693,21.616560,37.594017,213.346049,17.543875,37.280734,71.115350,18.483725,38.533868,71.115350,21.616560,37.907301,83.020122,2.192984,25.375962,91.165492
45000,7.694411,29.857711,12.438287,0.343323,0.686646,4.922223,6.848467,10.479747,12.158395,13.122054,14.881987,8.188084,26.868770,18.483725,42.293270,114.348470,19.110292,54.824609,374684.847986,18.483725,59.210578,576.754885,29.761931,60.463711,531.642064,17.230591,32.268198,511.591921,17.857158,32.894765,59.210578,21.616560,37.907301,303.571691,21.616560,43.233120,125.626675,21.616560,45.112821,142.543983,22.243127,37.907301,88.032658,7.205520,27.255663,373.747191
60000,9.335711,26.006086,16.881441,0.457764,0.457764,6.778026,9.188190,12.510947,6.774867,9.138238,12.501690,6.913977,10.596239,19.110292,51.065207,388.784798,19.736859,57.957444,372118.429726,21.616560,69.862216,549.185939,33.521332,64.536397,534.148332,17.857158,37.280734,321.115566,20.363426,38.533868,443.922690,22.243127,39.473718,511.591921,17.857158,37.280734,408.834940,20.050143,38.533868,94.924894,22.243127,39.473718,83.646689,6.578953,25.689245,101.190564
100000,34.651503,55.922687,21.300960,0.381470,0.762939,30.490701,16.652925,27.210609,48.339240,42.630058,45.777956,1.818911,74.722767,33.521332,118.734439,346.178244,37.280734,140.037715,749381.914028,19.110292,93.045193,611.842635,36.027600,125.000108,1541.668001,31.641631,62.030129,301.065423,22.869694,67.042665,549.185939,29.135364,67.042665,509.085653,42.293270,154.448755,391.291065,38.847151,153.195621,416.353744,40.726852,154.448755,3817.359192,1.253134,41.040136,281.015281
150000,25.860751,69.842964,23.463333,0.286102,0.572205,26.627395,11.832306,24.503974,32.108129,25.311851,30.001883,3.451704,56.174178,30.388497,81.766988,536.654600,35.401033,151.942487,2166044.793858,22.243127,121.867273,626.880242,41.353419,269.737075,769.737508,27.882230,60.463711,3957.710191,22.243127,90.538925,664.474259,27.882230,91.165492,634.399045,32.268198,72.368484,516.604457,27.255663,74.248185,279.762147,31.015064,74.874751,509.085653,1.253134,48.245656,619.361438
200000,30.347423,63.801152,32.981259,0.381470,0.762939,30.176735,16.618892,27.610713,53.247507,46.602238,50.252069,2.475901,80.495090,32.894765,100.563997,551.692207,37.280734,147.556519,2155779.120816,24.749395,161.967559,639.411581,52.318341,393.797333,714.599616,30.388497,85.526390,4438.913615,25.375962,99.937430,679.511866,29.761931,96.178028,634.399045,45.426104,184.523969,569.236081,41.666703,178.258300,569.236081,43.546404,182.017701,581.767421,1.253134,39.787002,639.411581
300000,32.667588,88.549297,46.506577,0.286102,0.572205,38.139019,19.179750,39.066536,31.129101,25.114381,29.934112,4.737294,57.799050,35.401033,190.789639,714.599616,37.907301,173.245764,7842961.986221,57.330877,423.872547,789.787651,114.975037,529.135796,839.913007,37.280734,323.621834,1661.968856,35.401033,408.834940,910.088507,40.100285,401.316137,1040.414434,31.954915,89.912358,586.779956,29.761931,98.684296,624.373974,31.015064,95.551461,4318.612759,1.253134,98.684296,1060.464577
