element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,construct_with_reserve_P50_latency,construct_with_reserve_P99_latency,construct_with_reserve_P100_latency,construct_no_reserve_P50_latency,construct_no_reserve_P99_latency,construct_no_reserve_P100_latency,insert_after_erase_P50_latency,insert_after_erase_P99_latency,insert_after_erase_P100_latency,erase_P50_latency,erase_P99_latency,erase_P100_latency,lookup_hit_default_load_factor_P50_latency,lookup_hit_default_load_factor_P99_latency,lookup_hit_default_load_factor_P100_latency,lookup_miss_default_load_factor_P50_latency,lookup_miss_default_load_factor_P99_latency,lookup_miss_default_load_factor_P100_latency,lookup_50%_hit_default_load_factor_P50_latency,lookup_50%_hit_default_load_factor_P99_latency,lookup_50%_hit_default_load_factor_P100_latency,lookup_hit_large_max_load_factor_P50_latency,lookup_hit_large_max_load_factor_P99_latency,lookup_hit_large_max_load_factor_P100_latency,lookup_miss_large_max_load_factor_P50_latency,lookup_miss_large_max_load_factor_P99_latency,lookup_miss_large_max_load_factor_P100_latency,lookup_50%_hit_large_max_load_factor_P50_latency,lookup_50%_hit_large_max_load_factor_P99_latency,lookup_50%_hit_large_max_load_factor_P100_latency,iterate_P50_latency,iterate_P99_latency,iterate_P100_latency
32,6.140625,21.093750,6.950873,0.500000,0.500000,1.554824,1.861920,1.728500,1.554245,1.861151,1.730571,1.765409,16.020833,7.832087,20.989993,113.721903,7.832087,213.346049,264.724540,7.832087,34.147899,1135.652612,6.892237,29.761931,101.190564,5.639103,6.578953,158.208157,5.952386,7.518803,83.020122,5.639103,7.518803,44.172971,5.639103,6.892237,20.363426,5.952386,7.518803,14.097757,5.639103,7.518803,13.471190,1.879701,4.699252,78.634153
110,5.387879,16.701515,11.477292,0.429688,0.859375,2.090786,3.201585,1.759501,3.263849,2.821190,2.650959,2.006493,24.600000,7.832087,20.989993,101.190564,7.832087,326.128102,824.875400,12.844623,51.691774,441.416422,12.844623,36.340884,203.320978,5.639103,18.483725,224.624254,6.578953,20.989993,63.283263,10.651638,19.110292,307.331093,5.952386,9.398504,43.546404,6.578953,10.338355,81.766988,6.265670,10.338355,123.120407,1.879701,4.699252,421.366279
240,5.090278,14.964583,12.876689,0.468750,0.468750,1.646485,1.781020,1.729686,1.646495,1.756493,1.726930,1.910645,9.301389,7.832087,24.749395,106.829666,7.832087,331.140637,1631.893642,13.471190,56.077743,433.897619,13.157906,37.594017,121.240706,5.639103,12.218056,428.885083,5.952386,7.518803,81.766988,5.639103,7.205520,408.834940,5.639103,7.205520,499.060582,5.952386,7.518803,441.416422,5.639103,7.205520,76.127885,1.566417,4.385969,441.416422
500,5.561000,14.830333,13.629540,0.488281,0.488281,2.092475,1.813008,1.764204,1.718537,1.813348,1.764006,1.875062,6.794000,7.832087,29.135364,109.335934,8.458654,138.784581,3476.506767,13.471190,59.210578,519.110725,13.471190,38.847151,139.411148,5.639103,9.085221,371.240923,5.952386,7.832087,529.135796,5.952386,8.771937,208.333514,5.639103,8.458654,326.128102,5.952386,7.832087,383.772262,5.952386,8.771937,411.341208,1.566417,4.385969,86.152957
800,5.015625,16.335833,10.514168,0.390625,0.781250,1.622041,1.746617,1.742252,2.344907,2.650529,2.536885,2.177118,24.260000,8.458654,24.122828,104.949965,9.711788,68.609082,5762.223031,12.218056,49.812073,438.910154,10.651638,37.280734,383.772262,5.639103,11.591489,504.073118,5.952386,12.844623,277.255879,5.952386,11.278205,501.566850,6.265670,13.784473,73.621618,6.265670,11.278205,333.646905,6.265670,11.278205,78.634153,1.879701,9.085221,443.922690
1024,5.793457,15.894043,6.890801,0.500000,0.500000,1.746627,1.907900,1.820409,1.745745,1.900815,1.816485,1.884141,7.470378,8.458654,31.015064,109.962501,9.711788,51.065207,5682.022460,9.085221,37.907301,16188.297214,10.025071,33.834616,436.403886,5.952386,12.218056,77.381019,6.265670,13.471190,473.997904,5.952386,9.398504,78.634153,5.952386,12.844623,448.935226,6.265670,13.157906,534.148332,5.952386,9.398504,446.428958,1.566417,8.145370,77.381019
1500,5.409444,21.807111,10.081322,0.366211,0.732422,1.732336,1.997416,1.765820,2.261234,2.493280,2.480765,2.242593,25.692889,9.711788,24.122828,79.887287,10.338355,45.426104,11296.062405,9.711788,48.558939,509.085653,10.964922,38.847151,468.985368,8.145370,14.097757,504.073118,7.518803,14.411040,453.947761,7.518803,12.844623,418.860012,6.578953,15.977457,406.328672,6.578953,13.471190,80.513854,6.578953,10.651638,376.253458,1.879701,12.531339,363.722119
2048,6.191488,17.175374,7.111869,0.500000,0.500000,1.872556,1.991946,1.919900,1.902821,1.994569,1.925662,2.346718,8.838542,9.711788,29.135364,74.874751,12.844623,42.919837,11616.864687,9.085221,38.533868,31266.004495,10.651638,36.027600,456.454029,8.145370,15.977457,504.073118,7.518803,15.664174,453.947761,7.832087,10.338355,506.579386,8.145370,15.977457,91.792059,7.518803,15.350890,363.722119,7.832087,10.338355,3636.907909,1.566417,12.844623,366.228387
3000,5.804889,23.264222,10.323666,0.366211,0.732422,1.829826,1.962670,1.851153,2.456790,3.976100,2.804600,4.661655,26.209222,9.711788,26.629096,100.563997,14.097757,43.546404,26935.173680,9.711788,49.812073,443.922690,11.904772,40.413569,381.265994,8.458654,17.230591,506.579386,7.832087,15.977457,506.579386,8.458654,15.977457,511.591921,11.278205,25.062678,53.258191,9.398504,22.556410,383.772262,8.458654,15.664174,87.406091,2.192984,17.543875,413.847476
6000,5.981417,26.649889,11.006107,0.366211,0.732422,1.955855,4.211069,6.257650,8.400276,9.737215,8.805594,6.595405,26.591500,10.338355,27.255663,100.563997,15.977457,45.426104,55165.774546,14.097757,51.691774,361.215851,17.230591,44.799538,509.085653,9.085221,20.363426,516.604457,9.085221,21.616560,448.935226,10.964922,22.869694,504.073118,13.784473,30.388497,346.178244,13.157906,29.135364,3797.309050,12.531339,23.496261,62.656696,6.578953,21.616560,242.168129
