element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,final_default_load_factor_size_mb,peak_default_load_factor_size_mb,final_large_load_factor_size_mb,peak_large_load_factor_size_mb
32,15.833333,40.161458,28.485554,0.500000,0.500000,6.853811,13.823828,11.537964,7.197066,14.074604,11.532017,0.677144,13.968750,0.000000,0.000000,0.000000,0.000000
96,44.201389,65.435764,66.774345,0.750000,0.750000,32.525231,67.477197,52.316925,32.016298,67.755227,52.578590,0.653495,41.000000,0.000000,0.000000,0.000000,0.000000
153,68.501089,114.225490,99.486303,0.597656,0.597656,61.255343,124.286328,93.483015,61.171184,124.367924,93.503763,0.650594,63.919390,0.000000,0.000000,0.000000,0.000000
409,170.053382,230.982885,250.314964,0.399414,0.798828,163.394384,319.348603,242.734258,163.394178,319.355785,242.302294,0.670055,331.109209,0.000000,0.000000,0.000000,0.000000
614,130.097720,216.129479,370.643238,0.599609,0.599609,124.903728,231.881879,179.294498,124.915767,231.868487,179.266280,0.665763,125.211183,0.000000,0.000000,0.000000,0.000000
819,170.973341,235.665242,539.061373,0.399902,0.799805,164.055622,318.611357,244.726157,164.142124,318.589137,241.737054,0.672519,331.701262,0.000000,0.000000,0.000000,0.000000
1228,253.536238,442.536238,968.452880,0.599609,0.599609,244.585832,500.665754,373.350067,244.467238,500.153719,373.330450,0.653707,244.359392,0.000000,0.000000,0.000000,0.000000
1638,348.008649,490.103582,1611.270811,0.399902,0.799805,337.955984,646.013038,506.137033,337.717215,642.250167,512.490226,0.665275,658.858160,0.000000,0.000000,0.000000,0.000000
2457,1569.485484,2146.076923,2705.788269,0.599854,0.599854,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.646743,0.000000,0.000000,0.000000,0.000000,0.000000
3276,2316.236009,2759.044617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.732034,0.000000,0.000000,0.000000,0.000000,0.000000
4915,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19660,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
39321,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
52428,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78643,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
104857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
157286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
