element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,final_default_load_factor_size_mb,peak_default_load_factor_size_mb,final_large_load_factor_size_mb,peak_large_load_factor_size_mb
32,108.380208,325.291667,58.521949,0.500000,0.500000,3.549727,3.267456,3.495956,3.639981,3.355907,3.497509,2.853119,147.416667,0.005730,0.005753,0.005684,0.005722
96,44.800347,382.005208,52.219098,0.375000,0.750000,3.549799,3.295786,3.411785,3.549788,3.267948,3.413015,3.502430,227.010417,0.011810,0.011826,0.007751,0.013145
153,48.295207,392.763617,216.698138,0.597656,0.597656,3.568985,3.286272,3.429124,3.568985,3.286911,3.429273,2.574979,70.209150,0.012329,0.012375,0.012215,0.012222
409,40.692339,377.648737,54.651630,0.399414,0.798828,3.568182,3.285025,3.462310,3.556941,3.274673,3.455995,3.423054,199.654442,0.038795,0.038811,0.022903,0.044907
614,63.878122,292.910423,222.708680,0.599609,0.599609,3.587416,3.293014,3.578641,3.570565,3.283999,3.523086,2.833286,60.376764,0.040726,0.040756,0.040588,0.040619
819,39.672161,362.223443,54.807708,0.399902,0.799805,3.685396,3.376599,3.577399,3.589067,3.303409,3.574983,4.100587,197.111518,0.074478,0.074547,0.043106,0.086960
1228,128.566775,242.652416,214.245284,0.599609,0.599609,3.709749,3.407054,3.738581,3.710047,3.419110,3.753842,3.614855,98.674539,0.078926,0.099983,0.078491,0.078499
1638,47.590863,305.767196,57.057549,0.399902,0.799805,3.749289,3.446707,4.290811,3.719766,3.427443,4.152203,7.249353,182.599919,0.146286,0.146309,0.083214,0.171127
2457,93.877832,246.412766,222.888868,0.599854,0.599854,3.796401,3.498179,5.402405,3.750389,3.443983,5.428020,6.009602,61.358025,0.154716,0.154762,0.154716,0.154724
3276,41.997914,310.943274,63.948051,0.399902,0.799805,3.866720,3.583311,7.105470,3.754842,3.452151,6.725680,9.554627,196.142450,0.289780,0.289848,0.163307,0.339767
