element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,final_default_load_factor_size_mb,peak_default_load_factor_size_mb,final_large_load_factor_size_mb,peak_large_load_factor_size_mb
32,56.802083,320.437500,57.669667,0.500000,0.500000,3.355017,3.042224,3.211936,3.355093,3.042175,3.211866,2.844037,137.312500,0.005630,0.005638,0.005600,0.005608
96,42.236111,348.822917,51.986474,0.375000,0.750000,3.354995,3.042582,3.548304,3.376656,3.063517,3.514742,3.536449,221.555556,0.011726,0.011749,0.007759,0.013100
153,52.903050,280.418301,203.068925,0.597656,0.597656,3.368718,3.055400,3.306195,3.368870,3.055165,3.278415,2.704494,71.252723,0.012337,0.014824,0.012291,0.012321
409,41.382233,311.136919,53.641455,0.399414,0.798828,3.370699,3.051621,3.230275,3.365352,3.051532,3.252824,3.693435,193.140179,0.038795,0.038841,0.022942,0.044899
614,45.604235,371.353963,206.038342,0.599609,0.599609,3.382337,3.061412,3.468005,3.366213,3.054310,3.374297,3.213517,63.060803,0.040817,0.040894,0.040726,0.040741
819,40.478632,320.620065,54.581263,0.399902,0.799805,3.495302,3.158507,3.515826,3.373721,3.057897,3.432939,4.810835,191.355311,0.074608,0.074692,0.043045,0.087029
1228,78.758279,259.411781,199.913977,0.599609,0.599609,3.526307,3.192940,3.737075,3.521248,3.199334,3.805301,4.494312,97.835233,0.078964,0.079010,0.078888,0.078934
1638,48.019740,300.242776,57.540179,0.399902,0.799805,3.609328,3.301242,4.140905,3.535765,3.204487,4.023141,7.695307,197.044363,0.146194,0.146217,0.083168,0.171188
2457,84.939832,265.185592,192.674137,0.599854,0.599854,3.559323,3.234156,4.902846,3.563047,3.237173,4.892794,6.234100,62.026998,0.154610,0.154663,0.154533,0.154549
3276,42.859636,302.758649,62.845639,0.399902,0.799805,3.745823,3.502905,6.088474,3.568061,3.285782,5.878078,9.566929,189.251526,0.289642,0.289688,0.163795,0.339661
4915,71.860359,266.577314,195.141028,0.599976,0.599976,3.698778,3.484672,7.385447,3.747549,3.440730,7.344699,6.941785,114.422787,0.306213,0.306290,0.306229,0.306305
6553,61.767816,306.900453,69.505826,0.399963,0.799927,4.083165,3.939586,8.679819,3.729774,3.476652,8.021194,10.857737,197.384099,0.576881,0.576935,0.324158,0.676781
9830,69.824347,270.109732,211.727515,0.599976,0.599976,4.078539,3.914165,9.299776,4.085025,3.919064,9.375911,7.596044,86.550288,0.610001,0.610062,0.609985,0.610077
13107,80.137013,334.188754,99.122585,0.399994,0.799988,4.316725,4.190390,10.415405,4.057647,3.919875,9.840960,11.803240,216.355993,1.021309,1.021332,0.646111,1.314857
19660,533.045770,860.414861,0.000000,0.599976,0.599976,4.313614,4.232416,10.868016,4.305103,4.209364,10.885995,7.885473,562.855934,1.091660,1.414795,1.091751,1.422104
26214,84.250070,733.231696,0.000000,0.399994,0.799988,4.673285,4.569615,11.499076,4.284796,4.234983,11.059897,11.538855,263.854111,2.038704,2.038734,1.167847,2.473969
39321,743.543425,1124.749731,0.000000,0.599991,0.599991,4.618006,4.570972,11.620176,4.638497,4.555348,11.642368,8.084366,876.038860,2.181030,2.821487,2.181412,2.832268
52428,87.902902,1006.857665,0.000000,0.399994,0.799988,5.004674,4.985716,12.069674,4.602902,4.565295,11.680064,11.699081,271.442798,4.073563,4.073647,2.331642,4.944008
78643,719.213831,1067.411198,0.000000,0.599998,0.599998,5.072581,4.927220,12.105563,5.039803,4.959778,12.099669,8.013608,738.213920,4.354004,5.665283,4.353989,5.644592
104857,106.210741,1224.097193,0.000000,0.399998,0.799995,5.507511,5.403552,12.479286,4.985981,4.964764,12.031277,11.809430,357.860632,8.146584,8.146591,4.662010,9.886879
157286,928.066342,1341.335061,0.000000,0.599998,0.599998,5.551061,5.482923,12.530563,5.596881,5.481523,12.472363,7.940098,892.691053,8.710258,11.330032,8.710541,11.235924
209715,189.636707,1196.970624,0.000000,0.400000,0.799999,8.842106,7.922585,14.430114,5.593712,5.479164,12.536546,11.973398,411.125998,16.293259,16.293350,9.318665,19.768539
314572,731.400471,1351.757643,0.000000,0.599998,0.599998,9.445150,8.743823,15.029607,9.471465,8.645970,14.878471,8.063869,881.556785,17.413315,22.707008,17.413315,22.707008
419430,315.683163,1495.537019,0.000000,0.400000,0.799999,17.981719,17.331147,23.303310,10.497791,9.720508,15.904066,12.227702,639.075572,32.581413,32.581490,18.642578,39.542450
629145,1277.872376,1808.437973,0.000000,0.599999,0.599999,18.138981,17.487426,23.495058,18.189522,17.501027,23.457667,8.414993,1341.809410,34.827148,45.312050,34.837212,34.837303
838860,638.080464,2250.673092,0.000000,0.400000,0.799999,20.680920,20.464816,26.909272,18.192768,17.524452,23.466070,12.652656,973.709444,65.159233,72.014259,37.275993,79.075859
1258291,1058.837326,2210.196304,0.000000,0.600000,0.600000,20.739263,20.580852,26.950454,20.771390,20.474878,26.967389,8.651064,1268.484835,69.651558,89.639473,69.651573,90.528473
1677721,537.268198,2406.212268,0.000000,0.400000,0.800000,22.082349,21.972685,28.675196,20.713967,20.415141,26.877848,12.625673,1301.945133,130.303795,130.303886,74.568909,158.168777
2516582,3317.228009,3526.486207,0.000000,0.600000,0.600000,22.091260,21.990850,28.756292,22.611768,22.132153,28.708226,8.570083,1852.876357,139.298286,179.833153,139.298286,168.369011
3355443,598.352677,3199.731171,0.000000,0.400000,0.800000,25.060980,25.148430,30.706251,22.159552,22.026310,29.209159,12.533932,1404.383441,260.607582,260.607758,149.131020,316.330894
5033164,2413.645209,3992.439518,0.000000,0.600000,0.600000,24.284300,24.293504,30.778128,24.210027,24.578845,30.757597,8.584967,2071.944745,278.613174,361.584602,278.613274,278.613365
6710886,657.779535,3871.247161,0.000000,0.400000,0.800000,30.888181,30.754264,36.531096,24.246713,24.189498,30.812445,12.665257,2385.172044,521.218910,521.219002,298.273682,632.673553
10000000,2159.173056,4791.693313,0.000000,0.596046,0.596046,30.862954,30.718621,36.218346,30.388696,30.305536,36.118188,8.660183,2934.590266,556.492928,556.493011,556.490105,721.789780
