element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,final_default_load_factor_size_mb,peak_default_load_factor_size_mb,final_large_load_factor_size_mb,peak_large_load_factor_size_mb
32,20.552083,34.859375,7.461394,0.250000,0.250000,2.063736,2.061083,2.036633,2.056038,2.089321,2.031083,1.299312,51.062500,0.003090,0.004692,0.003090,0.007782
96,7.262153,23.602431,6.585242,0.375000,0.750000,2.055998,2.106844,2.075569,2.457856,2.711727,2.510412,0.974695,21.722222,0.006042,0.006042,0.003090,0.009132
153,6.830065,27.136166,8.601089,0.298828,0.597656,1.979724,2.147056,2.022474,2.224564,2.380191,2.339802,1.137432,23.222222,0.011925,0.011925,0.006042,0.017967
409,7.076202,23.522005,9.521725,0.399414,0.399414,2.096352,2.338461,2.106508,2.095776,2.222152,2.110907,0.962173,26.626732,0.023666,0.023666,0.023666,0.059258
614,6.513572,31.587948,9.066477,0.299805,0.599609,2.198907,2.445076,2.201583,2.385446,2.563214,2.593125,1.520576,24.198154,0.047127,0.047127,0.023666,0.070793
819,7.368946,26.666870,12.017523,0.399902,0.399902,2.303671,2.664972,2.358686,2.291277,2.669123,2.315784,1.079048,31.231583,0.047127,0.047127,0.047127,0.117920
1228,6.644680,35.986835,9.369437,0.299805,0.599609,2.478780,3.255164,2.372486,2.818286,2.840832,2.701583,2.525915,24.430239,0.094025,0.094025,0.047127,0.141151
1638,7.441595,29.294363,12.607208,0.399902,0.399902,2.567238,3.316157,2.577108,2.524390,3.129842,2.592902,2.391400,31.005698,0.094025,0.094025,0.094025,0.235176
2457,7.269502,37.909239,9.884187,0.299927,0.599854,2.863927,3.929879,2.817176,7.399421,4.846511,6.952721,5.531495,25.733822,0.187798,0.187798,0.094025,0.281822
3276,8.549908,31.484788,13.327350,0.399902,0.399902,3.540125,4.605044,6.028936,3.474223,4.554519,5.923703,4.936943,29.095645,0.187798,0.187798,0.187798,0.469620
4915,8.366904,38.826924,11.483764,0.299988,0.599976,3.870941,5.039142,7.365976,8.797774,7.661444,9.866756,6.657515,26.921940,0.375320,0.375320,0.187798,0.563118
6553,9.519787,32.517931,14.989594,0.399963,0.799927,4.995491,6.763686,9.896857,13.320585,12.098028,13.177269,5.926986,28.844906,0.375320,0.375320,0.187798,0.563118
9830,9.223584,39.396694,12.574495,0.299988,0.599976,4.794744,6.187229,10.189708,9.911386,10.689564,13.312661,7.183162,27.239878,0.750343,0.750343,0.375320,1.125664
13107,10.728478,33.581381,16.145146,0.399994,0.399994,6.372376,8.076104,12.390843,6.367730,8.148630,12.390514,6.422234,32.825945,0.750343,0.750343,0.750343,1.876007
19660,9.723788,40.609444,13.245754,0.299988,0.599976,5.346644,7.080603,11.364084,10.895764,12.436151,14.944054,7.498697,27.827297,1.500366,1.500366,0.750343,2.250710
26214,11.116166,34.269741,16.525999,0.399994,0.399994,6.699539,9.096901,12.828060,6.744409,9.135583,12.836053,6.608980,30.656036,1.500366,1.500366,1.500366,3.751076
39321,10.516806,39.688288,13.878374,0.299995,0.599991,5.523266,7.323976,11.541153,11.131902,12.797595,15.198623,7.525307,28.234319,3.000389,3.000389,1.500366,4.500755
52428,11.719167,33.849994,17.180043,0.399994,0.399994,6.825265,9.272749,12.906356,6.817620,9.285575,12.913868,6.717346,42.896162,3.000389,3.000389,3.000389,7.501144
78643,11.333130,44.860914,16.139285,0.299999,0.599998,5.574632,7.445412,11.579501,10.984243,12.679136,15.200728,7.570190,33.635301,6.000412,6.000412,3.000389,9.000801
104857,12.121047,42.808577,20.121437,0.399998,0.399998,6.955478,9.325451,13.101357,6.970322,9.338907,13.051828,6.673399,42.511582,6.000412,6.000412,6.000412,15.001213
157286,17.218564,61.118642,29.063729,0.299999,0.599998,8.623430,9.952174,15.046170,11.274311,13.054745,15.496425,8.660950,47.832719,12.000435,12.000435,6.000412,18.000847
209715,19.171846,53.998938,36.158575,0.400000,0.400000,11.392685,14.064767,18.193022,11.376584,13.971511,18.243344,7.309056,70.037680,12.000435,12.000435,12.000435,30.001282
314572,29.754999,86.081162,51.445846,0.299999,0.599998,14.851250,17.927175,22.004686,16.671731,19.034127,21.882170,9.370358,57.577982,24.000458,24.000458,12.000435,36.000893
419430,30.960263,73.657124,57.484534,0.400000,0.400000,16.470236,20.205555,24.039978,16.537387,20.174768,24.081715,7.926829,84.328856,24.000458,24.000458,24.000458,60.001350
629145,34.924758,99.758468,70.459578,0.300000,0.599999,16.858527,20.020532,24.016610,22.210412,25.176394,28.224624,9.306151,80.221297,48.000481,48.000481,24.000458,72.000938
838860,36.564587,84.837641,73.776975,0.400000,0.400000,18.660823,22.409822,26.116528,18.679210,22.401320,26.209598,7.962544,90.491121,48.000481,48.000481,48.000481,120.001419
1258291,38.136205,104.923858,87.243079,0.300000,0.600000,18.063545,21.230436,25.090594,24.392859,27.645562,30.700167,9.354671,87.755105,96.000504,96.000504,48.000481,144.000984
1677721,39.909172,90.891210,85.003152,0.400000,0.400000,19.869490,23.666411,27.387143,19.873151,23.765604,27.432326,8.012908,98.112847,96.000504,96.000504,96.000504,240.001488
2516582,40.179279,109.288361,98.954100,0.300000,0.600000,18.806367,21.974065,25.708924,25.778409,29.174915,32.394251,9.554608,89.284973,192.000526,192.000526,96.000504,288.001030
3355443,42.438530,93.192094,99.708768,0.400000,0.400000,20.606663,24.429790,28.047970,20.617245,24.432828,28.046893,8.071470,99.439545,192.000526,192.000526,192.000526,480.001556
5033164,42.109223,112.030297,106.657092,0.300000,0.600000,19.309890,22.430839,26.359737,26.485275,29.915946,33.242169,9.370235,91.441137,384.000549,384.000549,192.000526,576.001076
6710886,43.792255,95.854692,97.752408,0.400000,0.400000,21.055253,24.787848,28.432471,21.089076,24.835828,28.440848,8.030038,100.353691,384.000549,384.000549,384.000549,960.001625
10000000,42.274647,115.115002,111.000748,0.298023,0.596046,19.700287,22.783596,26.412563,26.702005,30.343266,33.674133,9.540463,91.043931,768.000572,768.000572,384.000549,1152.001122
