element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,38.020833,60.828125,57.391543,0.507937,0.507937,11.484087,7.738901,9.703990,11.479111,7.799499,9.712149,1.614702,50.302083
110,50.816667,72.027273,59.384623,0.866142,0.866142,12.000130,7.857346,9.885838,11.957750,8.194043,9.884296,0.876759,57.390909
240,50.643750,81.613889,60.609458,0.469667,0.469667,14.235705,8.313104,11.262566,14.045799,8.982716,11.247018,1.959297,42.513889
500,50.338000,84.403667,61.147409,0.488759,0.488759,15.784020,10.441483,12.614064,15.548845,10.396551,12.590924,1.841339,40.952667
800,47.008542,67.593125,60.640056,0.782014,0.782014,16.879069,12.545009,14.171496,16.909564,12.286943,14.258065,1.146928,41.844167
1024,45.336751,78.748698,61.937974,0.500244,0.500244,16.983619,12.201530,14.465545,17.227282,12.381858,14.401083,1.791190,40.789388
1500,41.460667,67.190889,74.924238,0.732780,0.732780,17.890119,13.471572,16.130607,17.923166,13.998324,16.206420,1.217436,41.763111
2048,41.281820,77.904053,65.000189,0.500122,0.500122,19.087463,13.715980,17.542867,18.807303,13.822666,17.478863,1.835638,41.030436
3000,40.724611,65.523167,78.367966,0.732601,0.732601,21.178492,16.004940,22.225747,20.919793,15.857785,22.240320,1.290122,40.582778
6000,40.879028,66.533306,81.213632,0.732511,0.732511,24.441025,20.523313,27.538904,24.556529,20.355765,27.504903,1.274652,41.070667
8192,40.918335,76.292501,70.721371,0.500031,0.500031,25.380660,18.831964,26.979368,25.318077,18.822275,26.969028,2.433479,40.485148
12000,45.771333,64.386625,83.470738,0.732467,0.732467,25.938434,21.424505,28.751785,25.977466,21.357081,28.684930,1.497957,40.788750
16384,40.809835,76.235850,72.995645,0.500015,0.500015,26.375541,19.737363,28.194627,26.364266,19.697246,28.189574,3.699037,40.501424
25000,41.080000,64.181947,91.992651,0.762963,0.762963,26.827483,22.752982,29.969938,26.829407,22.820209,30.011322,1.809570,41.057413
32768,42.284037,78.750676,78.600672,0.500008,0.500008,27.344182,20.058963,29.009992,27.380207,20.045213,29.000266,4.143619,44.612793
45000,43.242056,70.554044,92.969356,0.686656,0.686656,27.485342,21.433419,29.924437,27.538392,21.325177,29.894247,2.596426,49.254237
60000,53.140742,94.265656,118.303313,0.457767,0.457767,32.320856,20.197862,31.922268,33.788222,20.206195,31.890844,4.466782,75.821844
100000,64.530860,80.000183,185.041343,0.762945,0.762945,56.040018,24.111124,45.087648,54.934839,23.884384,45.126779,2.067580,80.481797
150000,95.392978,112.941391,207.031156,0.572207,0.572207,104.559220,23.276146,75.191030,104.757223,23.188950,75.151083,3.519452,102.382871
200000,96.319208,108.009705,260.503662,0.762942,0.762942,117.996734,34.388088,92.543538,118.106683,34.286373,90.627915,2.079065,99.530940
300000,120.432953,150.854630,247.364053,0.572206,0.572206,136.770252,45.515251,105.449290,136.604425,45.361330,105.463430,3.504399,120.275648
400000,118.999247,139.726440,302.748960,0.762941,0.762941,140.233586,59.234156,111.538289,140.200362,59.004816,111.486352,2.076275,118.997687
600000,134.614136,183.876915,271.583011,0.572205,0.572205,148.931487,61.761466,116.646125,148.600233,61.681601,116.601111,3.439557,134.171791
800000,133.676486,171.017134,327.546713,0.762940,0.762940,151.065996,68.872348,120.875163,151.126783,68.671434,120.910534,2.067778,133.399188
1200000,143.037959,262.096700,289.642453,0.572205,0.572205,159.476775,68.105626,124.366746,159.668080,68.113158,124.436964,3.355278,146.519772
2200000,168.249785,246.595595,315.172448,0.524521,0.524521,175.201336,72.996681,134.713381,175.017523,72.949161,134.639039,3.542411,169.462599
3100000,168.181935,224.401428,352.220794,0.739098,0.739098,176.580709,77.289475,137.592538,176.556003,77.315243,137.557164,1.961750,168.728106
6000000,197.887390,309.951084,375.910165,0.715256,0.715256,193.132455,86.674216,152.219079,193.145366,86.677329,152.182016,1.830688,208.465214
10000000,206.552110,351.708640,363.716774,0.596047,0.596047,206.569933,93.180809,165.149169,207.071978,93.111510,165.496557,3.356874,234.929658
