element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,18.484375,41.093750,26.612008,0.507937,0.507937,11.420535,7.718133,9.819933,11.414973,7.709328,9.789945,1.648370,19.791667
110,17.196970,29.892424,28.412057,0.866142,0.866142,11.947713,8.535341,10.386543,11.728367,8.220755,10.362736,0.823327,16.572727
240,15.888194,41.283333,29.447325,0.469667,0.469667,11.702588,8.043691,11.103648,11.692498,8.099501,11.080006,1.954229,15.527778
500,16.263000,38.252000,30.403141,0.488759,0.488759,12.006758,8.141024,13.113190,11.988839,8.532384,13.081745,1.896552,15.480000
800,15.953542,29.321667,30.089967,0.782014,0.782014,12.417181,9.522334,12.542517,12.623905,9.448219,12.365208,1.119390,17.124167
1024,15.362467,36.713867,30.905530,0.500244,0.500244,12.361111,8.301681,13.661286,12.377658,8.234027,13.652277,1.832746,15.467773
1500,16.021556,30.666667,38.364857,0.732780,0.732780,12.839999,9.901713,13.880296,12.739274,9.782511,13.642688,1.181573,16.208444
2048,15.774170,36.342936,31.405555,0.500122,0.500122,12.397130,8.236285,14.832370,12.373504,8.207966,14.843080,1.811050,16.091309
3000,16.357944,31.087778,39.198334,0.732601,0.732601,12.736620,10.181936,15.013318,12.753546,10.205460,15.010428,1.240723,16.634889
6000,18.662917,32.187111,41.592500,0.732511,0.732511,14.002102,10.663663,17.426344,14.222867,10.745338,17.448573,1.314265,18.445389
8192,18.919800,38.998962,36.747645,0.500031,0.500031,15.593857,8.469256,17.419976,15.464104,8.554566,17.433769,2.478666,19.440186
12000,19.262611,31.720597,44.274769,0.732467,0.732467,15.846046,10.734885,18.998522,15.809740,10.768588,19.008287,1.547639,19.644556
16384,20.804057,40.342112,38.569229,0.500015,0.500015,16.510704,8.761497,18.529346,16.509699,8.759343,18.555086,3.699644,20.727417
25000,21.119273,33.282220,49.216092,0.762963,0.762963,16.879434,12.459894,21.108167,16.909502,12.547869,21.100966,1.790321,21.195067
32768,21.976715,41.153692,40.028385,0.500008,0.500008,17.150232,8.989738,19.383187,17.102054,8.981432,19.379204,4.063463,21.860748
45000,22.235544,35.129233,44.490618,0.686656,0.686656,17.315582,10.657324,20.530042,17.355626,10.570970,20.526359,2.528619,22.092733
60000,24.036406,48.164889,43.286561,0.457767,0.457767,18.109057,8.971256,20.136834,18.179745,9.008491,20.141827,4.464437,24.841789
100000,29.938610,41.299083,55.044194,0.762945,0.762945,18.911305,13.157898,22.450243,18.615062,13.159038,22.453979,2.036404,28.393337
150000,42.120042,58.087749,76.085516,0.572207,0.572207,27.889904,10.437576,25.652823,27.678240,10.518994,25.676331,3.480234,54.488020
200000,40.882817,51.226210,90.867161,0.762942,0.762942,30.358609,14.368701,30.300910,30.093490,14.172878,30.318628,2.027694,54.825607
300000,69.956973,73.305936,122.667883,0.572206,0.572206,56.226418,13.411088,44.788692,56.082661,13.328305,44.826176,3.478743,77.848744
400000,70.709453,72.760010,134.636240,0.762941,0.762941,58.276323,20.865492,49.140639,58.373366,20.997133,49.125844,2.035105,75.138378
600000,109.030628,104.235024,145.605047,0.572205,0.572205,68.878029,18.156724,54.578005,68.719520,18.134919,54.623297,3.425667,110.003097
800000,104.823960,100.805665,157.022069,0.762940,0.762940,69.627016,24.716918,57.620160,69.721183,24.785093,57.445739,2.036913,105.189272
1200000,124.968915,129.095440,159.103054,0.572205,0.572205,74.547216,19.113842,58.456980,74.409898,19.119429,58.401690,3.308925,125.561596
2200000,138.349355,150.195469,177.382546,0.524521,0.524521,82.516745,19.021798,61.670662,82.328606,19.179911,61.888702,3.538384,139.068595
3100000,134.040070,141.026893,181.374483,0.739098,0.739098,83.359930,25.271791,64.508234,83.312325,25.250206,64.451922,1.931693,134.465325
6000000,147.274393,156.325907,209.459498,0.715256,0.715256,100.015272,31.578214,75.916692,99.948326,31.109601,75.976591,1.803057,146.363687
10000000,158.101788,171.637624,241.044556,0.596047,0.596047,114.164693,49.421673,90.855495,113.973084,49.760824,90.626269,3.319393,158.775202
