element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,41.875000,63.333333,38.160389,0.507937,0.507937,9.620027,5.315734,7.652046,9.604570,5.308105,7.656634,1.816820,36.041667
110,48.089394,45.059091,39.840206,0.866142,0.866142,9.745307,6.093425,8.025936,9.649916,6.014834,8.087320,0.848395,41.754545
240,44.970833,60.477083,40.973808,0.469667,0.469667,9.769282,5.405488,7.792627,9.820392,5.306137,7.816958,2.008907,39.554167
500,42.615333,58.901333,41.093011,0.488759,0.488759,10.452864,5.501244,8.158143,10.332414,5.568027,8.153169,1.818630,38.325333
800,44.437917,56.383125,40.129123,0.782014,0.782014,10.987791,6.617587,9.068768,11.049803,6.711347,9.192137,1.174427,39.572917
1024,41.953125,65.586263,41.041198,0.500244,0.500244,11.441205,5.793762,8.976003,11.413450,5.740603,8.890570,1.822658,37.486003
1500,43.968333,55.337778,48.750801,0.732780,0.732780,11.937970,6.422899,10.030423,11.852190,6.472169,10.261768,1.284935,36.552000
2048,42.649007,57.339681,40.844743,0.500122,0.500122,12.339058,6.450272,10.967420,12.380013,6.383622,10.829899,1.980029,36.770996
3000,43.639444,54.518000,49.252978,0.732601,0.732601,12.915243,8.382877,14.052590,12.878330,8.428775,13.774269,1.354823,37.545111
6000,36.821417,48.876778,51.546022,0.732511,0.732511,14.966932,11.380318,19.134741,14.973100,11.243948,18.974409,1.451133,36.631444
8192,35.444621,55.452637,45.233236,0.500031,0.500031,16.786938,9.287737,19.043429,16.764734,9.235338,18.989379,2.853412,35.976034
12000,35.348681,49.402181,54.445798,0.732467,0.732467,17.499750,12.773733,21.124432,17.397734,12.745905,21.123349,1.775437,36.652278
16384,36.655772,56.847005,47.588449,0.500015,0.500015,18.974903,10.140126,20.408209,19.098501,10.085300,20.338881,3.733540,35.850728
25000,35.839740,49.672020,60.476470,0.762963,0.762963,19.509241,13.819758,22.752644,19.652371,13.663979,22.755318,1.918704,36.649560
32768,35.205948,57.692846,49.311048,0.500008,0.500008,20.760752,10.321736,21.416809,20.618556,10.300678,21.400841,4.069226,36.060252
45000,35.857100,51.897241,54.278092,0.686656,0.686656,20.875247,12.008347,22.505175,20.837206,12.082582,22.490580,2.561754,35.979244
60000,35.699111,60.811581,51.031051,0.457767,0.457767,22.544617,10.200060,22.504328,22.505382,10.165388,22.507032,4.527482,36.020211
100000,36.967783,51.274880,66.690445,0.762945,0.762945,22.970816,14.629851,25.059142,22.994730,14.676030,25.071791,2.079081,37.293103
150000,39.842418,58.563804,77.378763,0.572207,0.572207,31.515297,11.468021,29.474044,31.329151,11.453438,29.440965,3.538610,43.273558
200000,40.650528,53.984962,110.824343,0.762942,0.762942,41.153808,16.298872,37.247672,40.928188,16.264837,37.241118,2.113554,44.323322
300000,48.202839,75.771050,122.782779,0.572206,0.572206,68.276172,15.399148,53.474661,68.388895,15.441045,53.508295,3.495158,49.239846
400000,45.857323,69.498455,163.657508,0.762941,0.762941,74.696411,25.253942,60.360336,74.751585,25.171786,60.325535,2.111642,48.953341
600000,61.863843,103.166823,157.430699,0.572205,0.572205,96.262974,22.214539,73.389613,96.292636,22.201076,73.422713,3.450180,61.355768
800000,61.825863,92.901774,198.169776,0.762940,0.762940,99.424575,31.032363,78.131709,99.422057,30.957990,78.126231,2.112438,62.089582
1200000,92.529584,128.179115,180.384869,0.572205,0.572205,118.807738,24.347792,87.195540,118.778151,24.378557,87.209947,3.390625,86.080414
2200000,171.867459,214.557358,195.461079,0.524521,0.524521,139.497479,24.182292,96.993245,139.046395,24.221440,97.148438,3.666329,108.516609
3100000,114.422272,143.304993,229.526688,0.739098,0.739098,140.863441,33.533500,102.288654,140.590141,33.474971,101.175067,1.986533,110.535748
6000000,196.014460,233.456753,243.303181,0.715256,0.715256,160.864694,39.035821,115.224858,160.861336,39.190626,115.245572,1.858642,133.635430
10000000,212.092257,198.356687,242.245248,0.596047,0.596047,173.849015,48.984655,124.884429,173.273975,48.760736,124.959638,3.406624,145.570917
