element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,16.557292,30.416667,14.521956,0.507937,0.507937,3.444636,2.810603,2.974276,3.449773,2.807243,2.981776,6.469396,15.416667
110,29.742424,30.272727,15.852726,0.866142,0.866142,3.456589,3.176819,3.244289,3.478240,2.917884,3.345622,3.721013,25.424242
240,26.999306,37.880556,16.595107,0.469667,0.469667,3.440323,2.812530,3.021458,3.514007,2.809437,3.033039,7.261400,21.373611
500,24.605333,33.662000,17.178009,0.488759,0.488759,3.511234,2.947455,3.060831,3.524461,2.889851,3.089952,7.754476,20.092667
800,25.155000,29.140625,17.458747,0.782014,0.782014,3.684744,3.170400,3.526283,3.680425,3.258781,3.580566,4.764461,20.470417
1024,23.833822,32.785319,18.119268,0.500244,0.500244,3.853979,2.919440,3.331624,3.864917,2.954489,3.325920,7.435002,18.586589
1500,24.585889,31.743222,23.841733,0.732780,0.732780,4.045818,3.101349,3.557067,4.089436,3.152894,3.613979,4.982928,19.443778
2048,25.420654,33.538818,18.677688,0.500122,0.500122,4.034966,3.006871,3.553501,4.048522,3.097333,3.594613,7.865072,18.034993
3000,25.600111,30.477167,24.313198,0.732601,0.732601,4.279995,3.378544,3.953624,4.265524,3.440468,3.910843,5.447273,18.718222
6000,19.224250,27.062861,26.000804,0.732511,0.732511,4.590596,3.602973,5.170664,4.599825,3.756694,5.346382,6.128036,18.760889
8192,18.227478,31.135335,22.373155,0.500031,0.500031,5.076512,3.279696,6.115370,5.214720,3.306923,6.154539,11.253417,19.350301
12000,18.689139,28.797667,29.068103,0.732467,0.732467,5.745869,5.881600,10.747567,5.789353,5.904289,10.685272,7.028477,19.270139
16384,18.596934,33.563802,26.040991,0.500015,0.500015,6.640799,3.452239,9.728993,6.580744,3.484303,9.694423,14.917853,19.142741
25000,19.779927,28.026407,35.364838,0.762963,0.762963,6.961255,6.857229,12.128999,6.928373,6.800778,12.107524,7.765031,19.447013
32768,19.393041,33.409139,29.075869,0.500008,0.500008,7.417451,3.933767,10.643624,7.478287,3.923734,10.630389,16.722019,19.817291
45000,20.639715,29.464263,32.653607,0.686656,0.686656,7.695599,5.270154,11.644406,7.697326,5.281641,11.634660,10.259172,19.866148
60000,20.477731,36.276219,31.141233,0.457767,0.457767,8.253353,3.917453,11.067035,8.235863,3.952544,11.065279,18.324302,20.898833
100000,47.195367,55.879270,40.102014,0.762945,0.762945,40.344547,15.817492,32.139360,40.500710,15.665912,32.183686,4.360057,46.134637
150000,41.082593,54.468696,36.751430,0.572207,0.572207,25.038446,5.424494,21.830078,24.850420,5.276813,21.823933,8.269650,39.814684
200000,45.118075,54.660170,49.125352,0.762942,0.762942,30.366952,12.437534,27.820504,30.227799,12.639544,27.656144,5.257261,43.696262
300000,50.679479,64.897126,71.558099,0.572206,0.572206,38.566876,6.208564,32.321720,40.168141,6.267871,32.435431,8.435082,54.718751
400000,61.570869,69.542905,104.832876,0.762941,0.762941,54.281829,15.788411,44.155401,55.038615,15.850479,44.586030,5.471856,64.705711
600000,91.314026,102.320808,125.752075,0.572205,0.572205,71.135920,9.691124,52.815938,71.068907,9.687559,52.792679,8.506619,92.012283
800000,109.900055,117.798535,163.175807,0.762940,0.762940,83.985648,21.068209,63.758709,84.194688,20.964868,63.684117,5.553105,110.121626
1200000,97.656431,134.061030,159.533722,0.572205,0.572205,68.881555,14.206492,53.031465,69.037959,14.232319,53.069899,11.592897,99.491305
2200000,120.741847,202.877819,178.588006,0.524521,0.524521,76.942497,14.346627,57.841224,76.973570,14.303890,57.877900,14.827820,127.314484
3100000,194.803972,267.377417,212.274624,0.739098,0.739098,85.344594,22.494346,66.578724,85.226664,22.478659,66.560103,11.264572,144.483620
6000000,167.636229,257.507205,214.427955,0.715256,0.715256,71.943713,24.797256,58.292873,71.904507,24.738268,58.368187,7.436477,114.244018
10000000,184.332164,292.953338,214.634101,0.596047,0.596047,75.542226,30.194393,63.431477,75.581484,30.136170,63.473453,inf,130.631129
