element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,28.229167,42.390625,33.081295,0.507937,0.507937,11.540159,7.734870,9.915225,11.559482,7.715211,9.887211,1.926023,40.416667
110,50.043939,44.119697,34.554270,0.866142,0.866142,12.304932,8.254540,10.268023,12.306927,8.242419,10.261873,0.805619,38.363636
240,38.081944,58.498611,35.404893,0.469667,0.469667,11.964992,8.162508,11.318450,11.847867,8.360393,11.345530,2.088912,34.941667
500,38.008000,51.841333,35.976895,0.488759,0.488759,12.284554,8.657588,12.691265,12.264652,8.490239,12.627915,1.903615,34.252667
800,38.194375,48.583750,35.768834,0.782014,0.782014,13.146711,9.791870,12.363255,12.953117,9.676638,12.480796,1.102551,34.827917
1024,37.347656,58.472656,36.393996,0.500244,0.500244,12.960140,8.472499,13.617249,12.952561,8.500533,13.585405,1.890189,32.827799
1500,39.939556,47.931667,44.194096,0.732780,0.732780,13.398637,9.936276,13.682462,13.302330,9.940611,13.640485,1.129142,33.798667
2048,36.831380,52.126221,36.835532,0.500122,0.500122,13.271883,8.219389,14.962904,13.282933,8.218037,14.932842,1.887529,31.123698
3000,39.033500,47.385944,44.993536,0.732601,0.732601,13.645359,10.117688,15.305056,13.661093,10.149581,15.249168,1.210601,34.492000
6000,31.344417,42.323611,47.678749,0.732511,0.732511,15.441502,10.887382,17.982270,15.463587,10.920242,17.958987,1.236741,32.935444
8192,31.440247,49.122701,42.484879,0.500031,0.500031,17.194054,8.663204,18.250091,17.360039,8.642685,18.293176,2.468499,32.380371
12000,32.034639,42.526611,52.056718,0.732467,0.732467,18.190784,11.338300,20.086287,18.271197,11.274060,20.107576,1.543404,32.697361
16384,30.749359,50.484141,46.100634,0.500015,0.500015,19.937476,9.220410,20.196078,20.034631,9.215000,20.224186,3.654549,31.467102
25000,31.103160,43.769827,60.080190,0.762963,0.762963,20.573964,12.742912,22.873698,20.490064,12.958817,22.673550,1.801440,32.250640
32768,30.966044,52.288437,48.613769,0.500008,0.500008,21.678236,9.487452,21.545230,21.712054,9.468168,21.499928,4.042719,32.038096
45000,31.095581,46.505144,54.293149,0.686656,0.686656,21.997678,11.085029,22.680112,22.021480,11.169417,22.637393,2.511325,32.939200
60000,31.858225,55.946714,51.363631,0.457767,0.457767,23.451625,9.403250,22.709228,23.476448,9.415382,22.663118,4.488020,33.186983
100000,34.078390,47.111797,69.877850,0.762945,0.762945,24.107017,13.798526,25.458924,24.209032,13.839050,25.547226,2.043274,34.244317
150000,41.599240,55.281702,81.694782,0.572207,0.572207,31.542583,11.298578,29.802575,31.797779,11.175826,29.579091,3.433358,41.059171
200000,40.219090,51.033688,122.883784,0.762942,0.762942,41.786438,15.907130,37.555182,41.173944,15.773441,37.746631,2.055346,42.407258
300000,46.454268,75.137082,138.314681,0.572206,0.572206,68.892274,16.132087,54.923735,68.855314,16.284700,55.006863,3.413410,47.469807
400000,47.367108,69.088202,190.958591,0.762941,0.762941,75.411475,26.284022,62.065393,75.494813,26.347492,62.017445,2.052948,47.168780
600000,60.695135,108.891938,183.505206,0.572205,0.572205,97.505977,23.448937,75.383863,97.394744,23.522008,75.240561,3.368058,59.946190
800000,64.309475,97.350306,235.293397,0.762940,0.762940,100.059099,32.561437,79.956365,100.190680,32.512605,79.999563,2.054483,60.628847
1200000,85.250160,139.181420,210.105794,0.572205,0.572205,119.371896,25.719038,88.976715,119.281367,25.723253,88.988443,3.296667,84.240160
2200000,169.653777,231.617428,231.766301,0.524521,0.524521,139.543876,25.569239,99.672824,139.670316,25.624202,99.625984,3.557394,107.098626
3100000,171.448812,155.884712,270.491806,0.739098,0.739098,141.542068,35.523810,104.052230,141.559154,35.501854,104.072389,1.945588,109.196407
6000000,133.579453,248.525610,293.340616,0.715256,0.715256,161.432161,43.535699,120.036158,161.863155,43.648298,119.781489,1.817296,128.886170
10000000,209.828331,349.030095,297.957180,0.596047,0.596047,173.861939,58.047678,132.220059,174.008603,57.941216,131.956839,3.312487,143.759817
