element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,30.468750,47.500000,44.451700,0.507937,0.507937,12.021337,6.515661,9.001451,10.658261,6.511843,9.045699,1.286633,44.270833
110,50.346970,49.572727,46.097530,0.866142,0.866142,10.896384,7.032869,9.182357,10.927266,7.208696,9.183138,0.835951,44.212121
240,46.400694,70.352083,46.450468,0.469667,0.469667,10.763698,6.821819,8.880667,10.817414,6.699680,8.845970,1.812056,45.302778
500,46.481667,69.617000,47.098328,0.488759,0.488759,11.372851,7.246988,9.453575,11.390913,7.070290,9.473841,1.902378,42.246000
800,47.421042,62.452083,46.330423,0.782014,0.782014,11.761438,8.013247,10.522740,11.892824,8.136543,10.604318,1.098520,41.652500
1024,45.135254,68.581543,46.971155,0.500244,0.500244,12.497580,7.606898,10.881011,12.471253,7.566768,10.313260,1.853406,41.355469
1500,45.998111,67.690889,56.705652,0.732780,0.732780,13.300856,8.731585,12.699840,13.406258,8.827144,12.639444,1.200243,41.353778
2048,46.039144,68.028890,46.663405,0.500122,0.500122,14.568803,9.182810,14.909633,14.617190,9.383174,14.587934,1.870496,41.816406
3000,46.060444,63.545389,57.073727,0.732601,0.732601,16.065935,13.936895,19.521517,15.987668,13.942960,19.528384,1.213936,41.236222
6000,39.762667,57.223417,58.703448,0.732511,0.732511,18.734720,16.617015,22.935049,18.594455,16.613371,22.805230,1.239617,40.179056
8192,38.172567,67.305806,49.461777,0.500031,0.500031,20.005794,15.011878,22.547517,20.075180,14.973077,22.547362,2.381266,39.294556
12000,39.461986,57.997931,60.865642,0.732467,0.732467,20.858294,17.449956,24.103503,20.870037,17.366342,24.139518,1.515227,39.904611
16384,37.451284,68.738983,51.104290,0.500015,0.500015,22.234180,15.260053,23.860319,22.312476,15.222075,23.796249,3.591693,41.205139
25000,39.411593,58.141960,68.387137,0.762963,0.762963,22.831674,18.411226,25.761546,22.739897,18.345300,25.629791,1.766437,39.450667
32768,37.712102,70.213175,52.276809,0.500008,0.500008,23.862477,15.464571,24.738303,23.906670,15.389280,24.820011,4.023291,37.983917
45000,39.297044,61.612207,58.581886,0.686656,0.686656,24.122178,16.884604,25.677186,24.102380,16.903893,25.661058,2.533615,40.110133
60000,38.491414,74.888133,53.322662,0.457767,0.457767,25.673253,15.306129,25.964324,25.674767,15.337641,25.992472,4.518231,39.223967
100000,44.731657,60.807850,73.414168,0.762945,0.762945,26.551379,19.104558,28.479057,26.576697,19.107825,28.493894,2.048265,40.619507
150000,42.677113,70.401802,77.927084,0.572207,0.572207,32.892718,16.309990,32.072262,33.006586,16.464841,32.093234,3.436575,46.600071
200000,43.532102,64.237492,117.628258,0.762942,0.762942,44.352162,20.710220,40.438270,43.662880,20.649427,40.406934,2.063335,47.405022
300000,54.191854,89.964334,124.135764,0.572206,0.572206,71.083029,20.213771,57.450647,71.063693,20.268032,57.553381,3.414844,51.450870
400000,49.914468,80.425957,172.494926,0.762941,0.762941,77.408894,30.081493,64.294590,77.529587,30.012835,64.195790,2.061597,51.353158
600000,67.217311,123.829258,159.226299,0.572205,0.572205,99.307870,27.167482,77.878649,99.661960,27.310161,77.972623,3.362648,63.018741
800000,63.901068,108.843469,207.235460,0.762940,0.762940,102.401971,36.119443,82.709248,102.515247,36.090514,82.717452,2.056029,63.874032
1200000,86.961516,153.852122,181.991111,0.572205,0.572205,121.411009,28.991969,91.744624,121.569487,29.091779,91.598857,3.298778,86.309941
2200000,171.611562,247.419028,196.229724,0.524521,0.524521,141.998830,28.758014,102.436688,142.000404,28.745967,102.911208,3.545763,108.886397
3100000,114.884361,170.230746,236.421278,0.739098,0.739098,143.739964,38.887452,106.881165,143.745942,38.907208,106.823905,1.943063,111.834632
6000000,199.205612,322.198326,247.955393,0.715256,0.715256,163.749357,45.893461,122.406787,163.430024,45.754487,122.244189,1.819329,130.768439
10000000,213.887918,296.623827,242.010967,0.596047,0.596047,176.071722,58.788683,134.106160,176.055302,58.647935,134.380111,3.319025,144.819856
